粗劣作品	48-48869-S
粗劣作品 粗劣作品	48-48869-B
粗厉	48-48930-S
粗厲 粗厉	48-48930-B
粗口	48-48984-S
粗口 粗口	48-48984-B
粗哑	48-49045-S
粗啞 粗哑	48-49045-B
粗壮	48-49097-S
粗壯 粗壮	48-49097-B
粗大	48-49148-S
粗大 粗大	48-49148-B
粗心	48-49196-S
粗心 粗心	48-49196-B
粗心大意	48-49237-S
粗心大意 粗心大意	48-49237-B
粗暴	48-49320-S
粗暴 粗暴	48-49320-B
粗浅	48-49364-S
粗淺 粗浅	48-49364-B
粗略	48-49417-S
粗略 粗略	48-49417-B
粗疏	48-49490-S
粗疏 粗疏	48-49490-B
粗盐	48-50400-S
粗砂	48-49535-S
粗砂 粗砂	48-49535-B
粗笨	48-49572-S
粗笨 粗笨	48-49572-B
粗粮	48-49691-S
粗糙	48-49641-S
粗糙 粗糙	48-49641-B
粗糧 粗粮	48-49691-B
粗細 粗细	48-49746-B
粗细	48-49746-S
粗製濫造 粗制滥造	48-49824-B
粗話 粗话	48-49973-B
粗語 粗语	48-50067-B
粗话	48-49973-S
粗语	48-50067-S
粗野	48-50120-S
粗野 粗野	48-50120-B
粗飼料 粗饲料	48-50187-B
粗饲料	48-50187-S
粗體 粗体	48-50250-B
粗體字 粗体字	48-50297-B
粗魯 粗鲁	48-50350-B
粗鲁	48-50350-S
粗鹽 粗盐	48-50400-B
粘	48-50454-S,48-50484-S
粘 粘	48-50454-B,48-50484-B
粘土	48-50522-S
粘土 粘土	48-50522-B
粘度	48-50565-S
粘度 粘度	48-50565-B
粘性	48-50608-S
粘性 粘性	48-50608-B
粘性力	48-50653-S
粘性力 粘性力	48-50653-B
粘液	48-50734-S
粘液 粘液	48-50734-B
粘痰	71-27979-S
粘粘	48-50773-S
粘粘 粘粘	48-50773-B
粘胶	48-50864-S
粘胶液	48-50907-S
粘膜	48-50815-S
粘膜 粘膜	48-50815-B
粘膠 粘胶	48-50864-B
粘膠液 粘胶液	48-50907-B
粘菌	48-50960-S
粘菌 粘菌	48-50960-B
粘貼 粘贴	48-51019-B
粘贴	48-51019-S
粛	48-51083-S
粛 粛	48-51083-B
粞	48-51132-S
粞 粞	48-51132-B
粟	48-51177-S
粟 粟	48-51177-B
粟裕	48-51211-S
粟裕 粟裕	48-51211-B
粢	48-51248-S
粢 粢	48-51248-B
粤	48-51751-S
粤剧	48-51841-S
粤菜	48-51889-S
粤语	48-51940-S
粥	48-51283-S
粥 粥	48-51283-B
粥少僧多	48-51328-S
粥少僧多 粥少僧多	48-51328-B
粧	48-51440-S
粧 粧	48-51440-B
粨	48-51491-S
粨 粨	48-51491-B
粪	48-62322-S
粪便	48-62356-S
粪土	48-62417-S
粪肥	48-62469-S
粪金龟	48-62514-S
粪金龟子	48-62570-S
粮	49-78-S
粮仓	49-113-S
粮农	49-462-S
粮票	49-211-S
粮秣	49-317-S
粮草	49-392-S
粮食	49-532-S
粮饷	49-585-S
粱	48-51524-S
粱 粱	48-51524-B
