表记	56-46364-S
表证	56-46472-S
表语	56-46427-S
表象	56-46594-S
表象 表象	56-46594-B
表达	56-46719-S
表达失语症	56-46795-S
表达式	56-46881-S
表述	56-46635-S
表述 表述	56-46635-B
表達 表达	56-46719-B
表達失語症 表达失语症	56-46795-B
表達式 表达式	56-46881-B
表里	56-46148-S
表针	64-49456-S
表露	56-46962-S
表露 表露	56-46962-B
表面	56-47007-S
表面 表面	56-47007-B
表面信息	56-47074-S
表面信息 表面信息	56-47074-B
表面化	56-47150-S
表面化 表面化	56-47150-B
表面张力	56-47232-S
表面張力 表面张力	56-47232-B
表面活化剂	56-47306-S
表面活化劑 表面活化剂	56-47306-B
表面活性剂	56-47384-S
表面活性劑 表面活性剂	56-47384-B
表面的	56-47463-S
表面的 表面的	56-47463-B
表音	56-47533-S
表音 表音	56-47533-B
衩	56-47605-S,56-47665-S
衩 衩	56-47605-B,56-47665-B
衫	56-47715-S
衫 衫	56-47715-B
衬	57-11851-S
衬垫	57-11925-S
衬托	57-11964-S
衬衣	57-12009-S
衬衫	57-12048-S
衬裙	57-12096-S
衬里	57-12140-S
衭	56-47789-S
衭 衭	56-47789-B
衮	56-50789-S
衰	56-47833-S,56-47873-S
衰 衰	56-47833-B,56-47873-B
衰亡	56-47922-S
衰亡 衰亡	56-47922-B
衰减	56-48218-S
衰变	56-47997-S,56-48482-S
衰变 衰变	56-47997-B
衰变曲线	56-48534-S
衰变热	56-48605-S
衰变链	56-48662-S
衰弱	56-48056-S
衰弱 衰弱	56-48056-B
衰微	56-48103-S
衰微 衰微	56-48103-B
衰敗 衰败	56-48177-B
衰減 衰减	56-48218-B
衰竭	56-48277-S
衰竭 衰竭	56-48277-B
衰老	56-48342-S
衰老 衰老	56-48342-B
衰落	56-48421-S
衰落 衰落	56-48421-B
衰變 衰变	56-48482-B
衰變曲線 衰变曲线	56-48534-B
衰變熱 衰变热	56-48605-B
衰變鏈 衰变链	56-48662-B
衰败	56-48177-S
衰运	56-48782-S
衰退	56-48722-S
衰退 衰退	56-48722-B
衰運 衰运	56-48782-B
衲	56-48837-S
衲 衲	56-48837-B
衵	56-48874-S
衵 衵	56-48874-B
衷	56-48917-S
衷 衷	56-48917-B
衷心	56-48956-S
衷心 衷心	56-48956-B
衹	56-49022-S,56-49058-S
衹 衹	56-49022-B,56-49058-B
衽	56-49099-S
衽 衽	56-49099-B
衾	56-49154-S
衾 衾	56-49154-B
衿	56-49191-S
衿 衿	56-49191-B
袁	56-49264-S
袁 袁	56-49264-B
袁世凯	56-49348-S
袁世凱 袁世凯	56-49348-B
袁于令	56-49417-S
袁于令 袁于令	56-49417-B
袁宏道	56-49494-S
袁宏道 袁宏道	56-49494-B
袁州	56-49565-S
袁州 袁州	56-49565-B
袁州区	56-49643-S
袁州區 袁州区	56-49643-B
袁枚	56-49731-S
袁枚 袁枚	56-49731-B
袁桷	56-49786-S
袁桷 袁桷	56-49786-B
袁紹 袁绍	56-49841-B
袁绍	56-49841-S
袁静	56-49896-S
袁靜 袁静	56-49896-B
袂	56-49949-S
袂 袂	56-49949-B
袄	57-10445-S
袅	56-55558-S
袆	57-7762-S
袈	56-49988-S
袈 袈	56-49988-B
袈裟	56-50031-S
袈裟 袈裟	56-50031-B
袋	56-50071-S
袋 袋	56-50071-B
袋子	56-50117-S
袋子 袋子	56-50117-B
袋熊	56-50152-S
袋熊 袋熊	56-50152-B
袋鼠	56-50221-S
袋鼠 袋鼠	56-50221-B
袍	56-50263-S
袍 袍	56-50263-B
袒	56-50298-S
袒 袒	56-50298-B
袒护	56-50328-S
袒護 袒护	56-50328-B
袖	56-50411-S
袖 袖	56-50411-B
袖口	56-50440-S
袖口 袖口	56-50440-B
袖子	56-50478-S
袖子 袖子	56-50478-B
袖珍	56-50516-S
袖珍 袖珍	56-50516-B
袖珍辞典	56-50557-S
袖珍辭典 袖珍辞典	56-50557-B
袖珍音响	56-50631-S
袖珍音響 袖珍音响	56-50631-B
袗	56-50711-S
袗 袗	56-50711-B
袚	56-50750-S
袚 袚	56-50750-B
袜	57-11547-S
袜子	57-11584-S
袜带	57-11630-S
袞 衮	56-50789-B
袟	56-50825-S
袟 袟	56-50825-B
袢	56-50870-S
袢 袢	56-50870-B
袤	56-50897-S
袤 袤	56-50897-B
袪	56-50955-S
