鏟蹚 铲蹚	64-57501-B
鏟車 铲车	64-57562-B
鏟運機 铲运机	64-57611-B
鏟運車 铲运车	64-57694-B
鏠	64-57754-S
鏠 鏠	64-57754-B
鏡 镜	64-57796-B
鏡像 镜像	64-57826-B
鏡像站點 镜像站点	64-57875-B
鏡子 镜子	64-57954-B
鏡片 镜片	64-57993-B
鏡花水月 镜花水月	64-58033-B
鏡花緣 镜花缘	64-58240-B
鏡頭 镜头	64-58324-B
鏢 镖	64-58393-B
鏢客 镖客	64-58439-B
鏤 镂	64-58523-B
鏦	64-58564-S
鏦 鏦	64-58564-B
鏨 錾	64-58616-B
鏰 镚	64-58646-B
鏵 铧	64-58685-B
鏷 镤	64-58723-B
鏸	64-58763-S
鏸 鏸	64-58763-B
鏹 镪	64-58823-B,64-58861-B
鏻	64-58907-S
鏻 鏻	64-58907-B
鏽	64-58941-S
鏽 鏽	64-58941-B
鏽鐵 锈铁	64-58982-B
鏾	64-59026-S
鏾 鏾	64-59026-B
鐃 铙	64-59083-B
鐄	64-59117-S
鐄 鐄	64-59117-B
鐇	64-59145-S
鐇 鐇	64-59145-B
鐏	64-59176-S
鐏 鐏	64-59176-B
鐐 镣	64-59216-B
鐐銬 镣铐	64-59257-B
鐐鎖 镣锁	64-59335-B
鐒 铹	64-59415-B
鐓 镦	64-59454-B
鐔 镡	64-59502-B
鐗	64-59559-S
鐗 鐗	64-59559-B
鐘 钟	64-59606-B
鐘乳石 钟乳石	64-59701-B
鐘室 钟室	64-59757-B
鐘山縣 钟山县	64-59810-B
鐘擺 钟摆	64-59886-B
鐘樂 钟乐	65-0-B
鐘樓 钟楼	65-41-B
鐘樓怪人 钟楼怪人	65-120-B
鐘祥縣 钟祥县	65-257-B
鐘罩 钟罩	65-333-B
鐘表盤 钟表盘	65-381-B
鐘錶 钟表	65-438-B
鐘面 钟面	65-480-B
鐘頭 钟头	65-527-B
鐘鳴漏盡 钟鸣漏尽	65-567-B
鐘鳴鼎食 钟鸣鼎食	65-667-B
鐘點 钟点	65-748-B
鐘鼎文 钟鼎文	65-804-B
鐙 镫	65-936-B
鐙骨 镫骨	65-967-B
鐠 镨	65-1037-B
鐡	65-1076-S
鐡 鐡	65-1076-B
鐦 锎	65-1122-B
鐧 锏	65-1161-B
鐨	65-1245-S
鐨 鐨	65-1245-B
鐨 镄	65-1275-B
鐩	65-1311-S
鐩 鐩	65-1311-B
鐫 镌	65-1342-B
鐫刻 镌刻	65-1397-B
鐮 镰	65-1438-B
鐮刀 镰刀	65-1475-B
鐮刀斧頭 镰刀斧头	65-1542-B
鐮刀細胞貧血 镰刀细胞贫血	65-1633-B
鐮形血球貧血症 镰形血球贫血症	65-1729-B
鐮狀細胞血症 镰状细胞血症	65-1861-B
鐱 釺	65-1962-B
鐲 镯	65-2019-B
鐳 镭	65-2051-B
鐳射 镭射	65-2083-B
鐳射印表機 镭射印表机	65-2122-B
鐵 铁	65-2202-B
鐵人三項 铁人三项	65-2232-B
鐵公雞 铁公鸡	65-2299-B
鐵力 铁力	65-2368-B
鐵匠 铁匠	65-2433-B
鐵器 铁器	65-2478-B
鐵嶺 铁岭	65-2528-B
鐵嶺地區 铁岭地区	65-2672-B
鐵嶺市 铁岭市	65-2770-B
鐵嶺縣 铁岭县	65-2905-B
鐵幕 铁幕	65-2991-B
鐵拳 铁拳	65-3036-B
鐵杖 铁杖	65-3090-B
鐵東 铁东	65-3149-B
鐵東區 铁东区	65-3225-B
鐵板 铁板	65-3311-B
鐵板燒 铁板烧	65-3407-B
鐵板牛柳 铁板牛柳	65-3507-B
鐵板牛肉 铁板牛肉	65-3618-B
鐵桿 铁杆	65-3706-B,65-3756-B
鐵水 铁水	65-3798-B
鐵法 铁法	65-3844-B
鐵環 铁环	65-3905-B
鐵甲艦 铁甲舰	65-3952-B
鐵砂 铁砂	65-4033-B
鐵砧 铁砧	65-4092-B
鐵礦 铁矿	65-4132-B
鐵礦石 铁矿石	65-4176-B
鐵箱 铁箱	65-4231-B
鐵絲 铁丝	65-4295-B
鐵絲網 铁丝网	65-4350-B
鐵罐 铁罐	65-4407-B
鐵腕 铁腕	65-4451-B
鐵血宰相 铁血宰相	65-4509-B
鐵西 铁西	65-4582-B
鐵西區 铁西区	65-4654-B
鐵觀音 铁观音	65-4736-B
鐵路 铁路	65-4796-B
鐵蹄 铁蹄	65-4845-B
鐵軌 铁轨	65-4906-B
鐵道 铁道	65-4959-B
鐵鍋 铁锅	65-5016-B
鐵鎂質 铁镁质	65-5066-B
鐵鏈 铁链	65-5152-B
鐵鏽 铁锈	65-5200-B
鐵青 铁青	65-5238-B
鐵飯碗 铁饭碗	65-5278-B
鐵餅 铁饼	65-5362-B
鐶	65-5434-S
鐶 鐶	65-5434-B
鐸 铎	65-5485-B
鐸尼達利惇 铎尼达利敦	65-5538-B
鐺 铛	65-5613-B,65-5656-B
鐻	65-5706-S
鐻 鐻	65-5706-B
鐿 镱	65-5741-B
鑀	65-5777-S
鑀 鑀	65-5777-B
鑄 铸	65-5813-B
鑄幣 铸币	65-5863-B
鑄成 铸成	65-5916-B
鑄造 铸造	65-5965-B
鑄鐵 铸铁	65-6031-B
鑅	65-6086-S
鑅 鑅	65-6086-B
鑊 镬	65-6143-B
鑌 镔	65-6184-B
鑐	65-6217-S
鑐 鑐	65-6217-B
鑑	65-6261-S
鑑 鑑	65-6261-B
鑒 鉴	65-6307-B
鑒別 鉴别	65-6418-B
鑒定 鉴定	65-6484-B
鑒定委員會 鉴定委员会	65-6555-B
鑒戒 鉴戒	65-6658-B
鑒於 鉴于	65-6700-B
鑒真 鉴真	65-6764-B
鑒真和尚 鉴真和尚	65-6828-B
鑒賞 鉴赏	65-6914-B
鑕	65-6964-S
鑕 鑕	65-6964-B
鑚	65-7008-S
鑚 鑚	65-7008-B
鑛	65-7050-S
鑛 鑛	65-7050-B
鑞	65-7104-S
鑞 鑞	65-7104-B
鑠 铄	65-7132-B
鑢	65-7180-S
鑢 鑢	65-7180-B
鑣 镳	65-7233-B
鑤	65-7278-S
鑤 鑤	65-7278-B
鑥 镥	65-7317-B
鑪	65-7347-S
鑪 鑪	65-7347-B
鑫	65-7374-S
鑫 鑫	65-7374-B
鑭 镧	65-7431-B
鑯	65-7468-S
鑯 鑯	65-7468-B
鑰 钥	65-7512-B,65-7538-B
鑰匙 钥匙	65-7564-B
鑰匙鏈 钥匙链	65-7612-B
鑱	65-7665-S
鑱 鑱	65-7665-B
鑲 镶	65-7717-B
鑲嵌 镶嵌	65-7772-B
鑲金 镶金	65-7877-B
鑲黃旗 镶黄旗	65-7919-B
鑴	65-8009-S
鑴 鑴	65-8009-B
鑵	65-8050-S
鑵 鑵	65-8050-B
鑷 镊	65-8085-B
鑷子 镊子	65-8184-B
鑼 锣	65-8239-B
鑼鼓 锣鼓	65-8266-B
鑼齊鼓不齊 锣齐鼓不齐	65-8348-B
鑽 钻	65-8433-B,65-8620-B
鑽井 钻井	65-8660-B
鑽井平台 钻井平台	65-8730-B
鑽勁 钻劲	65-8812-B
鑽勁兒 钻劲儿	65-8872-B
鑽圈 钻圈	65-8946-B
鑽壓 钻压	65-9023-B
鑽孔 钻孔	65-9080-B
鑽心蟲 钻心虫	65-9127-B
鑽探 钻探	65-9277-B
鑽探機 钻探机	65-9320-B
鑽故紙堆 钻故纸堆	65-9381-B
鑽木取火 钻木取火	65-9519-B
鑽洞 钻洞	65-9600-B
鑽營 钻营	65-9643-B
鑽版 钻版	65-9762-B
鑽牛角 钻牛角	65-9835-B
鑽牛角尖 钻牛角尖	65-10101-B
鑽眼 钻眼	65-10348-B
鑽石 钻石	65-10393-B
鑽研 钻研	65-10435-B
鑽空子 钻空子	65-10505-B
鑽粉 钻粉	65-10685-B
鑽謀 钻谋	65-10751-B
鑽進 钻进	65-10894-B
鑾 銮	65-10961-B
鑿 凿	65-10993-B,65-11063-B
鑿井 凿井	65-11126-B
鑿子 凿子	65-11174-B
鑿枘 凿枘	65-11213-B
鑿石場 凿石场	65-11276-B
鑿空 凿空	65-11334-B
钁	65-11446-S
钁 钁	65-11446-B
钃	65-11489-S
钃 钃	65-11489-B
钆	64-18105-S
钇	64-18142-S
针	64-18658-S
针叶	64-19255-S
针叶林	64-19309-S
针叶树	64-19374-S
针对	64-18702-S
针对性	64-18812-S
针毡	64-18868-S
针法	64-18929-S
针灸	64-18969-S
针砭	64-19075-S
针线	64-19132-S
针织	64-19196-S
针锋相对	64-19426-S
针鼢	64-19553-S
针鼹	64-19595-S
钉	64-18259-S
钉书针	64-18329-S
钉子	64-18287-S
钉死	64-18382-S
钉耙	64-18423-S
钉螺	64-18473-S
钊	64-18209-S
钋	64-18519-S
钌	64-18173-S
钍	64-20608-S
钎	64-20707-S
钎子	64-20786-S
钏	64-20143-S
钐	64-20039-S
钒	64-20186-S
钒钾铀矿石	64-20219-S
钓	64-19637-S
钓竿	64-19689-S
钓鱼	64-19735-S
钓鱼台	64-19918-S
钓鱼岛	64-19797-S
钓鱼用具	64-19856-S
钔	64-49600-S
钕	64-20671-S
钗	64-20577-S
钙	64-21702-S
钙化	64-21735-S
钙质	64-21790-S
钚	64-21080-S
钛	64-21898-S
钜	64-22825-S
钜防	64-22862-S
钝	64-21212-S
钝角	64-21247-S
钞	64-21416-S
钞票	64-21472-S
钟	64-59606-S
钟乐	65-0-S
钟乳石	64-59701-S
钟头	65-527-S
钟室	64-59757-S
钟山县	64-59810-S
钟情	64-51507-S
钟摆	64-59886-S
钟楼	65-41-S
钟楼怪人	65-120-S
钟点	65-748-S
钟祥县	65-257-S
钟罩	65-333-S
钟表	65-438-S
钟表盘	65-381-S
钟面	65-480-S
钟鸣漏尽	65-567-S
钟鸣鼎食	65-667-S
钟鼎文	65-804-S
钠	64-21116-S
钡	64-35070-S
钢	64-40035-S
钢丝	64-41074-S
钢丝绳	64-41128-S
钢丝锯	64-41192-S
钢刀	64-40064-S
钢化玻璃	64-40116-S
钢厂	64-40231-S
钢叉	64-40186-S
钢曲尺	64-40280-S
钢材	64-40372-S
钢板	64-40444-S
钢柱	64-40490-S
钢琴	64-40545-S
钢琴家	64-40585-S
钢琴师	64-40638-S
钢笔	64-40691-S
钢筋水泥	64-40737-S
钢筋混凝土	64-40813-S
钢管	64-40900-S
钢管舞	64-40946-S
钢箭	64-41028-S
钢缆	64-41270-S
钢耀	64-41340-S
钢花	64-41382-S
钢轨	64-41448-S
钢钎	64-41589-S
钢铁	64-41638-S
钢铁厂	64-41784-S
钢铁学院	64-41678-S
钢锯	64-41493-S
钢镚	64-41538-S
钢鞭	64-41843-S
钢骨水泥	64-41892-S
钣	64-21336-S
钤	64-21294-S
钥	65-7512-S,65-7538-S
钥匙	65-7564-S
钥匙链	65-7612-S
钦	35-23755-S
钦佩	35-23783-S
钦州	35-23862-S
钦州地区	35-23937-S
钦州市	35-24034-S
钧	64-21646-S
钨	64-53130-S
钩	64-24495-S
钩子	64-24534-S
钩端螺旋体病	64-24570-S
钪	64-21932-S
钫	64-20899-S
钬	64-21863-S
钭	64-20980-S
钮	64-21542-S
钮带	64-21583-S
钯	64-20865-S
钰	64-22410-S
钱	64-44078-S
钱三强	64-44125-S
钱串	64-44186-S
钱串儿	64-44237-S
钱串子	64-44313-S
钱其琛	64-44373-S
钱包	64-44453-S
钱塘江	64-44500-S
钱学森	64-44619-S
钱币	64-44703-S
钱庄	64-44842-S
钱能通神	64-44742-S
钱袋	64-44948-S
钱财	64-44995-S
钱钟书	64-45042-S
钲	64-24692-S
钳	64-23491-S
钳子	64-23623-S
钴	64-22316-S
钵	50-49735-S,64-24406-S
钵盂	50-49790-S
钶	64-22083-S
钷	64-23454-S
钸	64-22443-S,64-22476-S
钹	64-22347-S
钺	64-24374-S
钻	65-8433-S,65-8620-S
钻井	65-8660-S
钻井平台	65-8730-S
钻劲	65-8812-S
钻劲儿	65-8872-S
钻压	65-9023-S
钻圈	65-8946-S
钻孔	65-9080-S
钻心虫	65-9127-S
钻探	65-9277-S
钻探机	65-9320-S
钻故纸堆	65-9381-S
钻木取火	65-9519-S
钻洞	65-9600-S
钻版	65-9762-S
钻牛角	65-9835-S
钻牛角尖	65-10101-S
钻眼	65-10348-S
钻石	65-10393-S
钻研	65-10435-S
钻空子	65-10505-S
钻粉	65-10685-S
钻营	65-9643-S
钻谋	65-10751-S
钻进	65-10894-S
钼	64-24794-S
钽	64-24829-S
钾	64-22704-S
钾骆	64-22738-S
钿	64-22624-S,64-22664-S
铀	64-22526-S
铀浓缩	64-22560-S
铁	65-2202-S
铁东	65-3149-S
铁东区	65-3225-S
铁丝	65-4295-S
铁丝网	65-4350-S
铁人三项	65-2232-S
铁公鸡	65-2299-S
铁力	65-2368-S
铁匠	65-2433-S
铁器	65-2478-S
铁岭	65-2528-S
铁岭县	65-2905-S
铁岭地区	65-2672-S
铁岭市	65-2770-S
铁幕	65-2991-S
铁拳	65-3036-S
铁杆	65-3706-S,65-3756-S
铁杖	65-3090-S
铁板	65-3311-S
铁板烧	65-3407-S
铁板牛柳	65-3507-S
铁板牛肉	65-3618-S
铁水	65-3798-S
铁法	65-3844-S
铁环	65-3905-S
铁甲舰	65-3952-S
铁矿	65-4132-S
铁矿石	65-4176-S
铁砂	65-4033-S
铁砧	65-4092-S
铁箱	65-4231-S
铁罐	65-4407-S
铁腕	65-4451-S
铁血宰相	65-4509-S
铁西	65-4582-S
铁西区	65-4654-S
铁观音	65-4736-S
铁路	65-4796-S
铁蹄	65-4845-S
铁轨	65-4906-S
铁道	65-4959-S
铁链	65-5152-S
铁锅	65-5016-S
铁锈	65-5200-S
铁镁质	65-5066-S
铁青	65-5238-S
铁饭碗	65-5278-S
铁饼	65-5362-S
铂	64-23421-S
铃	64-22114-S
铃声	64-22190-S
铃木	64-22150-S
铃铛	64-22269-S
铄	65-7132-S
铅	64-23923-S
铅山	64-23954-S
铅山县	64-24031-S
铅带	64-24120-S
铅球	64-24166-S
铅矿	64-24227-S
铅笔	64-24272-S
铅管工	64-24319-S
铆	64-23676-S
铆劲儿	64-23707-S
铆工	64-23775-S
铆接	64-23836-S
铆钉	64-23883-S
铈	64-22049-S
铉	64-23088-S
铊	64-23055-S
铋	64-23363-S
铌	64-22017-S
铍	64-22376-S
铎	65-5485-S
铎尼达利敦	65-5538-S
铐	64-32672-S
铑	64-32338-S
铒	64-25081-S
铕	64-32605-S
铖	64-38702-S
铗	64-35307-S
铙	64-59083-S
铛	65-5613-S,65-5656-S
铜	64-29852-S
铜仁	64-29885-S
铜仁地区	64-29958-S
铜像	64-30042-S
铜匠	64-30096-S
铜器	64-30143-S
铜山	64-30200-S
铜川	64-30267-S
铜川市	64-30363-S
铜板	64-30470-S
铜梁	64-30516-S
铜牌	64-30585-S
铜管乐器	64-30632-S
铜锣	64-30706-S
铜锣乡	64-30805-S
铜锣湾	64-30747-S
铜陵	64-30883-S
铜陵市	64-30958-S
铜鼓	64-31044-S
铜鼓县	64-31108-S
铝	64-34682-S
铝土	64-34715-S
铝矾土	64-34767-S
铝箔	64-34830-S
铝箔纸	64-34875-S
铟	64-32467-S
铠	64-53361-S
铠甲	64-53389-S
铡	64-50145-S
铢	64-31360-S
铣	64-31251-S
铤	64-35191-S,64-35220-S
铥	64-32570-S
铧	64-58685-S
铨	64-31288-S
铩	64-53428-S
铪	64-25204-S
铫	64-32091-S,64-32137-S
铬	64-25114-S
铭	64-31426-S
铭刻	64-31465-S
铭心刻骨	64-31519-S
铭心镂骨	64-31701-S
铭文	64-31884-S
铭言	64-31930-S
铭谢	64-31977-S
铮	64-43862-S
铯	64-32641-S
铰	64-24985-S
铰链	64-25040-S
铱	64-32435-S
铲	9-38246-S,64-57228-S
铲土机	64-57264-S
铲子	64-57346-S
铲平	64-57424-S
铲蹚	64-57501-S
铲车	64-57562-S
铲运机	64-57611-S
铲运车	64-57694-S
铲除	9-38287-S
铳	64-29813-S
铵	64-32540-S
银	64-25236-S
银丝族	64-28409-S
银两	64-25499-S
银丹	64-25268-S
银亮	64-25337-S
银元	64-25395-S
银制	64-29171-S
银匠	64-25612-S
银叶	64-28747-S
银器	64-25659-S
银圆	64-25702-S
银坛	64-25806-S
银奖	64-27935-S
银婚	64-25881-S
银子	64-25956-S
银屏	64-26000-S
银屑	64-26073-S
银川	64-26127-S
银川市	64-26176-S
银州	64-26236-S
银州区	64-26323-S
银币	64-26465-S
银幕	64-26420-S
银座	64-26512-S
银晃晃	64-26571-S
银本位	64-26634-S
银本位制	64-26714-S
银杏	64-26805-S
银条	64-27012-S
银杯	64-26909-S
银枞	64-27057-S
银样鑞枪头	64-27180-S
银根	64-26962-S
银楼	64-27115-S
银汉	64-27617-S
银河	64-27350-S
银河系	64-27403-S
银洋	64-27452-S
银海	64-27542-S
银点	64-29672-S
银燕	64-27690-S
银牌	64-27762-S
银狐	64-27836-S
银瓶	64-27983-S
银白	64-28031-S
银白杨	64-28077-S
银盘	64-28148-S
银票	64-28214-S
银箔	64-28298-S
银红	64-28342-S
银耳	64-28524-S
银色	64-28614-S
银苔	64-28661-S
银行	64-28791-S
银行业	64-29057-S
银行业务	64-29109-S
银行卡	64-28830-S
银行存款	64-28894-S
银行家	64-29005-S
银质奖	64-29219-S
银辉	64-29288-S
银针	64-29349-S
银钱	64-29478-S
银锭	64-29431-S
银鱼	64-29543-S
铷	64-32371-S
