雞血石 鸡血石	67-8213-B
雞西 鸡西	67-8288-B
雞西市 鸡西市	67-8351-B
雞霍亂 鸡霍乱	67-8419-B
雟	67-8540-S
雟 雟	67-8540-B
雠	59-13018-S
離 离	67-8589-B
離不開 离不开	67-8645-B
離任 离任	67-8719-B
離休 离休	67-8787-B
離別 离别	67-8904-B
離去 离去	67-8981-B
離合 离合	67-9029-B
離合器 离合器	67-9084-B
離合板 离合板	67-9132-B
離奇 离奇	67-9187-B
離奇有趣 离奇有趣	67-9222-B
離婚 离婚	67-9281-B
離子 离子	67-9368-B
離子交換 离子交换	67-9403-B
離子鍵 离子键	67-9471-B
離宮 离宫	67-9533-B
離島 离岛	67-9597-B
離心 离心	67-9646-B
離心分離機 离心分离机	67-9698-B
離心力 离心力	67-9772-B
離心機 离心机	67-9832-B
離情別緒 离情别绪	67-9885-B
離散 离散	67-9978-B
離散性 离散性	67-10036-B
離散數學 离散数学	67-10093-B
離棄 离弃	67-10168-B
離港 离港	67-10207-B
離港大廳 离港大厅	67-10279-B
離異 离异	67-10351-B
離石 离石	67-10390-B
離職 离职	67-10450-B
離譜 离谱	67-10513-B
離鄉背井 离乡背井	67-10589-B
離開 离开	67-10741-B
離開人世 离开人世	67-10792-B
離開北京 离开北京	67-10873-B
離開故鄉 离开故乡	67-10968-B
離隊 离队	67-11047-B
離騷 离骚	67-11096-B
難 难	67-11146-B,67-11224-B
難以 难以	67-11273-B
難以應付 难以应付	67-11322-B
難以抹去 难以抹去	67-11409-B
難以置信 难以置信	67-11488-B
難保 难保	67-11553-B
難免 难免	67-11634-B
難分難捨 难分难舍	67-11707-B
難受 难受	67-11834-B
難堪 难堪	67-11922-B
難度 难度	67-11981-B
難彈 难弹	67-12029-B
難得 难得	67-12110-B
難忘 难忘	67-12170-B
難怪 难怪	67-12218-B
難懂 难懂	67-12308-B
難捨難分 难舍难分	67-12366-B
難捨難離 难舍难离	67-12493-B
難捱 难捱	67-12619-B
難控制 难控制	67-12658-B
難於登天 难于登天	67-12719-B
難民 难民	67-12835-B
