颸 颸	68-59699-B
颺	68-59742-S
颺 颺	68-59742-B
颺 飏	68-59793-B
颻	68-59859-S
颻 颻	68-59859-B
颼 飕	68-59901-B
颼颼 飕飕	68-59955-B
颽	68-60030-S
颽 颽	68-60030-B
颾	68-60073-S
颾 颾	68-60073-B
颿	68-60115-S
颿 颿	68-60115-B
飀	68-60142-S
飀 飀	68-60142-B
飂	68-60181-S
飂 飂	68-60181-B
飄 飘	68-60224-B
飄動 飘动	68-60256-B
飄卷 飘卷	68-60309-B
飄塵 飘尘	68-60355-B
飄帶 飘带	68-60426-B
飄忽 飘忽	68-60477-B
飄拂 飘拂	68-60539-B
飄揚 飘扬	68-60589-B
飄散 飘散	68-60641-B
飄泊 飘泊	68-60710-B
飄流 飘流	68-60802-B
飄浮 飘浮	68-60888-B
飄海 飘海	68-60959-B
飄渺 飘渺	68-61006-B
飄灑 飘洒	68-61074-B
飄然 飘然	68-61155-B
飄盪 飘荡	68-61241-B
飄移 飘移	68-61338-B
飄舉 飘举	68-61380-B
飄落 飘落	68-61443-B
飄蓬 飘蓬	68-61528-B
飄逸 飘逸	68-61592-B
飄零 飘零	68-61660-B
飄風 飘风	68-61751-B
飄飄 飘飘	68-61808-B
飄飄然 飘飘然	68-61851-B
飆 飙	68-61978-B
飆升 飙升	68-62011-B
飆口水 飙口水	68-62063-B
飆漲 飙涨	68-62126-B
飆車 飙车	68-62197-B
飆風 飙风	68-62247-B
飈 飚	68-62292-B
飌	68-62378-S
飌 飌	68-62378-B
风	68-53274-S
风云	68-58667-S
风云人物	68-58730-S
风云变幻	68-58845-S
风俗	68-53384-S
风信子	68-53431-S
风光	68-53493-S
风力	68-53551-S
风力水车	68-53606-S
风化	68-53671-S
风化作用	68-53724-S
风华	68-56908-S
风华绝代	68-56954-S
风口	68-53825-S
风向标	68-53926-S
风味	68-54017-S
风圈	68-54076-S
风土	68-54143-S
风土人情	68-54242-S
风声	68-56771-S
风姿	68-54341-S
风姿绰约	68-54420-S
风尚	68-54503-S
风帆	68-54582-S
风干	68-53327-S
风平浪静	68-54634-S
风度	68-54714-S
风成	68-54776-S
风景	68-54895-S
风暴	68-54948-S
风暴潮	68-55035-S
