黄帝	71-19648-S
黄帝族	71-19697-S
黄平	71-19773-S
黄庭坚	71-19842-S
黄建南	71-19919-S
黄忠	71-20007-S
黄斑	71-20063-S
黄昏	71-20118-S
黄曲霉毒素	71-20176-S
黄梅	71-20252-S
黄水	71-20317-S
黄水晶	71-20428-S
黄河	71-20539-S
黄河大合唱	71-20598-S
黄河流域	71-20720-S
黄油	71-20798-S
黄泉	71-20840-S,71-26321-S
黄泉 黄泉	71-26321-B
黄浦	71-20935-S
黄浦区	71-21032-S
黄浦江	71-21093-S
黄海	71-21168-S
黄滔	71-21214-S
黄澄澄	71-21269-S
黄热病	71-21335-S
黄热病毒	71-21394-S
黄父鬼	71-21469-S
黄牌	71-21526-S
黄牛	71-21604-S
黄牛票	71-21710-S
黄玉	71-21773-S
黄瓜	71-21813-S
黄疸	71-21857-S
黄石	71-21901-S
黄石公	71-21976-S
黄石市	71-22057-S
黄种人	71-22143-S
黄胶	71-22203-S
黄色	71-22375-S
黄色炸药	71-22429-S
黄花女	71-22600-S
黄花岗	71-22659-S
黄花岗七十二烈士	71-22753-S
黄花岗起义	71-22925-S
黄花幼女	71-23046-S
黄花闺女	71-23116-S
黄花鱼	71-23186-S
黄莺	71-25522-S
黄蜂	71-23351-S
黄褐色	71-23392-S
黄豆	71-23261-S
黄赤色	71-23507-S
黄道	71-23578-S
黄道十二宫	71-23658-S
黄遵宪	71-23821-S
黄酒	71-23894-S
黄酶	71-23959-S
黄金	71-24008-S
黄金分割	71-24048-S
黄金周	71-24132-S
黄金宝	71-24255-S
黄金辉	71-24313-S
黄铁矿	71-24536-S
黄铜	71-24494-S
黄长烨	71-24591-S
黄陵	71-24653-S
黄页	71-24722-S
黄飞鸿	71-24769-S
黄饼	71-24830-S
黄骅	71-24877-S
黄骨髓	71-24941-S
黄鱼	71-25240-S
黄鳝	71-25296-S
黄鸭	71-25342-S
黄鹂	71-25693-S
黄鹏	71-25440-S
黄鹤楼	71-25597-S
黄麻	71-25761-S
黄鼠狼	71-25864-S
黄鼠狼给鸡拜年	71-25964-S
黄鼬	71-26164-S
黄龙	71-26252-S
黈	71-26418-S
黈 黈	71-26418-B
黉	71-26455-S
黌 黉	71-26455-B
黍	71-26485-S
黍 黍	71-26485-B
黎	71-26541-S
黎 黎	71-26541-B
黎城	71-26597-S
黎城 黎城	71-26597-B
黎川	71-26661-S
黎川 黎川	71-26661-B
黎川县	71-26734-S
黎川縣 黎川县	71-26734-B
黎巴嫩	71-26819-S
黎巴嫩 黎巴嫩	71-26819-B
黎平	71-26869-S
黎平 黎平	71-26869-B
黎族	71-26932-S
黎族 黎族	71-26932-B
黎明	71-26973-S
黎明 黎明	71-26973-B
黎曼	71-27020-S
黎曼 黎曼	71-27020-B
黎曼几何	71-27079-S
黎曼几何学	71-27159-S
黎曼幾何 黎曼几何	71-27079-B
黎曼幾何學 黎曼几何学	71-27159-B
黎曼曲面	71-27242-S
黎曼曲面 黎曼曲面	71-27242-B
黎曼罗赫定理	71-27320-S
黎曼羅赫定理 黎曼罗赫定理	71-27320-B
