fei1 mo4 si4 jian4	68-64076-B
fei1 nan4	67-68550-B
fei1 niao3	69-1162-B
fei1 nong2 chan3 pin3	67-68088-B
fei1 ou1 ji3 he2	67-65893-B
fei1 ou1 ji3 he2 xue2	67-65968-B
fei1 pan2	68-64227-B
fei1 pin2	18-32302-B
fei1 ping2 heng2 tai4	67-64976-B
fei1 qin2 zou3 shou4	68-64468-B
fei1 qu1 zhi2	31-37967-S
fei1 se4	13-27163-S
fei1 se4 wu3	45-36947-S
fei1 she3 er3	54-37473-B
fei1 shen1 fan1 teng2	69-760-B
fei1 sheng1	68-62785-B,68-63529-B
fei1 shi4	13-26991-S
fei1 shu4 zi4	67-65358-B
fei1 si1	19-11136-S
fei1 suo3 wen4	48-21628-S
fei1 ta1 ming2	19-34240-S
fei1 te4	22-9335-S,37-2889-S
fei1 tian1	68-63029-B
fei1 ting1	13-27107-S
fei1 ting3	68-64792-B
fei1 tong2 bu4	67-63660-B
fei1 tong2 bu4 chuan2 shu1 mo2 shi4	67-63717-B
fei1 wan4 neng2	64-16697-S
fei1 wei2	52-20447-S
fei1 wen3	68-62895-B
fei1 wu3	68-64673-B
fei1 xi1 bi3	4-23224-S
fei1 xi1 yan1	67-63837-B
fei1 xian4 xing4	67-67288-B
fei1 xian4 xing4 guang1 xue2	67-67352-B
fei1 xiang2	68-64634-B
fei1 xiao4	4-62822-S
fei1 xing2	2-27304-S,69-239-B
fei1 xing2 ji4 lu4	69-349-B
fei1 xing2 ji4 lu4 qi4	69-533-B
fei1 xing2 ji4 lu4 yi2	69-443-B
fei1 xing2 wu4	2-14035-S
fei1 xing2 yuan2	69-289-B
fei1 ya4	49-27597-S,49-27910-S,51-49867-S
fei1 ya4 da4 jiao4 tang2	51-49957-S
fei1 yang2	46-62079-S,68-63487-B
fei1 yi2 chuan2 duo1 xing2 xing4	67-68170-B
fei1 yi4	40-48067-S,67-67787-B
fei1 yin1	13-26939-S,67-68639-B
fei1 ying1	69-1370-B
fei1 ying2 li4	67-66870-B,67-66940-B
fei1 ying2 li4 de5 zu3 zhi1	67-66995-B
fei1 ying2 li4 zu3 zhi1	67-67093-B,67-67917-B
fei1 yu2	69-1052-B,70-44491-B
fei1 yu2 zuo4	69-1096-B
fei1 yu3	38-6458-S
fei1 yuan2	58-13681-S
fei1 yue4	69-623-B,69-664-B
fei1 yue4 dao4	69-705-B
fei1 zhang3	68-64157-B
fei1 zheng1	68-63289-B
fei1 zheng4 fu3	67-65194-B
fei1 zheng4 fu3 zu3 zhi1	67-65256-B
