gōng bàn	7-54219-S
gōng bàn dú	10-57442-S
gōng bàn lǐ	47-13740-S
gōng bào	7-57968-B,17-6602-S,51-58090-S
gōng bào jī dīng	19-57856-B
gōng bào ròu dīng	19-57777-B
gōng bào sī chóu	7-58035-B
gōng bèi shì	7-54805-B
gōng bèi shù	7-54877-B
gōng bì	19-933-S
gōng bì jìng	43-54589-S
gōng bìng	46-39103-S
gōng bó wù yuàn	29-59838-S
gōng bù	7-54638-B
gōng bù jiāng dá	21-55167-B
gōng bù lì	45-62741-S
gōng bù xià	3-9385-S
gōng bù yìng qiú	5-21976-B
gōng bīng	21-54070-B
gōng bīng fǎ	17-56181-S
gōng bǎo jī dīng	19-57214-B
gōng bǐng	7-63253-B
gōng chuán qí	70-35514-S
gōng chuī qì	9-7595-S
gōng chén	9-50354-B,65-31873-S
gōng chéng	6-53071-S,10-21744-S,15-31336-S,15-67137-S,21-56432-B,23-29090-S,25-4032-B,29-47390-B,33-57343-S,35-3823-S,36-39067-S,43-25737-S,59-17413-S,62-52169-S,63-1808-S,67-28162-S,67-31717-S,67-35264-S
gōng chéng bù jū	9-48900-B
gōng chéng míng jiù	9-49014-B
gōng chéng mù	29-47446-B
gōng chéng shī	21-56763-B,45-64437-S
gōng chéng shī lián hé huì	67-31416-S
gōng chéng tú	21-56523-B
gōng chéng tú xué	21-56608-B
gōng chéng xiàn	19-57478-B
gōng chéng xué	21-56704-B,43-24439-S
gōng chéng yuàn	2-58212-S
gōng chù	7-62246-B,47-32047-S
gōng chā	7-59351-B
gōng chē	7-65019-B
gōng chēng	7-63298-B,48-30686-S
gōng chū qiǎo jiàng	25-49027-S
gōng chū xì huò	25-49136-S
gōng chǎn	9-26921-S
gōng chǎn shǒu shù	9-26984-S
gōng chǎng	8-1232-S,9-54963-S,10-23703-S,21-55317-B
gōng chǐ	7-59311-B
gōng cuō	7-60079-B
gōng cáng	70-50338-S
gōng cè	7-59745-B
gōng cùn	7-59267-B
gōng dao	7-65178-B
gōng de nán rén hòu mian bì yǒu yī gè fèng xiàn de nǚ rén	26-8394-S
gōng diàn	5-23532-B,19-57633-B
gōng diē	7-61731-B
gōng duàn	7-60300-B
gōng dà xué	10-27180-S,10-66858-S,17-36235-S,42-54501-S,54-32412-S,54-34362-S,69-27577-S
gōng dà yú qiú	5-22103-B
gōng dào	7-65112-B
gōng dào zì rán chéng	9-47798-B
gōng dé	7-59879-B,9-48592-B
gōng dé wú liàng	9-48776-B
gōng dé xīn	7-59942-B
gōng dé yuán mǎn	9-48649-B
gōng dì	7-57904-B,21-54789-B
gōng dí	4-11813-S,7-60124-B
gōng dú	4-37856-S,29-48033-B
gōng dú xué xiào	21-57260-B
gōng dūn	7-57608-B
gōng dǎ	29-47506-B
gōng dǎ dòu fu	67-22389-S
gōng dǎng	2-62797-S,4-38685-S,21-57535-B,22-66276-S
gōng dǎo	4-8820-S,9-41284-S
gōng dǐ	9-48506-B
gōng dǒu	7-60213-B
gōng fu	1-59642-S,9-48352-B,21-54886-B
gōng fu chá	9-48415-B,21-54953-B
gōng fá	29-47168-B
gōng fáng	29-48225-B
gōng fèi	7-64864-B
gōng fēn	7-56731-B
gōng fēng	21-57096-B
gōng fū	21-54840-B
gōng fǎ	7-61310-B
gōng fǎn zhāng	57-44866-S
gōng fǔ	56-36026-S
gōng gong	7-55327-B
gōng guò	9-50603-B
gōng guò yú qiú	5-23290-B
gōng guó	17-6546-S
gōng guān	7-65847-B,29-48135-B
gōng guǎn	7-65988-B
gōng guǎn xiāng	7-66067-B
gōng guǐ fǔ	46-57065-S
gōng gài niàn	4-8969-S
gōng gào	7-57556-B,37-41238-S
gōng gào chéng	17-7761-S
gōng gé shù dú	3-18315-S
gōng gòng	7-55392-B,20-61157-S
gōng gòng chǎng suǒ	7-55803-B
gōng gòng cái chǎn	7-56497-B
