Jing1 de2	31-2016-B
Jing1 du1	4-4003-B
Jing1 gong1	48-53004-B
Jing1 guo2	55-12570-S
Jing1 he2	48-53979-B
Jing1 he2 xian4	48-54140-B
Jing1 hua4 shi2 bao4	4-3831-B
Jing1 ji1 dao4	4-3709-B
Jing1 ji4 He2 zuo4 Zu3 zhi1	3-58857-S
Jing1 ji4 He2 zuo4 yu3 Fa1 zhan3 Zu3 zhi1	49-59618-B
Jing1 ji4 Lun4 tan2	2-40797-S
Jing1 ji4 Mao4 yi4 Da4 xue2	20-48499-S
Jing1 ji4 Xin1 wen2	31-9426-S
Jing1 jiang1	54-16561-B
Jing1 jiao1 ri4 bao4	4-3913-B
Jing1 jing1	63-24484-S
Jing1 ju4	4-2868-B
Jing1 mao4 da4 xue2	69-24120-S
Jing1 men2	54-16699-B
Jing1 men2 shi4	54-16772-B
Jing1 shan1	4-2972-B,54-16082-B
Jing1 sheng1	70-34416-S
Jing1 wei4	36-64317-S,48-57924-B
Jing1 wei4 tian2 hai3	48-57976-B
Jing1 xi4	4-3195-B
Jing1 xian4	38-28734-B
Jing1 yang2	38-28790-B
Jing1 yuan2	38-28667-B
Jing1 zhe2	69-62789-B
Jing1 zhou1	54-16164-B
Jing1 zhou1 shi4	54-16253-B
Jing1 zu2	4-3242-B
Jing3	38-48426-S
Jing3 cha2	44-61267-S,69-27976-S
Jing3 cha2 Bu4 dui4	2-53239-S
Jing3 cha2 Zu3 zhi1	15-14843-S
Jing3 de2 zhen4	31-53828-B
Jing3 de2 zhen4 shi4	31-53933-B
Jing3 dong1	31-54107-B
Jing3 gang1 shan1	3-56323-B
Jing3 gang1 shan1 shi4	3-56417-B
Jing3 gu3	31-54868-B
Jing3 hong2	31-54423-B
Jing3 jiao4	31-54049-B
Jing3 ning2 She1 zu2 zi4 zhi4 xian4	31-53525-B
Jing3 po1 zu2	31-55011-B
Jing3 po1 zu2 zi4 zhi4 zhou1	24-25204-S
Jing3 qian1	12-21753-S
Jing3 run4	66-28084-S
Jing3 shan1	31-53659-B
Jing3 shan1 Gong1 yuan2	31-53737-B
Jing3 tai4	31-54294-B
Jing3 wei4 dui4	51-4438-S
Jing3 xian4	31-54579-B
Jing3 xing2	3-57235-B
Jing3 xing2 kuang4 qu1	3-57300-B
Jing3 yan2	3-57052-B
Jing3 zhi1 luan4	5-26431-S
Jing4	33-6080-S,56-49896-S
Jing4 an1	67-60606-B
Jing4 an1 xian4	67-60671-B
Jing4 bao4	36-5796-S
Jing4 bian1	67-60944-B
Jing4 gang1 xian4	67-61849-B
Jing4 guo2	67-60305-B
Jing4 guo2 shen2 she4	67-60391-B
Jing4 hai3	67-62399-B
Jing4 hua2	32-13841-S
Jing4 jiang1	67-60748-B
Jing4 le4	67-62215-B
Jing4 ling2	47-63407-B
Jing4 ning2	67-61701-B
Jing4 qu2	16-40717-S
Jing4 ru2	34-10191-S
Jing4 xi1	67-60816-B
Jing4 yu3	67-60464-B
Jing4 yu3 xian4	67-60529-B
Jing4 yuan3	67-60879-B
Jing4 zi3	13-652-S
Jiong ming	66-28579-S
Jiong3 ming2	66-28579-S
Jiu	23-10270-S
Jiu Tang shu	53-27997-B
Jiu Tie lu	4-2726-S
Jiu Wu dai shi	53-27889-B
Jiu gong shan	3-18129-B
Jiu gong shan zhen	3-18221-B
Jiu hua shan	3-20552-B
Jiu jiang	3-19669-B
Jiu jiang di qu	3-19767-B
Jiu jiang shi	3-19866-B
Jiu jiang xian	3-19954-B
Jiu jin shan	53-29314-B
Jiu long	3-20840-B
Jiu mo luo shi	70-51464-B
Jiu quan	63-39949-B
Jiu quan di qu	63-40022-B
Jiu quan shi	63-40117-B
Jiu ru xiang	3-18053-B
Jiu shen	63-40311-B
Jiu tai	3-17872-B
Jiu tai shi	3-17957-B
Jiu tie lu	23-10342-S
Jiu yi shan	3-18873-B
Jiu yue quan shu	53-29147-B
Jiu zhai gou xian	3-18559-B
Jiu zhang Suan shu	3-20312-B
Jiu zhi xian	3-9482-B
Jiu zhou	3-18976-B
Jiu1 mo2 luo2 shi2	70-51464-B
Jiu3	23-10270-S
Jiu3 Tie3 lu4	4-2726-S
Jiu3 gong1 shan1	3-18129-B
Jiu3 gong1 shan1 zhen4	3-18221-B
Jiu3 hua2 shan1	3-20552-B
Jiu3 jiang1	3-19669-B
Jiu3 jiang1 di4 qu1	3-19767-B
Jiu3 jiang1 shi4	3-19866-B
Jiu3 jiang1 xian4	3-19954-B
Jiu3 long2	3-20840-B
Jiu3 quan2	63-39949-B
Jiu3 quan2 di4 qu1	63-40022-B
Jiu3 quan2 shi4	63-40117-B
Jiu3 ru2 xiang1	3-18053-B
Jiu3 shen2	63-40311-B
Jiu3 tai2	3-17872-B
Jiu3 tai2 shi4	3-17957-B
Jiu3 tie3 lu4	23-10342-S
Jiu3 yi2 shan1	3-18873-B
Jiu3 zhai4 gou1 xian4	3-18559-B
Jiu3 zhang1 Suan4 shu4	3-20312-B
Jiu3 zhi4 xian4	3-9482-B
Jiu3 zhou1	3-18976-B
Jiu4 Tang2 shu1	53-27997-B
Jiu4 Wu3 dai4 shi3	53-27889-B
Jiu4 jin1 shan1	53-29314-B
Jiu4 yue1 quan2 shu1	53-29147-B
Ju	2-71774-S
Ju Zong lu:	64-39681-B
Ju chang	69-23803-S
Ju guang xiang	54-22517-B
Ju le bu	22-11056-S
Ju li fu ren	21-19205-B
Ju li he	12-6368-B
Ju lu	21-62564-B
Ju nan	54-22597-B
Ju rong	12-5836-B
Ju xian	54-22659-B
Ju xie zuo	21-62194-B
Ju ye	21-62338-B
Ju yi	44-38457-S
Ju yong guan	21-18537-B
Ju zheng	55-22490-S
Ju1 li3 fu1 ren5	21-19205-B
Ju1 yi4	44-38457-S
Ju1 yong1 guan1	21-18537-B
Ju1 zheng4	55-22490-S
Ju2	2-71774-S
Ju3 guang1 xiang1	54-22517-B
Ju3 nan2	54-22597-B
Ju3 xian4	54-22659-B
Ju4 Zong1 lu:2	64-39681-B
Ju4 chang3	69-23803-S
Ju4 le4 bu4	22-11056-S
Ju4 li2 he2	12-6368-B
Ju4 lu4	21-62564-B
Ju4 rong2	12-5836-B
Ju4 xie4 zuo4	21-62194-B
Ju4 ye3	21-62338-B
Juan cheng	63-29300-B
Juan zi	9-42666-S
Juan zi gui yi fang	9-42721-S
Juan1 zi3	9-42666-S
Juan1 zi3 gui3 yi2 fang1	9-42721-S
Juan4 cheng2	63-29300-B
Jue	23-41784-S,56-49786-S
Jue luo	25-35539-S
Jue2	23-41784-S,56-49786-S
Jue2 luo2	25-35539-S
Jun	24-3529-S,25-36455-S,32-68352-S,34-27239-S,49-13539-S,71-30250-S
Jun qu	10-28156-S
Jun ren	69-32691-S
Jun shi Wei yuan hui	2-80134-S
Jun shi tan ding bao	12-64217-B
Jun xia	42-36808-S
Jun xian	38-8933-B
