Ma3 na4 si1 he2	43-1807-B
Ma3 nao3 si1	69-40381-B
Ma3 ni2	43-924-B
Ma3 ni2 la1	69-36069-B
Ma3 ni2 la1 Da4 xue2	69-36142-B
Ma3 ni2 tuo1 ba1	69-35999-B
Ma3 pu3 tuo1	69-38802-B
Ma3 qi2 dun4	69-33933-B
Ma3 qin4	43-1344-B
Ma3 qu3	43-1220-B
Ma3 rong2	69-41463-B
Ma3 sa4 zhu1 sai1 zhou1	69-41594-B
Ma3 sa4 zhu1 sai4	69-41527-B
Ma3 sai4	69-42132-B
Ma3 sai4 lu2	69-35468-B
Ma3 sai4 qu3	69-42271-B
Ma3 sai4 zu2	69-42223-B
Ma3 shan1	69-37047-B
Ma3 shao4 er3 qun2 dao3	69-40793-B
Ma3 si1 ka1 te4	69-38644-B
Ma3 si1 te4 li3 he4 te4	69-38720-B
Ma3 su1 de2	69-41673-B
Ma3 tai4	69-35688-B
Ma3 tai4 fu2 yin1	69-35735-B
Ma3 ti2 ni2 ke4	69-38487-B
Ma3 ti2 xing1 yun2	69-42844-B
Ma3 tou2 xing1 yun2	69-44326-B
Ma3 tuo1 ge2 Luo2 suo3	69-42056-B
Ma3 wei3 gang3	69-36585-B
Ma3 wei3 jun1 gang3	69-36799-B
Ma3 wei3 shui3	69-36405-B
Ma3 wei3 shui3 shi1 xue2 tang2	69-36481-B
Ma3 xie1 er3	69-39255-B
Ma3 ya3	69-43967-B
Ma3 ya3 ren2	43-1882-B
Ma3 zu3	69-40486-B
Ma3 zu3 lie4 dao3	69-40542-B
Mai	38-65377-S
Mai a mi	63-9050-B
Mai dang lao	71-12262-B
Mai dao	71-12834-B
Mai de lin	71-12068-B
Mai de long	71-12120-B
Mai di na	71-11868-B
Mai ge ti	71-12759-B
Mai he di	63-8908-B
Mai he di jun	63-8986-B
Mai jia	71-11673-B
Mai kai en	71-11596-B
Mai kai yi	63-8690-B
Mai ke a se	71-11440-B
Mai ke er · Ke lai dun	63-8582-B
Mai ke si wei	71-11279-B
Mai liao xiang	71-11989-B
Mai na mai	71-12453-B
Mai xiang bao	71-13118-B
Mai zhe lun	71-11803-B
Mai4	38-65377-S
Mai4 a1 mi4	63-9050-B
Mai4 dang1 lao2	71-12262-B
Mai4 dao4	71-12834-B
Mai4 de2 lin2	71-12068-B
Mai4 de2 long2	71-12120-B
Mai4 di4 na4	71-11868-B
Mai4 ge3 ti2	71-12759-B
Mai4 he4 di2	63-8908-B
Mai4 he4 di2 jun1	63-8986-B
Mai4 jia1	71-11673-B
Mai4 kai3 en1	71-11596-B
Mai4 kai3 yi1	63-8690-B
Mai4 ke4 a1 se4	71-11440-B
Mai4 ke4 er3 · Ke4 lai2 dun4	63-8582-B
Mai4 ke4 si1 wei2	71-11279-B
Mai4 liao2 xiang1	71-11989-B
Mai4 na4 mai4	71-12453-B
Mai4 xiang1 bao3	71-13118-B
Mai4 zhe2 lun2	71-11803-B
Man Han	39-39868-B
Man Qing	39-39484-B
Man Qing zheng fu	39-39562-B
Man che si te	32-14622-B
Man che si te bian ma	32-14686-B
Man cheng	32-14384-B,39-36800-B
Man cheng dui	32-14430-B
Man cheng jin dai huang jin jia	39-36865-B
Man da er	32-15168-B
Man de la	32-14557-B
Man de le	32-14506-B
Man gu	32-15128-B
Man ha dun	32-14289-B
Man ha tan	32-14161-B
Man he lian Nu: zi Xue yuan	32-14924-B
Man jiang hong	39-39224-B
Man lian	32-14781-B
Man lian dui	32-14847-B
Man qie si te	32-14058-B
Man ren	39-35477-B
Man su er	32-15046-B
Man yu	39-41044-B
Man zhou	39-39302-B
Man zhou guo	39-39346-B
Man zhou li	39-39401-B
Man zhou xiang	39-38042-B
Man zu	39-38901-B
