treat sth lightly	28-12829-B
treat the symptoms but not the root cause	37-24607-S
treat to a meal etc	58-42117-S
treat to a unappreciative audience	20-52736-S
treat underactive thyroid	43-40871-S
treat well	35-22929-S
treat with contempt	39-47699-S
treat with medicine	55-34871-S
treated	62-35623-S
treaties from 1860	47-22726-S
treating a guest	29-8933-S
treating a subject as a coherent whole	19-37290-S
treating asthma	37-14372-S
treating one s parents meanly	55-20465-S
treating sb with indifference	8-22458-B
treatise	58-44338-B,58-44771-B
treatise 134 bc by han dynasty philosopher dong zhongshu 董仲舒	53-27543-B
treatment	2-17048-S,5-35037-S,8-14213-S,8-14445-S,8-14917-S,11-29535-S,20-25653-S,20-49597-B,20-54161-S,23-65317-B,23-65317-B,24-10756-S,24-58936-S,24-59747-S,25-43426-S,26-39831-S,28-3327-S,29-64432-S,36-46164-S,37-24078-B,37-25028-S,40-44670-S,41-56729-S,41-58614-S,44-20242-B,48-56523-S,51-9456-S,55-18574-S,58-5138-S,63-50144-S
treatment after an accident	43-52344-S
treatment based on an overall analysis of the illness and the patient s condition	61-38497-S
treatment cream	40-44670-S
treatment e g nursing care	41-9484-B
treatment e g of metal	41-21487-S
treatment for everyone in same institution	17-37662-S
treatment in traditional chinese medicine	61-36050-S
treatment involving local heating of body tissues with electric current	40-42463-S
treatment involving the use of tonics to restore the patient s health	56-57428-B
treatment of a complicated subject	17-40466-S
treatment plant	36-63034-S
treatment via food in traditional chinese medicine	69-3117-B
treaty	2-7707-S,2-12567-S,7-42693-S,12-36604-B,13-22538-S,13-24634-S,19-46898-S,34-13801-S,34-14813-B,47-894-S,57-57450-S,59-3377-B
treaty between allies	45-7436-S
treaty etc	48-40985-S
treaty of 1923 normalizing relations between the soviet union and the northern warlord government of china	2-81022-S
treaty of aigun	43-3975-B
treaty of beijing of 1860 between qing china and tsarist russia	2-49566-S
treaty of lhasa 1904 between british empire and tibet	27-25491-B
treaty of livadia crimea of 1879 between russia and qing china	63-55025-S
treaty of nanjing 1842 that concluded the first opium war between qing china and britain	10-66710-B
treaty of nanjing 南京條約 南京条约 that concluded the first opium war	3-47862-S
treaty of nerchinsk 1698 between qing china and russia	2-49713-B,21-13261-B
treaty of saint petersburg of 1881	2-49455-B,2-49857-B
treaty of saint petersburg of 1881 in which russia agreed to hand back yili province to qing china in exchange for compensation payment and unequal treaty rights	29-45849-B
treaty of shimonoseki 1895 the ended the first sino japanese war	69-43844-B
treaty of tianjin of 1858	17-49458-B
