world economic forum wef	62-54232-S,62-54331-S
world economy	2-40713-B
world exposition	2-38103-B
world famous	2-40323-B,12-56930-B,53-26540-S
world food program united nations aid agency	2-40533-B
world health assembly	2-41005-B
world health organization who	2-41105-B,2-41953-B
world heritage site	2-39641-B
world honored one	2-38703-B
world i e to be born	8-33872-S
world in a nutshell	41-9267-S
world in buddhism	17-2526-S
world in chaos	3-26119-S,40-6172-S
world in eighty days by jules verne 儒勒·凡爾納 儒勒·凡尔纳	7-49388-S
world in premodern japan	55-44758-S
world in the large	19-38967-S
world intellectual property organization	2-40392-B
world itself	2-39416-S
world journal	2-39748-B
world language	2-40245-B,2-41299-B
world map	2-39072-B
world meteorological organization	2-40026-B
world of business	21-54484-S
world of chinese opera	9-40381-S
world of crime	28-11342-S
world of difference between them	17-45514-S
world of ice and snow	8-17381-S
world of material desires buddh 	41-53435-S
world of mortals	1-61781-B,1-61781-S
world of movies	23-59237-S,64-25806-S,64-27542-S,67-30174-S
world of sport	70-6104-S
world of warcraft video game	70-35969-B
world outlook	2-41215-B
world peace	2-39005-B
world power	2-39347-B
world record	2-40647-B
world renowned	54-55336-B
world s biggest	2-39816-B
world s first	7-33747-B
world s first seismograph invented by zhang heng 张衡 in 132	5-63049-S,15-38912-S
world s largest	2-39816-B
world shaking	51-21417-B
world shaking 成语 saw	69-60447-B
world shall last	15-38443-S
world skating championship	2-42585-B
world trade	2-41450-B
world trade center	2-41529-B,2-42345-B
world trade organization	2-41626-S,2-42418-S
world trade organization wto	2-42233-B
world view	19-20898-B
world war	2-39207-B,3-35715-S
world war 2	48-11398-B
world war one	48-9058-B
world war two	3-36720-B,3-36968-B
world weary	11-36191-B
world wide web	7-39920-B
world wide web www	54-46662-B,54-46821-B
world wildlife fund wwf	2-40895-B
world with a single brilliant feat 成语 saw	1-23164-S
world witnessed over 20 years	3-34813-S
worldly	2-38047-B,8-28944-B
worldly conventions	42-37925-S
worldly wisdom	4-9601-B
worlds	45-7946-S
worlds apart	17-49596-S
worldview	2-41215-B
worldwide	7-33533-B,43-6363-B
worldwide attention	53-26459-S
worldwide green parties	50-243-B
worm	43-6726-S,48-25601-S,52-8566-S,55-11630-S,55-56762-B,55-56982-B,55-58559-B,56-5352-B,56-5497-S,56-10074-S,56-12562-S,56-18735-S,56-18869-B,56-20987-B,56-22465-S
worm caenorhabditis elegans	50-726-S
worm genus nereis	37-17561-S
worms	25-26586-S,43-6615-S,56-19084-S,56-21615-S
wormwood	54-110-B,55-4479-B,55-22050-B
worn	44-16860-S,44-22357-B
worn by civil officials of the 5th grade	71-997-S
worn by mourner	49-50806-S
worn by women	22-34618-S,35-42422-S
worn goods	66-29843-S
worn in a bun or coil	70-25087-S
worn on belt	42-48458-S
worn out	23-9582-B,30-5755-B,41-35858-B,46-16477-B
worn out broom	30-5889-S
worn out footwear	46-21019-B
worn out horse	69-50310-B
worn out old horses	69-48966-B
worn out or worn smooth of clothes	71-15415-B
worn out shoes	30-5825-B,57-34947-S
worn over a petticoat	18-10137-S
worn smooth of clothes	71-15415-S
worried	2-4611-B,8-60451-B,24-32601-B,24-57164-B,25-26366-B,25-53727-B,25-53757-B,25-53910-S,29-22837-B,40-64736-B,40-65102-B,45-57212-B
worried by setbacks or difficulties	2-9601-S
worried or get in trouble for imaginary fears	23-3448-S
worried too much	40-65164-B
worried 成语 saw	25-27478-S,42-371-S
worries	20-23988-S,20-26353-S,41-10122-B,50-45742-S
worries and difficulties	8-52980-S
worries and the sea of grief	39-26437-S
worries of long departed people 成语 saw	32-17116-S,32-17315-S
