bourgogne	9-65778-S
bout of sporting competition	14-54776-B
bovine	41-55495-B
bovine spongiform encephalopathy	42-4786-B,44-17151-S
bow	5-50387-S,23-25847-S,23-26088-S,23-26150-S,23-27332-S,23-33255-S,23-34030-S,23-34065-S,23-35966-S,23-36000-S,23-36215-S,23-46595-S,28-321-S,32-7818-S,33-40379-S,60-57757-S,68-8088-S
bow and arrow	23-25908-B
bow and arrow step dance step	23-26011-B
bow and bend the knee 成语 saw	10-62423-S
bow and scrape	10-62332-B
bow around with hands joined to people on all sides	50-56464-S
bow bag	68-13129-B
bow cabin	9-23423-B
bow case	23-33990-B,48-44589-B,68-13265-B,68-13602-B
bow decorated with animal horns	57-44799-B
bow down	1-60021-B
bow grasped when shooting	23-33410-S
bow legged	50-56574-B
bow legs	16-44193-B
bow of a chinese boat	53-39318-B
bow of ship	53-40304-B
bow or crossbow	48-23515-S
bow or prow	70-59347-S
bow or prow of a ship	53-38840-S
bow reflected in a cup as a snake 成语 saw	33-13429-S
bow respectfully with clasped hands	26-44717-S,26-49445-S
bow string	23-34097-B,49-37529-B
bow the head	4-70605-S
bow to one another	3-68646-S
bow to the ground	47-36189-B
bow weapon	23-25549-S
bow with clasped hands	26-44658-S
bow without shooting 成语 saw from mencius	23-30388-S
bow 成语 saw	71-42951-S
bowed	23-25847-B
bowed head and ears glued 成语 saw	5-50462-B
bowed stringed instrument with a thin wooden soundboard	33-31059-S
bowels	28-17213-S,37-60534-S,44-21773-S,44-21773-S
bowen 1311 1375	9-41111-S
bowen 劉伯溫 刘伯温 1311 1375	9-41431-S
bowing and scraping	71-42951-B
bowl	1-15908-B,33-57-B,34-23597-B,43-12753-B,45-3112-B,46-21171-S,46-29004-B,50-49735-S,50-49790-S,64-20297-S,64-24406-S,65-5278-S,69-5520-S,71-48348-S
bowl american football championship game	60-22475-S,60-22595-S
bowl for grinding with pestle	46-15089-S
bowl for lamp or fish	64-20389-S
bowl in grief 成语 saw	71-48490-S
bowl mythology	51-54184-S
bowl of a buddhist monk	64-13884-S
bowl of food	3-8595-B
bowl 鐵飯碗 铁饭碗 for sth better but more risky	1-61411-S
bowling balls	5-41860-B
bowman	20-35289-B
bowringii	56-7241-S
bows	35-12490-S
bows bent 成语 saw	9-43838-S
bowshot 成语 saw	69-60774-S
bowstring	23-25600-B,23-25645-B
box	5-41352-S,7-53754-S,10-37047-B,10-37329-B,10-37355-S,10-37597-S,27-3070-S,28-40784-S,34-26721-S,35-4669-S,35-5961-S,39-57989-S,41-6087-S,45-3492-S,46-33291-S,46-64340-S,48-27863-B,48-27903-B,48-35714-B,49-22920-S,63-25849-S,65-4231-S,65-47575-S,67-16707-S,67-33722-S,69-349-S,69-443-S,69-533-S,71-29158-S
box case	45-6800-B
box character in chinese text indicating illegible character	30-62985-S
box for bone ashes	70-782-B
box in a theater or concert hall	10-14996-B
box in theater	23-4310-B
box meal	45-3745-B
box office	46-64009-B
box office record	9-34623-S
box on a questionnaire or web form	16-21799-S
box on spreadsheet	35-17949-B
box sb s ears	26-48225-S
box with tiered compartments and a handle	28-40784-B
box with ventilated sides	44-57296-S
boxer	27-49399-B,27-49714-B
boxer rebellion	51-12968-B
boxer uprising	33-14664-S,39-18770-S,51-12813-S,61-32413-S
boxer uprising and the eight nation military invasion	22-62270-S
boxers hist 	51-12875-S,51-13050-S
boxing	7-49721-S,7-49803-S,10-12642-S,11-68137-S,21-58180-S,27-49674-B,27-49992-S,27-50077-S,35-21923-S,70-28967-B
boxing champion	27-49941-B
boxing chinese martial art	34-19137-S
boxing coach	27-49336-B
boxing martial art	15-45130-S,50-60169-S
boxing place in shandong	11-9702-S
boxing ring	27-49765-B
boxun	11-10068-B,11-10106-B
boy	6-52053-B,20-62946-B,20-63894-S,20-68082-S,43-45675-B,43-45712-B,43-45758-B,43-46687-B,47-64434-B,69-34473-S
boy as homosexual partner	19-33-S
boy band type of pop group	43-45804-B
boy scout	47-64536-B
boy servant	23-6504-B
boy tennis	42-52334-S
boyang place in jiangxi	37-42029-S
boycott	27-14486-B,33-13925-S
boycott a levy	27-4858-S
boycott taxes	27-6542-S
boye place in hebei	11-10429-S
boyfriend	20-56872-B,25-15893-B,43-46456-B
boyish	19-14258-B
boyle 1627 1691	42-41838-S
boyle s law	42-41904-B
boys	13-42737-B
boysenberry hybrid of raspberry and blackberry	37-39632-B
boyuan or li baojia 李寶嘉 李宝嘉 1867 1906	33-810-S
boyuan 李伯元 or li baojia 1867 1906	33-1964-S
bozhou prefecture level city in anhui	4-5129-B,4-5200-B
boötes constellation	41-51757-B
bp consisting of two complementary nucleotides adenine a 腺嘌呤 paired with thymine t 胸腺嘧啶 in dna	71-5219-S
br	39-23841-S
bra	3-23249-B,18-24400-B,52-25347-B
brabant	10-35792-S
brace	29-38588-B
brace girder	34-1546-B
brace one s self to do sth	46-26333-S
bracelet	26-36790-B,43-4474-B,64-20143-B,65-2019-B
braces	17-18842-B,52-17491-B,53-56134-B
braces med 	34-12997-B
brachii back of the upper arm	52-14040-S
brachium	52-14000-B
brachydactylism genetic abnormality of short or missing fingers	45-66107-B
bracket	26-51985-B,29-38657-B
bracket light	16-31538-B
bracket plant	12-44392-B,28-19840-B
brackets	20-64574-B,27-47283-B
brackets 	2-71972-S,7-69502-S,15-23626-S,17-18842-S,21-5838-S,30-62779-S,30-64710-S,53-56134-S
brackets「 」	27-47221-S
brads	57-46306-B
bradypodidae	34-61316-S
brag	13-4943-S,13-5442-S,13-5944-B,41-48207-S,53-12327-S,58-12033-B,58-23712-B,58-45260-B
bragging	27-42130-B
brahma	61-37529-S
brahma the hindu creator	34-17186-S
brahman hindu god	18-52470-B
brahmanism	18-52548-B,34-16915-S,34-17371-B
brahmaputra river of assam and bangladesh	66-56357-S
brahmaputra through the southeast himalayas	66-56196-S
brahms 1833 1897	9-65399-S
brahms name	9-65399-B
braid	37-27805-S,49-48144-B,50-20886-B,50-21269-B,50-24814-B,50-25689-B,61-37125-B,70-25048-B
braid on a robe	49-34845-B
braid or queue	61-37076-S
braided cord	49-56350-S
braille 1809 1852	22-17354-S
braille alphabet for the blind	45-19833-B
braille characters alphabet for the blind	45-19614-B,71-38896-B
braille name	22-17354-B
braille typewriter	71-38973-B
brain	6-33894-S,6-34087-S,15-68330-S,16-43627-S,16-43735-S,17-31936-B,20-69648-S,50-30094-S,52-39137-B,52-39632-S,52-39972-S,52-40212-S,52-40264-S,52-40709-S,53-42906-S,57-44479-S
brain barrier	52-40838-S
brain cell	52-40593-B
brain continuing the spinal chord	23-19707-S
brain damage	17-67371-S
brain dead	17-31983-B
brain death	52-40057-B
brain drain	4-10097-B,26-37345-B
brain fever	52-40352-B
brain function	52-39532-S
brain imaging technique	52-39879-B
brain metaphor	17-32048-B
brain of soya bean dregs	59-17124-B
brain stem	52-39766-B
brain storming	52-39453-B
brain surrounding the lateral sulcus or sylvian fissure	16-43843-S,16-43994-S
brain tumor	52-40421-B
brain 成语 saw	37-13185-S,56-39708-S
brained	54-53388-S
brainless	50-48899-B
brains	28-48030-S,49-48591-S,52-39683-B,52-40527-B,52-40928-B,68-39211-B,70-5143-B
brains in scheming	59-47569-S
brains trust	31-56846-B
brainstorm	24-38896-S
brainwash	37-54245-B
brainwave	67-52093-S
brake	8-9472-S,9-26648-S,36-26513-S,41-4726-S,61-1648-B,65-47422-B
brake car	9-26391-S
brake lever	9-26553-B
brake stop	9-26428-S
brake when driving	9-26648-S,41-5162-S
braking	24-57630-S
bramble	55-32876-B,55-47092-B
brambles	54-16030-B
brambling fringilla montifringilla	41-29352-S
bran	48-46002-B,71-13191-B
branch	8-54361-B,8-55287-B,9-31199-S,29-37208-B,29-39393-B,29-55428-S,30-38497-S,33-12602-S,33-38159-B,33-38274-B,34-15097-S,34-25888-S,34-60993-B,35-157-S,47-16590-B,50-10977-B,53-57305-S,56-33269-S,58-25615-S,58-25860-S,60-63614-S,63-23799-B
branch 1 3 a m	2-37132-S
branch 1 3 p m	32-55920-S
branch 11 a m 1 p m	10-53920-S
branch 11 p m 1 a m	19-121-S
branch 3 5 a m	20-3250-S
branch 3 5 p m	43-42609-S
branch 5 7 a m	11-17425-S
branch 5 7 p m	63-36399-S
branch 7 9 a m	61-39132-S
branch 7 9 p m	26-6304-S
branch 9 11 a m	22-2656-S
branch 9 11 p m	4-1279-S
branch and leaf	33-38423-B
branch and stem	52-36090-S
branch in road	21-34705-B
branch is grafted	46-15561-S
branch line	29-39108-B
branch of a chain store	8-52484-B
branch of a school	8-55327-B
branch of arts	8-23742-S
branch of bank or store	8-57893-B
branch of company	8-53548-B
branch of culture	41-12973-S
branch of learning	19-18931-B
branch of river	37-18519-S,38-2243-B
branch of study	47-16590-B
branch of the armed forces	8-2100-S
branch of the eastern hu people inhabiting the valley of the xar murun river in the upper reaches of the liaohe river	18-6031-S
branch of the qiang 羌 ethnic minority	71-45384-S,71-45467-S
branch of the xianbei 鮮卑 鮮卑 nomadic people	27-32223-B,27-32720-B
branch of the xianbei 鮮卑 鲜卑 nomadic people	3-20997-S,19-21091-S,25-46502-S,35-65204-S,47-11055-S
branch off	21-35038-S
branch off the road	21-35102-S
branch or bud that is grafted onto rootstock	28-27236-S
branch or stump	35-17309-S
branch point	8-55588-B
branch stem	35-17374-B
branch store	29-38070-B
branch stream	21-34880-B
branch to a rootstock	18-57884-S
branch 成语 saw	32-64677-S
branched projection of a neuron	34-61418-S
branches	8-7582-S,21-4777-S,26-45718-S,43-28967-S,64-28661-S
branches and descendants	29-39202-S
branches flourish	32-61746-S
branches of a clan	51-61253-S
branches of a tree	33-203-B,34-52202-S
branches of anatomy	11-37303-S
branches of science	60-39387-S
branches sway 成语 saw	53-57403-S
branches 十二地支	19-241-S
branches 十二枝	22-36774-S
branches 地支	31-39520-S,43-39749-S
branches 子	10-42658-S,10-43026-S,15-40928-S
branching	36-57349-S
branching relative clauses	12-23010-S
branching stream	36-54890-B
branchiostoma	68-39037-S
branchiostoma lanceolatum	30-28370-S
brand	8-11262-S,9-36836-S,12-57094-S,35-27471-S,40-41650-B,40-41650-S,51-29588-S,53-7097-S,67-5199-S,67-5270-S,69-1302-S
brand japanese car model	66-56125-S
brand name	13-33413-B,13-34228-B
brand name of a glucose injection that caused medical scandal	35-22291-B
brand new	21-47530-B,41-6173-B
brand new house	30-48863-B
brand new object	43-31274-S
brand of a product	23-7928-B
brand of tortilla chips	16-54210-S
brand product	12-57201-S
brandenburg e g gate	9-65841-B
brandish	28-18831-B,28-49382-S,28-49482-S,28-50385-S,28-50735-S,53-32053-S,53-32459-S
brandish a spear	28-49596-S
brandsen name	4-65728-S
brandy	44-45454-B
branson 1950 	4-65728-S
branson or brandsen name	4-65728-B
brasenia purpurea	55-9480-B
brasenia schreberi	54-61288-B,54-61349-B,55-9419-B,55-9521-B
brasil	63-54640-S
brasilia capital of brazil	22-9994-B
brass	70-20052-S,71-24494-B
brass band	60-65691-B
brass drum	71-49194-S
brass filings	64-35140-B
brass instrument	13-6563-S
brass instruments	64-30632-B
brassica cabbage	53-62797-S,53-63016-S
brassica cabbage family	53-63084-B,53-63143-B
brassica campestris	37-23486-S,37-23554-S,55-10411-B
brassica campestris l 	53-62854-S
brassica campestris subsp rapa	53-65995-B
brassica campestris var purpurea	49-29646-B
brassica chinensis	20-68276-B,54-29373-B
brassica etc whose flowers have a cross of 4 petals	10-46125-S
brassica juncea	53-52516-S
brassica narinosa broadbeaked mustard	16-15144-B
brassica oleracea	53-66049-B,64-3983-S
brassica oleracea var botrytis	34-26523-S
brassica pekinensis	17-28695-B
brassica rapa var rosularis	40-35230-S
brassiere	27-15606-B
brassiere underwear	52-25347-B
brassière	18-24400-B
brassy	42-4245-B
bratislava	22-15598-B
bratislava capital of slovakia	4-58660-B
braun 1900 1974	33-2517-S
brave	4-30078-B,8-11660-S,8-42238-B,9-66038-B,9-66257-B,9-66363-B,9-66449-B,9-66915-B,16-37468-B,24-46210-S,25-51433-B,34-14900-B,46-1976-B,46-3439-B,54-1430-B,69-57109-B
brave and chivalrous	5-42194-B,59-24673-B
brave and cunning	9-66568-B
brave and fierce	9-66498-B
brave enough to	9-66297-S
brave looking	31-18304-B
brave man	27-51112-B
brave new world	51-9626-B
brave person	9-66121-S
brave person remains level headed	17-7886-S
brave strong guy	16-37082-B
brave the rain	8-12130-S
brave the waves	46-18027-S
brave the wind and the billows 成语 saw	3-14744-S
bravely	2-35456-S,9-66180-S,18-18292-S
bravery	54-1723-B
brawl	36-3190-B
brawn	52-46470-B
braying	12-9667-B
brazen	11-29874-B,17-32371-B,25-6781-B,51-30099-B
brazen faced 成语 saw	35-58736-B
brazen villainy	25-19651-B
brazier	40-23528-B,40-66108-B
brazil	22-9956-B,22-9994-S,23-65-S,39-57852-S,51-44558-S,69-40381-S
