dalian	31-7865-S
dalian city 大連市 大连市	30-69383-S,30-69479-S,30-69578-S
dalian prefecture level city in liaoning	17-36076-B,17-36150-B
dalian university of technology	17-36235-B
dallas	62-53585-B
dally	58-37410-S
dally with	42-39130-S,42-40221-S
dallying	42-40549-S
dallys	4-30551-B
dalton	65-5538-S
dalton name	62-51403-B
dam	1-33918-S,12-38481-S,15-30371-S,15-64416-B,16-7159-S,16-7528-B,16-7701-B,16-35808-B,17-12899-B,19-61539-S,27-48282-S,36-40307-B,36-47453-B,37-13495-S
dam a stream and change its direction	15-56658-S
dam burst	37-599-B
dam in south egypt	66-5454-S
dam of clay or concrete	15-30371-S
dam of earth and rocks as opposed to waterproof dam of clay or concrete	15-30371-B
dam of ice on river	8-17248-B
dam on the changjiang	1-34218-S
dam to collapse	37-12992-S,39-64327-S
dam up water with rocks	46-15709-B
damage	5-34645-S,6-18312-S,6-44721-S,11-60914-S,11-60965-S,17-67371-S,19-59821-B,28-52145-S,28-52350-S,28-52440-S,28-52559-S,28-52629-B,31-60603-S,36-2530-S,36-2656-B,36-40389-S,36-44019-S,40-26901-S,47-2099-S,59-57522-S,66-47656-S,67-40546-S,68-56359-S
damage a third party	6-9948-S
damage assessment	33-59397-S
damage beautiful scenery	41-5219-S
damage by cutting	9-39931-S
damage e g to goods in transit	6-45010-B
damage egg so it does not hatch	35-60311-B
damage from locusts	56-18914-B
damage property 成语 saw	35-62924-S
damage spot	55-48777-S
damage the people and harm the country 成语 saw	44-11346-S,44-11457-S
damage to an object	9-8754-S
damage to crop	44-12299-S,67-44374-S,67-44505-S,67-44762-S
damage to goods	27-10396-B
damage to soft fruit etc	46-30857-S
damaged	11-61736-B,35-63487-S,46-16477-B,46-17835-B
damaged by moths or worms	56-19084-B
damaged in a disaster	63-62038-S
damaged person	6-44103-S
damages	49-27665-S
damaging	18-36539-B,32-31634-B
damascus	17-41512-B
damask	50-11965-B
dame	59-42472-B
dame by victor hugo 維克多·雨果 维克多·雨果	65-120-S
daming county in hebei	17-9450-B
dammed lake	16-8318-B
damn	13-26371-B
damn about it	39-35230-S
damn it	4-25180-B,52-7985-B,58-16643-B
damned grain	42-7416-S
damp	11-62550-B,37-63024-B,38-9586-B,39-25306-B,39-62622-B,39-63412-B,40-8441-B,56-56342-B
damp and cold	11-62550-S
damp and rotten	67-41123-B
damp climates	48-4191-S
damp walls	55-43921-S
dampen	27-69869-B
dampen one s enthusiasm	39-56712-S
dampened	28-11107-S
dampening one s spirit	17-26839-B
damping	65-64083-B
damping expectations by discouraging or realistic words	13-5114-B
damselfly	56-5999-B
damson fruit	17-41573-B
dan	4-5282-S,23-37377-S,31-12718-B
dan 1969 	42-32731-S
dan brown american novelist	3-2219-B
dan county in hainan	6-55212-B
dan dan noodles	29-23021-B
dan noodles	29-23021-S
dan of yan 226 bc	17-57810-S,41-28742-S
dan 石	30-33642-S
dana buddhist practice of giving	22-15789-B
danba place in sichuan	3-2158-S
dance	3-71670-S,21-1321-S,28-23058-S,28-53967-S,31-327-S,34-6322-S,35-46868-S,36-21580-S,42-6325-S,42-49197-S,46-50017-S,48-28135-S,51-35491-S,52-43165-S,53-32053-S,53-32592-B,53-32816-B,53-33025-S,54-22253-S,54-34819-S,60-45151-S,60-47807-S,60-47858-S,60-47858-S,60-48727-S,60-48834-S,67-49778-S,68-61380-S
dance academy	10-27479-S
dance and feet trip 成语 saw	26-35712-S
dance drama	53-32104-B
dance form	53-32740-S
dance hall	53-32346-B
dance in the breeze	68-64673-S
dance music	53-32549-B
dance position	1-25100-S
dance school p e activity	6-18764-S
dance step	23-26011-S
dance steps	53-32697-B
dance traditional chinese dance form	53-32740-S
dancer	22-24609-S,53-32224-B,53-32224-S,53-32854-B
dancer s posture and movement	53-32285-B
dancers at sacrifices	5-12714-S
dancheng place in henan	63-35719-S
dancing	3-71670-S,6-29816-S,15-10292-S,27-21018-S,35-26394-S,46-47083-S,52-8922-S,52-27625-S,53-32399-S,53-32641-S,60-45701-S,60-54195-S,61-51313-S,64-2667-S,67-49778-S
dancing a form of strip tease	64-40946-S
dancing and gesticulating for joy	26-35712-B
dancing monologue	58-45633-S
dandelion	55-609-B
dandong prefecture level city in liaoning	3-2441-B,3-2517-B
dandruff	68-38733-B
dandy	13-52535-S
danfeng place in shaanxi	3-3459-S
dang	71-43770-S
