fe3o4	25-45399-S,42-28226-S,46-45107-S
fealty	24-46777-B
fear	2-6094-S,8-21105-S,8-27517-S,14-40035-S,23-68081-S,24-42402-B,24-53832-S,24-66717-S,24-68043-S,24-68449-S,24-68553-B,24-69266-B,25-56335-B,25-62188-B,26-3362-S,26-3538-S,26-4249-B,26-18491-S,42-63262-S,43-20252-S,43-48064-S,43-48094-B,57-53673-S,69-15802-S,69-59694-S,69-59747-S,69-59854-S,69-61724-S,69-61724-S,69-63726-S
fear after the event	23-68081-B
fear and trepidation	26-18491-S
fear and trepidation 成语 saw	58-29127-S
fear of choking 成语 saw	14-59606-S
fear of embarassment 成语 saw	46-43048-S
fear of hardship	46-25431-S
fear of heights	26-3435-B
fear of impairing personal relation	46-39199-S
fear of offending sb	46-43440-S
fear of strangers	24-53874-B
fear of the tiger 成语 saw the fearlessness of youth	9-785-S
fear of wide open spaces	23-11442-S,23-11540-S
fear that	43-20252-S
fear the wolf in front and the tiger behind 成语 saw	9-20196-S
fear 成语 saw	69-61806-S
feared	26-3538-S
fearful	4-47325-B,7-1253-B,7-23581-S,12-12908-B,24-66717-B,25-16675-B,25-26486-S,26-13905-B,33-13429-S,66-62052-B
fearfully	45-61952-S
fearing to be last 成语 saw	41-38100-S
fearless	2-9601-B,17-26742-S,17-32371-B
fearlessness of youth	9-785-S
fears	9-20196-S,10-24711-S,23-3448-S,24-33838-S,33-10940-S
fears for me	57-29958-S
fears no fire 谚语 proverb	45-45231-S,45-45406-S
fears of the unknown	57-29958-S
fears the sky falling 成语 saw	33-10940-S
feasibility	12-16155-B
feasibility study	12-16212-B
feasible	5-13964-B,8-61168-B,8-61256-B,12-16113-B
feass	46-43549-S
feast	14-9508-S,14-9508-S,14-28194-S,19-60036-B,19-60071-B,19-60117-B,35-31826-B,45-4865-B,54-23109-B,57-54113-B,59-12910-B,63-39326-B,63-51464-S,69-5972-B,69-18362-S
feast at hong gate	70-55915-B
feast for the eyes	45-15306-S,45-15431-S
feast of the sacred heart	51-46948-B
feast one s eyes	17-41123-S
feast one s eyes on	69-8339-S
feasting and pleasure seeking	41-25531-S
feat	9-49649-B,16-36844-S,16-36844-S,69-59540-S
feat 成语 saw	1-23164-S
feather	18-49633-S,47-14996-S,51-15458-B,51-15753-B,53-16426-S,61-13584-S
feather and ascend to heaven	51-15546-S
feather banner or fan	50-48048-B,51-24283-B
feather cockscomb celosia argentea	67-57902-B,67-57975-B
feather flock together	41-52789-S
feather grass	54-38728-S
feather one s nest	41-31903-S
feather pen	51-15872-B
feather screen	51-20297-B
feather sent from afar 成语 saw	10-51192-S,10-51499-S
feather 成语 saw	47-15074-S
feathered	60-56586-B
feathered crest of bird	51-15487-B
feathered dinosaur	21-15347-S
feathering one s own nest	43-29895-S
feathers	21-15301-S,25-26903-S,28-46950-S,29-5458-S,51-16163-S,51-17550-S,52-32754-S,52-34930-S
feathers can be used as poison	70-53455-S
feathers etc	57-45930-S
feathers of the legendary bird zhen 鴆 鸩	70-53553-S
feathers or tail assembly of plane	21-15426-S
feathers to sleep on	67-7430-S
feathers 成语 saw	70-56753-S
feature	41-58051-S,41-59637-S,41-62663-S,41-62663-B,45-1722-S,48-57818-S,68-1348-S,70-5894-B
feature 	13-65145-S
feature article	41-57939-B
feature film	29-58505-B
feature or quality	41-61543-S
features	3-48904-S,15-32008-S,32-61218-S,45-36041-S,45-36126-B,68-2027-S,68-2633-S,68-3702-B
features of a place	15-39137-S
features revealed	7-2453-S
featuring serialized novels in classical chinese and jiangsu vernacular	38-15161-S
february	3-36332-B,51-48687-S
february 1556 that killed 830	66-19666-S
february 29	65-44788-S
february and mid autumn festival on lunar 15th august	53-56819-S
feces	17-5687-B,21-20915-B,37-36817-S,48-62356-B
fecl3	1-36874-S
fecn	9-19084-B
fed	51-4860-S,51-8528-S
fed and clothed	59-21826-S
fed animals	15-1074-S
fed up of hearing	52-1419-B
fed up with	11-36486-B,52-49844-B,52-49979-S
fed up with sth	5-59875-S,11-36625-B
feder swiss tennis star	59-46777-S
federal	51-63576-B,51-63630-B
federal building	51-63699-B
federal bureau of investigation	51-64169-S
federal capital	54-35324-S
federal communications commission	51-64275-B
federal emergency management agency	51-64039-B
federal express fedex	51-63881-B
federal government	51-63962-B
federal republic	57-17407-S
federal republic of germany	24-26381-B
federal reserve	51-4778-S
federal reserve fed	51-4860-S,51-8528-S
federal system	51-63630-B
federation	15-17012-S,15-18775-S,51-60143-B,51-63576-B,51-63772-S
federation of association football	15-19717-S
federation of literary and art circles cflac	2-58773-S
federation of trade unions	69-27235-S
federation since 1988	2-59889-S
fedex	51-63881-S
fee	5-41557-S,6-32378-S,10-38635-S,10-39485-S,19-19662-S,26-35150-S,29-42847-B,59-46155-B,63-38863-S
fee payment for a painter	39-61405-S
feeble	21-8759-B,23-36252-B,24-19059-B,44-6353-S,47-30702-S,56-47873-B,56-48056-B,59-35621-S,61-2900-B
feeble minded	6-45425-B
feeble slave	68-42725-B
feed	10-927-S,12-27972-S,13-48160-B,13-48186-S,13-48515-B,13-48566-B,27-35597-S,27-35941-S,30-34368-B,47-23066-S,69-1654-S,69-1697-S,69-6846-S,69-6892-B,69-18185-S,69-18669-S
feed a horse with grain	47-23066-B
feed ball	6-37731-S
feed for livestock	6-28803-S
feed lot	69-7079-B
feed on	28-5694-S
feed pigs and dogs	59-24334-B
feedback	11-56426-B,14-58630-B,59-31382-S
feedback loop	53-41493-S
