a statue	66-62252-B
a staunch character able to withstand tough test	9-64646-S
a steady flow 成语 saw	39-16000-B
a steady pace	47-43239-B
a steamer	69-18963-S
a steel	44-55245-S
a steel drill	64-41589-B
a steel rolling mill	60-61597-B,60-61723-B
a steele	46-28134-S
a steelworks	64-40231-B
a steelyard	47-23198-S,47-34796-S
a steelyard a type of balance	34-8882-B
a step	35-41879-B,63-8548-S,66-39605-B
a step up	28-41510-B
a stepping stone to fortune	30-14429-S
a stern test	44-7683-S,44-7881-S
a stew	67-5132-B
a stick	1-22700-S,34-20346-B,48-44627-B
a stick but offer a carrot	18-48850-S
a stickler for formalities	27-39020-B
a sticky predicament	37-43207-S
a still pose on stage	4-4679-B
a stink 成语 saw	18-31576-S,18-31734-S
a stir	8-47425-S
a stitch	50-27424-B
a stitch of clothing	1-17545-S
a stock animal	52-47219-S
a stock market	58-60287-B,58-60371-B
a stomping fit	60-44963-B
a stone	46-15755-S
a stone dropped into the sea	46-6237-S
a stone inscription	46-28254-S
a stone probe	46-15831-B
a stone roller	60-60939-S
a stone s throw away	46-564-B
a stone with egg 成语 saw	4-36415-S
a stop	41-4675-S
a stop to	9-11636-S
a stop to sth	26-16066-S
a store	52-62237-S,53-31743-B,59-37953-B,59-37953-S,64-36517-B,68-8451-B
a store e g to sun it	5-55410-S
a store room for books	32-10848-B
a storm	28-10357-S
a storm in a teacup	41-39989-B
a story	6-10094-S,6-31057-S,6-39697-S,8-63982-S,9-57093-S,29-39108-S,33-46962-S,34-43487-S,35-55165-S,45-58790-S,49-41217-S,50-17371-S,50-44243-S,58-52434-S,58-61648-S,60-18399-S,65-42387-S
a story or information	30-833-S
a story to another medium	29-44444-S
a story with great momentum	37-39927-S
a stove	41-35434-B,41-35602-S
a stove draws	27-33756-S
a stowaway on a ship	6-23152-B
a straight line	1-15203-S,6-13387-S,30-16632-S
a strain	12-26780-S
a strand of hair	36-14101-B
a strange land tang poet wang wei s 王維 王维	42-18641-S
a stranger	66-16629-B
a stranger in a strange land tang poet wang wei s 王維 王维	42-18641-B
a stranger not accustomed to the climate of a new place	2-15376-S
a stratagem	2-81749-S
a strategic pass	29-48135-S
a strategic withdrawal	61-62965-B
a strategist	26-19520-B
a strategy that is sure to fail	69-36642-B
a stream	38-35255-S,38-35780-S,38-38059-B,40-10619-S
a stream and change its direction	15-56658-S
a stream of people	4-13607-B
a streamer	46-3576-S
a street	47-52593-S,61-27545-S
a street to the south of the forbidden city that was the legation quarter during the boxer uprising	33-14664-B
a string	23-46939-S,23-48825-S,50-654-B
a string computing	3-1164-B
a string of	1-17220-B
a string of 100 cash arch 	23-26222-B
a string of pearl	18-35896-S
a string of pearls	62-22813-S
a string of small firecrackers	68-8799-B
a string of stringed instrument	42-59305-B
a string orchestra	23-34982-B
a stringed instrument	42-59240-S,42-59373-S
a stringed musical instrument with fingers	23-46939-S
a strip	34-14254-B
a stroke	1-18851-S,52-31511-B
a stroke in fencing	9-39357-S
a stroll	44-2328-S,62-16350-S,62-37645-S
a strong appetite for certain foods during pregnancy	19-59053-S
a strong fragrance	40-7813-B
