of gravity	23-14457-S,59-60092-S,63-58683-S
of great ability	4-8507-S
of great brittain	14-15052-S
of great concern	29-43479-B
of great force	56-39022-B
of great force or imposing manner	36-26573-S
of great national leader	6-50498-S
of great price	40-46872-S
of great talent	17-18573-S
of great tang	17-10020-S,57-14686-S
of great value	31-25517-S
of greece	66-54399-S
of greek mythology	51-209-S
of greenwich observatory	33-66889-S
of greenwood refers to popular hero in robin hood style	49-65235-S,49-65357-S
of grief	39-26437-S
of grief and joy	25-9356-S
of grievances	25-24717-S
of growth	22-47904-S,54-27886-S
of gruzia or georgia	34-347-S
of guadalcanal of late 1942	43-9574-S
of guam	65-54853-S
of guangdong and guangxi	7-44682-S
of guangdong and guangxi in qing times	7-44586-S
of guangdong province in south china	23-12260-S,23-12418-S
of guangxi zhuang autonomous region in south china 廣西壯族自治區 广西壮族自治区	10-69439-S,10-69778-S
of guangzhou	39-13264-S
of guest	33-14222-S
of guilt	7-30193-S
of guinea	22-57262-S,47-20807-S,47-20886-S
of guinea bissau	36-11579-S
of guizhou province	59-44076-S,59-44172-S
of gun barrel imparting spin to the bullet	5-18028-S
of gunfire	71-53706-S
of gunpowder	40-24183-S
of gurgling water	14-31303-S
of gut	52-44257-S
of gut wall	52-44619-S,56-20830-S
of gynecology and obstetrics	18-54868-S
of habakkuk	13-38274-S
of hades or hell	71-20840-S
of haggai	13-40414-S
of hainan island province in south china	38-17063-S,38-17178-S
of hair	2-48604-S,3-1127-S,9-42608-S,36-14101-S,44-63293-S
of hair on children	70-24691-S
of hair on top of head	70-28276-S
of haiti	17-57881-S
of hammer bone	64-43715-S
of han	10-46623-S
of han 181 234	39-50589-S
of han and xiangyu 項羽 项羽 of chu	34-30346-S
of han dynasty general li guang 李廣 李广	68-63147-S
of han 漢武帝 汉武帝	21-63021-S
of hand	1-16717-S,1-76770-S,28-13914-S
of hands	66-65686-S
of handwriting	39-62339-S
of hangzhou bay 杭州灣 杭州湾 in zhejiang	3-11262-S,3-11371-S
of hard rice grain	8-47509-S
of hardship	46-25431-S
of hardships	2-33145-S
of hardships and danger	29-31872-S
of hat	50-46731-S
of hatred	45-46034-S
of hatred and jealousy	71-30083-S
of hatred is hard to fill 成语 saw	25-1415-S
of having lost a bet	50-53621-S
of hawk	70-58029-S
of he	24-66827-S
of head	70-28276-S
of health	11-29652-S,11-29751-S,21-5226-S,23-36301-S,56-38105-S
of hearing	52-1419-S,52-1519-S,63-63950-S
of heart	52-29663-S
of heartbeat	24-34874-S
of heat	41-22256-S,41-22336-S,55-50032-S
of heat math phys 	6-37572-S
of heaven	11-60608-S,17-43266-S,17-44986-S,17-45135-S,17-47183-S,26-62489-S,34-26919-S,47-44823-S,51-70036-S,55-3707-S,62-28547-S,65-50239-S,67-51013-S,71-53537-S
of heaven and earth	2-21246-S
of heaven in beijing	17-45385-S
of heaven traditional english translation	11-60608-S,17-46030-S
of hebei province 河北省 in north china	46-5631-S,46-5881-S
of heels	61-64325-S
of hegemon 霸道	42-36865-S
of hegemony	67-49095-S
of height in waterway	60-34665-S
of heights	26-3435-S
of heilongjiang and the vladivostok area ruled by the ming dynasty	18-22766-S
of heilongjiang province	60-7873-S
of hell	70-32399-S
of helmet	49-56125-S
of help orphaned	24-32135-S
of hemp	49-55510-S
of hen pheasant	71-192-S
of henan	17-7200-S
of henan province in central china	63-33986-S,63-34179-S
of herbaceous peony paeonia lactiflora	44-44722-S
of herd	71-9031-S
of here	39-34964-S
of hermits	66-46940-S
of heroes	51-11252-S
of hezekiah	43-1152-S
of hezron	3-63758-S
of hidden creatures	8-40837-S
of high rent or mortgage repayment	26-26428-S
of hills	21-38821-S,21-48337-S,51-10678-S
of hills in shandong	21-48626-S
of himself	59-35154-S
of hind brain continuing the spinal chord	23-19707-S
of hinduism	11-19360-S
of his actions	30-6343-S
of his age	43-64882-S,43-64997-S
of his own ingenuity 成语 saw	51-64742-S
of his power	68-45946-S
of his sons zhuan xu 顓頊 颛顼	3-49838-S
of his time	37-46988-S,43-18074-S
of historic interest	12-5326-S
of historical figure	43-18778-S
of historical narration	26-21428-S
of history	21-7243-S,21-7406-S,26-21428-S,30-58730-S,32-9714-S,32-11996-S,32-30872-S,56-34373-S
of history 成语 saw	32-2844-S,32-2964-S
of history 書經 书经	58-14140-S
of holy see	34-17603-S
of home truths	61-67863-S
of homeland security	15-3528-S
of homes	38-60738-S
of homologous chromosomes	33-43466-S
of honduras	41-57568-S
of hong kong	36-18296-S,36-20221-S,49-29561-S,69-26806-S,69-27086-S
of hong kong s civil service before and after the handover to prc rule in 1997	66-27907-S
of honor	22-64377-S,24-30544-S,28-15703-S
of honor and disgrace	34-42169-S
of honour	23-4899-S
of honshū island	19-57478-S,21-29726-S,21-36092-S,47-15594-S
of hoodlums	38-4291-S
of hooliganism	38-4221-S
of hormuz	67-43416-S
of horn	57-53569-S
of horse	64-50179-S
of horse and carriages 成语 saw	60-59203-S
of horse harness	18-8436-S
of horses	69-40983-S,69-65025-S
of horses hoofs	14-34576-S
of hosea	5-3050-S
of hospital	41-62057-S,63-62968-S
of hospitals	33-23633-S
of hot season	68-36248-S
of house serving as shop	64-38508-S
of households	5-38017-S
of households for census or taxation	26-24480-S
of housing	26-26253-S
of huang xing 黃興 黄兴	71-16950-S
of huanggang city 黄冈	60-5815-S
of hub	61-5677-S
of huckleberry finn by mark twain 馬克·吐溫 马克·吐温	13-36858-S
of hui minority people living across china	14-56186-S
of huludao city 葫蘆島市 葫芦岛市	11-2120-S,11-2213-S,62-20949-S,62-21044-S,71-60217-S,71-60312-S
of human attributes	4-9383-S
of human habitation	4-14172-S
of human habitation 成语 saw	4-14230-S
of human head	17-61910-S,17-62068-S,68-52966-S
of human passion buddh	25-36007-S
of human rights	2-38888-S
of humans and most mammals	52-24971-S,68-41052-S
of humans in chinese mythology	18-19918-S,18-19996-S
of humble talent and shallow learning 成语 saw	26-38019-S
of humiliation	25-24885-S
of humility	58-29127-S,58-53893-S
of humor	22-55756-S
of hunan	15-30486-S
of hunan province in south central china	65-16403-S,65-16522-S
of hung taiji 皇太極 皇太极 1592 1643	38-60100-S
of hungary	22-18023-S
of hunger	35-64192-S
of husband and wife	8-51836-S
of hydrogenation 氰化	52-33309-S
of ice and snow	8-17381-S
of ice cream cone	43-17181-S
of ice from freezing rain or water vapor	67-14095-S
of ice on river	8-17248-S
of iceland	67-22233-S
of idealism	13-54824-S,13-54901-S
of ideas	20-51839-S,21-25317-S,24-54759-S,45-36126-S
of identity	60-55534-S,60-55773-S
of illinois	4-47921-S
of illness	44-7238-S,44-8509-S,44-10814-S,44-12584-S,58-56911-S
of immortality	2-38163-S,2-38318-S,16-38715-S,34-2697-S,34-3116-S,34-3498-S,41-107-S,41-173-S
of immortality kept by xi wangmu 西王母	56-17449-S
of immortality of goddess xi wangmu 西王母	4-29187-S,56-17537-S
of immortals	4-29034-S
of impairing personal relation	46-39199-S
of imperial court	32-48623-S
of imperial stud	17-56019-S
of imperial tomb	15-40231-S
of importance	46-42841-S
of impossible odds	48-57976-S
of imprisonment i e anything less than life imprisonment	32-34855-S
of impurities	39-65837-S
of in a sale	59-58834-S
of in the sense of to acquire	23-23707-S
of inaction	40-56204-S
of incense	69-31209-S
of income and economize on expenditure	65-38362-S
of incorporation	47-63937-S
of independence	42-20601-S,42-20683-S
of independence 1775 1783	51-4552-S
of independent states former soviet union	42-20401-S,42-21132-S
of india	21-14493-S,24-28766-S,30-48667-S,30-67532-S
of india 322 185 bc	19-3672-S
of india or africa	15-32913-S
of indirect	45-21659-S
of indonesia	41-36983-S,41-37104-S
of indonesia in northwest sumatra	3-65396-S,3-65508-S
of indonesia on kalimantan island	18-52195-S
of industrial	63-13072-S
of industry	21-56112-S,48-9272-S,48-10180-S,48-11495-S
of inertia mechanics	61-21545-S
of inertial forces to viscous forces in fluid mechanics	67-23909-S
of infected persons	25-42168-S
of infection	44-11643-S
of inferior stature	51-31941-S
of infinitesimals in calculus	24-18398-S
of infinitesimals 微 and integrals 積 积	24-20249-S
of information	6-42418-S,25-13062-S,48-103-S,60-12401-S
of information etc	5-18409-S
of initial consonant	67-21243-S
of inner ear	9-19873-S
of inner mongolia	13-16919-S,13-17316-S,59-30449-S
of inner mongolia and heilongjiang	62-53930-S
of insect	9-22930-S,24-1067-S,47-30902-S
of insect s compound eye	14-19854-S
of insects	3-32381-S,13-53461-S,16-51985-S,51-17204-S,55-59392-S,66-49138-S
of insight	1-22248-S
of instigating counter revolutionary propaganda	11-56009-S
of insulating material in a furnace	41-21715-S
of integral calculus	47-57465-S
of integrity can stand severe tests	45-45231-S,45-45406-S
of interest	18-48472-S,22-28204-B,54-55186-S
of interests	56-40118-S
of internal affairs	7-26830-S
of internal organ	52-11197-S
of international atomic energy agency and nobel laureate	22-6078-S
of international business and economics	20-48499-S
of international relations	15-20345-S
of internet attack	8-49549-S
of interruption	25-14466-S
of intersection	3-71517-S,4-1208-S
of interstitial fluids in internal organs	38-13923-S,38-14027-S,43-52793-S
of intestinal parasite with drugs	26-48644-S
of intestine	52-44257-S
of intoxication	63-46862-S
of intracellular parasitic bacteria	47-60494-S,56-41936-S
of inverting the word order for heightened effect	5-60748-S,5-60873-S
of investigation	51-64169-S
of investment	32-56324-S,34-33105-S
of ionizing particle in cloud chamber	67-19360-S
of iran	24-29267-S
of iraq	22-7747-S
of ireland	25-36360-S
of iris	53-62494-S
of isaiah	4-38928-S
of isatis indigotica used in traditional chinese medicine	33-31149-S
of islam	4-19803-S,43-10512-S,62-59448-S,71-11673-S
of islands	8-66607-S,51-10803-S,53-33099-S,53-33231-S
of israel	51-42009-S
of issue	69-22343-S
of issue of document	48-40660-S,48-40744-S
of it	12-27678-S,17-5350-S
of it all	13-24287-S
of it 成语 saw	34-49355-S
of italy	27-23420-S,50-62879-S
of item	14-17181-S
of items	14-17788-S,38-59878-S
of items to be censored	4-67354-S
of itinerant entertainers to tour	60-13355-B
of its general	31-3456-S
of its importance	1-9428-S
of its kind	21-5613-S,49-47105-S
of its kind before and since	9-21785-S
of its normal route	10-41545-S
of its parts	33-65584-S,33-66177-S
of its three orthogonal projections	22-53463-S
of itself	2-12696-S
of jacket	52-26005-S
of jacob	42-14152-S
of jade	42-37364-S,42-37419-S,42-41537-S,42-48503-S,42-60770-S,46-12543-S,46-28955-S
of jade emperor in taoism	49-28467-S
of jade pendants	43-2855-S
of january 1935 before the long march	62-68902-S
