one s means	64-4838-S,64-6912-S
one s means in order to look impressive	26-48362-S
one s means of retreat	46-20447-S
one s mental energies	59-47569-S
one s message across	24-34053-S
one s might	9-46112-S,27-50972-S
one s mind	6-46755-S,6-49335-S,11-48038-S,17-65189-S,24-31104-S,24-54511-S,24-54834-S,24-56312-S,24-56577-S,27-54823-S,28-19625-S,32-39499-S,36-65858-S,38-13843-S,38-13843-S,44-31944-S,45-21534-S,51-42704-S,52-17038-S,52-24228-B,57-10987-B,62-40016-S,65-24406-S,65-26508-S,70-3051-S
one s mind at rest	19-28722-S,29-51762-S
one s mind is wandering	60-12826-B,60-12898-B,60-36014-B
one s mind on	58-20384-S
one s mind on sth	19-28722-S
one s mind set on sth	32-32561-S
one s mind 成语 saw	21-58646-S
one s mistake	58-22541-S
one s mistakes	65-28666-S
one s mother	4-58819-S
one s mouth	23-37771-S,65-31324-S
one s mouth off	16-55160-S,16-55268-S
one s mouth with water	39-53668-S,39-53732-S
one s movements	50-63875-S
one s name	2-806-S,16-9326-S,24-7187-S,44-24756-S,44-24814-S,48-40130-S,48-44627-S,68-42875-S
one s name to	8-4837-S
one s name with a pen etc	48-40267-S
one s native country	32-61896-B,35-53793-S
one s native land and unwilling to leave it	19-25778-S
one s native place	32-67218-B,48-43607-B,52-16561-S
one s natural child	57-39861-S
one s natural parent	57-39861-S
one s nature	24-32733-B
one s nearest neighbors	14-53697-B
one s neck 成语 saw	23-19574-S
one s nest	41-31903-S
one s nose	6-33035-S
one s nose in the air	45-16023-S
one s nose to spite one s face	14-59606-S
one s obligation	50-48972-S
one s obligations	17-66856-S,21-26473-S
one s office	4-43321-B
one s official post	19-41763-S
one s offspring	32-45750-S,57-37762-S,70-2091-B
one s old age	31-65545-S
one s old tricks	29-58738-S
one s opinion	56-43022-S
one s opinions	12-61281-S
one s original home	46-53277-B
one s outward show and inner thoughts	56-46148-B
one s own	8-12180-S,14-19609-S,19-13058-S,27-42533-S,27-53744-S,29-24445-S,40-46343-S,42-19607-S,53-1235-S,53-4750-S,53-5255-S,53-14922-B,58-22621-S,62-3240-S
one s own abilities	2-21246-S,2-26384-S
one s own actions	53-6707-S
one s own and what s another s	1-71497-S
one s own backyard	59-10542-S
one s own benefit	27-26553-S,68-25473-S,68-25632-S
one s own blood	56-25322-S
one s own business and keep out of trouble	39-57461-S
one s own case	18-48472-S
one s own children praise for a virtuous ruler	25-35817-S
one s own convenience	18-59130-S,27-66056-S
one s own convictions	62-57055-S
one s own country	15-11820-S,32-61845-B
one s own court	51-47597-B
one s own decisions	53-62-S
one s own department or unit	32-60781-B
one s own destiny etc	3-3755-S
one s own devices	7-69294-S,40-46343-S
one s own devising	5-8584-S,12-60842-S,62-18834-S
one s own ears	57-40435-S
one s own effort 成语 saw	53-1480-S
one s own expense	53-14794-S
one s own eyes	45-17047-S,45-18367-S,57-40237-S
one s own face	26-41942-S
one s own family if justice demands it	17-31103-S
one s own family praise for a virtuous ruler	25-33290-S
one s own father	23-25482-S
one s own faults	45-14851-S,45-15577-S
one s own feet	53-12814-S
one s own feet and strive to become stronger	53-5523-S
one s own flag	42-19607-S
one s own flesh and blood	56-25118-B,57-37612-B
one s own flesh and blood 成语 saw	56-28630-B
one s own good	51-64742-S
one s own hands	57-39380-S,60-25771-S
one s own handwriting	57-40301-S
one s own ideas	6-2105-S
one s own initiative	53-295-S,53-13729-S
one s own interests	53-14980-B
one s own lies	53-7215-S
one s own light	52-16828-S
