aftermath	9-63364-B,24-56-B
aftermath of a disaster	44-18273-S
aftermath of a failure	35-62432-B
afternoon	1-58664-B,10-54108-B,31-18938-B
afternoon nap	10-54150-B
aftershocks	69-17494-S
afterwards	3-10907-B,4-37446-B,14-25381-B,15-35698-B,22-2077-B,22-60076-B,23-66697-B,23-66946-B,24-2882-B,35-41331-B,40-65930-S,40-65930-B,50-42557-B,50-43289-B
afterword	24-1543-B
ag	57-23704-S,64-25236-S
agadir	65-68096-B
again	1-38143-S,5-17460-S,8-8067-B,8-8140-B,8-8188-S,8-8188-S,8-8311-S,8-8915-S,8-8982-S,8-8982-S,8-9057-B,8-9057-S,8-9764-S,8-10013-S,11-41494-S,11-41494-B,11-41555-S,11-41555-S,11-41630-S,12-10796-S,14-54862-S,21-24389-S,21-24533-S,22-57903-S,24-12792-B,24-16027-S,24-16463-S,25-25692-S,25-62921-S,27-11145-S,32-7818-S,37-12561-S,51-20885-S,57-28798-S,62-25647-S,63-55524-B,63-55960-S,63-58324-S,63-59111-S,63-59810-B,63-61716-S,63-63542-S,64-1902-S,68-42464-S
again after a fall	14-54657-S
again after a period of fasting	65-41265-S
again and again	5-17460-S,8-8188-B,12-10796-S,37-12561-B,51-20885-B,62-25647-B,68-42464-B
again and again before acting 成语 saw	1-34661-S
again before acting 成语 saw	1-34661-S
again from topside	27-10238-S
again i e to redo the same translation	64-610-S
again sth lost	56-57938-S
again 谚语 proverb	31-38833-S
against	1-21651-S,1-21651-S,4-54853-S,5-6480-S,9-46036-S,10-11795-S,11-43612-B,11-47096-S,11-47247-S,20-53940-S,25-16419-S,25-54808-S,26-13243-S,26-15493-S,26-25938-S,26-58598-S,27-6090-S,27-7530-S,27-14313-S,27-68448-S,28-42865-S,29-9576-S,30-18204-S,31-62449-S,37-12703-S,47-671-S,50-15636-S,55-36085-B,55-36085-S,56-38985-S,57-54216-S,60-18187-S,60-48010-S,60-51655-S,61-6390-S,61-65778-S,62-55617-S,62-55942-S,62-58609-S,64-18702-S,65-59670-S,65-59733-S,65-60402-S,65-60971-S,68-220-B,68-19696-S,68-31003-S,68-31003-S
against a brick wall	65-9835-S,65-10101-S
against a crazy tide 成语 saw	9-46405-S
against a famine	47-39927-S,47-40041-S
against a friend	11-52620-S,61-30250-S
against a loan	27-14717-S
against a loss	28-37458-S
against a snag	46-30707-S
against a verdict	27-7581-S
against all odds	54-48318-B
against an accusation	8-58683-S
against bandits	23-63296-S
against computer viruses	65-61053-S
against corrosion	51-37253-S
against corruption	23-5026-S,23-5364-S
against crime	38-60848-S
against darfur rebels	59-53751-S
against drugs in sports	11-52763-S
against earthquakes	65-63470-S
against emergency	26-13288-S
