political office	15-36522-S,30-43814-S,62-19570-S
political opinion	57-56375-S
political or administrative system or institution	9-11112-B
political or military	48-22133-S
political organization	29-56433-B
political parties	5-35571-S
political party	11-47314-S,16-63-S,18-4815-S,29-58149-B,32-24545-S,53-7924-S,71-44623-S,71-45612-S
political party member	71-44467-B
political party platform	71-45266-B
political party related	71-44904-B
political party school	71-44844-B
political power	29-55779-B,29-55859-S
political prisoner	29-56586-B
political program	29-57544-B,29-57679-B
political quality in ideological education	29-56748-B
political re education	29-55557-S
political recantation	59-11191-S
political record	29-54298-S
political reform	59-10021-B
political reform of qin state 秦國 秦国 of 361 bc	13-61867-S
political rehabilitation	22-37891-B
political relations	29-57016-B
political renewal	50-3566-S
political revolution	68-4594-B
political science	29-56109-B
political science and law	2-58572-S
political situation	29-54388-B,29-55501-B
political slogan	20-6636-S,23-42737-S
political staff	29-57463-S
political stage	53-32154-S
political strategists pre han school of thought	50-29181-B
political training office during chinese revolution	29-57793-B
political unrest	10-1432-S,10-1868-S
political views	29-57741-B
political wisdom 成语 saw	39-40715-S
political work	29-54442-B
politically	58-31039-S
politically astute	39-40715-B
politically conservative	5-35365-B
politically correct term for eskimo 愛斯基摩人 爱斯基摩人	14-61639-S
politically dissenting	27-55932-B
politically marginalized	23-36508-S
politically right wing	12-23413-B
politically sensitive	29-62911-B
politically unaffiliated	40-64557-B
politician	29-54253-B,29-56182-B
politician from guilin	14-57511-S
politician wu zixu 伍子胥	13-6199-S
politics	1-47362-S,12-13833-S,23-4965-S,29-53675-B,29-53729-B,29-55926-B,29-56109-B,29-57292-B,32-62129-S,42-39642-S,52-22135-S
politics and law	29-57168-B
politics etc sometimes derog 	9-23167-S
politics or business	60-34099-S
poll	36-20464-S,36-20530-S,36-22863-S,58-37968-S,61-16723-S,61-20124-S
poll count	46-64118-B
poll tax	4-18303-B
pollen	53-59093-B
pollen sack on stamen	53-60379-S
pollinate	6-38337-S
pollination	6-38337-B,28-12535-B
polling	61-16723-B
polling company	5-851-S
polling station	46-64289-B
polling station for a vote	27-2995-B
polloi	31-51773-S
pollutant	36-62889-B
pollute often fig 	37-26026-S
pollution	14-35756-S,26-2647-S,36-42509-S,36-46911-S,36-62773-B,41-2173-S,43-5290-S,47-48355-S,64-15499-S
polo	36-44309-S,69-40344-B
polo 1254 c 1324	69-34864-S
polo bridge	55-36584-S
polo bridge in southwest of beijing	45-13738-S
polo bridge incident of 7th july 1937 that sparked ww2 between japan and china	1-26425-S,45-13840-S,55-36662-S
polo pool	36-44354-S
polonium po 釙 钋	64-18519-B
poltergeist in temple that plays tricks on monks and has a taste for their food	50-55817-B
poly	1-68753-S,16-53627-B,26-55184-S,46-1712-S
polychlorinated biphenyl	16-59756-B
polyeonatum officinale	41-13254-B
polyester	16-54107-B,51-55279-B,51-55828-B
polyester fiber	39-27979-B,51-55870-B
polyethylene	51-53390-B
polygala arvensis willd or p telephioides	20-69975-S
polygala japonica	54-60997-B
polygala myrtifolia	62-60835-S
polyglot	16-63547-B,60-39969-B
polygon	16-63362-B,16-64037-B,16-64300-B
polygonal line	8-31573-S,27-10115-B
polygonum	55-9647-B
polygonum aviculare knot weed	54-48780-B
polygonum posumbu	55-43965-B
polygonum tinctorium	55-9728-B
polygram	20-31375-B
