room tiles	21-20570-B
room to advance or to retreat 成语 saw	62-31841-S,62-32013-S,62-32227-S,62-32397-S
room to meet guests	19-51305-B
room to put sth	29-48594-S
room used for bathing	38-14767-S
room with irises and orchids 成语 saw	53-51398-S
roommate	12-46609-B,19-56135-B
rooms	8-53159-S,65-43568-S
rooms of palace	8-12271-S
roosevelt 1858 1919	50-58988-S
roosevelt name	50-58988-B
roost	16-15832-S,33-52318-S,34-24041-S,34-39939-S
rooster	7-65899-B,66-54000-B
root	9-5144-S,22-41478-S,26-39293-S,30-62939-S,32-55428-S,32-60330-B,33-31149-S,33-45292-B,33-54275-S,33-63839-B,33-64185-B,39-15714-B,43-15070-S,53-29950-S,54-9970-S,54-57001-S,54-57265-S,65-29737-S,65-29737-S,65-36811-S
root and branch	9-31199-S,30-38497-S
root and branch 成语 saw	32-64677-S
root bark of the peony tree	3-3094-S
root bot 	52-6806-S
root botany	19-67361-S
root cause	11-31103-B,33-64449-B,37-24607-S
root cause and symptoms of a disease	34-53242-S
root cause of evil	34-32591-S
root cause of trouble	44-10540-S
root for sb	28-6319-S
root fungus	16-14612-S
root is firm	32-61746-S
root of a polynomial	20-13721-S
root of a problem etc	37-24511-S
root of a word	58-10310-B
root of a word by removing prefix and suffix	58-10961-S
root of an equation	3-43605-S
root of chinese pulsatilla	44-48743-B
root of herbaceous peony paeonia lactiflora	44-44722-B
root of isatis indigotica used in traditional chinese medicine	33-31149-B
root of lotus	55-32060-B
root of tooth	71-55067-B
root of unity	14-16999-B
root out	9-38287-S,28-11193-S,66-22392-S
root out the strong and give people peace 成语 saw	66-22240-S
root out the strong and support the weak 成语 saw	64-36020-S
root stock	33-64541-B
root up	9-38246-B
root used for medicine	53-62494-S
root used in chinese medicine	41-48807-S
root used in traditional chinese medicine	71-44126-S
rooted difficulties	45-11370-S
rooted problem etc	33-64369-S
rooted to the spot 成语 saw	64-984-B
rooting out wickedness	66-22063-S
roots	34-61038-S,35-54338-S,53-63886-S,61-58376-S,66-22392-S
roots and inquire at the base 成语 saw	9-5303-S,20-45227-S,45-11228-S,58-12152-S,61-58233-S
roots and intertwined joints 成语 saw	45-11370-S
roots follow	27-34604-S
roots follow 成语 saw	27-33444-S,27-34788-S
roots inextricably attached to the plant	54-12427-B
roots of plant	54-13579-B
roots of plants	16-14392-S,55-10048-S
roots or stems of plants	32-60330-B
roots unit	15-68042-S
roots used in traditional chinese medicine	54-56692-S
roots 成语 saw	9-31199-S,30-38497-S,54-50672-S
rootstock	18-57884-S,28-27236-S
rootstock stem onto which a branch is grafted	46-15561-B
rope	42-19456-S,48-19575-S,49-26044-S,49-34798-S,49-56172-B,49-56172-S,49-56302-S,50-17437-S,50-23427-S,50-25390-S,50-31297-S,50-40540-S,50-41418-S,50-41458-B,50-41587-B,50-41685-B,50-47999-B,57-25622-S,64-41128-S
rope in	27-23277-S
rope ladder	12-43363-S,50-41637-S
rope of a bier	49-34798-B
rope of a fishing net	50-4991-S
rope or cord	49-30357-S
rope or sacks	71-25761-S
rope tackle hanging from a mast	12-44089-B
ropes	25-58125-S,51-31657-S
ropes of a bier	49-56302-B
ropes through tackle to hold up an awning	12-44089-S
ropeway	49-27732-B
roratus red green parrot of papua new guinea	27-10677-S
rose	32-27029-B,42-40819-B,42-41109-B,54-5351-S,55-21694-S,55-21728-B,70-35514-S
rose acacia robinia hispida	36-14387-B
rose by any other name would smell as sweet	42-40891-S
rose color	64-28342-S
rose family	21-30689-S
rose flower	42-40846-B
rose hibiscus hibiscus mutabilis	53-50154-S,53-50370-S
rose tinted spectacles	64-58033-S
rosea	54-38634-S
roseau capital of dominica	50-61435-B
rosebud	55-21874-B
roseheart radish shinrimei radish	24-39178-S
rosemary	35-30742-B,61-55302-B
rosemonde soong 1893 1981	19-35439-S
roses	42-41029-S
rosetta stone	50-56717-B
rosette bok choy brassica rapa var rosularis	40-35230-B
rosicrucian order masonic order	55-21768-S
rosin	33-29071-B,33-29071-S
rosneft russian state oil company	50-58899-B
roster	8-65919-S,61-16121-S
rostock	50-58778-B
rostov	50-58839-B
rostrum	3-4937-B
rosularis	40-35230-S
rosy	62-1167-B
rosy view	64-58033-S
rot	41-35858-S,52-37307-S,52-37373-B,52-37602-S,52-37855-S,65-63545-S,67-41206-B
rot proof	65-63052-B,65-63545-B
rotary club	26-56453-B
rotary drum	61-30679-B
rotary electrical interface	10-38748-B
rotary furnace in steel making	61-25599-S
rotary grill	61-29109-B
rotary grindstone	61-26288-B
rotary motion	31-1559-B
rotate	31-612-S,43-6930-S,61-15406-B,61-21491-S,61-22094-S,61-53242-B
rotate responsibility	5-57661-S
rotating appointment e g presidency of eu	61-15456-B
rotating blade	68-62579-S
rotating flow	30-70760-B
rotating platform	31-753-B
rotating stage	61-21792-B
rotating turret	61-22313-B
rotation	31-1088-S,31-1332-S,31-1494-S,31-1559-B,53-15159-B,54-9676-S,61-16669-S,61-22094-B,61-28886-S,61-53242-B
rotation of crops	5-60465-B,28-47010-B
rotation of crops or fertilizer	69-10666-S
rotation of crops to preserve fertility of soil	61-15534-B
rotation of land	54-9557-S
rotational angular velocity	31-1398-B
rote	35-59559-S
rote learning	35-59509-B,39-37372-B
roth	50-58698-S
roth e g hrw executive director kenneth roth	50-58698-B
rotor	31-130-B,61-22438-B
rotor sluice gate	31-1790-B
rotor wing	31-239-B
rotten	32-70359-B,32-70388-B,41-35858-B,52-37140-B,52-37410-B,52-37535-B,67-41123-S
rotten as wood	34-43100-B
rotten bad luck	67-41123-S
rotten meat	52-19427-B
rotten smell	52-37791-B
rotten state	41-36503-S
rotterdam city in the netherlands	71-8383-B
rotting flesh	52-37737-B
