and broad view	44-25630-S,70-18635-S
and broadcast media	15-5246-S,23-13405-S,23-15372-S,23-15540-S
and broken tongue 成语 saw	27-39841-S
and bruises	62-42714-S
and bruises all over 成语 saw	70-8275-S
and bruises everywhere 成语 saw	44-18392-S
and bruises like fish scales	70-47967-S
and brush style	44-39325-S
and buddha style kungfu martial art	37-60984-S
and buddhas	46-55788-S
and buddhism	42-27653-S
and bull story	2-24937-S,52-22385-S
and bully its owner	26-46744-S
and bumping	35-9909-S
and buried	16-19193-S
and burn agriculture	41-27599-S
and bury	16-32967-S
and bury alive the confucian scholars one of the crimes of the first emperor in 212 bc	40-45301-S
and buses	38-55416-S
and bushes	49-29475-S
and butterfly i e love birds	70-54425-S
and butterfly i e love birds literary school around 1900	70-54593-S
and buy horses 成语 saw	27-41131-S
and by	14-58416-S
and by word 成语 saw	24-34053-S
and cake	54-12138-S
and calculate	39-4259-S
and call	5-50462-S
and call it a horse 成语 saw	27-61283-S
and call the valorous 成语 saw	27-44014-S
and called	62-70383-S
and calligraphy	48-15845-S
and calyx of flower	54-48878-S
and can t be changed	43-28366-S,43-28618-S
and canada	54-49428-S
and canada abbr 	51-2353-S
and candid 成语 saw	7-9855-S
and candle	69-28877-S
and cao zhi 曹植	1-35616-S
and capable	48-54468-S
and capable of overcoming adversity	9-15402-S
and capable 成语 saw	48-53760-S
and capital	10-6064-S,10-6135-S
and capital of fujian province in east china	47-3917-S,47-4060-S
and capital of gansu province 甘肅 in north central china	55-44970-S,55-45168-S
and capital of guangdong province in south china	23-12260-S,23-12418-S
and capital of guangxi zhuang autonomous region in south china 廣西壯族自治區 广西壮族自治区	10-69439-S,10-69778-S
and capital of guizhou province	59-44076-S,59-44172-S
and capital of hainan island province in south china	38-17063-S,38-17178-S
and capital of hebei province 河北省 in north china	46-5631-S,46-5881-S
and capital of henan province in central china	63-33986-S,63-34179-S
and capital of hunan province in south central china	65-16403-S,65-16522-S
and capital of jiangxi province 江西省 in southeast china	10-72121-S,10-72269-S
and capital of liaoning province 遼寧省 辽宁省 in northeast china	37-5565-S,40-13247-S
and capital of qinghai province in west china	57-16114-S,57-16222-S
and capital of shānxī province 山西省 in central north china	17-56396-S,17-56528-S
and capital of shǎnxī province 陝西省 陕西省 in central north china	57-15540-S,57-15966-S
and capital of sichuan province 四川 in southwest china	26-12157-S,26-12279-S
and capital of xiangxi tujia and miao autonomous prefecture 湘西土家族苗族自治州	12-42134-S,12-42306-S
and capital of xinjiang uighur autonomous region 新疆維吾爾自治區 新疆维吾尔自治区 in west china	40-39271-S,40-39476-S
and capital of yunnan province in southwest china	31-19244-S
and capital of zhejiang province in southeast china	33-12795-S,33-12908-S
and capture	26-16239-S,46-18298-S,61-57669-S,61-59251-S
and capture a criminal	33-46369-S
and capture the enemy s flag	28-61502-S
and captured	6-43494-S
and carefree	19-33820-S,25-7846-S,41-41899-S,65-37265-S
and careful	50-12355-S
and careful accounting	48-53603-S
and carriage of a person	3-1049-S
and carriages level 成语 saw	62-25879-S
and carriages 成语 saw	60-59203-S
and carry firewood on one s back	11-53653-S
and carry out	26-58089-S
and carthage	22-14177-S
and carved in one s bones 成语 saw	64-31519-S,64-31701-S
and cassava	17-18328-S
and caterpillar treads	10-56844-S
and cause delays	62-58519-S
and cause trouble to everyone	25-63858-S
and cautious	27-38963-S
and celebrate promotion	23-47088-S
and celery	41-48674-S
and cellulose 纖維素 纤维素	16-62153-S
and ceremonies	6-54400-S
and certain animals	66-51818-S
and chain	33-39904-S
and chained	64-59257-S
and change	28-13177-S,38-6539-S
and change in spoken sound	68-32657-S
and change its direction	15-56658-S
and change of society	38-6539-S
and chaos of war	8-2484-S
and chaotic	67-3692-S
and chapters	48-32148-S
and chariots	61-17224-S
and chariots for battle	23-7149-S
and check	51-21683-S
and cheer 成语 saw	27-29721-S
and cheerful	31-24642-S
and chemical	42-53658-S
and chemical corporation	2-61264-S,2-61362-S,2-76718-S
and chemical factors	42-53712-S
and chemical industry association cpcia	2-61549-S
and cherish the young	20-43733-S
and chew characters 成语 saw	13-28961-S
and child	57-38505-S
and childbirth	19-4022-S
and children	19-63527-S,27-35597-S,29-33977-S,45-46814-S,63-2434-S
and china	1-26425-S,45-13840-S,55-36662-S
and china in the 1950s	4-11991-S
and chinese communist revolutions	29-55980-S
and chinese people s political consultative congress	7-45776-S
and chivalrous	5-42194-S,59-24673-S
and chivalrous disposition 成语 saw	33-44475-S
and chlorophyll	11-11964-S
and choice of filling wrapped in leaves and boiled	48-52215-S
and chongqing 重慶 重庆	26-10487-S
and choose	27-64911-S
and christian mythology	60-43611-S,60-43725-S,70-32632-S
and chrysanthemums	32-68192-S
and chuang tze	51-30338-S
and city	20-40886-S
and city in gambia	58-17744-S
and city in heilongjiang	49-57164-S
and civet	67-53068-S,67-53178-S
and civil field 成语 saw	26-37237-S
and civil registration	46-53660-S
and civil war 1917 1922	31-11801-S
and clam war together and the fisherman catches both	71-1127-S,71-1255-S
and clarify	16-5041-S
and classic of rites 禮記 礼记	58-14311-S
and clatter	14-37907-S
and clean	7-10893-S,9-10609-S,31-25307-S,31-25926-S,38-61046-S,47-55409-S
and clean table 成语 saw	31-25926-S,47-55409-S
and cleanse virtue 成语 saw	40-1179-S
and clear	14-33316-S,26-14979-S,38-64354-S,44-41741-S,48-37238-S,59-16709-S,61-11836-S,65-37595-S,68-18753-S
and clearly	32-45283-S
and clearly structured of text	68-26054-S
and clever talking	8-36470-S
and climate	48-28298-S
and close	47-35668-S,50-24880-S,50-25763-S
and clothed	59-21826-S
and clothing	12-27339-S,22-14971-S,37-9148-S,45-33672-S,50-49478-S
and clothing 成语 saw	48-30075-S,59-21826-S
and cloudless	31-55432-S
and clumsy	34-38975-S,47-30755-S
and clusters 1784	34-12273-S,34-12456-S
and clutching at shadows 成语 saw	28-5521-S
and coal	46-44811-S
and coherent	62-15860-S
and cold	11-62550-S,32-47262-S,38-39188-S,54-17375-S,66-23715-S
and cold press 成语 saw	69-4610-S,69-19831-S
and collect	28-22246-S
and collected	1-73359-S,37-7380-S
and colliding straight on 成语 saw	35-9909-S
and color	32-38812-S,53-59837-S
and colored banners	23-40655-S
and colorless 成语 saw	40-59150-S
and colors	16-55646-S
and come in	8-35281-S
and come out at night	31-45960-S
and come to a decision	46-13254-S
and comfort	4-2392-S
and comfortable	19-33033-S,19-33703-S,43-43733-S
and coming	30-55391-S
and coming youngster	24-1768-S
and coming youngster outstrips the older generation	23-66996-S
and commentaries on classic texts	57-64837-S
and commerce	13-61540-S,21-54371-S
and commercial bank of china	21-57142-S,41-50432-S
and commercial bank of china icbc	21-54683-S
and commissions	63-23036-S
and commit crimes 成语 saw	40-33310-S
and committed 成语 saw from mencius 孟子	24-32792-S
and common	55-46040-S
and common hardships 成语 saw	12-49865-S
and commonwealth affairs	16-42439-S
and communist party	15-2463-S
and compass construction geom 	21-12061-S
and compass in geometric constructions	21-11981-S
and compassionate	14-41879-S
and complaining	39-40576-S
and completely collapsing 成语 saw	1-5398-S
and completely rigorous	71-40283-S
and complicated	49-24351-S,50-37846-S
and complicated story	3-34457-S
and complicated 成语 saw	64-48290-S
and concealed	39-60534-S
and conceited	42-4309-S,68-61851-S
and concentrated effort	19-8967-S
and concise	48-57315-S
and conclusion of a story	49-41217-S
and condemn evil	23-58150-S
and condense a text	9-8531-S
and conduct	24-28403-S
and confer property on one s descendants	8-51621-S
and confident with justice on one s side	42-56035-S
and confiscate	26-63885-S
and confiscate a criminal s possessions	33-45889-S
and confiscate possessions	26-64066-S
and confucian ideals	42-27474-S
and confused	25-26486-S,39-8323-S
and confusing	41-9993-S
and connection	24-54266-S
and conquer	8-57472-S
and cons	8-65300-S,9-6137-S,9-6586-S,61-6276-S,61-6520-S
and conscienscious	10-8810-S
and conscientious	7-23631-S
and conservative	37-42926-S
and consider	56-40631-S,56-41108-S,58-50749-S
and considerate	24-46262-S
and consort of lord brahma	61-37529-S
and constant	24-47132-S
and construct	45-56201-S
and consul	5-15670-S
and consulate	5-15759-S
and consumer science	19-62637-S
and contemporary history	61-48590-S
and contemptible 成语 saw	10-62808-S,10-62946-S
and contended	24-31807-S
and contentment	19-27268-S
and continent	38-25940-S
and control	39-4151-S
and convenient	48-36111-S,61-9671-S
and converge	48-826-S
and conveyance	61-31120-S
and coo 成语 saw	11-28395-S
and cooing	26-43795-S,58-41353-S
and cool	38-63557-S
and cooperation in europe ocse	35-29011-S
and cooperation in europe osce	35-29175-S
and corner	47-31251-S
and corolla	53-60652-S
and correct	33-53423-S,51-34145-S,69-46854-S
and correct errors 成语 saw	56-56545-S
and countryside	15-62787-S
and county in guangdong	30-49603-S
and county in henan	39-28128-S
and county in hunan	30-44600-S
and county in jiangxi	1-57373-S
and county in northeast taiwan	19-50244-S
and county in qizilsu kyrghiz autonomous prefecture in xinjiang 克孜勒蘇柯爾克孜自治州 克孜勒苏柯尔克孜自治州	65-69128-S
and county in shaanxi	68-11896-S
and county in shandong	34-9398-S
and county in shanxi	3-53493-S
and county in taiwan	12-18206-S
and courageous	51-12439-S
and courageous enough to take responsibility for it	30-6343-S
and courageous person	18-28913-S
and court disaster 成语 saw	69-12555-S,69-12695-S
and courteous	23-56964-S
and covenants	30-4203-S
and cover the land	39-52309-S,39-52449-S
and covering the earth 成语 saw	62-66618-S,64-36705-S
and covering the plains 成语 saw	39-52589-S
and cowardly	10-62112-S,47-56251-S
and crab generals in mythology or popular fiction	56-7851-S
and crabs	56-1105-S
and crafts	21-56891-S,26-32669-S
and crafty	18-25658-S
and crane one s neck 成语 saw	23-19574-S
and cranny	39-36715-S
and crawling	62-22729-S
and credit items on a balance sheet	6-1407-S
and crickets	56-15558-S,56-15640-S,56-16274-S,56-16390-S
and crimes	9-49724-S
and criticize	23-49019-S,28-48504-S,38-64171-S
and criticize a lower government report	26-57311-S
and cross the roofridge 成语 saw	60-54554-S
and crude	38-57787-S
and crude of a room or building	48-38793-S
and cruel	35-62680-S
and culture	65-30761-S
and cunning	9-66568-S,58-15062-S
and cunning stratagems 成语 saw	70-32107-S
and cure	65-61992-S
and curse	13-57040-S
and customs	66-29335-S
and cut firewood	53-63394-S
and cypress	33-28238-S
and cypress 成语 saw	55-3049-S
and dales	39-37941-S
and damage property 成语 saw	35-62924-S
and dancing	35-26394-S,52-27625-S,64-2667-S
and dancing monologue	58-45633-S
and danger	19-25057-S,29-31872-S
and dangerous	21-43529-S,21-43614-S,53-44013-S
and dangers	2-35581-S
and daring	33-36681-S,36-30814-S
and dark	71-30815-S
and dashed hopes	15-49160-S,15-49273-S
and daughters	7-22041-S,19-629-S
and day difference 成语 saw	17-45514-S
and deal with	47-44380-S
and dear	57-38035-S
and death	19-7317-S,24-61541-S,43-21551-S,43-23006-S,57-26289-S
and death of historical figure	43-18778-S
and deaths	6-43379-S
and decay	53-22879-S
and deceitful	66-46013-S
and deceive	58-6475-S
and decide	20-22549-S,46-13319-S,56-53397-S,56-53533-S,57-29018-S
and decisive	17-6989-S,30-38655-S
and decline of a kingdom	53-25318-S
and decorate a room	29-30713-S
and decrease	28-52669-S
and decrees	23-66576-S
and decrepit	51-28301-S
and deed	57-56531-S
and deeds	26-27686-S
and deep	11-6990-S,37-29120-S
and deep as the sea 成语 saw	21-33739-S
and deep voice	20-24205-S
and deeply rooted difficulties	45-11370-S
and defecation	17-15888-S
and defenceless	26-34707-S
and defend	69-48070-S
and defendant	7-48042-S
and defense	29-48225-S
and delete	16-26378-S
and deliberate	25-49923-S
and deliberate falsehoods	38-54625-S
and deliberate the reason 成语 saw	56-40631-S
and delights the eye 成语 saw	59-57206-S
and deliver to people	44-25971-S
and demand	5-22852-S,5-23586-S
and demand econ 	5-22600-S
and demerits	9-50603-S
and demerits 成语 saw	58-33789-S,58-44834-S
and demons	70-31956-S,70-34004-S
and demons from a distance 成语 saw	30-13076-S
and denominator	49-4276-S
and denounce sb publicly for their errors often imaginary	26-58460-S
and dependable	24-47075-S,41-51452-S
and descendants	29-39202-S
and deserted	33-26608-S
and deserves to be punished 成语 saw	50-51879-S
and desire for revenge	4-21852-S
and desolate	8-24496-S
and despise the present 成语 saw	59-42167-S,59-43860-S
and desserts	33-36745-S
and destroy	29-19793-S,35-64900-S
and destroying foreign matter	12-65090-S
and destroys foreign matter	12-65201-S
and detached towards sb	8-22090-S,8-22188-S
and detailed	7-24777-S,8-54054-S,31-26055-S,58-17049-S
and detailed investigation 成语 saw	34-35399-S
and determination	18-18181-S
and determine	57-29018-S
and development	46-13597-S
and development oecd	49-58207-S,49-58372-S,49-59618-S
and devil take the hindmost	41-43222-S
and devils vanish 成语 saw	46-55891-S
and devils 成语 saw	46-57228-S
and devoted 成语 saw	24-46487-S
and devotee of singing and singer	35-26625-S
and devotion to	29-62330-S
and devotion to public duties 成语 saw	9-17453-S,18-2800-S
and dew	67-44932-S
and diaphragm	52-8079-S
and die	44-10814-S
and diesel oil	61-12335-S,61-12441-S
and different	30-52429-S
and difficult path	66-46070-S
and difficult road	54-45956-S
and difficulties	8-52980-S,44-7430-S
and dig a well 成语 saw	52-60441-S
and dig for rats 成语 saw	50-58184-S,50-62628-S
and dignified	18-46356-S
and dilapidated	23-9582-S
and diligent	68-46983-S
and diligent study	48-33393-S
and dimsun 點心 点心	54-12138-S,54-12227-S
and dining 成语 saw	63-40681-S
and direct a play	50-19945-S
and dirt	48-62417-S
and disadvantageous	18-27261-S
and disadvantages	9-6137-S,9-6586-S
and disappear unpredictably	8-40954-S,46-55891-S
and disappearing	31-42844-S,66-50641-S
and disassemble	56-60821-S
and disbanded soldiers 成语 saw	30-7255-S
and discharge surplus personnel	50-22012-S
and discipline	37-32655-S
and discipline of imperial court	32-48623-S
and discuss the feet 成语 saw	13-35409-S,58-8413-S
and disgrace	34-42169-S
and disgraces	7-51992-S
