thing that is well suited	45-31947-B
thing through a problem	8-15558-S
thing to stand for another	5-63756-S
thing used in speech	42-39546-B
thing usually derog 	1-24039-S
thing with chopsticks or pincers	30-10836-S
things	2-12362-S,3-32012-B,5-60574-S,6-15265-S,8-6484-S,8-6655-S,8-7004-S,8-56280-S,11-29389-S,17-13078-S,17-46798-S,19-20121-S,24-51857-S,30-61117-S,33-42131-S,39-27696-S,40-49341-S,41-54542-S,43-9296-S,43-49225-S,45-36126-S,45-53510-S,51-26899-S,52-20593-S,52-30078-S,54-43058-S,54-46432-S,61-68194-S,68-54503-S
things add up to sth great 成语 saw	21-3986-S,47-39128-S
things ain t what they used to be	4-23224-B
things all wrong	5-60574-S,61-68194-S
things are going	31-39098-S
things are heading	18-30395-S
things are involved	63-26633-S
things around	5-56009-S
things arranged together	34-23911-S
things as they come	51-69447-S
things at the last minute	52-57896-S
things at the same time	24-34455-S
things back in order	11-50532-S
things bad	16-34473-S
things by impatience	28-47271-S
things by the same method	68-40655-S
things come together 成语 saw	41-52789-S
things considered	50-36564-S
things differently	42-18392-S
things difficult	8-48844-S
things difficult for	40-33251-S
things don t turn out the way you want or plan	3-31677-B
things done relying on others 成语 saw	14-59084-S
things easy for people	30-61708-S
things get back to normal after an upheaval	31-8055-S
things happen	4-44476-S,51-69277-S
things i e stress the incidental and neglect the main point	61-12846-S
things i e stress the unimportant and neglect the important	61-13058-S
things in bits and pieces 成语 saw	67-20251-S,67-20412-S
things of the world	2-37568-B
things on equal terms often with negatives you can t mention x at the same time as y	12-48043-S
things on the same day 成语 saw	1-76013-S,12-48043-S,32-57086-S
things one by one	10-23835-S
things or people from south asia	24-28569-S
things out	29-29425-S
things over	10-64305-S,26-42153-S
things past and present	11-6334-S
things peas	48-47933-S
things philosophically	62-55312-S
things really are	18-30544-S
things remain to be done	44-55698-S
things ribbon	34-13801-S
things right	32-34472-S
things simply	48-38472-S
things simply and thriftily	14-62332-S
things stand	35-41580-S,45-16220-S
things such as	58-47887-S
things take their course	51-69447-S
things take their course 成语 saw	4-42308-S
things take their own course	40-56204-S,68-22053-S
things tends in one direction	44-53006-S
things that do not blend well together	48-59471-S
things that fly	68-63029-B
things that go bump in the night	18-35174-B,70-34080-B
