to a relief effort	28-3905-S
to a religion	30-3514-S
to a riddle	58-52898-S
to a ripe old age in conjugal bliss	44-48302-S,44-48490-S
to a rock as a form of torture	37-6523-S
to a rootstock	18-57884-S
to a sage esp confucius	51-46559-S
to a school	6-28321-S
to a small extent	61-10019-B
to a social problem	53-43083-S
to a son in law living with wife s family	60-1866-S
to a space curve	3-6466-S,9-32727-S
to a specific task	20-37821-S
to a standstill	26-44239-S
to a stop	41-4675-S
to a story	9-57093-S
to a subject	7-25930-S
to a subordinate	26-57152-S
to a superior	2-13314-S,13-8255-S,47-31500-S
to a superior place	14-15930-S
to a surface	8-61397-S,30-19248-S,37-32920-S
to a talk	52-1838-S
to a task	10-3774-S,10-4026-S,20-41046-S,24-43001-S
to a thatched cottage	1-44380-S
to a throne	14-25279-S
to a time	26-16511-S
to a title	14-25123-S,14-25214-S
to a trademark	12-57631-S
to a tune	51-20816-S
to a unappreciative audience	20-52736-S
to a unit	63-38074-S
to a very large degree	24-29914-S
to a wall	41-45750-S
to a word in spoken chinese	7-21793-S,7-21924-S
to abandon	2-45512-B,5-50964-B,18-11181-B,26-51124-B,27-27154-B,27-27221-B,27-40856-B,28-3472-B,28-6573-B,28-6935-B,29-52137-B,34-18065-B,34-18479-B,63-3043-B
to abandon a boat and go ashore	1-49098-B
to abandon a goal etc	50-54410-B
to abandon an infant	34-18195-B
to abandon cultivated fields	54-17522-B
to abandon greed for reputation	62-56008-B
to abandon old ways	23-8961-B
to abandon oneself to despair	53-6985-B
to abandon wife and children	63-2434-B
to abdicate	34-18371-B,47-7755-B,59-13700-B,62-34177-S,62-59316-B
to abdicate as king	47-7227-B
to abduct	9-62487-B,9-62799-B,28-1565-B,49-56039-B
to abduct and sell	27-31142-B
to abet	18-40105-S,30-1663-B
to abhor	11-36692-B,18-58710-B,25-21002-B
to abide by	5-43446-B,24-16899-B,62-68298-B,62-68498-B
to abide by the law	19-22063-B
to abjure	58-23555-B
to abolish	9-38287-B
to abort	28-6935-B,61-61855-B
to abort an action	38-5082-B
to abound in	45-5689-B
to abrade	46-13654-B
to abridge	9-8443-B,50-27766-B
to abrupt transformation	28-54616-S
to abscond	39-60703-B,61-65586-B
to absent oneself from a meeting	61-62148-B
to absolve	65-40509-B
to absolve sb from guilt	65-40579-B
to absorb	12-26030-B,12-65489-B,13-2868-B,13-3140-B,13-3615-B,13-3926-B,14-14021-B,29-34075-B,36-64579-B
to absorb carbon	13-4184-B
to absorb the essence	11-57830-B
to abstain	26-14346-B
to abstain from cooked food for 3 days around the qingming festival 清明節 清明节	20-9857-S
to abstain from food	17-42837-B
to abstain from meat or wine	71-54477-B
to abstain from voting	34-18371-B
to abuse	6-51162-B,13-16435-B,25-826-B,33-31845-B,40-10341-B,48-63066-B,48-63181-B,58-14834-B
to abuse power	18-48472-B
to academics employed as imperial secretaries from the tang onwards	51-19939-S
to accede	5-41921-B
to acceed to a throne	14-25279-B
to accelerate	9-52586-B,9-55650-B,16-27751-B,61-60343-B
to accept	11-59260-B,27-31447-S,27-31770-S,28-24935-B,28-25319-B,28-26069-B,29-39787-B,29-41940-B,49-15595-B,68-33642-B
to accept a bribe	11-64797-B
to accept a contract	26-62420-B
to accept a favor	68-34605-B
to accept a gift	11-63414-B
to accept a job offer	25-61133-B
to accept a legal complaint	11-62818-B
to accept a life of ease	49-17066-B
to accept a marriage proposal	58-4182-B
to accept a payment	27-31614-S
to accept a position on a provisional basis	26-60495-B
to accept a prize	68-34827-B
to accept a state of affairs	51-69940-B
to accept a task	26-60573-S
to accept a version of events	59-45581-B
to accept abdication	11-63358-B
to accept an appointment	11-59582-B,28-12015-B
to accept an illegitimate child as one s own	58-22621-B
to accept and maintain faith buddh 	11-61610-B
to accept as correct 成语 saw	1-67242-S
to accept as final	2-15204-S
to accept checks etc	26-60656-B
to accept criticism gladly humble expr 	51-57365-B
to accept defeat	58-22731-B
to accept delivery of goods	28-42563-B
to accept humiliation	12-67653-B,24-43852-B
to accept job offer	10-11858-S
to accept liability	58-22228-B
to accept misfortunes as decreed by fate	58-20232-B
to accept new ideas	24-36222-S
to accept new members to reinvigorate the party	49-16613-S
to accept one s social role	20-55444-B
to accept or reject	11-58327-B
to accept orders	27-4346-S
to accept other people s views	24-11114-S
to accept punishment	58-21490-B
to accept sth as true	45-26779-B
to accept surrender	11-65036-B,49-18279-B
to accept the consequences of his actions	30-6343-S
to accept the mandate of heaven	26-62489-B
to accept the new	49-16613-B
to accept without question	41-6890-B
to accepting it	24-16079-S
to access	28-28608-B,58-945-B
to acclaim	14-10311-B,47-35173-B
to acclaim as the peak of perfection	14-27136-B
to accommodate	62-12411-B
to accommodate an incense burner	69-24889-S
to accommodate both demands	2-46188-B
to accommodate to circumstances	59-11976-B
to accommodate to sth	62-69359-B
to accompany	4-60079-B,4-60547-B,18-5129-S,49-4569-S,59-5610-B,61-61013-B,61-63508-B,66-23048-B,66-43690-B
to accompany musically	4-60378-B
to accompany wine 成语 saw	20-57125-S
to accomplish	21-8874-B,61-34639-S,61-35202-B,62-53513-B
to accomplish one s ambition	24-8962-B
to accomplish sth	58-2103-S
to accord a favor	60-2656-B
to accord with	12-31449-B,12-34662-B,48-6114-B,71-63972-B
to account	12-20391-S
to account for	5-1329-B,11-12109-B
to accumulate	6-60103-B,29-35568-B,37-5337-B,47-38278-B,49-30993-B,51-55058-B,55-42379-B,55-42523-B,55-42682-B,66-58921-B
to accumulate funds	66-59595-B
to accumulate money	28-57474-B
to accumulate over a long period of time	31-11186-B
to accumulate savings	47-39480-B
to accumulate wealth	43-29895-S
to accumulate wealth by dishonest means	30-24895-B
to accuse	23-49838-B,27-58992-B,28-28880-B,29-47116-B,29-47554-B
to accuse falsely	59-15137-B
to accuse of misconduct in official task	23-47405-B
to accuse unjustly	59-14253-B,59-14321-B
to achieve	20-14218-B,62-52737-B
to achieve anything without support	19-13127-S
to achieve by force	18-17526-B
to achieve fame among one s contemporaries 成语 saw	12-54851-B
to acknowledge	2-18632-S,28-59932-B,58-21253-B
to acknowledge allegiance to some regime	52-54077-B
to acknowledge as one s teacher	27-44712-B
to acknowledge as valid	5-7889-B
to acknowledge greetings	11-63414-B
to acknowledge one s calling to be emperor	26-62489-B
to acknowledge one s mistake	58-22541-B
to acknowledge progress	29-60588-S
to acknowledge sb	25-62266-S
to acknowledge sb as senior or superior	2-31739-S
to acknowledge sb as senior or superior often in negative	59-45581-B
to acknowledge the bandit as one s father 成语 saw	58-22059-S
to acquire	8-6302-B,11-58112-B,23-23707-S,38-58274-B,42-23186-B,69-10956-B
to acquire a company	29-42892-B
to acquire fraudulently	18-8718-B
to acquire notoriety	66-52093-B
to act	9-68220-B,39-45300-B,39-46652-B,53-26363-B,53-27307-B,56-45281-B,69-9296-B
to act a part	6-6440-B,6-13941-B,56-60523-B
to act according to actual circumstances	64-6912-S
to act according to whatever the current outlook	68-27332-B
to act alike	12-35300-S
to act and courageous enough to take responsibility for it	30-6343-S
to act arbitrarily	4-43231-S,4-43792-S,53-4887-B
to act arbitrarily regardless of the rules	52-20593-B
to act as	5-7962-B,6-13941-B,6-15435-B,40-31590-B,41-40600-B,43-64373-B
to act as a go between	17-63406-S,28-3173-B,28-3227-B
to act as a guardian	45-10231-B
to act as a loner	42-19607-S
to act as a matchmaker	58-33162-B
to act as a valet	4-61839-B
to act as accomplice to the tiger 成语 saw	40-33077-B
to act as companion	21-9355-B
to act as fall guy for sb else s misdemeanors	16-24591-B
to act as go between	23-30269-S
to act as go between between prospective marriage partners etc	5-35188-B,6-14702-B
to act as match maker	4-55149-S,29-21528-S
to act as pimp	27-24690-B
to act as substitute	32-17735-B
to act as trustee	57-65349-B
to act at once on hearing the news	51-57662-B
to act blindly	65-27791-B
to act blindly without thinking 成语 saw	61-11979-B
to act boldly	29-52785-B
to act cleverly to get what one desires	57-62747-B
to act contrary to	5-12434-B
to act cute	56-60983-B
to act differently in different situations	59-11976-B
to act energetically	9-47230-B
to act for	4-32380-B,29-34075-B
to act for oneself	53-0-B,53-214-B,53-4887-B
to act for oneself and suffer the consequence	53-796-B
to act for oneself 成语 saw	2-13082-S
to act for sb else	4-33720-B
to act from inside in coordination with attackers outside	57-1607-B
to act impetuously 成语 saw	25-41345-B
to act imprudently	23-29475-B,23-29630-B
to act in a diametrically opposite way	11-44769-B
to act in a play	39-45381-B
to act in accordance with	28-7420-B,29-23527-B
to act in accordance with the old rules	42-29133-B
to act in collusion 成语 saw	37-4404-B
to act in concert with	63-37495-B
to act in place of	6-63984-B
to act in the name of an idea or an organization	31-3456-S
to act in the nick of time	26-2206-S
to act jointly	12-31649-B
to act justly	47-13740-B
to act like an idiot	59-58482-B
to act on	5-8176-B,26-56691-B
to act on behalf of others	4-30112-B
to act on hearsay evidence	28-5521-B
to act on impulse	4-43514-B
to act on one s own	19-13058-B
to act on one s own initiative	53-295-B
to act on sb s behalf	4-33720-B
to act out of malice esp of crime	37-60655-B
to act pragmatically	57-31576-S,57-31761-S
to act precipitously regardless of the consequences	56-23177-B
to act prudently	20-21415-B
to act rashly	56-23177-B
to act rationally	37-13185-S,56-39708-S
to act the part of sb	6-8183-B
to act together	12-35457-B
to act under orders	18-3324-B
to act when it is too late	52-60441-B
to act willfully and make a scene	52-23099-B
to act with confusion	26-32946-B
to act with diligent care	54-54220-B
to act within one s competence	64-5225-B
to act without taking time to think 成语 saw	1-69119-B
to action	9-13722-S,14-6607-S
to action of a drug	27-7309-S
to activate	40-5058-B
to active behavior	11-46384-S
to actual circumstances	64-6912-S
to actuate	28-29981-B
to adapt	28-28131-B,29-45098-B,58-39856-B,62-65245-B,68-24149-S
to adapt a story to another medium	29-44444-B
to adapt oneself to changes	25-61555-B
to adapt to	14-60399-B,62-69359-B
to adapt 成语 saw	37-42671-S
to add	9-50917-B,9-50978-B,16-26138-B,16-27508-B,28-58671-B,38-58099-B,38-58154-B,66-15092-B
to add comments to text	37-44837-B
to add details to a painting	71-39964-B
to add everything together	49-64231-B
to add finishing touch	71-40905-S
to add fuel to the fire	28-31265-B
to add glory	16-26315-B
to add hail to snow 成语 saw	67-15405-B
to add in	9-51435-B
to add in speaking	63-10625-B
to add interest to a story	9-57093-B
to add into	9-50978-B
to add luster	16-26315-B
to add marginal comments on	26-57665-B
to add momentum	28-31265-B
to add oil to the fire 成语 saw	40-19642-B
to add on	9-50978-B
to add or subtract	16-27077-B
to add precision	48-52890-B
to add something extra	61-56446-B
to add sth into a group	28-61199-B
to add sth new	16-27702-B
to add the vital finishing touch	43-59492-S,71-41034-S
to add to one s possessions	38-58274-B
to add up the total	12-37520-B
to address	20-44977-B,47-34257-B,58-55340-B
to address as	47-34492-B
to address sb deferentially	20-43596-B
to adhere	5-25850-B,27-38371-B,66-16081-B,71-27632-B,71-28519-B,71-28782-B
to adhere rigidly to regulations	67-23076-B
to adhere to	24-16899-B
to adjourn	30-8575-B
to adjudicate	20-22192-B
to adjust	58-36030-B,58-38909-B,68-24149-S
to adjust and try out	58-39426-B
to adjust one s direction	28-13084-B
to adjust radio or telescope	58-38471-B
to adjust the speed	58-39803-B
to adjust to	68-24052-B
to adjust to bring into harmony	58-39516-B
to adjust to fit	58-39856-B
to adjust upwards	1-55903-B
to administer	37-24766-B,41-32128-B,45-9726-B,48-26535-B,48-27179-B,48-28407-B
to administer a monastery buddhist or daoist	5-435-B
to administer drugs	71-40432-S
to administer jointly	7-72746-B
to admire	4-40313-B,4-46376-B,6-46433-B,6-48139-B,6-48673-B,14-27307-B,20-43036-B,24-31164-B,24-37465-B,30-11608-B,35-22544-B,35-23783-B,45-60365-B,59-14855-B
to admire as the greatest	14-26893-B
to admire from the heart	24-33641-B
to admire greatly	6-46120-B,6-47909-B
to admire inwardly	71-35875-B,71-36446-B
to admire the view	57-43567-B
to admire whole heartedly	6-47737-B
to admire with gratitude	25-38820-B
to admire with surprise	69-62703-B
to admit	15-53006-B,26-62095-B,58-19734-B
to admit a fault	2-29576-S
to admit allow sb to enter	28-25867-B
to admit an error	58-22541-B
to admit criticism	20-55444-B
to admit defeat	4-54767-B,32-44290-B,58-22481-B
to admit failure	35-57269-B
to admit guilt	4-54312-B,35-24167-B,35-24467-B,58-21426-B
to admit sth is wrong after insisting it is right	32-44290-B
to admit the truth	58-22310-B
to admit to a crime	32-43947-B
to admit to one s advancing years	32-44015-B
to admonish	10-11030-B,57-32258-B,57-65145-B,58-30961-B,58-43470-B,58-46529-B,59-355-B
to admonish sb frankly	45-24681-B
to admonish subordinates	57-65087-B
to adopt	12-14969-B,26-62031-B,28-21749-B,62-14903-B
to adopt a child	68-35471-B
to adopt a false attitude	6-8283-B
to adopt a measure	28-21005-B
to adopt a unified approach to discussing an issue	49-50978-S
to adopt an attitude	5-5817-B
to adopt confrontational posture	20-55259-B
to adopt different attitude depending on the circumstances	66-45313-S
to adopt or carry out measures	28-20941-B
to adore	6-47909-B,6-48673-B,12-63221-B,41-19286-B
to adorn	5-49913-B,26-44346-B,39-62104-B,49-41371-B,56-60349-B,57-47-B,69-8964-B,71-41721-B
to adult teeth	71-54982-S
to adulterate	29-4735-B,51-15384-B
to advance	5-31216-B,7-5994-B,7-23547-B,9-24921-B,28-37621-B,56-35247-B,60-28339-S,62-28385-B,62-30357-B,62-31428-B,64-33377-B,68-28204-B,69-18152-B
to advance bravely	9-66180-B
to advance on sth	62-32665-B
to advance one s career	16-24770-S
to advance one s career by currying favor	17-3593-B
to advance one s career by graft	17-3511-B
to advance or retreat	62-31481-B,62-31760-B,62-32148-B,62-32566-S
to advance or to retreat 成语 saw	62-31841-S,62-32013-S,62-32227-S,62-32397-S
to advance prematurely	8-11871-B
to advance to breakdown	29-3265-S
to advance with difficulty	60-28339-B
to advantage	40-40878-S,40-40878-S
to adversity 成语 saw	61-65870-S
to advertise	6-15090-B,23-10754-B,23-41836-B,27-42390-B,34-53633-B,44-29516-B
to advertise for customers	27-42288-B
to advertise oneself with trumpet and drum 成语 saw	53-3557-B
to advise	10-10382-B,10-10449-B,10-10627-B,10-10918-B,57-32818-B,58-46579-B
to advise against	10-11795-B
to advise against sth	10-11030-B
to advise and teach	10-11106-B
to advocate	3-5387-B,6-2278-B,17-31709-B,21-41425-B,28-36978-B,44-29516-B
to aerate	9-56784-B
to aerate granary	36-29732-S
to affect	5-8176-B,25-38714-B,25-39135-B,41-63163-B,65-53904-B
to affect adversely	59-48697-B
to affect usually adversely	23-59946-B
to affiance a daughter	58-3439-B
to affiliate	28-59997-B
to affirm	52-13173-B
to affix a seal	55-5210-B
to affix a seal to sth	55-6178-B
to afford a view of sth	55-11417-B
to age	2-37519-S,56-48342-B
to age of person or object	51-25935-B
to agglomerate ore by burning	41-27406-B
to agglutinate	71-28519-B
to aggravate	9-52586-B,25-24798-B,59-9647-B
to aggravate a situation	40-19642-S,40-19806-S
to agitate	29-36803-B,40-4618-B,45-14367-B,69-62279-B,71-40529-B,71-47822-B
to agitate for	71-47943-B
to agree	12-47705-B,13-59203-B,18-6236-B,26-61212-B,27-948-B,48-20728-B,52-12974-B,57-56606-B,71-63972-B
to agree among the part	45-28700-B
to agree implicitly	8-15453-B,31-60674-B
to agree on a meeting place	45-30313-B
to agree tacitly	71-36939-B
to agree to and sign a treaty etc	48-40985-B
to agree to differ	36-53676-B
to agree to pay compensation	58-22228-B
to agree with	20-55111-B,48-6114-B
to agree with a glance	45-52361-B
to agree with sb	47-38518-S
to agriculture	61-42722-S
to aid	27-48029-B,28-50876-B,28-50973-B,45-28420-B,57-2550-B
to aid north korea in 1950	2-53067-S
to aide	61-8868-B
to aim	45-57987-B
to aim a weapon at a target	45-58017-B
to aim at	64-18702-B
to aim for a higher standard	45-58017-S
to aim gun	41-8202-B
to aim low	38-56665-B
to aim to get by	38-56665-B
to air	32-2431-B
to air mail etc	22-37398-S
to air missile	15-40310-S,47-46334-S,47-46421-S
to al qaeda 基地組織 基地组织	15-67626-S
to alarm	69-61337-B,69-62279-B
to alarm everyone	69-60570-B,69-60672-B,69-62601-B
to alaska	52-14372-S
to alert	59-0-B
to alienate	44-3249-B
to align	9-58460-B,20-57922-B
to all	32-36896-S,32-37053-S,32-37212-S
to all men to shave their heads but keep a queue	9-16235-S
to allay	50-22888-B
to allay one s hunger	7-754-B,7-810-B
to allege	43-44556-B
to alleviate	39-1122-B,49-20002-B,50-22888-B
to allocate	8-48969-B,8-56156-B,8-59002-B,9-39448-B,9-39578-B,58-39968-B,63-37383-B
to allocate funds	30-37944-B
to alloimmune reaction between mother and fetus	39-24544-S
to allow	6-60480-B,6-60629-B,8-25340-B,8-25409-B,19-65144-B,24-5886-B,25-61254-B,49-49050-B,51-69238-B,52-2087-B,58-2744-B,58-3158-B,58-3341-B,66-42753-B
to allow a person or an animal to go	29-52883-B
to allow for a drop in value	6-28714-B
to allow for something	70-9900-B
to allow others in on the act	10-18713-S
to allow room for error	20-26125-B
to allow sb to act arbitrarily	4-43231-B,4-43792-B
to allow sb to do as he pleases	52-514-B
to allow sb to have his head	4-44476-B
to ally	45-6888-B,51-57782-B
to ally oneself with	49-43005-B
to ally oneself with sb	18-6236-B
to also be called	4-1445-B,11-41689-B
to also say	63-10625-B
to alter	29-43530-B,29-43783-B,29-45630-B,29-46088-B,32-7259-B,47-26081-B,47-58909-B
to alter a text indiscriminately 成语 saw	18-32412-B
to alternate	3-70505-B,32-8368-B,32-9259-B,59-8852-B
to amalgamate	56-10837-B
to amass	47-38278-B,47-40237-B
to amaze the world with a single brilliant feat 成语 saw	1-23164-B
to ambush	57-25925-B,63-8433-B
to amend	5-48034-B,29-44892-B
to amount to	40-57468-B
to amplify	16-26685-B,56-35596-B
to amputate	9-15831-B,9-34283-B
to amuse	62-4279-B,62-4463-B,62-4530-B
to amuse oneself	18-60961-B,62-4141-B,62-37323-B,62-37645-B
to an account	9-39578-S
to an accusation	48-21567-S
to an affair	43-65410-S
to an agreement	58-31704-S,58-39214-S
to an army post	7-544-S
to an attack	29-48304-S
to an audience	19-55742-S
to an earlier date	28-37621-S
to an earlier time	28-39873-S
to an effect	60-16416-S
to an emergency	25-59392-S,28-62535-S
to an end	29-40732-S,29-42299-S,32-51384-S
to an end of a meeting	65-27929-S
to an important post	4-41451-S
to an individual on a collective farm	53-12041-S
to an inferior	59-57066-S
to an interview	12-10157-S
to an object	9-8754-S
to an octave	56-59765-S
to an unfounded conclusion	18-33021-S
to an unwarranted conclusion	18-33217-S
to analyze	8-54589-B,29-23374-B,33-32149-B,46-13470-B,57-47624-B,57-50239-B
to analyze and solve	46-20049-B
to analyze and treat	8-55184-B
to analyze minutely from every angle	28-34613-S
to ancestors	23-27034-S,46-64652-S
to anchor	37-28723-B
to ancient bronze artefacts	67-58966-S
to ancient tradition worship the river first	7-4355-S
to and fro	3-45685-S,5-17354-B,6-57006-S,9-18085-S,23-61534-S,23-62912-S,29-29351-S,62-35444-S
to and fro between two sides	27-26206-S
to and fro with hand	29-12188-S
to and serve the rich and powerful by literary hack work etc	22-36210-S
to and sign a treaty etc	48-40985-S
to anemia	39-24451-S
to anger	8-40330-S,25-41659-S,36-24927-B,36-25306-B,37-59628-S,37-59937-S,37-59991-S,37-60046-S,44-30671-S
to annex	5-27147-B,8-6302-B,10-17486-B,12-32228-B,12-64727-B
to annex manchuria	3-17360-S,33-49592-S
to annihilate	7-38224-B,35-64900-B,38-31043-B,51-54751-B
to annotate	26-57665-B,37-43983-B,37-44837-B
to annotate e g a character with its pinyin	34-53821-B
to announce	4-64970-B,4-65108-B,7-54638-B,16-8481-B,19-53661-B,19-54544-B,22-13546-B,27-12049-B,29-15252-B,62-8869-B
to announce in advance	3-29226-B
to announce publicly	28-48560-B
to announce reverentially	30-11131-B
to annoy	25-24798-B,25-26682-B,29-36586-B,29-36856-B,36-25306-B,50-45316-B,50-45413-B
to annoy to death	41-10242-B
to annul debts	20-24136-B
to anoint	27-15913-B,52-47094-B
to anoint your head with the purest cream 成语 saw	63-47720-S
to another	35-51577-S,61-30120-S,62-69438-S,68-51240-S
to another college	61-22539-S
to another document	11-39607-S
to another language	61-28074-S
to another medium	29-44444-S
to another person	58-4693-S
to another place	40-18072-S
to another religion	29-43595-S
to answer	14-54252-B,20-46157-B,24-12792-B,25-58764-B,25-59201-B,28-59241-B,28-60070-B,28-60319-B,48-20395-B,48-20599-B,48-20650-B,48-21067-B,48-21173-B,48-21382-B,54-13616-B,58-17361-B
to answer back	11-45809-B,63-9834-B,63-9893-B
to answer beside the point	48-21628-B
to answer questions as teacher or consultant	48-20971-B
to answer the phone	28-24729-B
to antarctica	33-16969-S
to anticipate	7-5005-B,25-25494-B,25-28184-B,25-29467-B,30-34368-B,30-34634-B,30-34693-B,32-51455-B
to any doctor one can find when critically ill 成语 saw	44-9959-S
to any place and any time 成语 saw	14-51521-S,29-48739-S
to anyone	66-49619-S
to apologize	58-55815-B,62-51337-B
to apologize humbly	58-43182-B
to appal	69-61337-B
to appeal	58-4549-B
to appeal for help	36-53563-B
to appeal for justice	43-42758-B
to appeal to	13-19491-B
to appeal to sb	43-43911-B
to appear	4-62181-B,4-62254-B,6-50232-B,6-53896-B,8-42047-B,13-8325-B,23-53607-B,43-32422-B,68-50620-B,68-51417-B,68-52735-B
to appear and disappear unpredictably	8-40954-B,46-55891-B
to appear as a vivid image	60-53359-B
to appear clearly	8-31802-B
to appear in an excavation	8-37476-B
to appear in public	4-4679-B,67-47978-B
to appear in the flesh	42-50986-B
to appear in the news	1-47996-B,57-29656-B
to appear learned	28-13280-S
to appear of products	8-43664-B
to appear of sun	31-45840-B
to appear on stage	8-37668-B
to appear on the scene	41-62242-B
to appear out of the water	8-40515-B
to appear repeatedly	61-23473-B
to appear suddenly	47-54103-B
to appear to be sth	57-29437-B
to appear to be very safe	4-62330-B
to appear unexpected ly	8-42110-B
to appear vividly on paper 成语 saw	60-53455-B
to appease	18-40031-B,19-29590-B,47-43504-B,49-57396-B
to append	5-25850-B,61-56446-B
to applaud	58-19484-B,71-48247-B
to apply	5-14453-B,25-60177-B,54-53241-B,62-38588-B
to apply as before	37-27291-B
to apply color	54-55551-B
to apply for a job	25-59304-B
to apply for license	43-44705-B
to apply for sth	43-44016-B
to apply glue or ointment to a surface	30-19248-B
to apply intelligence	21-60538-B
to apply it	19-16686-S
to apply ointment	16-18621-B
to apply paint	38-27896-B
to apply powder	30-18397-B
to appoint	4-41235-B,4-43564-B,18-41757-B,38-350-B
to appoint a general in theater	71-39111-B
to appoint an official that is kept secret among the hierarchy	7-27757-S
to appoint and dismiss	4-42201-B
to appoint and nominate	4-42705-B
to appoint officers	28-42348-B
to appoint people according to their merits 成语 saw	4-41706-B
to appoint people by favoritism 成语 saw	4-41576-B
to appoint sb for a task	71-39111-S
to appoint sb to a post	4-41517-B
to appoint sb to a specific task	20-37821-B
to appoint the virtuous and use the able 成语 saw	4-44001-B
to appoint to a position	51-53054-B
to appraise	4-59450-B,13-35625-B,28-47909-B,58-7045-B,58-7321-B,58-7462-B,58-7742-B,65-6484-B
to appraise and decide	57-29018-B
to appreciate	35-22544-B,42-38997-S,42-40741-B,59-14855-B,65-6914-B,68-34896-B,70-9900-B
to appreciate a subtle taste	70-5934-B
to appreciate beauty	59-57066-B
to appreciate favors	2-30434-S
to appreciate feelings	25-41129-B
to appreciate in value	39-53912-B
to appreciate sb s kindness	2-30434-S
to appreciate with surprise	69-62993-B
to apprehend	27-54700-B,50-18049-B,50-18177-B
to approach	1-46226-B,5-26741-B,11-23816-B,15-54430-B,21-8874-B,31-65848-B,60-30765-B,61-52553-B,61-52671-B
to approach a numerical value	60-31779-B
to approach sb s ear to whisper	66-16016-B
to approach zero in calculus	61-49246-B
to appropriate funds intended for another purpose	16-24915-B
to appropriate money	29-11465-B
to approve	12-10925-B,12-47705-B,26-56920-B,58-20099-B,58-21727-B
to approve a decision	12-15050-S
to approve and carry out	26-58089-B
to approve and forward	26-57989-B
to approve by nodding one s head and smacking one s lips 成语 saw	71-42826-B
to approve of	59-14611-B,59-14712-B,60-3390-B
to approve use of foreign currency	26-57085-B
to approve vacation	26-56868-B
to aquiesce to old age	32-44015-B
to arch	27-48151-B
to archive data	23-52911-B
to argue	13-29469-B,41-39531-B,57-60576-B,61-37718-B,61-38229-B,70-30050-B
to argue illogically	23-45295-B
to argue in favor of	61-38747-B
to argue irrationally	23-45173-B
to argue pointlessly	46-38708-B
to argue strongly for what is right	29-24599-B
to argue who is right and wrong 成语 saw	41-39989-S
to argue with someone less well informed	1-19510-B
to argue with the courage of one s convictions	27-70445-B,27-70599-B
to arise	8-42047-B,43-32422-B,53-25406-B
to arise abruptly	47-53053-B
to arise suddenly	41-62242-B
to arm	35-48593-B
to arms	6-37346-S
to arnold schwarzenegger 阿諾·施瓦辛格 阿诺·施瓦辛格	66-12385-S
to arouse	23-30950-B,27-64379-B,40-4211-B,40-5545-B,71-47822-B
to arrange	4-65637-B,8-65665-B,19-29284-B,28-26662-B,29-29351-B,30-16007-B,30-35196-B,30-35379-B,48-43361-B,49-3835-B,50-20160-B,58-1576-B,64-37430-B,64-38281-B,67-12934-S,68-21881-B,68-32433-B
to arrange an interview	49-7861-B
to arrange clothes to be ready	30-16223-B
to arrange colloq 	26-41059-B
to arrange in a straight line	30-16632-S
to arrange in pairs	28-58671-B,28-61199-B
to arrange to give the same story	20-47690-B
to arrest	26-67574-B,27-247-B,27-382-B,27-38616-B,28-2392-B,50-17906-B,50-17999-B,50-18177-B
to arrest and take away	27-0-B
to arrest for punishment	27-55557-B
to arrive	1-72558-S,5-16905-B,5-17227-B,6-65579-S,9-9255-B,9-10192-B,27-14313-B,33-64800-S,52-55987-B,60-41196-S,62-47875-S
to arrive at place or time	21-19307-B
to arrive home	52-62585-B
to arrive in china of a foreign national	27-15091-B
to arrive late	62-67312-B
to arrive news	6-33769-B
to arrive of water	40-16812-B
to arrive suddenly	47-53053-B
to arrive without invitation	2-34040-B
to arrogate power	29-18378-B
to arrogate to oneself	29-18149-B
to articulate	11-70754-B
to as	5-33442-S
to ascend	31-20018-B
to ascend onto	44-23423-B
to ascend progressively	62-59745-B
to ascend to heaven	10-52974-B
to ascend to the middle class	2-76283-B
to ascertain	9-2649-B,26-56691-B,28-2526-B,33-46122-B,46-33291-B,69-58519-B
to ask	6-56471-S,13-62452-B,17-63500-B,44-27087-B,49-26044-B,49-26257-B,57-26552-B,57-60842-B,58-42117-B
to ask a favor	2-9976-S
to ask a price	57-25137-B
to ask about sb s health	14-34182-B
to ask an enormous price as first negotiating step	57-27609-B
to ask and learn from one s subordinates	2-9764-S
to ask buddha	44-36424-B
to ask earnestly	17-63567-B,17-63638-B
to ask for a light	20-52497-B
to ask for advice	57-63203-B
to ask for alms	57-61825-B
to ask for bail money	57-62134-B
to ask for emergency assistance	13-9076-B
to ask for food	57-63777-B
to ask for forgiveness	57-63833-B
to ask for higher pay	70-15112-S
to ask for lodging	5-65434-B
to ask for mediation	17-63406-B
to ask for sth	4-61376-B
to ask for sth and receive it	36-53974-B
to ask for trouble	26-58900-B
to ask leave to go to the toilet	13-8755-B
to ask oneself	11-54824-B,53-3894-B
to ask oracle for war forecast	11-11346-B
to ask sb to do sth	5-16361-B,17-63997-B
to ask the way	13-63251-B
to ask to be excused	13-8755-B
to ask to buy	43-44416-B
to assail a woman with obscenities	58-37410-B
to assassinate	9-13141-B
