to one's gaze fixed and frozen.	definxu obtutu
to oppose, defend, stand against.	obsto
to oppose, resist, fight back.	adversor
to oppress, burden, make suffer.	gravo
to ordain.	monstro
to order, bid.	iubeo
to order, command /tell someone to do.	iubeo iussi iussum
to otherwise bring upon, enter, be troublesome.	infero
to overcloud.	obnubilo
to overcome, bend.	flecto
to overcome, conquer.	convinco
to overcome, to demonstrate.	convinco
to overflow, abound,.	exundo
to overflow, stream over, overflow, excess, flood.	redundo
to overtake, arrive.	supervenio
to overthrow, prostrate.	prosterno
to overthrow.	subversio
to overturn, destroy. .	subverto
to overwhelm, destroy.	obruo
to owe, to be morally bound to, to be bound by.	debeo
to pacify, make peace, reconcile.	pacifico
to paint, embroider, draw.	pingo, pixi, pictum
to pander, flatter, make up to /to promote, advance.	lenocinor
to pardon, forgive, excuse.	indulgeo
to pardon.	ignosco
to pass away, be destroyed, perish.	pereo
to pass away.	defungor
to pass betond, go beyond.	praetorgredior, pretergredior
to pass beyond.	transgredior
to pass judgment.	judico
to pass over, pass by, omit.	praetereo, pretereo
to pass through, go across.	transeo
to pass through, survey, look, examine.	perlustro
to pass through.	permeo
to pass time, live.	degero
to pass, to have been.	abeo
to pass.	transigo, transactum
to pay a creditor, satisfy a creditor.	satago
to pay the penalty.	poena dare
to penetrate /sting, annoy, harrass.	pungo pupugi punctum
to perceive, experience, hold an opinion,.	sentio
to perceive.	cerno
to perish, be utterly ruined.	depereo
to perish, die, go to ruin, decay.	intereo
to perish, die.	intereo
to perish.	dilabor
to persecute, hunt down, track, trail.	persequor
to persist, persevere, continue.	persevero
to persist, persevere.	persisto
to persist, remain firm.	persto
to pertain to, relate to, concern.	pertineo
to pick out, select, choose.	eligo
to pierce through.	transverbero
to pilfer.	surripio
to pillage.	depopulo
to pillage.	depopulor
to pity.	misereo, misereor
to placate, appease.	placo
to place /leave in the lurch, abandon,.	destituo
to place an interdict.	interdico
to place between, interpose /intervene.	interpono
to place near, put to, serve, put on the table.	appono
to place, intrust, join.	committo
to place, put, arrange.	colloco
to place, put, position.	loco
to place, set, stow /embark /cheat, deceive.	impono
to plan, arrange, contrive, think out.	incogito
to plan, search, procure.	quaero
to plant, breed, produce, give rise to.	semino
to plant, implant, generate.	ingenero
to play the fool, to trifle.	ineptio
to play, sport /imitate, banter /delude, deceive.	ludo, lusi, lusum
to play/sing to stringed instrument, esp. cithara.	psallo
to plead urgently.	efflagito
to pledge, agree upon.	pango
to plow up, dig up /write on a wax tablet.	exaro
to plow.	aro
to pluck off / to gather, take away.	decerpo
to pluck, rescue.	eruo
to pluck, seize, grab, lay hold of, hold on to.	carpo
to pluck, twitch /criticize, taunt.	velico
to plunder, lay waste, pillage, ravage.	depraedor depredor
to plunder, tear to pieces.	diripio
to plunder.	praedor
to plunge.	demergo
to poison, taint, corrupt.	inficio infeci infectum
to polish, instruct.	erudio
to polish, smooth / instruct, teach, educate.	erudio
to pollute with guilt, with blood, etc.	sceleratus, scelero
to pollute, infect.	contamino
to pollute.	foedo
to ponder, compass + gen.	tracto
to ponder, consider, think over.	pensito
to pound.	contundo
to pour forth, gush, stream.	profundo, profui, profusum
to pour in or over /(+ dat.) administer.	infundo infudi infusum
to pour out, pour forth, shed, utter.	effundo
to pour out.	effundo
to pour together, mix, blend /confound, confuse, trouble.	confundo
to pour upon.	supermitto
to pour, pour out (like molten metal), melt, cast.	fundo
to practise diligently.	exercito
to praise exaggerate /decorate, adorn.	extollo
to praise very much, approve highly.	collaudo
