to suffer, allow.	permitto
to suffer, be afflicted with.	patior
to suffer, endure, permit.	patior
to summon, call / call in an advisor.	advoco
to summon.	voco
to support, strengthen, uphold/ to besiege, oppress.	fulcio
to support.	defendo
to support.	suffrago
to suppose.	suspicor
to suppress, overwhelm, overpower, check.	opprimo oppressi oppressum
to suppress, repress, check, restrain.	compescor
to surge, wave, undulate /to flood.	undo
to surpass, excel.	anticipo
to surpass.	transcendo
to surrender, consign.	dedo
to surrender.	succumbo
to surround, defend.	vallo
to survey, encircle.	lustro
to survive.	supersto
to suspend, hang.	suspendo
to sustain, deliver.	exhibeo
to swallow, gulp down, carry away, engross.	absorbeo
to swallow, gulp down.	gluttio
to swear an oath.	iureiuro
to swear, to make an oath.	iuro
to swell up with anger /swell, swell up.	tumesco
to swell up, increase, swell with anger.	intumesco
to swell, puff up.	intumesco
to take advantage of, benefit or profit from, use.	utor
to take after one's father.	patrizo
to take an oath together, plot, conspire.	coniuro
to take away by force.	aufero
to take away by stealth.	subduco
to take away, subtract.	demo
to take away, withdraw.	abstulo
to take by assault.	expugno
to take captive.	captivo
to take care of, manage.	procuro
to take counsel.	consulo
to take down, produce, fetch out.	depromo
to take for oneself, use, employ, enjoy /perceive, observe.	usurpo
to take form, grow strong.	concresco
to take in hand, begin, commence.	incipio
to take one's stand, stand still, stop, be posted.	consisto
to take or lay hold of, receive, take in/ conceive.	concipio
to take possession, grasp, seize, enjoy, get a start on.	occupo
to take precautions.	praecaveo
to take precautions.	praevideo
to take refuge in, have recourse to.	confugio
to take revenge on, get back at.	ulciscor
to take to oneself, claim, appropriate, call.	adsumo (assumo)
to take up, adopt as one's own.	ascio
to take vengeance for, avenge / take vengeance on.	ulciscor
to take, choose /attack, injure/ comprehend.	capio
to take, choose, obtain, buy./ take for granted, assume.	sumo
to talk to oneself.	sermocinare
to tame, subdue, break in.	domito
to taste beforehand.	praelibo
to taste.	degusto
to taste.	gusto
to tear apart, away, untie.	divello
to tear away, tear off.	avello
to tear down .	destruo
to tear down, snatch away.	deripio
to tear in pieces, lay waste, devastate, plunder.	diripio
to tear in pieces.	conscindo
to tear out, pluck out / turn out, result.	evello
to tear to pieces, mangle /squander money /slander someone.	lacero
to tear to pieces.	dilanio
to tend, cultivate.	excolo
to terminate.	diffinio
to terrify.	perterreo
to test make a trial, put in peril, endanger.	periclitor
to test, put to the test, ascertain.	experior
to the ground, to the bottom, downward.	pessum
to them themselves.	sibimet
to thin out, weed, cull.	runco
to think meanly of, despise, condemn, hate.	contemno
to think, ruminate, ponder, consider, plan.	cogito
to think, suppose, decide.	reor
to threaten, menace.	eminor
to threaten.	comminor
to throw down, dispense with, get rid of /dishearten, weaken.	abicio
to throw forth, fling, abandon.	proicio
to throw on, put on, don /inspire.	inicio inieci iniectum
to throw oneself down, abase oneself.	provolvere se
to throw out, eject, drive out.	eicio, eiectum
to throw to the ground.	sterno
to throw together, infer, guess, conclude.	coniecto
to throw, cast, hurl, lay, scatter, diffuse.	iacio
to thrust back.	retrudo
to thrust down.	detrudo
to thrust.	trudo
to tie up, bind, fasten.	necto
to tie up, bind.	evincio, vinxi, victum
to tinge, dye, stain, imbue.	inficio infeci infectum
to to abide by strictly, continue steadfastly, continue.	persevero
