come forward.	36-4620-S
come in haste.	30-1135-S
come in.	32-7545-S
come near /(things) to be added.	28-481-S
come near, draw near, approach.	2-2660-S
come now, rather, indeed,.	7-4484-S
come often, to visit frequently.	30-1160-S
come out /result, prosper /turn out well.	33-195-S
come out.	30-1204-S
come quickly.	33-2819-S
come to [in adiutorium] to ones assistance, succor.	30-1226-S
come to a boil, become hot.	30-1290-S
come to a conclusion.	34-3584-S
come to pass /arise.	30-957-S
come to pass, happen, befall.	30-1332-S
come to the aid, succor, relieve, help, assist.	30-1372-S
come to, arrive at, reach.	30-1432-S
come to, go before hand, attend.	30-1470-S
come to, undertake.	28-573-S
come to.	30-1516-S,30-1537-S
come together.	33-6152-S
come up to aid, relieve.	30-1563-S
come up to, overtake, obtain.	30-1600-S
come up, arrive unexpectedly.	28-1057-S
come up, rise up, occur.	28-787-S
come upon, find, discover.	30-1643-S
come upon.	36-5150-S
come, arrive, reach.	30-1681-S
come-on.	11-6192-S
come.	29-6832-S,38-3728-S
comely, suitable, proper.	16-6048-S
comet, rays of sun.	14-4978-S
comet.	8-4625-B
comfort, easing, alleviation, consolation.	8-4640-B
comfort.	9-2484-S,30-1713-S
coming from.	5-5626-S
coming to maturity,.	42-3660-S
coming together.	15-3773-S
coming tohether, assembly, union, congress.	8-4694-B
coming.	3-3579-S,5-5990-S
command /tell someone to do.	35-206-S
command /to rule, hold sway.	32-6422-S
command of, by order of.	1-3417-S
command) to, that.	1-2689-S
command, authority, command, rule, control.	21-3850-S
command, leadership.	10-5659-S
command, precept.	16-4107-S
command, rule, control.	21-3850-S
command, will / gravitation, movement down.	3-6472-S
command, will.	3-6529-S
command.	8-4748-B,18-4137-S,25-1748-S,30-1733-S,30-1786-S,34-787-S,37-2380-S
command/ fate, destiny/ lawful, allowed.	11-976-S
commandeer.	34-7790-S
commander in chief, general, emperor.	8-4763-B
commander of a legion.	10-3548-S
commander, general, duke.	17-2669-S
commander, guide.	14-1076-S
commander.	19-6487-S
commence, undertake, start.	31-5973-S
commence.	38-1469-S
