devastate, plunder.	38-2374-S
devastate.	1-6607-S,34-498-S
devastation, ravaging.	10-4666-B
devastation, wasting /population.	10-4698-B
deviate, digress.	30-7248-S
deviate, escape.	39-778-S
deviate, leave.	30-7208-S
deviate, swerve/ digress.	6-2697-S
device.	18-1906-S
devil	10-4742-B
devil, satan.	10-4786-B
devils	10-4809-B
devise, fit out.	31-1060-S
devise, hit upon, discover, find.	34-6227-S
devise.	31-1086-S,32-4482-S
devoid of whatever.	3-448-S
devoid of, free from.	11-5006-S
devote /curse, execrate.	30-3409-S
devote oneself to.	31-0-S,35-6202-S
devote.	10-6056-S
devoted to pleasure.	21-2489-S
devoted to.	28-3128-S
devotion, kindness.	11-3004-S
devotion, zeal.	1-7326-S
devour, waste.	31-4753-S
devour.	31-1107-S,31-1126-S,31-1144-S
dextrous, experienced, skilful / cunning, sly.	8-3732-S
di sum, to show, to exhibit.	12-0-S
diadem, abbot's mitre .	10-4842-B
diadem.	9-5579-S
dialogue.	5-2692-S
diamond-shaped, shield-bearing.	10-4874-B
dice game / risk, chance, hazard.	10-4917-B
dice or dice-playing.	15-529-S
dice-player / gambler / someone who takes chances.	10-4956-B
dice-playing.	15-529-S
dictate, get written down.	36-5980-S
dictate.	42-2108-S
dictated, lessons, presents.	27-2646-S
dictator.	10-5015-B
dictum ) to say, tell, speak, name, call, pronounce.	1-8478-B
did you give it?.	2-4528-S
did you live?.	2-1238-S
die / sink, fall.	32-599-S
die by that creed.	41-1766-S
die!.	2-844-S
die, finish.	31-1654-S
die, go to ruin, decay.	35-1603-S
die, perish, vanish.	31-1162-S
die, wither away, decay.	31-1195-S
die.	32-7477-S,35-1646-S
died.	2-5952-S
differ, be different.	30-6591-S
differ, to be diifferent, vary, disagree.	31-1230-S
difference, hazard.	10-5034-B
difference.	2-2105-S,3-4210-S
differences, diversity.	40-4888-S
different directions.	13-6398-S
different fashion.	15-6514-S,20-3821-S
different substances, heterogenous.	8-5800-S
different ways.	15-6698-S
different, disparate, dissimilar, distinct.	40-2337-S
different, unlike, opposed, hostile.	10-5064-B
different.	5-2648-S,24-1494-S,25-792-S,30-6591-S,31-2367-S
differently from, otherwise than.	10-5110-B
difficult, hard, troublesome.	10-5166-B
difficult, proudly elevated.	10-5207-B
difficulty, barely.	23-6251-S
difficulty, laboriously.	1-5095-S
difficulty, need, trouble, distress.	10-5243-B
difficulty.	11-3596-S,15-2471-S
diffident, ashamed.	32-2078-S
diffuse.	38-3421-S
dig in, bury.	31-1284-S
dig out, excavate /to gut.	31-1325-S
dig up /write on a wax tablet.	35-2795-S
dig up, pull out / raze, demolish.	31-1363-S
dig, cultivate.	15-2944-S
digger, ditcher, sapper / fool, boor, clown.	3-4065-S
digging, delving, sapping, ditching.	10-5292-B
digging, ditching, etc.	18-1829-S
dignity or office, ornaments, esteem.	19-6590-S
dignity, grandeur, greatness.	24-5055-S
dignity, greatness.	18-1061-S
dignity, importance.	41-2881-S
dignity, ornament.	15-3282-S
dignity.	11-2686-S,18-4095-S,22-3753-S
digress / change / vanish, disappear.	31-1406-S
digress.	6-2697-S,30-7248-S
digression.	10-3186-S,11-1461-S,24-1594-S,24-1639-S
diifferent, vary, disagree.	31-1230-S
dilapidated.	19-2235-S
diligence, industry, perseverance, persistence.	10-5337-B
diligence.	10-5396-B
diligent search for, examine.	34-4207-S
diligent, active.	10-5417-B
diligent, assiduous, hard-working.	16-2513-S
diligent, careful.	10-5443-B
diligent, strive after.	28-4407-S
diligently, actively.	10-5471-B
diligently.	6-1944-S,10-5501-B,30-6336-S,35-3825-S
dill, anise.	10-5524-B
diminish, decrease, grow smaller.	34-1674-S
diminish, direct, govern.	34-6660-S
diminish, ebb.	29-3415-S
diminish, narrow.	36-1236-S
diminish, weaken, impair.	35-7618-S
diminish.	30-5356-S
diminished, lessened, decreased.	10-727-S
diminution.	10-2089-S
diminutive / a little, a bit.	17-4767-S
diminutive, small, tiny.	10-5545-B
din.	10-5580-B
dine.	31-1452-S,31-1466-S,32-1939-S,36-648-S
dining table.	10-5595-B
dinner, lunch.	10-5616-B
dinner, meal.	10-5640-B
dip under, go into debt.	37-2299-S
diplomatic power] influence.	3-1648-S
dipper.	41-508-S
direct one's attention to, attract.	38-6371-S
direct one's course, aim at.	32-107-S
direct, address, apply / to throw to.	31-1482-S
direct, direct one's course, aim at.	32-107-S
direct, govern.	34-6660-S
direct, open, straightforward.	21-2061-S
direct, to rule.	33-2031-S
direct, try, attempt, stretch, extend, present, give.	31-1530-S
direction south /heat of summer /disease of cancer.	9-4271-S
direction, command, leadership.	10-5659-B
direction, government.	12-2659-S
direction.	1-5246-S,12-2731-S,18-1446-S,20-4689-S,20-5661-S
directions / at each point.	29-2676-S
directions.	13-6398-S
director, ruler, master.	14-4487-S
director.	10-778-S
diretion, supervision.	18-1384-S
dirt, filth, manure.	11-2812-S
dirt, sod.	22-5879-S
dirty, appear vile.	28-4444-S
dirty, foul.	40-299-S
dirty.	28-7785-S,37-2876-S
disadvantage.	16-1509-S
disagree.	31-1230-S
disagreeable, annoying.	39-5996-S
disagreeable, unpleasant.	10-5702-B
disagreeable.	40-1498-S
disagreement, tearing apart.	24-1684-S
disagreement.	10-5739-B
disappear / pass away.	1-9113-S
disappear, be lost.	32-3563-S
disappear.	31-1406-S,32-3604-S,32-7667-S
disappearance / distant, far.	23-1845-S
disappearing / passing away.	40-4773-S
disappoint.	30-5813-S
disappointed by something.	28-4674-S
disapprove of.	36-2724-S
disaprove, condemn.	22-6123-S
disarm.	31-1593-S
disaster, loss.	7-5486-S
disastrous.	10-5763-B
disburse.	28-1255-S,31-1611-S
discern, know.	31-1630-S
discern.	34-3535-S
discerning.	10-5787-B
discessum ) to break up, depart, go away, pass away.	1-8537-B
discharge (duties).	34-5403-S
discharge one's duties, quit, retire, die, finish.	31-1654-S
discharge, administer.	27-3968-S
discharge, erupt.	29-2900-S
discharge.	16-3565-S,36-2693-S
disciple, student, learner, pupil.	10-5805-B
disciple.	19-4925-S
disciplined, orderly.	21-695-S
disclose fully, find out with certainty, lay open.	31-1716-S
disclose, bring forth.	35-5295-S
disclose, explain.	38-7502-S
disclose, expose, open, make open.	31-1779-S
disclose.	10-3122-S,31-1827-S,34-4701-S,35-5193-S,38-6778-S
discolor.	31-1847-S
discoloration.	10-5851-B
discolored, darkened, corrupted.	10-5878-B
disconsolate, sad.	10-5920-B
discourage, damage, break.	33-5342-S
discourage.	28-7406-S
discourse.	3-3986-S,21-627-S
discourteously.	10-5947-B
discourtesy/ stinginess.	9-6456-S
discover, find.	34-6227-S
discover.	30-1643-S,32-2845-S
discovered. tracked down.	13-4852-S
discoverer.	9-2408-S
discreet, sensible, judicious.	10-5975-B
discreetly.	10-6014-B,10-6034-B,42-358-S
discretion.	13-3339-S,21-4023-S
discriminate.	24-1533-S
discuss, deal with.	31-3197-S
discuss, debate, confer/ betake oneself, devote.	10-6056-B
discuss, speak, declare, utter.	31-1868-S
discuss.	10-6113-B,31-6792-S
discussion, speech.	10-6130-B
discussion.	10-1650-S
disdain, contempt.	24-47-S
disdain, haughtiness.	24-84-S
disdain.	31-1911-S
disease of cancer.	9-4271-S
disease where the body is curved backward.	3-4119-S
disease) attack.	36-7022-S
disease, illness.	24-3938-S
diseased, sick, infected, ill.	10-6156-B
diseased, unwell.	15-5386-S
disembowel.	31-1932-S
disentangle / explain, expound.	38-7218-S
disentangle /ready, settled, arranged.	32-4823-S
disentangle, free, extricate, clear up, unravel.	10-6193-B
disgrace by degeneracy.	29-7096-S
disgrace, blemish + gen.	10-6250-B
disgrace, crime, dishonorable act.	24-2803-S
disgrace, dishonor.	31-1956-S
disgrace, infamy /misfortune.	25-3401-S
disgrace.	3-4177-S,4-257-S,22-5538-S,23-595-S,35-7029-S
disgraceful act.	10-6283-B
disgraceful, dishonorable.	40-2903-S
disgraceful, morally corrupt.	13-4753-S
disgraceful.	24-2886-S,40-5488-S
disguise, keep secret.	30-2284-S
disguise.	31-1989-S
disgust, dislike, sqeamishness.	10-6310-B
disgust, weariness, boredom.	10-6352-B
disgusted at.	28-4477-S
dish, platter, plate.	10-6397-B,10-6424-B
dish.	3-4195-S
dishearten, weaken.	38-3072-S
dishes, courses of a meal.	4-2039-S
dishonor, disgrace, crime, dishonorable act.	24-2803-S
dishonor.	10-6454-B,31-1956-S
dishonorable act.	24-2803-S
dishonorable, shameful /ugly.	10-2610-S
