down).	38-4882-S
down, (for the sun) to set.	32-1344-S
down, abase oneself.	38-3239-S
down, aggravate, afflict.	39-2225-S
down, back and forth, in and out.	33-609-S
down, boil away /(metals) melt away.	29-2344-S
down, bring down.	37-175-S
down, burn, set on fire.	7-4239-S,12-2425-S
down, call aside.	29-5431-S
down, caress by stroking.	37-7036-S
down, carry away, engross.	38-674-S
down, cast down /destroy, ruin.	33-6907-S
down, communicate, offer, refer.	33-2228-S
down, conquer, compel.	27-4472-S
down, cut off / arrange, settle.	1-7369-S
down, depress, low-lying.	35-4463-S
down, destroy.	28-6024-S
down, dispense with, get rid of /dishearten, weaken.	38-3072-S
down, enter (in a register) /assign to a cause.	35-6447-S
down, going to ruin.	12-3545-S
down, investigate.	38-4781-S
down, lay aside.	35-6509-S
down, loitering, hanging around /chair, seat.	24-4937-S
down, lower /subject, subordinate.	34-1737-S
down, lower.	34-1788-S
down, lowered, gentle, mild.	17-3303-S
down, make fast, fix /determine settle /appoint.	32-1626-S
down, obstruct.	33-4859-S
down, oppress.	35-4560-S
down, overturn, overthrow.	38-6432-S
down, place on record.	39-3307-S
down, produce, fetch out.	38-1323-S
down, prostrate, ruined, weakened.	11-634-S
down, recline / be ill in bed.	34-2166-S
down, regard from above, despise.	34-3387-S
down, reside.	37-766-S
down, rest.	3-6076-S
down, secure, fix firmly/ concentrate, fix upon.	12-4001-S
down, settle, sink, subside.	30-4845-S
down, settle.	37-207-S
down, sink, perish / (wind) subside.	32-754-S
down, sloping down.	21-3120-S
down, snatch away.	38-2339-S
down, stifle, overwhelm.	39-2035-S
down, strike against, weaken.	36-1282-S
down, strike down.	25-3150-S,35-4518-S,37-4806-S
down, till.	39-3280-S
down, to put under.	35-6540-S
down, track, trail.	35-1689-S
down, tread under foot.	27-4804-S
down, waste, disappear.	32-3604-S
down.	3-6472-S,13-4852-S,17-6171-S,18-1124-S,21-3120-S,25-3150-S,29-2775-S,32-1410-S,35-4518-S,36-5313-S,36-5653-S,36-5980-S,37-175-S,37-2700-S,37-4806-S,38-727-S,38-3496-S,38-5757-S,39-1668-S,40-3789-S
downfall, destruction.	11-1552-B
downfall.	11-1581-B
downstream.	36-5775-S
downtumble, seduction, bribery.	11-1597-B
downward course.	11-1639-B
downward.	38-2780-S
downwards.	11-1665-B
dowwn, let fall (to offer payment to the church).	24-2162-S
doze, forty winks.	3-6336-S
draft animal.	11-1684-B
drag off.	31-3124-S
drag out, extract, remove/.	11-1707-B
drag, forcibly conduct, entice, allure.	31-3145-S
drag, handle /treat, discuss, deal with.	31-3197-S
drag, pull /derive, get.	31-3248-S
dragging, drawing, pulling /territory, tract.	3-4313-S
drain.	27-6181-S
drained / swallowed up.	11-2565-S
drained.	11-1761-B
drapery.	25-4591-S
draw a deep breath /long for, yearn after.	37-2033-S
draw back, pull back.	31-3298-S
draw back, set aside, take away.	31-3351-S
draw blood, let blood, to bleed (someone).	31-3395-S
draw forth.	31-3447-S
draw in.	29-7364-S
draw near, approach, near.	3-0-B
draw near, approach.	2-2660-S
draw nigh.	28-4577-S
draw on, produce, recall to the colors.	31-3470-S
draw out, draw on, produce, recall to the colors.	31-3470-S
draw out, lead out, march out/bring up, rear/ issue.	31-3529-S
draw out, rpotact, defer, make known.	31-3591-S
draw out.	32-4719-S
draw over, cover/ lead against / pass, spend.	31-3654-S
draw to an end.	29-1213-S
draw together, bind up.	31-3710-S
draw together, tighten, compress, compact /.	31-3748-S
draw together.	29-1810-S,38-5544-S
draw up (troops).	28-1005-S
draw up an order of battle.	21-5420-S
draw up, unite.	32-5562-S
draw up.	31-3806-S
draw, esteem, consider.	34-910-S
draw, shape, construct/ (time) spend, delay.	31-3826-S
draw.	29-4403-S,35-775-S
drawbridge.	7-3140-S
drawing, pulling /territory, tract.	3-4313-S
drawn near, come close, approach.	1-1997-S
drawn up for battle in the shape of a wedge.	39-5887-S
dread of, to be afraid.	36-3626-S
dread, anxiety.	12-4951-S
dread, be frightened.	32-1886-S
dread, fear, terror.	8-869-S
dread, terror / dreadfulness / scarecrow.	11-1780-B
dread, tremble at.	28-4831-S
dread.	12-4979-S,22-2875-S,31-3879-S,32-1853-S
dread/ alarm, object causing fear.	12-5000-S
dreadful as in producing fear, quaking as in feeling fear.	11-1842-B
dreadful.	11-1909-B,11-1929-B,15-3489-S
dreadfully, savagely.	11-1950-B
dreadfully, teribly.	11-1982-B
dreadfulness / scarecrow.	11-1780-S
dream /(+ acc.) to dream of, imagine foolishly.	31-3895-S
dream /+ acc.to imagine foolishly.	31-3953-S
dream /foolishness, nonsense.	11-2015-S
dream of ours.	20-3952-S
dream of, imagine foolishly.	31-3895-S
dream, fancy /foolish nonesense.	3-4369-S
dream, fancy, day-dream /foolishness, nonsense.	11-2015-B
dream.	22-3258-S
dreaming.	28-4553-S
dregs, lees, impurities, filth.	11-2071-B,11-2114-B
dregs, rabble.	11-2157-B
drench.	31-3998-S
drenched.	25-4251-S
drenching.	41-3568-S
dress, a hairband.	3-5426-S
dress, attire, equipment, ornament, embellishment.	11-2180-B
dress, clothing.	1-6184-S
dress, habit.	11-2239-B
dress.	30-713-S
dressed.	11-6313-S
dresser (a man who prunes grape vines).	40-6569-S
dried, roasted, grilled.	11-2261-B
drink dry.	2-6146-S
drink in /think up, conceive.	15-5527-S
drink up, suck in.	31-4018-S
drink, quaff.	31-4048-S
drinking cup.	3-3803-S
drinking vessel.	2-1979-S
drinking, intoxication, drunkenness.	41-5955-S
drinking.	4-1426-S
drip.	39-1853-S
dripping moisture, rainwater from the eaves.	11-2292-B
drive against, strike upon.	31-4070-S
drive away, banish.	33-3844-S
drive away, repel violently, extort.	11-2350-B
drive away, rustle cattle, steal.	31-4216-S
drive away, thrust out.	31-4109-S
drive away.	31-4174-S
drive back, repel.	31-4144-S
drive before one, drive away.	31-4174-S
drive forth, waste, spend, expend.	11-2395-B
drive in, fasten.	32-3067-S
drive into exile, pursue.	35-6938-S
drive off, drive away, rustle cattle, steal.	31-4216-S
drive out, expel, force out, banish.	31-4270-S
drive out, force out, exact, demand, sell.	11-2438-B
drive out.	31-4337-S,38-3291-S
drive together, collect, force, compel.	31-4359-S
drive, beset, urge.	31-4411-S
drive, draw.	29-4403-S
drive, etc.	2-2393-S
drive, lead.	37-4010-S
drive, move towards/ [passive] to land.	31-4440-S
driven	41-1624-S
drooping.	20-5357-S
drop (of liquid).	3-4412-S
drop /fall dead.	32-1448-S
drop, plummet, topple.	32-1307-S
drought, eager desire.	27-2738-S
drowsily.	24-5673-S
drowsiness, apathy, sleepiness, coma.	11-2487-B
drowsy.	24-5705-S
drug, poison, potion.	11-2535-B
drunk up, drained / swallowed up.	11-2565-B
drunk, dyed, steeped.	41-3504-S
drunken	11-2606-B
drunkenly.	11-2629-B
