a ribbon.	3-7344-B
a rival.	3-7363-B
a river).	15-3085-S
a road.	32-4648-S
a royal circuit.	5-0-S
a ruler on a seal	11-4063-S
a ruling, make an arrangment, decide.	32-6053-S
a running down /charge, manoeuver, attack; completion of a course	3-7380-B
a running, race course, race track, course.	3-7173-S
a running, race, lap around the track, course.	3-7455-B
a rusticway.	16-941-S
a saint, celebration of transfer.	39-4659-S
a saying, a speech.	3-7513-B
a school, professor.	18-2471-S
a scream, cry, shriek.	3-7547-B
a scroll, reading of a book.	40-2809-S
a seal	11-4063-S
a second time, afresh.	5-4157-S
a second time, once more.	5-947-S
a selection / chosen body / legion.	3-7581-B
a sentence)/ though.	19-2600-S
a servant, slave.	24-2022-S
a servant, to serve, attend, obey.	28-3079-S
a set or standard form, / formal.	15-370-S
a shadow of a doubt.	7-1710-S
a shaking.	3-7623-B
a sharp point, edge, dagger point.	3-7644-B
a sheep/ a herd.	4-134-S
a ship /ship, vessel.	26-5952-S
a ship, the poop.	25-4407-S
a ship.	14-693-S
a shock.	3-7685-B
a short time, for a little while, for a bit.	13-2483-S
a short time.	13-2355-S
a shout, cry, loud call, outcry.	3-7704-B
a shower is falling.	16-5947-S
a siege engine, catapult, stone thrower.	4-0-B
a siege engine.	4-1181-S
a siege, surround.	37-1843-S
a sign to.	32-6013-S
a signal to march, attack, advance, charge.	4-50-B
a sin, crime.	4-1455-S
a single hair /a trifle.	4-103-B
a single head of cattle, especially a sheep/ a herd.	4-134-B
a single time, for the first time, even once, once, ever.	4-193-B
a size.	25-225-S
a slave to, serve.	1-1712-S
a slave, serve, be devoted to.	28-3128-S
a slave.	28-6373-S
a slight stain, minor disgrace.	4-257-B
a slipping or sliding.	4-298-B
a slope, decline.	2-2811-S
a small bed, cot.	4-331-B
a small book.	3-6012-S
a small oven.	4-358-B
a small property.	3-2657-S
a small staff.	23-3479-S
a small washing vessel.	3-5965-S
a smell/ to make onself noticed.	1-3243-S
a smile.	16-5406-S
a snare, disentangle /ready, settled, arranged.	32-4823-S
a soldier in armor /in chains /furnished with iron.	4-382-B
a soldier, military, martial.	19-5636-S
a soldier.	10-3920-S
a solemn statement, oracle, prophecy, words of a god.	4-443-B
a sort of.	5-6442-S
a source of profit, gainiing, getting.	21-6479-S
a sow).	42-1700-S
a space, court.	4-506-B
a spade, shovel.	4-530-B
a speaking against, contradiction.	4-554-B
a spear.	4-602-B,4-623-B
a speech).	26-5049-S
a speech.	3-7513-S
a spendthrift, bankrupt, a fool parted from his money.	4-646-B
a sponge, brush.	4-710-B
a square.	4-737-B,25-3079-S
a stake, pole.	4-755-B
a stand, oppose.	36-3422-S
a standstill, keep at, hesitate.	28-4159-S
a start on.	38-1632-S
a state of war, warlike.	6-1554-S
a state of war.	39-491-S
a statue in that (abbey).	1-9228-S
a statue in this (abbey).	1-9285-S
a stink.	4-2010-S
a store-room /n. cellarer.	4-5511-S
a strait, to be taken across a strait.	30-4786-S
a strait.	30-4786-S
a stylus for writing /writing.	3-6667-S
a summing up, a uniting.	3-5025-S
a support.	27-5356-S
a sword.	8-4161-S
a taking away.	4-776-B
a team of oxen, a pair /bond, union /slavery.	42-3443-S
a tearing, mangling.	4-800-B
a tearing, ripping, mangling, mutilating.	4-831-B
a temple or church with the land around it, a holy place.	4-882-B
a thief by night, robber.	4-946-B
a thin rope, cord, string.	4-981-B
a thing being done / cure, rest.	1-2889-S
a third.	20-1219-S
a thousand times.	4-1018-B
a thousand.	4-1051-B
a thrower, javelin man, spear thrower.	4-1069-B
a timber /tree-trunk, ship, table.	3-2498-S
a time, one each.	24-4710-S
a tomb.	17-146-S
a touch, contact.	4-1118-B
a toy, rattle, plaything.	4-1145-B
a trap.	13-5560-S
a treaty, make a pact, federate.	27-6767-S
a trebuchet, a siege engine.	4-1181-B
a tree branch (especially olive).	4-1223-B
a tree with an aromatic bark/ sweet-smelling mezereon.	4-1264-B
a trial, put in peril, endanger.	38-2677-S
a trifle.	4-103-S,26-288-S
a tumult, [make a] bustle.	28-5130-S
a turning aside / declining.	4-1325-B
a twelfth, an ounce.	4-1365-B
a type of olive.	4-1392-B
a uniting.	3-5025-S
a vessel for drinking.	4-1426-B
a victim, sacrifice, atonement, punishment /a sin, crime.	4-1455-B
a village manner, in a rusticway.	16-941-S
a vineyard planted with trees.	4-1522-B
a walk, amble.	37-6058-S
a wandering, straying.	4-1562-B
a war, fight out.	39-110-S
a war.	8-4112-S
a wax tablet.	35-2795-S
a way that,.	2-10085-S
a web, that which is woven, cloth, tissue.	4-1593-B
a wedge.	39-5887-S
a weighing out / paying, payment, rent / day of payment.	4-1641-B
a wheel rut.	4-1705-B
a wheel, rotate, turn, go around.	38-6211-S
a widening, expansion / rest, respite.	4-1725-B
a wife, command.	34-787-S
a wise man, philosopher.	2-9364-S
a witness.	33-4916-S
a word incorrectly.	38-7630-S
a workhouse for slaves.	4-1775-B
a wrinkle.	4-1810-B
a written reply, answering letter.	4-1826-B
a yard, enclosure /troop, 1/10 of a legion.	4-1872-B
a) flashing, twinkling, shaking, trembling.	1-3313-B
a, -um) cold.	1-3367-B
a, -um, absurd.	4-1923-B
a, -um] hollow, empty.	3-929-S
a,-um united, connected, joined together.	4-1948-B
a-um, shining, bright, clear.	6-2145-B
a] bustle.	28-5130-S
aaway /avoid, shun.	32-3346-S
ab) to keep from, refrain from.	1-2807-S
ab,sing.) by birth.	1-3391-B
aback	4-2099-B
abacus	4-2117-B
abacuses	4-2137-B
abaft	4-2158-B
abandon	4-2173-B
abandon, betray.	22-1640-S
abandon, defraud.	27-4600-S
abandon, foresake.	27-4630-S,34-1591-S
abandon, forsake.	34-1385-S
abandon, leave behind.	29-3159-S
abandon,.	35-2073-S
abandon.	32-4589-S,34-1627-S,38-3141-S
abandoned	4-2206-B
abandoned, to forsake.	34-1438-S
abandonee	4-2246-B
abandoner	4-2281-B
abandoning	4-2323-B
abandonment	4-2354-B
abandonments	4-2408-B
