ill.	2-3440-S,10-6156-S,19-3820-S,24-3843-S
illness.	24-3938-S,24-3973-S,24-4013-S
illuminate, inflame.	33-6810-S
illuminate.	34-2631-S
illustrious, eminent, distinguished.	15-5436-B
illustrious.	8-3571-S,13-924-S,15-5482-B
image, likeness.	15-5504-B
image.	25-3752-S
imagine foolishly.	31-3895-S,31-3953-S
imbibe, drink in /think up, conceive.	15-5527-B
imbue.	33-4757-S,38-3608-S
imbued.	15-5572-B
imitable.	15-5589-B
imitate, banter /delude, deceive.	35-2611-S
imitate, pay up, deliver.	36-3001-S
imitate, substitute.	33-4773-S
imitated,.	26-4621-S
immatate, represent.	24-4431-S
immature, untimely / undigested / harsh.	14-3804-S
immediately, at once.	1-5179-S
immediately, soon.	19-4677-S
immediately, without delay.	25-2341-S
immediately.	13-4470-S,15-5610-B,16-4055-S,16-5759-S,20-836-S,20-868-S
immersed.	7-4207-S
imminent, superior.	12-1263-S
imminent, threaten.	33-2325-S
imminent.	33-2433-S
immoderate size, vast, huge, monstrous, remarkable.	19-5876-S
immoderate, excessive, beyond measure.	15-5630-B
immortal.	15-5680-B
immovable, not to be persuaded.	4-5185-S
immoveable.	28-6315-S
impair.	10-4397-S,35-7618-S,37-1035-S
impaired.	7-3873-S
impari, discourage.	28-7406-S
impart, make accessible.	37-4551-S
impart, render, return, hand over, surrender.	33-4804-S
impart, turn over.	29-4671-S
impatience.	5-5494-S
impeach, try.	28-1527-S
impede, hold up.	30-6556-S
impede, slow down, obstruct.	33-4859-S
impede.	33-4899-S
impediment, obstacle, difficulty.	15-2471-S
impel, urge on.	37-455-S
impell/cite, mention.	29-6505-S
impenetrable.	15-5701-B
imper v., it is right, just.	15-5731-B
imper v., to assume it shall be, reasonable, necessary.	15-5766-B
imperfect, not whole, missing a part.	18-951-S
imperious, dominering, powerful.	15-5830-B
impersonal) it concerns, it makes a difference.	2-2105-B
impetuous.	40-6689-S
impetuously.	15-5874-B
impious.	12-1558-S,19-3759-S,23-5025-S
implant, generate.	35-2536-S
implement.	16-5338-S
implore, entreat, beg, call as a witness.	33-4916-S
import.	15-5898-B
importance.	3-729-S,41-2881-S
important /severe, grievous.	15-1523-S
important, honorable.	17-1793-S
important.	17-1747-S
imposing / specious plausible.	6-4668-S
impossible to catch, incomprehensible.	15-5914-B
impossible, make voil, annull.	36-4407-S
impossible.	19-3917-S
impostor.	15-5972-B
impotent, without strength.	10-2524-S
impoverished, indigent, powerless.	10-4328-S
impregnable, unconquerable, not to be taken by force.	15-5996-B
impreovement, mitigation.	5-1882-S
impress upon one. to remind.	33-4970-S
impress upon.	30-4892-S
impress.	32-3023-S
imprint, impress.	32-3023-S
imprisonment, bondage, captivity, servitude.	15-6065-B
imprisonment.	15-6118-B,20-1249-S
improve.	31-5522-S
improvident, negligent, thoughtless, feckless.	15-6139-B
improviso) suddenly.	40-1097-S
imprudent, bold.	3-95-B
imprudent, heedless.	7-1655-S
imprudent, rash.	42-1085-S
impudent, shameless, insolent, presumptuous.	15-6197-B
impudent.	20-4321-S
impudently, insolently, presumptuously.	15-6251-B
impulse, inclination.	12-1664-S
impulse, influence.	6-4500-S
impulse, passion, force.	6-1680-S
impulse, sudden passion.	6-1742-S
impulse.	9-1792-S
impulses.	5-3273-S
impure, dirty, foul.	40-299-S
impure.	13-4730-S
impurities, filth.	11-2071-S,11-2114-S
impurities.	15-6302-B
impute to.	34-439-S
impute, attribute, ascribe.	38-4981-S
impute, think, judge.	36-594-S
in "the sun sets").	37-47-S
in (doing something).	28-3174-S
in (or up), satisfy, content, fulfil, perform.	32-2518-S
in / impress upon.	30-4892-S
in / watch over.	33-2370-S
in /begin, commence, undertake, start.	31-5973-S
in /inroad, movement/assault.	11-6035-S
in /think up, conceive.	15-5527-S
in /to rush in, steal in.	32-3643-S
in a certain condition.	11-140-S
in a certain measure.	15-6319-S
in a certain way, in a certain measure.	15-6319-B
in a concealed manner.	24-582-S
in a confused way, fumbling.	15-6370-B
in a cruel manner.	15-6408-B
in a different fashion.	15-6514-S,20-3821-S
in a disorderly manner.	16-5485-S
in a filty manner.	13-4820-S
in a foreign manner.	6-3663-S
in a hostile manner, belligerently.	15-6438-B
in a kindly, friendly manner.	9-3746-S
