peasants.	16-3105-S,17-2840-S
pebble /lime /goal, aim.	26-5672-S
pebble, stone.	20-6921-B
peck, bushel.	20-6945-B
peculiar, individual.	40-5749-S
peculiar.	20-1975-S
peculiarity.	25-2053-S
peculiarly. properly.	12-1483-S
pedestal / pier, quay / dam.	2-2520-S
pedestal.	3-2425-S
pedigree.	14-759-S
peel for putting bread in the oven.	25-1883-S
peel, bark, shell / inlay, embossing.	23-2895-S
peel.	37-1182-S
peerless, incomparable.	42-1226-S
pejorative.	26-4577-S
pellet, shot /mass of something.	17-6305-S
pelt .	20-6966-B
pelt.	25-2823-S
pelting rain.	22-3564-S,22-3616-S
pen, arrow, pipe, etc.	5-4868-S
pen, enclosure/ cloister.	7-1835-S
pen.	12-5128-S
penalty	20-5171-S
penalty.	35-1407-S
penance.	20-6980-B,31-2747-S
pencil, stylus.	3-6589-S
penetrable.	20-7000-B
penetrate .	32-7253-S
penetrate /shatter.	29-2998-S
penetrate /sting, annoy, harrass.	35-1438-S
penetrate.	29-2604-S,35-6815-S
penetrated / penetrating, piercing.	7-5925-S
penetrating / internal, inner /.	20-5915-S
penetrating, piercing.	7-5925-S
penetrating.	20-7022-B
penetratingly, searchingly.	10-2348-S
penintentiary.	8-6635-S
penitent.	2-7411-S
penitentis) a penitent.	2-7411-B
pennies.	13-6793-S
penurious, poor, poverty-stricken.	20-7045-B
penury.	17-1133-S
people".	19-1434-S
people) inflaming /(souls) inspiring.	24-2355-S
people, breed /pagan people.	19-1479-S
people, mob, rabble, mass, multitude.	26-5125-S
people, nation, crowd, multitude, host.	20-7091-S
people, public, open to all.	19-6169-S
people, the masses, the crowd.	26-5181-S
people, the people, nation, crowd, multitude, host.	20-7091-B
people, the upper class.	18-713-S
people, tribe.	8-3276-S
people.	13-5442-S,19-1457-S,19-1479-S,20-7151-B
pepper.	21-0-B
per vices -- by turns, successively.	21-23-B
perceive, behold, understand.	29-7037-S
perceive, experience, hold an opinion,.	35-1496-S
perceive, observe.	38-1365-S
perceive, understand.	32-5291-S
perceive.	30-3609-S,35-1546-S,36-750-S,38-6307-S
perchance.	21-66-B
perennial, constant.	9-2132-S
perfect, complete, achieve, effect.	27-4874-S
perfect, complete.	2-7299-S,27-5514-S
perfect, without flaw.	8-5636-S
perforate.	29-2568-S
perform, carry out.	32-5073-S
perform, cause, bring about.	2-9513-S
perform, display, fulfill, offer, present.	31-2921-S
perform, do, execute.	34-7697-S
perform.	30-2133-S,31-4799-S,32-2518-S,33-2288-S
performance, action.	21-311-S
performance, effect, result.	11-1219-S
perhaps, probably.	21-83-B
perhaps.	21-125-B
peril, endanger.	38-2677-S
peril, endangered.	22-2606-S
period of life, time, era.	5-3225-S
period of three days.	3-6635-S
period of time).	17-5495-S
perish / (wind) subside.	32-754-S
perish, be utterly ruined.	35-1565-S
perish, die, go to ruin, decay.	35-1603-S
perish, die.	35-1646-S
perish, vanish.	31-1162-S
perish.	35-941-S,35-1670-S
perjury, oath-breaking, foreswearing an oath.	21-143-B
permanency.	21-199-B
permanent, special, peculiar.	20-1975-S
permission/ to experience, suffer (troubles).	32-6537-S
permit, dismiss.	28-2550-S
permit, let.	5-2055-S,27-6680-S
permit.	38-64-S
permitted, allowed.	21-220-B
pernicious, destructive.	21-248-B
