rationally, soberly /really, indeed.	1-5965-S
rattle, creak, rustle.	1-6687-S
rattle, plaything.	4-1145-S
rattle.	3-7232-S,25-432-S
ravage, devastate.	34-498-S
ravage.	34-551-S,35-3022-S
ravaged.	22-4371-B
ravaging.	10-4666-S,22-4388-B
rave furiously.	36-99-S
ravish, corrupt.	36-127-S
ravish, steal, rob.	36-157-S
ravish.	36-186-S
ravisher, debaucher.	22-4407-B
ravisher, thief.	22-4440-B
ravishment, rapine, robbery.	22-4464-B
raw, rough, uncultivated.	8-4066-S
raw, uncooked / unripe / unprepared food.	7-722-S
rays of light.	14-4872-S
rays of sun.	14-4978-S
raze, demolish.	31-1363-S
re-establish, mould anew.	32-4433-S
re-read.	36-279-S
reach the age of puberty.	36-204-S
reach the prime of life.	36-241-S
reach, attain, reach, be passed to.	1-1230-S
reach, be passed to.	1-1230-S
reach, grasp, affect, infect.	38-4683-S
reach.	27-5248-S,30-1432-S,30-1681-S,35-4666-S
read	22-4500-B,22-4518-B
read again, re-read.	36-279-S
read aloud, recite.	36-328-S
read your letter that said, dear john.	42-3899-S
read, display, have on show.	33-3086-S
read.	32-5617-S,36-279-S
readable	22-4538-B
reader	22-4575-B,22-4595-B
reader.	1-8657-S,22-4615-B
readily	22-4630-B,22-4653-B
readily.	22-176-S,22-4680-B
readiness	22-4698-B
readiness of speech, fluency, persuasiveness.	11-4584-S
readiness of speech.	12-5592-S
reading	22-4730-B,22-4751-B
reading of a book.	40-2809-S
reading of a scroll, reading of a book.	40-2809-S
reading, perusal.	24-1103-S
reads	22-4775-B,22-4793-B
ready	22-4812-B,22-4837-B
ready /(spirit) dangerous.	15-3851-S
ready at hand, visible, apparent.	22-4863-B
ready for battle.	21-5474-S
ready of speech.	11-4674-S
ready, arrange.	35-4221-S
ready, equipped; (of persons) skilled.	21-5514-S
ready, inclined to.	22-4906-B
ready, keen.	2-9075-S
ready, make ready, arrange.	35-4221-S
ready, or fit.	4-5239-S
ready, settled, arranged.	32-4823-S
ready, to be easy, to be clear.	28-5818-S
ready, well-disposed.	16-3007-S
ready.	16-1205-S,21-4097-S,39-601-S
ready/ set, put/ furnish, supply/ buy.	35-4161-S
real	22-4935-B,22-4960-B
real, proper, right.	39-6096-S
real, true.	15-6756-S
realism	22-4982-B
realistic	22-5014-B
reality.	16-300-S
realize.	25-1109-S
really, actually, rightly.	39-6129-S
really, indeed, to be sure.	22-4316-S
really, indeed.	1-5965-S,39-6168-S
really? in truth?.	1-7096-S
realm, command.	25-1748-S
realm.	23-4338-S
reap, browse.	24-3098-S
reaper, harvester.	22-5053-B
rear, fom behind.	16-570-S
rear, make grow.	2-9123-S
rear.	24-5411-S,37-7507-S
rear/ issue.	31-3529-S
reason, for that purpose.	20-637-S
reason, judgment, consideration.	22-5276-S
reason, motive, pretext /interest.	8-734-S
reason, on that account, therefore.	13-2644-S
reason, on which account, why.	13-2873-S
reason, thereafter, then.	27-1618-S
reason.	4-4493-S,6-4990-S,16-853-S,27-2016-S,41-4061-S
reasonable, becoming.	16-5807-S
reasonable, necessary.	15-5766-S
reasonable.	36-963-S
reasonably.	22-5079-B
rebel, revolt.	36-4519-S
rebel.	39-455-S
rebellious, rebels.	22-5106-B
rebels.	22-5106-S
rebuilt /recycled.	23-263-S
rebuilt.	23-1982-S
rebuke, attack.	32-3988-S
rebuke.	1-6435-S,2-6972-S,36-358-S
recall to the colors.	31-3470-S
recall, comtemplate.	30-3641-S
recall, recollect.	36-4077-S
recall, recollection.	18-3945-S
recall, reflect upon, rework, resume, rehabilitate.	36-377-S
recall.	22-5367-S,29-3585-S,36-439-S,36-706-S
recast.	22-5135-B
recede, retreat.	32-7604-S
receive, accept, take.	8-1282-S
receive, accept, withdraw, take back.	36-461-S
receive, admit/ adopt / take up, approve.	36-511-S
receive, intercept.	36-564-S
receive, learn, take.	30-3515-S
receive, take in/ conceive.	38-1571-S
receive, take up, sponsorship at baptism.	38-6876-S
receive, undertake.	35-7497-S
receive.	27-6008-S
receiving.	26-445-S
recent.	26-313-S
recently, not long ago.	19-2895-S
recess .	9-4197-S
reciprocal / reciprocity.	16-4676-S
reciprocal service.	22-5151-B
reciprocal, mutual.	22-5184-B
reciprocally.	22-5211-B
reciprocity.	16-4676-S
recital, report.	22-5233-B
recite, announce, allege, report, reply.	36-875-S
recite, represent, imitate, pay up, deliver.	36-3001-S
recite.	36-328-S
reckless, unadvised.	42-1526-S
reckless.	22-5258-B
reckon, esteem, considered.	29-5377-S
reckon, reflect upon, impute, think, judge.	36-594-S
reckon.	31-6600-S
reckoning, account /reason, judgment, consideration.	22-5276-B
reckoning.	7-5534-S
recline / be ill in bed.	34-2166-S
recline at table, dine.	36-648-S
recline, lie.	36-682-S
recognition, knowledge.	22-5335-B
recognize as different.	31-2367-S
recognize, recollect, recall.	36-706-S
recognize, report, understand, admit.	33-7015-S
recognize, understand, perceive.	36-750-S
recognized.	28-5077-S
recollect .	28-5458-S
recollect, ponder over.	36-2390-S
recollect, recall.	36-706-S
recollect.	36-2357-S,36-4077-S
recollection, memory, recall.	22-5367-B
recollection.	18-3945-S
recommence.	36-6620-S
recommend, advise (a person).	36-794-S
recompense, compensation.	20-6541-S
reconcile, unite /cause.	41-5831-S
reconcile.	35-732-S,36-3873-S
reconsider, undertake again.	36-834-S
reconstructed, rebuilt /recycled.	23-263-S
record.	39-3307-S
recount, recite, announce, allege, report, reply.	36-875-S
recount, review.	36-934-S
recoup, recover.	36-1687-S
recourse to, take refuge.	32-3394-S
recourse to.	38-1758-S
recover /decline, diminish, ebb.	29-3415-S
recover one's senses, become reasonable.	36-963-S
recover, refer, revoke.	29-5503-S
recover, renew, repeat, resume.	36-1017-S
recover.	36-1687-S,36-6994-S
recovery, recuperation.	22-5408-B
recreate, restore, revive.	36-1059-S
recruit, young recruit.	19-2802-S
recruit.	19-2802-S
rectum] to set straight, put in order.	3-1810-S
recuperation.	22-5408-S
recycled.	23-263-S
red, golden, auburn.	22-5444-B
red, ruddy.	22-5473-B
red-handed.	36-6876-S
red.	7-1041-S,22-2273-S
reddish.	22-5491-B
redeem, ransom, buy back /hire, buy, procure.	36-1095-S
redeemer (christ).	22-5509-B
redemption, buying back, farming taxes.	22-3777-S
redeness, blush, modesty, shame, disgrace.	22-5538-B
redolent, smell bad.	37-5884-S
