set before one.	37-148-S
set boundaries to, delimit.	32-2963-S
set down, bring down.	37-175-S
set down, settle.	37-207-S
set dowwn, let fall (to offer payment to the church).	24-2162-B
set fire to, burn, singe, kindle, light.	37-236-S
set fire to.	37-296-S
set forth, explain, expose.	37-320-S
set forth.	37-379-S
set free, clear /explain, clarify, set straight.	36-2045-S
set free, deliver, liberate, release /exempt.	37-399-S
set free, liberate / yield up.	36-2114-S
set in mortion, impel, urge on.	37-455-S
set in order, regulate, arrange, appoint, govern.	1-6799-S
set in place, make, form, shape/ plant, fix in place.	37-514-S
set on fire, inflame, to torch, kindle.	37-578-S
set on fire.	7-4239-S,12-2425-S
set or standard form, / formal.	15-370-S
set out / get off / escape / result.	33-307-S
set out, depart, arise.	37-5477-S
set out, provide.	37-4318-S
set out, to start forward, to arise.	30-7305-S
set over, prefer.	37-630-S
set over, preside over have charge of.	28-6143-S
set straight, put in order.	3-1810-S
set straight.	36-2045-S
set up / arouse, encourage, incite.	31-6347-S
set up, construct, furnish /train.	29-4955-S
set up, place, establish, post, station.	37-669-S
set up.	28-943-S,29-7153-S
set with pearls, pearl encrusted, ornamented with pearls.	24-2224-B
set, put/ furnish, supply/ buy.	35-4161-S
set, stow /embark /cheat, deceive.	35-2356-S
set-to.	12-6065-S
set.	32-1344-S,32-3110-S
sets").	37-47-S
setting (of the sun, etc)/ the west /fall, destruction.	24-2291-B
setting afire /(people) inflaming /(souls) inspiring.	24-2355-B
setting free.	22-6605-S
setting of boundaries.	26-4373-S
settle (as to settle an argument).	37-723-S
settle / to decide to do something.	30-5933-S
settle /appoint.	32-1626-S
settle an argument).	37-723-S
settle by combat.	30-3970-S
settle down, reside.	37-766-S
settle up, consider, think, believe, suppose, judge.	30-530-S
settle, dispute, to settle by combat.	30-3970-S
settle, found, set up.	28-943-S
settle, make arrangements.	27-6463-S
settle, prescribe.	37-796-S
settle, sink, subside.	30-4845-S
settle, smooth, calm, allay.	37-828-S
settle.	1-7369-S,8-5585-S,27-5848-S,37-207-S
settled, arranged.	32-4823-S
settled, checked.	7-5625-S
settled, resolved.	40-784-S
seven	24-2421-B
seven.	24-2455-B
sevenfold.	24-2469-B
sever /divide, break up.	31-2134-S
sever, remove, dissociate, separate.	29-2841-S
several times.	3-1865-S
several, many.	18-6109-S,18-6145-S
several.	25-677-S,25-730-S
severe /hesitating /busy.	25-5209-S
severe, fierce.	24-3016-S
severe, grievous.	15-1523-S
severe.	23-3953-S
severity, rigor, sternness, strictness.	24-2492-B
severity/ harshness, fierceness.	23-3981-S
sew together, stitch.	37-865-S
sexual union.	24-2542-B
sexual.	24-2566-B
shade	24-2586-B
shade, shadow.	24-2647-B
shades	24-2668-B
shadow of a doubt.	7-1710-S
shadow.	24-2647-S
shady.	24-2732-B
shake /excite, upset.	34-6956-S
shake /invalidate, annull/disprove.	39-1467-S
shake to pieces, break, shatter.	37-975-S
shake together, agitate, alarm, disturb, shatter.	37-913-S
shake violently, shake to pieces, break, shatter.	37-975-S
shake violently.	39-1522-S
shake, loesen /impair.	37-1035-S
shake, palpitate.	36-7863-S
shake, quake /be afraid of.	38-5388-S
shake, shudder /dread, tremble at.	28-4831-S
shake, shudder.	38-5440-S
shake, terrorize.	37-6565-S
shake, toss/ harrass.	39-275-S
shake-up, upheaval. .	24-2748-B
shake.	27-3555-S,29-464-S,29-520-S,29-7293-S,38-5474-S
shaking, trembling.	1-3313-S
shaking.	3-7623-S,10-49-S
shall be, reasonable, necessary.	15-5766-S
shallows.	13-3159-S
sham, artifice.	24-2778-B
sham.	35-4711-S
shame, bashfulness.	12-5213-S
shame, disgrace.	22-5538-S,35-7029-S
shame, dishonor, disgrace, crime, dishonorable act.	24-2803-B
shame, shame, bashfulness.	12-5213-S
shame.	16-5605-S
shamefaced.	24-2863-B
shameful /ugly.	10-2610-S
shameful, disgraceful, dishonorable.	40-2903-S
shameful, disgraceful.	24-2886-B
shameless, insolent, presumptuous.	15-6197-S
shamming.	24-2918-B
