the two.	11-4256-S,41-4299-S
the understanding that.	20-472-S
the underworld.	1-4916-S,21-1615-S
the upper arm /strength.	27-1083-B
the upper class.	18-713-S
the upper hand, surpass, conquer, overcome.	28-3333-S
the use of something.	21-6595-S
the very greatest.	27-1117-B
the vices of whom were many.	2-1295-S
the victor.	2-5829-S
the waiting for, expectation.	27-1147-B
the walls of the town.	16-3809-S
the want of.	32-2142-S
the war), which killed so many.	2-6498-S
the way / (in dat.) open, accessible.	20-928-S
the way /(+ dat.) towards, against.	20-988-S
the way, be concealed.	33-6578-S
the way, in the way / (in dat.) open, accessible.	20-928-S
the way, in the way /(+ dat.) towards, against.	20-988-S
the way, on the way, toward.	1-5917-S
the way, toward.	1-5917-S
the way, up to), even (to).	5-1723-S
the way.	34-837-S
the west /fall, destruction.	24-2291-S
the whole, total, universe, world /university.	27-1202-B
the whole.	5-1822-S
the wild grape.	27-1261-B
the winds.	35-5036-S
the wing of an army / allied troops.	22-6457-S
the word (christ).	15-644-S
the word incarnate.	8-2831-S
the work of a hangman, execution /torture.	27-1287-B
the world belongs to us.	1-8010-S
the world, the earth.	27-1342-B
the world.	13-6435-S,29-3981-S,40-2040-S
the x the better (quod celior = the faster the.	1-1374-S
the zodiac.	27-1379-B
the-way roads.	20-4293-S
the.	1-1374-S
theater space reserved for the senate / senators.	27-1406-B
theater.	27-1466-B
theft, robbery	27-1484-B
their envy and jealousy, of which we know.	2-128-S
their lives) for the faith.	2-387-S,2-454-S
their own.	2-9014-S
them themselves.	38-2827-S
theme of discourse.	3-3986-S
theme, title, epigram.	27-1506-B
theme.	25-6185-S,27-1535-B
themselves.	18-889-S,38-2827-S
then / until then.	12-689-S
then /thereupon, in the next place.	6-1414-S
then another.	31-2705-S
then, at that time, next, and then.	27-1557-B
then, at times.	25-1152-S
then, thereafter, from that place.	19-2971-S
then, therefore.	1-4732-S
then, thereupon.	25-1395-S
then, till now, still, even now, besides, also, yet.	27-3664-S
then.	6-1327-S,12-689-S,25-187-S,27-1557-S,27-1618-S
then/accordingly.	27-1706-S
then; bring me giants!.	1-3790-S
thence	27-1598-B
thence, from there, for that reason, thereafter, then.	27-1618-B
thence, furthermore.	27-1678-B
thence, next/ thereupon, after that, then/accordingly.	27-1706-B
thenceforth	27-1768-B
theologian	27-1793-B
theologian.	27-1820-B
theologians	27-1842-B
theological	27-1869-B
theology	27-1904-B
theorem	27-1929-B
theory.	21-6108-S
there /along that path, in that direction.	20-4689-S
there is a statue in that (abbey).	1-9228-S
there is a statue in this (abbey).	1-9285-S
there were not a few.	2-5349-S
there'll be no one as happy as us.	1-3506-S
there, at that place, therein, in that matter.	27-1952-B
there, for that reason, thereafter, then.	27-1618-S
there.	27-2005-B,28-6768-S
thereafter, from that place.	19-2971-S
thereafter, then.	27-1618-S
therefore, as a result.	9-217-S
therefore, consequently, for this reason.	27-2016-B
therefore.	1-4732-S,1-4805-S,4-6548-S,13-2644-S
therein, in that matter.	27-1952-S
therein, in that place /(time) near at hand.	27-2065-B
thereupon, after that, then/accordingly.	27-1706-S
thereupon, in the next place.	6-1414-S
thereupon.	25-1395-S
therouanne.	27-2116-B
these (churches).	2-523-S
these (friendships).	2-257-S,2-321-S
these (gates).	2-655-S
these (her deeds).	2-5413-S,2-7907-S
these (houses) to the ground.	2-3665-S
these (kisses) are sweeter than wine.	2-5763-S
these (men) are loyal to the king.	2-3986-S
these (monsters) were fat.	2-5631-S,2-5696-S
these (orders).	2-5531-S,2-5580-S
these (policemen).	2-6667-S
these (roads).	2-3557-S
these (soldiers) are spent.	2-3850-S
these (speeches) were very fine.	2-787-S
these (their lives) for the faith.	2-387-S
these (wars).	2-5474-S
thesis.	22-522-S
they are fond of that (change).	2-1361-S
they are fond of this (change).	2-1418-S
they burned these (houses) to the ground.	2-3665-S
they burned those (houses) to the ground.	2-3730-S
they gave these (their lives) for the faith.	2-387-S
they gave those (their lives) for the faith.	2-454-S
they passed by these (roads).	2-3557-S
they passed by those (roads).	2-3610-S
they say.	27-2138-B
they tried to tell us we're too young.	40-4122-S
they would cause.".	13-6562-S
thick with rushes.	24-704-S
thick, dense, boundless.	10-2291-S
thick, frequent, numerous.	27-2154-B
thick.	33-1753-S
thicket.	27-2188-B
thickly, abound.	33-1774-S
thickness.	27-2203-B
thief by night, robber.	4-946-S
thief, robber.	27-2223-B
thief.	22-4440-S,27-2246-B
thievish.	27-2258-B
thin gold leaf.	27-2279-B
thin out, weed, cull.	38-2855-S
thin rope, cord, string.	4-981-S
thin skin, film, parchment, membrane, prepared skin.	27-2305-B
thin, lean.	27-2367-B
thin, scanty.	22-4011-S
thin, skinny.	17-2749-S
thin, slender, meager.	27-2385-B
thin, slight, feeble, slim, slender.	27-2415-B
thin, slight, poor.	27-2459-B
thin, uncrowded /infrequent /thinly populated.	23-6185-S
thin.	28-7948-S
thiness, gauntness /poverty barrenness.	27-2490-B
thing / a kind of.	3-3294-S
thing and then another.	31-2705-S
thing being done / cure, rest.	1-2889-S
thing)?.	2-8918-S
thing, etc.) available.	5-4543-S
thing, matter, busines, affair.	27-2537-B
thing, object, being, matter, affair, event, fact, circumstance.	27-2577-B
thing, someone).	3-3253-S
thing.	19-4471-S,21-6211-S,41-3993-S
things dictated, lessons, presents.	27-2646-B
things needed.	19-2009-S
things which we must have.	2-5232-S
things) bring on, occasion, cause.	1-3682-S
things) to be added.	28-481-S
things.	10-1373-S
think meanly of, despise, condemn, hate.	38-2886-S
think of, recollect, ponder over.	36-2390-S
think out.	35-2408-S
think over.	35-3429-S
think up, conceive.	15-5527-S
think, believe, suppose, judge.	30-530-S
think, judge.	36-594-S
think, ruminate, ponder, consider, plan.	38-2939-S
think, suppose, decide.	38-2990-S
think.	29-880-S
thinking, meaning, purpose.	20-2303-S
thinly populated.	23-6185-S
thinly, rarely, uncommonly.	27-2690-B
thinness.	12-3946-S
third.	20-1219-S,27-2723-B
thirst, dryness, drought, eager desire.	27-2738-B
thirsting for.	27-2784-B
thirsty.	28-6790-S
thirsty/ sober, temperate.	11-2647-S
thirteen.	2-2465-S
thirty.	2-2494-S
this (abbey).	1-9285-S
this (change).	2-1418-S
this (cookie).	2-5045-S
this (doctor).	2-4477-S
this (field).	2-4222-S
this (fruit).	2-4381-S
this (her youth).	2-1186-S
this (house) is filthy.	2-3204-S
this (monastery) is well-built.	2-6612-S
this (sword) is more expensive.	2-1592-S
this (the cost).	2-9184-S
this (the sword)..	2-1016-S
this place, hence.	13-6739-S
this point, so far.	15-2636-S
this reason.	6-4990-S,27-2016-S
this side, this way, here.	27-2807-B
this time.	19-4626-S
this way, here.	27-2807-S
this! (doubt).	2-6014-S
this! (fetter).	2-6209-S
this, that /he, she, it.	27-2838-B
this, the latter /he, she, it.	27-2872-B
this.	2-3034-S,5-759-S
thistle.	27-2923-B
thither, to that place, to that matter, to that person.	27-2940-B
thong.	27-3002-B
thorn-bush, briar.	27-3015-B
thorn.	3-6795-S
thorny.	16-4912-S
thorough consideration.	27-3041-B
thorough, tense, anxious, strict.	27-3075-B
thoroughfare.	27-3118-B
thoroughly, accomplish, bring.	31-2770-S
thoroughly, wholly, entirely.	1-5858-S
thoroughly.	33-5198-S,33-5575-S
those (arms) belong to the victor.	2-5829-S
those (churches).	2-588-S
those (cookies).	2-5109-S
those (fetters)!.	2-6254-S
those (gates).	2-720-S
those (houses) to the ground.	2-3730-S
those (marines).	2-3797-S
those (men) are loyal to the king.	2-4043-S
those (men) who have eyes to see..	2-3497-S
those (roads).	2-3610-S
those (soldiers) are spent.	2-3917-S
those (their lives) for the faith.	2-454-S
those (women) must die!.	2-844-S
those (women) who have ears to hear .	2-194-S
those down below, the dead.	27-3140-B
those things which we must have.	2-5232-S
those whom he accused of treachery.	2-3319-S
though, although.	27-3175-B
though.	19-2600-S
thoughful, prudent.	18-4722-S
thought, inconsiderate/ reckless, unadvised.	42-1526-S
