are) to set in order, regulate, arrange, appoint, govern.	1-6799-B
are) to trickle away.	1-6866-B
are) to vomit, throw up /to cast out, throw out.	1-6897-B
are, to dry up, out.	5-5519-B
are, to judge, test, examine.	13-6649-S
are; to eat.	5-5547-B
area.	26-5229-S
arena, scene of action.	11-2895-S
argue, plead, orate, beg, entreat.	37-3864-S
argue, suggest, advise.	5-5567-B
argument).	37-723-S
argumentation.	5-5598-B
arid.	28-7811-S
arise in succession.	28-754-S
arise, appear.	37-5039-S
arise, break out.	37-5308-S
arise, come up, rise up, occur.	28-787-S
arise, emanate, originate.	32-3700-S
arise.	1-7901-S,28-846-S,30-957-S,30-7305-S,32-5840-S,37-5477-S
arising from, springing from, coming from.	5-5626-B
aristocrat, noble.	20-1432-S
aristocratic party.	26-4977-S
aristocratic, well-bred.	19-5983-S
arm /strength.	27-1083-S
arm for this (cookie).	2-5045-S
arm for those (cookies).	2-5109-S
arm, equip, fit out.	35-5793-S
arm.	24-3684-S
armament, arms, weapon, spear.	5-5678-B
armaments.	5-5784-S
armed retainers, retinue.	5-5715-B
armed retainers.	6-3436-S
armed troops.	17-4121-S
armed.	5-5752-B,15-3817-S,17-4061-S,40-1765-S
armistice, suspension of hostilities.	39-6042-S
armlets.	5-5767-B
armor /in chains /furnished with iron.	4-382-S
armor, armored.	41-2171-S
armored.	41-2171-S
armpit/naval squadron /part of line of battle /sails, oars.	41-6030-S
arms with which he won rome.	2-5175-S
arms) aimed, ready /(spirit) dangerous.	15-3851-S
arms) belong to the victor.	2-5829-S
arms, arm, equip, fit out.	35-5793-S
arms, iron, horseshoe.	26-2084-S
arms, weapon, spear.	5-5678-S
arms, weapons, armaments.	5-5784-B
arms.	7-3215-S,7-4978-S,7-5002-S
army / allied troops.	22-6457-S
army, half of which was ill.	2-3440-S
army, wing of a formation.	5-5815-B
army.	5-5848-B
arogance.	9-3280-S
aromatic bark/ sweet-smelling mezereon.	4-1264-S
around /attend (a person).	30-2214-S
around /chair, seat.	24-4937-S
around /changeable, inconstant.	23-3572-S
around it, a holy place.	4-882-S
around the track, course.	3-7455-S
around, cause to turn /to adopt the monastic life.	38-5798-S
around, circuit.	7-2252-S
around, encircle, surround.	30-5029-S
around, gather around /attend (a person).	30-2214-S
around, made known.	25-2944-S
around, roughly.	5-5235-S
around, surround, cheat, defraud.	30-1013-S
around, take a walk, amble.	37-6058-S
around, turn up / to put to flight, rout.	38-6483-S
around.	1-6567-S,38-6211-S
arouse, affect, influence.	34-7067-S
arouse, encourage, incite.	31-6347-S
arouse, excite, incite.	36-4814-S
arouse, excite.	37-5924-S
arouse, raise up.	28-862-S
arouse.	34-7015-S,37-5960-S
aroused.	28-5496-S
arragned beforehand.	1-7269-S
arrange, "send out" a letter or ambassador.	28-889-S
arrange, appoint, govern.	1-6799-S
arrange, contrive, think out.	35-2408-S
arrange, decide, appoint, settle, found, set up.	28-943-S
arrange, put in order, draw up (troops).	28-1005-S
arrange, settle.	1-7369-S
arrange.	30-3703-S,35-2294-S,35-4221-S
arranged, orderly.	5-5864-B
arranged, unplanned, confused.	11-0-S
arranged.	32-4823-S
arrangement.	8-5870-S
arrangements.	27-6463-S
arranger, composer, one who makes a pattern.	5-5893-B
arrangment, decide.	32-6053-S
arrangment, regulation.	23-4472-S
arrangment.	21-3684-S
arrest, seize, take into custody.	5-5947-B
arrest, take prisoner, catch red-handed.	36-6876-S
arrest.	36-2779-S,36-7132-S
arrival, advent, a coming.	5-5990-B
arrival.	5-6026-B
arrive at, reach.	27-5248-S,30-1432-S
arrive unexpectedly.	28-1057-S
arrive, come up, arrive unexpectedly.	28-1057-S
arrive, reach.	30-1681-S
arrive.	35-525-S
arrogance, ferocity.	15-2161-S
arrogance, haughtiness.	7-1290-S
arrogance.	5-6044-B,21-5864-S
arrogant, domineering.	5-6066-B
arrogant, haughty, proud.	20-4743-S
arrogant, proud, haughty.	11-4477-S
arrogant, swollen.	11-4332-S
arrogant, unbridled.	25-2511-S
arrogant.	22-1753-S
arrogantly, forciously.	42-752-S
arrogate, assume, appropriate.	8-3217-S
arrow	5-6100-B
arrow, bolt, dart.	16-6131-S
arrow, pipe, etc.	5-4868-S
arrow.	5-6130-B
arrows	5-6146-B
arrows), arch, bend, arc.	7-2737-S
art	5-6179-B
art /trick, device.	18-1906-S
art, craft, profession.	10-1905-S
art, skill/ craft.	25-4982-S
artfully.	5-6201-B
articles, furniture, goods.	15-3993-S
articulation.	42-2130-S
artifice.	24-2778-S
artificial, man-made.	5-6226-B
artis) skill method, technique, conduct, character.	1-6955-B
artisan, maker.	6-2184-S
artisan.	9-4374-S
artist, artisan, maker.	6-2184-S
arum) stone quarry.	1-7012-B
as .. as possible.	1-4627-S,5-6258-B
as / wherein, whereby, whereas.	41-3902-S
as a dog).	3-2390-S
as a mercenary / to rob, steal.	1-8335-S
as a result.	9-217-S
as a soldier.	10-3920-S
as a support.	27-5356-S
as a witness.	33-4916-S
as adverb) accidentally, by chance.	2-9643-S
as best one can.	5-6289-B
as chosen).	35-5109-S
as conj.) granted that, although.	1-7055-B
as contra (against, opposite, etc.)	27-625-S
as different.	31-2367-S
as due.	32-6106-S
as expected, pay up, deliver.	29-3650-S
as faciendo, the making, it will be made.	12-2844-S
as far as, to the extent that.	2-10183-S
as far as, up to, to, down to.	2-8695-S
as far as.	1-6076-S,4-6225-S
as great as you please, however great.	5-6313-B
as great as you will.	5-6601-S
as great as, as much as.	5-6362-B
as great as.	15-4194-S,15-4226-S
as happy as us.	1-3506-S
as help /to send secretly.	36-7355-S
as honey.	15-3248-S
as if, (herimann p. 283, 293).	5-6406-B
as if, as it were /a sort of.	5-6442-S
