trepidation, in confusion,.	42-853-S
trial, attack, duration, temptation, judgement.	39-5392-B
trial, attempt, essay.	39-5449-B
trial, legal investigation, judgement, decision.	39-5483-B
trial, put in peril, endanger.	38-2677-S
trial, temptation.	39-5541-B
trial.	16-6459-S
tribe.	8-3276-S
tribulation.	39-3522-S,39-5570-B
tribunal / ecc. apostle.	2-2862-S
tributary.	39-5594-B
tribute, service.	14-1458-S
tribute.	20-6681-S,25-6153-S
tributes, gifts, payments.	39-5616-B
trick, deceit.	25-4619-S
trick, device.	18-1906-S
trick, disappoint.	30-5813-S
trickery.	13-5607-S
trickle away.	1-6866-S
tried to tell us we're too young.	40-4122-S
tried, approved, experienced.	26-4531-S
triers.	39-5649-B
trifle.	4-103-S,26-288-S,35-2574-S
trifling.	39-5666-B
trimodal.	39-5685-B
trip up.	38-5522-S
triple.	39-5704-B
triumph, success.	40-6118-S
triumph, victory, success.	27-40-S
triumph.	39-5719-S
triumphal procession, triumph.	39-5719-B
triumphal.	39-5760-B
triumphant, victorious.	39-5783-B
trivial /beardless, bald /light-armed.	17-4061-S
trois-fontaines, marne, vitry-le-francois.	39-5816-B
troop of soldiers.	23-6553-S
troop, 1/10 of a legion.	4-1872-S
troop, company, small unit.	13-843-S
troop, flock.	9-5532-S
troop.	39-5873-B
troops drawn up for battle in the shape of a wedge.	39-5887-B
troops).	28-1005-S
troops, assistance, aid.	14-884-S
troops, auxiliary troops.	23-805-S
troops, crowds.	4-6834-S
troops, forces.	26-1153-S
troops, in masses.	16-690-S
troops, or crowds.	16-723-S
troops.	17-4121-S,22-6457-S,23-805-S
troough, tank, tub.	3-5540-S
trouble / charge, public road tax.	17-5001-S
trouble about, pay attention to.	29-5973-S
trouble, distress.	10-5243-S
trouble, draw together.	38-5544-S
trouble, perturb, disrupt.	31-2458-S
trouble.	35-3676-S
troubled, anxious, concerned, worried.	39-5946-B
troubled, confounded.	8-6906-S
troubled, grow worse.	32-807-S
troubled.	2-2715-S,5-4232-S
troubles) to remove, resolve.	2-7095-S
troubles).	32-6537-S
troublesome, disagreeable, annoying.	39-5996-B
troublesome, irksome.	16-1613-S
troublesome, unpleasant, annoying.	1-6306-S
troublesome.	10-5166-S,35-264-S
troublesome/ inconsiderate.	40-3106-S
troublesomeness /stiffness, affectation.	5-4388-S
trowel.	7-6364-S
truce, armistice, suspension of hostilities.	39-6042-B
truce, treaty.	20-6708-S
true! would that it were the case!.	15-5270-S
true, real, proper, right.	39-6096-B
true.	12-3294-S,15-6756-S,18-6207-S
truly (may often be omitted).	13-2924-S
truly, for my part.	1-4542-S
truly, in fact.	39-6389-S
truly, indeed.	16-0-S
truly, really, actually, rightly.	39-6129-B
truly, really, indeed.	39-6168-B
truly.	18-6227-S
trumpet-blast.	39-6200-B
trumpet.	41-1458-S
trunk, branch, post, club.	17-5279-S
trunk, ship, table.	3-2498-S
trust confidently, believe.	38-5576-S
trust in, depend upon.	36-3681-S
trust in, rely on/ think.	29-880-S
trust, assurance.	8-6677-S
trust, commit / trust in, rely on/ think.	29-880-S
trust, confidence, reliance, belief, faith.	39-6223-B
trust, faith, belief, truth.	22-0-S
trust, venture, dare.	38-5615-S
trustee.	3-1341-S
trustworthiness, confidence, reliance.	39-6273-B
trustworthiness, protection.	39-6320-B
trusty.	39-6355-B
truth	39-6369-B
truth, certainly, at least, indeed.	4-6136-S
truth, indeed, to be sure /however.	16-754-S
truth, truly, in fact.	39-6389-B
truth-telling.	39-6420-B
truth.	16-798-S,22-0-S,39-6445-B
truth?.	1-7096-S
truthfulness.	39-6460-B
try to get, grab at.	33-896-S
try to prove.	37-6408-S
try, attempt, stretch, extend, present, give.	31-1530-S
try, endeavor.	38-5649-S
try, test, experience, prove.	38-5673-S
try, test.	38-5737-S
try, venture, presume, attempt, presume.	38-7157-S
try.	28-1527-S,30-2661-S
tub.	3-5540-S,8-1415-S,17-4596-S
tuberculosus.	9-605-S
tumble down.	36-5653-S,38-5757-S
tumble.	38-5780-S
tumor.	7-482-S
tumult, [make a] bustle.	28-5130-S
tumult.	40-3943-S
turbulent, restive.	7-3702-S
turbulent.	14-121-S
turn /to adopt the monastic life.	38-5798-S
turn around, cause to turn /to adopt the monastic life.	38-5798-S
turn around, turn up / to put to flight, rout.	38-6483-S
turn aside, deflect, turn away.	38-5866-S
turn aside.	38-5909-S,38-6269-S
turn attention to.	38-5932-S
turn away, avert, avoid. turn back.	38-5963-S
turn away.	38-5866-S,38-6009-S
turn awry, brandish.	38-6545-S
turn back /silence.	29-7478-S
turn back.	38-5963-S
turn from the straight road.	38-6031-S
turn into, tranform.	38-6069-S
turn out well, ascribe, refer.	38-6099-S
turn out well.	33-195-S
turn out, happen/go away, withdraw.	33-730-S
turn out, result.	38-2461-S
turn out, throw out, eject / dislodge, overturn.	38-6152-S
turn over, give into charge.	36-7225-S
turn over.	29-4671-S
turn round like a wheel, rotate, turn, go around.	38-6211-S
turn sideways, turn aside.	38-6269-S
turn the mind to, take notice of, see, perceive.	38-6307-S
turn to, start.	29-645-S
turn towards, direct one's attention to, attract.	38-6371-S
turn towards, move towards, suggest.	27-5572-S
turn up / to put to flight, rout.	38-6483-S
turn upside down, overturn, overthrow.	38-6432-S
turn, (of time) long ago.	13-4527-S
turn, change / fall back, waver.	29-1154-S
turn, go around.	38-6211-S
turn, on the other hand.	16-816-S
turn, retreat/ exchange.	3-880-S
turn, turn around, turn up / to put to flight, rout.	38-6483-S
turn, turn awry, brandish.	38-6545-S
turning around /changeable, inconstant.	23-3572-S
turning aside / declining.	4-1325-S
turns, mutually, each other.	20-1104-S
turns, successively.	21-23-S
turns.	7-5407-S
tutelage.	22-1197-S
tutor.	33-5665-S,39-6482-B,39-6498-B
tutored.	26-3121-S
tweet, pipe.	30-112-S
twelfth, an ounce.	4-1365-S
twice.	39-6511-B
twig, rod, stick, wand, broom, streak, stripe.	3-5244-S
twig, sprig.	21-2218-S
twilight.	6-1520-S,11-2867-S
twine together, plait, construct, build.	39-1761-S
twine, join in conflict.	8-7075-S
twinkling, shaking, trembling.	1-3313-S
