perstruo	30-3788-B
persuadeo persuasi persuasum	1-2061-B
persuasi persuasum	1-2061-S
persuasum	1-2061-S
perterreo	38-2655-B
pertimesco	29-37-B
pertinacia	13-124-B
pertinaciter	25-5785-B
pertinax	21-533-B
pertineo	35-1845-B
pertingo	37-6284-B
pertorqueo	38-6646-B
pertraho	31-3145-B
pertulit	31-5209-S
perturbans	4-2764-B
perturbare	4-2692-B
perturbat[verb]	4-2740-B
perturbatio	20-6030-B
perturbatio (f.), gen. perturbationis[noun]	4-2784-B
perturbationis[noun]	4-2784-S
perturbatus[adjective]	4-2709-B
perturbo	31-2458-B
perturpis	40-5488-B
peruro	29-5116-B
peruro perussi perustum	29-5011-B
perussi perustum	29-5011-S
perustum	29-5011-S
pervalidus	40-5800-B
pervasor	16-4961-B
pervenio	1-1230-B,30-1516-B
perversa	9-2960-B
perverto	38-6432-B
pervicax	10-4621-B
pervideo	34-3535-B
pervigil	12-859-B
pervium	27-3118-B
pes pedis	13-2287-B
pessime	6-3203-S
pessimus	6-3101-S,42-2533-B
pessum	38-2780-B
pessum dare	31-822-B
pessum ire	37-2239-B
pestifer	6-3351-B,21-1111-B
pestifere	10-4542-B
pestilencia	21-1079-B
pestis	10-4452-B,21-1962-S
pestis pestis	21-1962-B
petitus	16-1232-B
peto	28-1304-B,34-4976-B,34-5021-B
petrosus	23-3463-B
petulans	41-1097-B
phalangula	24-6166-B
phalanx	15-3729-B
phalerae	39-4920-B
phaleratus	7-3215-B
pharetra	3-7154-B
phasma phasmatis	14-1386-B
phasmatis	14-1386-S
philologus	23-6449-B
phoebus	26-840-B
phthisis	9-605-B
phylacterium	5-3132-B
physiologus	3-6378-B
pia pium	15-3173-B
piaculum	4-1455-B,24-4513-B
pica	16-6182-B
picea	27-858-B
pictor	20-5303-B
pictum	35-775-S
picturatus	20-5259-B
picus	42-2047-B
pie	4-6393-B
pietas	8-5283-B,11-3004-B
piger pigra pigrum	17-2481-B
pignus	14-577-B,20-6481-B
pigra pigrum	17-2481-S
pigrum	17-2481-S
pilo	37-1228-B
pilosus	14-5019-B
pilum	15-1502-B
pilus	4-103-B
pinetum	21-1538-B
pingo	25-3459-B
pingo, pixi, pictum	35-775-B
pinguesco	33-1351-B
pinguis	12-4081-B
pinguitudo	12-4409-B
pio	35-6123-B
piper, piperis	21-0-B
piperis	21-0-S
pipio	30-112-B
pirum	20-6872-B
pirus	20-6855-B
piscator	13-512-B
piscis	13-499-B
pium	15-3173-S
pius	11-2940-B,21-1557-B
pixi, pictum	35-775-S
pl)	41-2595-S
pl.)	13-3090-S
placatus	5-5033-B
placeo	1-2112-B
placet	16-5628-B
placide	22-3399-B
placidus	22-3320-B
placitum	4-4386-B,8-6592-B,16-6406-B
placo	35-2046-B
plaga	3-2770-B,7-1167-B,11-815-B,21-1917-B
plagatus	42-2701-B
plagiarius	17-174-B
planctum	37-6655-S
planctus	41-602-B
plane	21-2116-B
plango	28-7584-B
plango, planxi, planctum	37-6655-B
planta	21-2218-B
plantarium	19-4962-B
planto	37-514-B
planum	17-3608-B
planxi, planctum	37-6655-S
plasmator	18-1155-B
plasmo	34-6726-B
platea	25-5078-B
plaustrum	41-508-B
plebeius	8-4949-B
plebs	21-3517-B,26-5181-B
plecto	35-6087-B
plecto aliquem capite	3-233-B
plector	28-5794-B
plectrum	17-6408-B
plene	1-5055-B
plenus	12-6241-B,14-300-B
plerumque	13-2694-B
plerusque	40-5539-B
plico	32-3886-B
plora[verb]	41-2671-B
plorabilis	10-3283-B
plorare[verb]	41-2392-B
ploratio	17-1432-B
plorator	3-5722-B
ploratus	41-2503-B
ploratus[noun]	41-579-B,41-2480-B
ploro	33-7216-B
ploro[verb]	41-562-B
pluit, pluvit	16-5947-B
pluma	12-5128-B
plumbeus	17-2601-B
plumbum	17-2566-B
plumbum album	27-3851-B
pluo	35-7394-B
plura	18-6109-B
plures	5-6499-S,18-6145-B
pluries	20-220-B
plurimi	6-1468-B
plurimum	19-769-S
plurimus	19-298-B
pluris	2-1928-B
plus	19-0-B
plus plurimum	19-769-S
plusculus	25-1218-B
pluvia	22-3661-B
pluvialis	21-950-B
pluvit	16-5947-S
pneum	7-3032-B
pocius	3-2123-B
pocius potius	22-4239-B
podagra	14-3007-B
poema poematis	21-2997-B
poematis	21-2997-S
poena	20-5171-B
poena dare	35-1407-B
poeta	2-4694-B
polenta	20-6884-B
pollen	12-6353-B
pollens	25-5609-B
polleo	28-6002-B,28-6534-B
pollex	27-3600-B
polliceor	35-5579-B
pollicitas	19-6466-B
pollicitatio	22-44-B
pollicitus	22-66-B
polluo	30-6434-B
polus	21-3284-B
pomum	13-6842-B
pondera	6-3288-B
pondero	39-2140-B
pondus	3-6848-B,41-2932-B
ponere	34-4701-S
pono posui positum	34-581-B
pons	7-3140-B
pons pontis	7-3165-B
pontifex	7-284-B
pontis	7-3165-S
pontus	7-3185-B
poposco	24-804-B
populatio	10-4698-B
populi	20-7151-B
populus	20-7091-B,21-3492-B,21-3557-B
porro	13-4527-B
porta	14-929-B
portus	14-5383-B
posco	29-343-B,29-5652-B
positum	34-581-S
positus	21-3684-B,24-4998-B
posse potum	28-3228-S
possessio	21-3721-B
possessiones	15-2860-B
possideo	15-2780-B
possum	28-3282-B
possum posse potum	28-3228-B
post	1-791-B
post modum	5-811-B
post tergum	3-1314-B
postea	5-854-B
posteri	21-3753-B
posteritas	26-0-B
posterus, postremo	25-6325-B
posthabeo	35-6316-B
postpono	35-6380-B
postquam	1-7543-B,5-776-B
postremo	25-6325-S
postulatio	3-3895-B
postulativus	21-2194-B
postulator	21-2159-B
postulo	28-1527-B,30-1943-B
posui positum	34-581-S
potens	18-4373-B
potentia	3-1648-B,18-4339-B
potestas	17-3096-B,21-3912-B
potestatis	28-5610-S
potior	1-2276-B,27-4010-B
potissimum	1-5015-B
potissimus	6-6501-B
potius	8-5053-B,22-4212-B,22-4239-S
potum	28-3228-S
practicus	4-5047-B
prae dulcis, pre dulcis	12-1182-B
prae pre	1-4839-B
prae quam, pre quam	15-6658-B
prae se ferre / pre se ferre	37-1581-B
prae, pre	2-8749-B
praebalteata	14-1631-B
praebeo	34-8134-B
praebeo, prebeo	1-2629-B,34-8015-B
praecautus	20-610-B
praecaveo	38-1696-B
praecedo	35-4140-B
praecedo, praecessi, praecessum	33-787-B
praecedo, precedo	35-4061-B
praecellens	11-572-B
praecello	35-4418-B
praecelsus	40-5516-B
praecelsus, precelsus	12-1142-B
praecepio, precepio	21-5073-B
praeceps	21-5117-B
praeceptum, preceptum	16-4107-B
praecessi, praecessum	33-787-S
praecessum	33-787-S
praecidentius	8-1024-B
praecido	30-5498-B
praecingo	32-5959-B
praecipio, precipio	33-5606-B
praecipitium	15-877-B
praecipito	8-398-B
praecipo	33-5732-B
praecipue	4-6070-B,12-124-B,20-5744-B
praecipuus	12-2333-B
praeclarus	12-1388-B
praeconium	17-2127-B
praeconor, preconor	28-3016-B
