vestra, vestrum	2-7863-S
vestri	42-3835-S
vestrum	2-7863-S
vestrum vestri	42-3835-B
veter	19-5579-B
vetus	20-461-B
vexa[verb]	26-3998-B
vexamen	24-2748-B
vexare[verb]	26-3915-B
vexi vectum	29-6855-S
vexillum	13-843-B
vexo	39-275-B
vi ventorum	35-5036-S
via	23-3317-B
viaticus	21-760-B
viator	39-4986-B
vicarius	40-5968-B
vices	21-23-B
vici victum	9-0-S
vicina	19-2301-B
vicinitas[noun]	9-1930-B
vicinus	19-2318-B
vicis	27-3768-B
vicis concor	22-5151-B
vicissim	16-816-B
vicissitudo	5-2744-B,8-1679-B
victor	40-6095-B
victoria	40-6154-B
victualia	26-1109-B
victum	9-0-S,34-2933-S,38-3568-S
victus	17-4911-B,40-6172-B
vicus	40-6395-B
videlicet	1-4679-B,16-5703-B
video vidi visum	36-6530-B
videor	28-6110-B
vidi visum	36-6530-S
viduata	10-3513-B
viduatus	41-5502-B
viduitas	8-1194-B
viduo	31-120-B
vieo	39-1722-B
vietus	24-3785-B
vigens	40-6278-B
vigeo	32-3537-B
vigerius	40-5297-B
vigesco	29-76-B
vigilo	28-3891-B
vigor	40-6219-B
vigoratus	25-4851-B
vigoro	27-6867-B
vilicus, villicus	21-826-B
vilis	8-2375-B,18-2984-B
vilitas	8-2402-B
villa	9-3184-B,40-6353-B
villanus	40-6452-B
villicus	12-336-S,21-826-S
vinco	39-186-B
vinco vici victum	9-0-B
vinculum	7-1895-B,27-3643-B
vindex	6-2588-B
vindicat se de	36-4280-B
vindicatum)	8-3217-S
vindico	28-2590-B,30-360-B,34-2043-B
vindico (vindicatum)	8-3217-B
vinea	12-2825-B
vinitor	40-6569-B
vinum	41-6005-B
vinxi, victum	38-3568-S
violenter	40-6727-B
violentus	7-1589-B
violo	33-5405-B
vipereus	41-22-B
vir	18-1257-B
vires (pl.)	13-3090-S
virga	3-5244-B
virgo	18-841-B,18-875-B
viridis	14-3866-B
viriliter	18-1515-B
virtus	18-1662-B,40-4707-B
virus	41-65-B
vis	2-9242-B,13-3148-B
vis vires (pl.)	13-3090-B
viscera	13-1263-S
viscus	13-1294-B
viscus, viscera	13-1263-B
visio	17-4324-B
vispilio	4-946-B
visum	36-6530-S,41-93-B
vita	17-3930-B
vitiosus	40-6018-B
vitium	12-4560-B
vito	28-2645-B
vitricus	25-4385-B
vitualamen	23-4949-B
vitualis	18-1719-B
vituperabilis	7-563-B
vituperium	16-4310-B
vitupero	31-2243-B
viva voce	5-2582-B
viva vox	5-3741-B
vivax	17-4897-B
vivere	34-2857-S
vivifico	35-7293-B
vivificus	17-4825-B
vivo	34-2969-B
vivo vixi victum	34-2933-B
vix	23-6251-B
vixi victum	34-2933-S
vobis	1-3600-B,1-8111-B
voce	5-2582-S
vociferatio	20-4175-B
vociferor	30-5099-B
vocis	39-3705-S,41-145-S
voco	29-5805-B,38-143-B
voco in dubium	29-5548-B
volaticus	41-6127-B
volatilis	41-6186-B
volator	13-5241-B
volatus	40-5184-B
volens	42-518-B
volito	36-5421-B
volo	32-3825-B,39-2761-B
volo (sibi velle)	34-6107-B
volpes	13-5274-S
voltur, vulturius, volturius	41-424-S
volturius	41-424-S
volubilis	2-7011-B,23-3572-B
volubiliter	13-1585-B
volucris	13-1680-B
voluntarius	41-263-B,41-5706-B
voluntas	17-1868-B,41-5682-B,42-472-B
volup	5-1215-B
voluptarius	21-2489-B
voluptas	21-2601-B,24-1394-B
voluptuosus	10-3016-B,17-6423-B
volutabrum	21-1320-B
volutarie	41-5810-B
volva, vulva	42-1700-B
volvo	34-6183-B
vomer	21-2752-B,21-2830-B
vomica	39-6748-B
vomito	39-401-B
vorago	8-2224-B
vorax	14-2320-B
voro	31-4612-B
vos	1-3790-B,42-3509-B
vota	41-375-B
votum	21-4636-B,35-5526-S
voveo	39-441-B
voveo, vovi, votum	35-5526-B
vovi, votum	35-5526-S
vox	5-3741-S,9-5972-B
vox, vocis	41-145-B
vulcanus	12-6440-B
vulgaris	8-4915-B
vulgariter	16-407-B
vulgivagus	41-986-B
vulgo	37-4551-B
vulgus	26-5125-B
vulnero	39-3134-B
vulnus	42-2687-B
vulpes, volpes	13-5274-B
vulsum	35-6005-S
vulticulus	17-5606-B
vultuosus	14-3932-B
vultur, voltur, vulturius, volturius	41-424-B
vulturius, volturius	41-424-S
vultus	3-4465-B,12-2164-B
vulva	42-1700-S
when si quando	15-5199-S
xiphias	26-2143-B,26-2234-B
ymber	22-3564-S,22-3616-B
ymo (immo)	20-697-B
you..")[conjunction]	7-4381-S
yris	18-2337-S
zelus	16-6200-B
zephyr	41-3486-B
