恙 恙 [01\[ yàng\]]	sickness
恙蟲病 恙虫病 [01\[ yàng chóng bìng\]]	scrub typhus;tsutsugamushi disease;mite-borne typhus fever
恚 恚 [01\[ huì\]]	rage
恛 恛 [01\[ huí\]]	disordered;indistinct doubtful;blurred
恝 恝 [01\[ jiá\]]	indifferent
恟 恟 [01\[ xiōng\]]	scared
恢 恢 [01\[ huī\]]	to restore;to recover;great
恢復 恢复 [01\[ huī fù\]]	to reinstate;to resume;to restore;to recover;to regain;to rehabilate
恢復原狀 恢复原状 [01\[ huī fù yuán zhuàng\]]	to restore something to its original state
恣 恣 [01\[ zì\]]	throw off restraint
恣欲 恣欲 [01\[ zì yù\]]	to follow lustfull desires
恤 恤 [01\[ xù\]]	give relief;sympathy;t-恤 is commonly used for english t-shirt
恥 耻 [01\[ chǐ\]]	shame;disgrace
恥笑 耻笑 [01\[ chǐ xiào\]]	to sneer at sb;to ridicule
恥罵 耻骂 [01\[ chǐ mà\]]	to abuse;to mock
恥辱 耻辱 [01\[ chǐ rǔ\]]	disgrace;shame;humiliation
恥骨 耻骨 [01\[ chǐ gǔ\]]	pubis (bones)
恧 恧 [01\[ nǜ\]]	ashamed
恨 恨 [01\[ hèn\]]	to hate
恨不得 恨不得 [01\[ hèn bu dé\]]	wishing one could do sth;to hate to be unable;itching to do sth;can't wait for;to wish one could do sth;to desire strongly
恨不能 恨不能 [01\[ hèn bu néng\]]	wishing one could do sth;to hate to be unable;can't wait for;to wish one could do sth;to desire strongly (esp. sth unattainable)
恨惡 恨恶 [01\[ hèn wù\]]	despise
恨海難填 恨海难填 [01\[ hèn hǎi nán tián\]]	sea of hatred is hard to fill (成语 saw); irreconcilable division
恩 恩 [01\[ ēn\]]	kind act (from above)
恩人 恩人 [01\[ ēn rén\]]	a benefactor;a person who has significantly helped sb else
恩仇 恩仇 [01\[ ēn chóu\]]	debt of gratitude coupled with duty to avenge
恩典 恩典 [01\[ ēn diǎn\]]	favor;grace
恩培多克勒 恩培多克勒 [01\[ ēn péi duō kè lēi\]]	empedocles (490-430 bc)
恩寵 恩宠 [01\[ ēn chǒng\]]	special favor from a ruler;emperor's generosity towards a favorite
恩平 恩平 [01\[ ēn píng\]]	(n) enping (city in guangdong)
恩德 恩德 [01\[ ēn dé\]]	benevolence;favor
恩怨 恩怨 [01\[ ēn yuàn\]]	(feeling of) resentment;(longstanding) grudge
恩情 恩情 [01\[ ēn qíng\]]	deep affection
恩惠 恩惠 [01\[ ēn huì\]]	favor;grace
恩愛 恩爱 [01\[ ēn ài\]]	conjugal love
恩慈 恩慈 [01\[ ēn cí\]]	bestowed kindness
恩施 恩施 [01\[ ēn shī\]]	enshi prefecture level city in southwest hubei
恩施土家族苗族自治州 恩施土家族苗族自治州 [01\[ ēn shī tǔ jiā zú miáo zú zì zhì zhōu\]]	enshi tujia and miao autonomous prefecture in hubei
恩施地區 恩施地区 [01\[ ēn shī dì qū\]]	(n) enshi district (district in hubei)
恩施市 恩施市 [01\[ ēn shī shì\]]	enshi prefecture level city in hubei
恩施縣 恩施县 [01\[ ēn shī xiàn\]]	enshi county in southwest hubei
恩格斯 恩格斯 [01\[ ēn gé sī\]]	friedrich engels (1820-1895)
恩格爾 恩格尔 [01\[ ēn gé ěr\]]	ernst engel
恩膏 恩膏 [01\[ ēn gāo\]]	rich favor
