朾 朾 [01\[ tíng\]]	to bump
朿 朿 [01\[ cì\]]	stab
杅 杅 [01\[ yú\]]	bowl;tub
杆 杆 [01\[ gān\]]	pole
杇 杇 [01\[ wū\]]	to plaster;whitewash
杈 杈 [01\[ chā\]]	fork of a tree;pitchfork
杈 杈 [01\[ chà\]]	branches of a tree;fork of a tree
杉 杉 [01\[ shā\]]	fir
杉 杉 [01\[ shān\]]	(pine)
杉山彬 杉山彬 [01\[ shān shān bīn\]]	tsugiyama akira
杉林鄉 杉林乡 [01\[ shān lín xiāng\]]	(n) shanlin (village in taiwan)
杌 杌 [01\[ wù\]]	low stool
李 李 [01\[ lǐ\]]	plum;surname li
李世民 李世民 [01\[ lǐ shì mín\]]	li shimin
李代數 李代数 [01\[ lǐ dài shù\]]	lie algebra (math.)
李代桃僵 李代桃僵 [01\[ lǐ dài táo jiāng\]]	lit. the plum tree withers in place of the peach tree;to substitute one thing for another;to carry the can for sb
李伯元 李伯元 [01\[ lǐ bó yuán\]]	li boyuan or li baojia 李寶嘉|李宝嘉 (1867-1906)
李俊 李俊 [01\[ lǐ jùn\]]	li jun
李先念 李先念 [01\[ lǐ xiān niàn\]]	li xiannian (1909-1992)
李光耀 李光耀 [01\[ lǐ guāng yào\]]	lee kuan yew (former prime minister of singapore)
李公樸 李公朴 [01\[ lǐ gōng pǔ\]]	li gongpu (-1946)
李冰 李冰 [01\[ lǐ bīng\]]	li bing (c. 230 bc) historical hydraulic engineer of dujiangyan 都江堰
李劼人 李劼人 [01\[ lǐ jié rén\]]	li jieren (1891-1962)
李卜克內西 李卜克内西 [01\[ lǐ bo kè nèi xī\]]	wilhelm liebknecht (1826-1900)
李叔同 李叔同 [01\[ lǐ shū tóng\]]	liu shutong (1880-1942)
李商隱 李商隐 [01\[ lǐ shāng yǐn\]]	li shangyin (c. 813-858)
李嘉誠 李嘉诚 [01\[ lǐ jiā chéng\]]	sir li ka shing (1928-)
李大釗 李大钊 [01\[ lǐ dà zhāo\]]	lidazhao (1889-1927)
李娃傳 李娃传 [01\[ lǐ wá zhuàn\]]	tale of courtesan li wa
李子 李子 [01\[ lǐ zi\]]	plum
李安 李安 [01\[ lǐ ān\]]	ang li (1954-)
李宗仁 李宗仁 [01\[ lǐ zōng rén\]]	li zongren (1891-1969)
李寧 李宁 [01\[ lǐ níng\]]	li ning
李寶嘉 李宝嘉 [01\[ lǐ bǎo jiā\]]	li boyuan 李伯元 or li baojia (1867-1906)
李小龍 李小龙 [01\[ lǐ xiǎo lóng\]]	bruce lee (1940-1973)
李嵐清 李岚清 [01\[ lǐ lán qīng\]]	li lanqing
李希霍芬 李希霍芬 [01\[ lǐ xī huò fēn\]]	ferdinand von richthofen (1833-1905)
李廣 李广 [01\[ lǐ guǎng\]]	li guang (-119 bc)
李延壽 李延寿 [01\[ lǐ yán shòu\]]	li yanshou (fl. 650)
李建成 李建成 [01\[ lǐ jiàn chéng\]]	li jiancheng (589-626)
李後主 李后主 [01\[ lǐ hòu zhǔ\]]	li houzhu (c. 937-978)
李德 李德 [01\[ lǐ dé\]]	otto braun (1900-1974)
李德林 李德林 [01\[ lǐ dé lín\]]	li delin (530-590)
李成桂 李成桂 [01\[ lǐ chéng guì\]]	yi seong-gye (1335-1408) founder and first king of korean yi dynasty
李成江 李成江 [01\[ lǐ chéng jiāng\]]	li chengjiang
李振藩 李振藩 [01\[ lǐ zhèn fān\]]	bruce lee
李敏勇 李敏勇 [01\[ lǐ mǐn yǒng\]]	li minyong (1947-)
李斯 李斯 [01\[ lǐ sī\]]	li si (c. 280-208 bc)
李斯特 李斯特 [01\[ lǐ sī tè\]]	ferenc (franz) liszt (1811-1886)
李斯特氏桿菌 李斯特氏杆菌 [01\[ lǐ sī tè shì gǎn jūn\]]	listeria bacillus
李斯特氏菌 李斯特氏菌 [01\[ lǐ sī tè shì jūn\]]	listeria bacillus
李斯特菌 李斯特菌 [01\[ lǐ sī tè jūn\]]	listeria monocytogene
李昉 李昉 [01\[ lǐ fǎng\]]	li fang (925-996)
李昌鎬 李昌镐 [01\[ lǐ chāng hào\]]	lee chang-ho
李明博 李明博 [01\[ lǐ míng bó\]]	lee myung-bak (1941-)
李時珍 李时珍 [01\[ lǐ shí zhēn\]]	lǐ shízhēn (1518-1593)
李會昌 李会昌 [01\[ lǐ huì chāng\]]	lee hoi-chang
李朝威 李朝威 [01\[ lǐ cháo wēi\]]	li chaowei (c. 766-c. 820)
李林甫 李林甫 [01\[ lǐ lín fǔ\]]	li linfu (-752)
李格非 李格非 [01\[ lǐ gé fēi\]]	li gefei (active c. 1090)
李樹 李树 [01\[ lǐ shù\]]	plum tree
李氏 李氏 [01\[ lǐ shì\]]	the korean yi or lee dynasty (1392-1910)
李氏朝鮮 李氏朝鲜 [01\[ lǐ shì cháo xiǎn\]]	korean during the yi or lee dynasty (1392-1910)
李汝珍 李汝珍 [01\[ lǐ rǔ zhēn\]]	li ruzhen (c.1763-c.1830)
李洪志 李洪志 [01\[ lǐ hóng zhì\]]	li hongzhi
李淵 李渊 [01\[ lǐ yuān\]]	li yuan (566-635)
