蒞 莅 [01\[ lì\]]	attend (official functions)
蒟 蒟 [01\[ jǔ\]]	betel
蒟蒻 蒟蒻 [01\[ jǔ ruò\]]	konnyaku (in japanese cooking)
蒡 蒡 [01\[ bàng\]]	arctium lappa;great burdock
蒢 蒢 [01\[ chú\]]	hedysarum
蒨 蒨 [01\[ qiàn\]]	luxuriant growth
蒭藁增二 蒭藁增二 [01\[ chú gǎo zēng èr\]]	same as 米拉
蒯 蒯 [01\[ kuǎi\]]	a rush;scirpus cyperinus
蒱 蒱 [01\[ pú\]]	gambling-game;sedges
蒲 蒲 [01\[ pú\]]	refers to various monocotyledonous flowering plants including acorus calamus and typha orientalis;common cattail;bullrush;surname pu;old place name;phonetic po or pu
蒲公英 蒲公英 [01\[ pú gōng yīng\]]	dandelion;taraxacum mongolicum
蒲剧 蒲剧 [01\[ pú jù\]]	puzhou opera of shanxi province
蒲圻 蒲圻 [01\[ pú qí\]]	(n) puqi (city in hubei)
蒲城 蒲城 [01\[ pú chéng\]]	(n) pucheng (place in shaanxi)
蒲式耳 蒲式耳 [01\[ pú shì ěr\]]	bushel (one eight of a gallon)
蒲松齡 蒲松龄 [01\[ pú sōng líng\]]	pu songling (1640-1715)
蒲江 蒲江 [01\[ pú jiāng\]]	(n) pujiang (place in sichuan)
蒲甘 蒲甘 [01\[ pú gān\]]	bagan (pagan)
蒲甘王朝 蒲甘王朝 [01\[ pú gān wáng cháo\]]	bagan (pagan) dynasty of myanmar (burma)
蒲縣 蒲县 [01\[ pú xiàn\]]	pu county in shanxi
蒲草箱 蒲草箱 [01\[ pú cǎo xiāng\]]	rush basket
蒲葵 蒲葵 [01\[ pú kuí\]]	chinese fan palm;livistona chinensis
蒲隆地 蒲隆地 [01\[ pú lóng dì\]]	burundi
蒴 蒴 [01\[ shuò\]]	pod;capsule
蒴果 蒴果 [01\[ shuò guǒ\]]	seed pod (bot.)
蒷 筼 [01\[ yún\]]	see 蒷簹|筼筜 tall bamboo
蒷簹 筼筜 [01\[ yún dāng\]]	bamboo growing tall along water
蒷簹湖 筼筜湖 [01\[ yún dāng hú\]]	yundang or yuandang lake in xiamen
蒸 蒸 [01\[ zhēng\]]	to steam
蒸氣 蒸气 [01\[ zhēng qì\]]	vapor;steam
蒸汽 蒸汽 [01\[ zhēng qì\]]	steam
蒸汽機 蒸汽机 [01\[ zhēng qì jī\]]	steamer
蒸汽機車 蒸汽机车 [01\[ zhēng qì jī chē\]]	steam locomotive
蒸發 蒸发 [01\[ zhēng fā\]]	evaporate;evaporation
蒸發熱 蒸发热 [01\[ zhēng fā rè\]]	latent heat of evaporation
蒸籠 蒸笼 [01\[ zhēng lóng\]]	steamer basket (e.g. for dimsum)
蒸糕 蒸糕 [01\[ zhēng gāo\]]	steamed cake
蒸蒸日上 蒸蒸日上 [01\[ zhēng zhēng rì shàng\]]	becoming more prosperous with each passing day
蒸餃 蒸饺 [01\[ zhēng jiǎo\]]	steamed dumpling
蒸餾 蒸馏 [01\[ zhēng liù\]]	distill
蒸餾水 蒸馏水 [01\[ zhēng liú shuǐ\]]	distilled water
蒸騰作用 蒸腾作用 [01\[ zhēng téng zuò yòng\]]	transpiration
蒹 蒹 [01\[ jiān\]]	reed
蒺 蒺 [01\[ jí\]]	tribulus terrestris
蒻 蒻 [01\[ ruò\]]	young rush (typha japonica)
蒼 苍 [01\[ cāng\]]	dark blue;deep green;housefly (musca domestica);surname cang
蒼勁 苍劲 [01\[ cāng jìn\]]	bold;upright and strong;vigorous;forceful (brush strokes);sureness of touch
蒼南 苍南 [01\[ cāng nán\]]	(n) cangnan (place in zhejiang)
蒼天 苍天 [01\[ cāng tiān\]]	firmament
蒼山 苍山 [01\[ cāng shān\]]	(n) cangshan (place in shandong)
蒼松翠柏 苍松翠柏 [01\[ cāng sōng cuì bǎi\]]	evergreen pine and cypress (成语 saw); steadfast nobility
蒼梧 苍梧 [01\[ cāng wú\]]	cangwu county in east guangxi
蒼梧縣 苍梧县 [01\[ cāng wú xiàn\]]	cangwu county in east guangxi
蒼涼 苍凉 [01\[ cāng liáng\]]	desolate;bleak
蒼溪 苍溪 [01\[ cāng xī\]]	(n) cangxi (place in sichuan)
蒼生 苍生 [01\[ cāng shēng\]]	(area where) vegetation grows;the common people
蒼生塗炭 苍生涂炭 [01\[ cāng shēng tú tàn\]]	the common people in a miserable state
蒼白 苍白 [01\[ cāng bái\]]	pale;wan
蒼白色 苍白色 [01\[ cāng bái sè\]]	pale;wan;sickly white
蒼穹 苍穹 [01\[ cāng qióng\]]	the blue dome of heaven
蒼翠 苍翠 [01\[ cāng cuì\]]	verdant
蒼老 苍老 [01\[ cāng lǎo\]]	old;aged;vigorous;forceful (of calligraphy or painting)
蒼茫 苍茫 [01\[ cāng máng\]]	boundless;vast;hazy (distant horizon)
蒼莽 苍莽 [01\[ cāng mǎng\]]	boundless
蒼蒼 苍苍 [01\[ cāng cāng\]]	ash gray;vast and hazy;flourishing
蒼蠅 苍蝇 [01\[ cāng ying\]]	house fly
蒼蠅座 苍蝇座 [01\[ cāng ying zuò\]]	musca (constellation)
蒼鬱 苍郁 [01\[ cāng yù\]]	verdant and luxuriant
蒼鷹 苍鹰 [01\[ cāng yīng\]]	goshawk
蒼鷺 苍鹭 [01\[ cāng lù\]]	heron
蒼黃 苍黄 [01\[ cāng huáng\]]	greenish yellow;sallow (pale or yellow complexion);variant of 倉皇|仓皇
蒽 蒽 [01\[ ēn\]]	anthracene
蒿 蒿 [01\[ hāo\]]	wormwood
蓀 荪 [01\[ sūn\]]	fragrant grass
蓁 蓁 [01\[ zhēn\]]	abundant
蓂 蓂 [01\[ míng\]]	lucky place
蓄 蓄 [01\[ xù\]]	to store
蓄意 蓄意 [01\[ xù yì\]]	deliberate;premeditated;malice
蓄水 蓄水 [01\[ xù shuǐ\]]	water storage
蓄養 蓄养 [01\[ xù yǎng\]]	to raise (animals)
蓆 席 [01\[ xí\]]	woven mat;surname xi
蓇 蓇 [01\[ gǔ\]]	follicle
蓉 蓉 [01\[ róng\]]	see 芙蓉[fu2 rong2]
蓊 蓊 [01\[ wěng\]]	a plant in bloom;thick
蓋 盖 [01\[ gài\]]	lid;top;cover;canopy;to build
蓋 盖 [01\[ gě\]]	surname ge
蓋世 盖世 [01\[ gài shì\]]	unrivalled;matchless
蓋世太保 盖世太保 [01\[ gài shì tài bǎo\]]	gestapo
蓋兒 盖儿 [01\[ gài 5r\]]	cover;lid
蓋印 盖印 [01\[ gài yìn\]]	to affix a seal
蓋子 盖子 [01\[ gài zi\]]	cover;lid;shell
蓋層 盖层 [01\[ gài céng\]]	cap rock
蓋州 盖州 [01\[ gài zhōu\]]	gaizhou county level city in yingkou 營口|营口
蓋州市 盖州市 [01\[ gài zhōu shì\]]	gaizhou county level city in yingkou 營口|营口
蓋帽 盖帽 [01\[ gài mào\]]	block (basketball)
蓋棺定論 盖棺定论 [01\[ gài guān dìng lùn\]]	definitive conclusion on the coffin lid (成语 saw); you can only judge a person's merits or demerits after death.;don't pass judgement until you've seen the end
蓋棺論定 盖棺论定 [01\[ gài guān lùn dìng\]]	definitive conclusion on the coffin lid (成语 saw); you can only judge a person's merits or demerits after death.;don't pass judgement until you've seen the end
蓋然性 盖然性 [01\[ gài rán xìng\]]	probability
蓋爾 盖尔 [01\[ gài ěr\]]	gaelic
蓋爾語 盖尔语 [01\[ gài ěr yǔ\]]	gaelic (language)
蓋章 盖章 [01\[ gài zhāng\]]	to affix a seal (to sth)
蓋縣 盖县 [01\[ gài xiàn\]]	gai county in liaoning
蓋茨 盖茨 [01\[ gài cí\]]	gates (name);bill gates (1955-)
蓋茲 蓋兹 [01\[ gài zī\]]	variant of 蓋茨|盖茨;(bill) gates (chairman of microsoft)
蓋菜 盖菜 [01\[ gài cài\]]	leaf mustard
蓋革計數器 盖革计数器 [01\[ gě gé jì shù qì\]]	geiger counter
蓋飯 盖饭 [01\[ gài fàn\]]	rice with meat and vegetables
蓌 蓌 [01\[ cuò\]]	to squat (in salutation)
蓍 蓍 [01\[ shī\]]	achillea sibirica
蓏 蓏 [01\[ luǒ\]]	fruit of plants (not of trees)
蓐 蓐 [01\[ rù\]]	mat;rushes
蓑 蓑 [01\[ suō\]]	rain coat made of straw etc
蓓 蓓 [01\[ bèi\]]	(flower) bud
蓓蕾 蓓蕾 [01\[ bèi lěi\]]	flower bud; young flower which is tightly rolled up
蓖 蓖 [01\[ bì\]]	the castor-oil plant
蓖麻 蓖麻 [01\[ bì má\]]	castor-oil plant
蓖麻毒素 蓖麻毒素 [01\[ bì má dú sù\]]	ricin
蓖麻籽 蓖麻籽 [01\[ bì má zǐ\]]	castor beans
蓧 蓧 [01\[ diào\]]	bamboo basket
蓪 蓪 [01\[ tōng\]]	aralia papyrifera
蓫 蓫 [01\[ zhú\]]	(weed);phytolacca acinosa
蓬 蓬 [01\[ péng\]]	(grass);disheveled;surname peng
蓬亂 蓬乱 [01\[ péng luàn\]]	matted (of straw or hair);unkempt;overgrown;scraggly;thatch
蓬勃 蓬勃 [01\[ péng bó\]]	vigorous;flourishing;full of vitality
蓬壺 蓬壶 [01\[ péng hú\]]	fabled island in eastern sea
蓬安 蓬安 [01\[ péng ān\]]	(n) peng'an (place in sichuan)
蓬心 蓬心 [01\[ péng xīn\]]	narrow and bending;unkempt interior
蓬戶 蓬户 [01\[ péng hù\]]	thatched house;poor person's house;humble home
蓬戶瓮牖 蓬户瓮牖 [01\[ péng hù wèng yǒu\]]	thatched house
蓬溪 蓬溪 [01\[ péng xī\]]	(n) pengxi (place in sichuan)
蓬篳 蓬筚 [01\[ péng bì\]]	poor person's house;humble home
蓬篳生光 蓬筚生光 [01\[ péng bì shēng guāng\]]	your presence brings light to my humble dwelling
蓬茸 蓬茸 [01\[ péng róng\]]	lush;luxuriant (of grass or hair);soft lush hair
蓬萊 蓬莱 [01\[ péng lái\]]	penglai county level city in yantai 煙台|烟台
蓬萊市 蓬莱市 [01\[ péng lái shì\]]	penglai county level city in yantai 煙台|烟台
蓬蓬 蓬蓬 [01\[ péng péng\]]	overgrown;unkempt
蓬蓽 蓬荜 [01\[ péng bì\]]	poor person's house;humble home
蓬蓽生光 蓬荜生光 [01\[ péng bì shēng guāng\]]	your presence brings light to my humble dwelling
蓬門篳戶 蓬门筚户 [01\[ péng mén bì hù\]]	overgrown gate
蓬門蓽戶 蓬门荜户 [01\[ péng mén bì hù\]]	overgrown gate
蓬頭垢面 蓬头垢面 [01\[ péng tóu gòu miàn\]]	dirty face;messy hair;bad appearance
蓬頭跣足 蓬头跣足 [01\[ péng tóu xiǎn zú\]]	matted hair and bare feet;unkempt
蓬鬆 蓬松 [01\[ péng sōng\]]	fluffy
蓮 莲 [01\[ lián\]]	lotus
蓮子 莲子 [01\[ lián zǐ\]]	lotus seed
蓮花 莲花 [01\[ lián huā\]]	lotus flower;water-lily;lotus (used in company names);lianhua county in pingxiang 萍鄉|萍乡
蓮花縣 莲花县 [01\[ lián huā xiàn\]]	lianhua county in pingxiang 萍鄉|萍乡
蓮霧 莲雾 [01\[ lián wù\]]	wax apple (a reddish pear-shaped fruit)
蓯 苁 [01\[ cōng\]]	boschniakia glabra
蓰 蓰 [01\[ xǐ\]]	(grass);increase five fold
蓴 莼 [01\[ chún\]]	edible water plant;brasenia schreberi
蓴 蓴 [01\[ chún\]]	brasenia purpurea
蓴菜 莼菜 [01\[ chún cài\]]	brasenia schreberi
蓷 蓷 [01\[ tuī\]]	leonurus macranthus
蓺 蓺 [01\[ yì\]]	skill;art
蓼 蓼 [01\[ liǎo\]]	polygonum;smartweed
蓼 蓼 [01\[ lù\]]	luxuriant growth
蓼藍 蓼蓝 [01\[ liǎo lán\]]	indigo dye;polygonum tinctorium
蓽 荜 [01\[ bì\]]	bean;pulse
蓿 蓿 [01\[ xu\]]	clover
蔀 蔀 [01\[ bù\]]	cycle of 76 years;shade
蔂 蔂 [01\[ luó\]]	basket for carrying earth
蔆 蔆 [01\[ líng\]]	trapa natans;water caltrop
蔇 蔇 [01\[ jì\]]	luxuriant growth;extreme;reach
蔉 蔉 [01\[ gǔn\]]	to bank up the roots of plants
蔊 蔊 [01\[ hǎn\]]	nasturtium montanum
蔋 蔋 [01\[ dí\]]	dry;scorched
蔌 蔌 [01\[ sù\]]	vegetables;surname su
蔎 蔎 [01\[ shè\]]	thea sinensis
蔑 蔑 [01\[ miè\]]	belittle;nothing
蔑稱 蔑称 [01\[ miè chēng\]]	contemptuous term
蔑視 蔑视 [01\[ miè shì\]]	to loathe;to despise;contempt
蔓 蔓 [01\[ mán\]]	turnip;brassica campestris
蔓 蔓 [01\[ màn\]]	creeper;to spread
蔓延 蔓延 [01\[ màn yán\]]	to extend;to spread
蔓延全國 蔓延全国 [01\[ màn yán quán guó\]]	to spread throughout the entire country
蔓生植物 蔓生植物 [01\[ màn shēng zhí wù\]]	creeper;climbing plant;twiner
蔓草 蔓草 [01\[ màn cǎo\]]	creeper;climbing plant;twiner
蔓菁 蔓菁 [01\[ mán jing\]]	turnip;wild cabbage
蔓越桔 蔓越桔 [01\[ màn yuè jú\]]	cranberry
蔓越橘 蔓越橘 [01\[ màn yuè jú\]]	cranberry
蔔 卜 [01\[ bo\]]	turnip
蔕 蔕 [01\[ dì\]]	stem (of fruit)
蔗 蔗 [01\[ zhè\]]	sugar cane
蔗糖 蔗糖 [01\[ zhè táng\]]	cane sugar;sucrose
蔗農 蔗农 [01\[ zhè nóng\]]	sugar cane farmer
蔗露 蔗露 [01\[ zhè lù\]]	jello
蔘 蔘 [01\[ sēn\]]	ginsen;huge
蔙 蔙 [01\[ xuàn\]]	(herb)
蔚 蔚 [01\[ wèi\]]	artemisia japonica;luxuriant
蔚 蔚 [01\[ yù\]]	surname yu;place name
