逋 逋 [01\[ bū\]]	flee;abscond;owe
逋逃藪 逋逃薮 [01\[ bū táo sǒu\]]	refuge for fugitives
逌 逌 [01\[ yóu\]]	distant;joyous;satisfied
逍 逍 [01\[ xiāo\]]	leisurely;easy-going
逍遙 逍遥 [01\[ xiāo yáo\]]	to be free;loose
透 透 [01\[ tòu\]]	to penetrate;thorough;penetrating;to pass through;to pierce
透光 透光 [01\[ tòu guāng\]]	transparent;translucent
透印版印刷 透印版印刷 [01\[ tòu yìn bǎn yìn shuā\]]	offset
透平機 透平机 [01\[ tòu píng jī\]]	turbine
透徹 透彻 [01\[ tòu chè\]]	penetrating (analysis);thorough-going;thorough (understanding of the situation)
透支 透支 [01\[ tòu zhī\]]	(bank) overdraft
透明 透明 [01\[ tòu míng\]]	transparent;open (non-secretive)
透明度 透明度 [01\[ tòu míng dù\]]	transparency;(policy of) openness
透明程度 透明程度 [01\[ tòu míng chéng dù\]]	transparency
透析 透析 [01\[ tòu xī\]]	dialysis (separation of crystalloids by osmosis)
透水 透水 [01\[ tòu shuǐ\]]	permeable;percolation;water leak
透水性 透水性 [01\[ tòu shuǐ xìng\]]	permeability
透皮炭疽 透皮炭疽 [01\[ tòu pí tàn jū\]]	cutaneous anthrax
透紅 透红 [01\[ tòu hóng\]]	rosy
透視 透视 [01\[ tòu shì\]]	to see through;perspective;to examine by fluoroscopy (i.e. x-ray)
透視圖 透视图 [01\[ tòu shì tú\]]	a figure in perspective;perspective drawing
透視學 透视学 [01\[ tòu shì xué\]]	perspective (in drawing)
透視法 透视法 [01\[ tòu shì fǎ\]]	perspective (in drawing)
透視畫 透视画 [01\[ tòu shì huà\]]	perspective drawing
透視畫法 透视画法 [01\[ tòu shì huà fǎ\]]	perspective drawing
透通性 透通性 [01\[ tòu tōng xìng\]]	transparency (networking)
透過 透过 [01\[ tòu guò\]]	through;via
透鏡 透镜 [01\[ tòu jìng\]]	lens (optics)
透露 透露 [01\[ tòu lù\]]	to leak out;to divulge;to reveal
透露消息 透露消息 [01\[ tòu lù xiāo xi\]]	to disclose information
逐 逐 [01\[ zhú\]]	to pursue;to chase;individually;one by one
逐個 逐个 [01\[ zhú gè\]]	one by one;one after another
逐出 逐出 [01\[ zhú chū\]]	expel
逐字逐句 逐字逐句 [01\[ zhú zì zhú jù\]]	literal;word by word and phrase by phrase
逐年 逐年 [01\[ zhú nián\]]	year after year;on an annual basis
逐次 逐次 [01\[ zhú cì\]]	gradually;one after another;little by little
逐步 逐步 [01\[ zhú bù\]]	progressively;step by step
逐步升級 逐步升级 [01\[ zhú bù shēng jí\]]	escalation
逐漸 逐渐 [01\[ zhú jiàn\]]	gradually
逐行 逐行 [01\[ zhú háng\]]	line by line (translation
逐行 逐行 [01\[ zhú xíng\]]	progressive
逐行掃描 逐行扫描 [01\[ zhú háng sǎo miáo\]]	line by line scanning;progressive scanning
逐退 逐退 [01\[ zhú tuì\]]	repulse
逑 逑 [01\[ qiú\]]	collect;to match
逓 逓 [01\[ dì\]]	japanese variant of 遞|递
途 途 [01\[ tú\]]	way;route;road
途中 途中 [01\[ tú zhōng\]]	en route
途徑 途径 [01\[ tú jìng\]]	way;channel
逕 迳 [01\[ jìng\]]	way;path;direct;diameter
逕向 迳向 [01\[ jìng xiàng\]]	radial
逕庭 迳庭 [01\[ jìng tíng\]]	very different
逕流 迳流 [01\[ jìng liú\]]	runoff
逕直 迳直 [01\[ jìng zhí\]]	straight;direct
逕自 迳自 [01\[ jìng zì\]]	on one's own;without consulting others
逕賽 迳赛 [01\[ jìng sài\]]	track
逕跡 迳迹 [01\[ jìng jì\]]	track
逖 逖 [01\[ tì\]]	far
逗 逗 [01\[ dòu\]]	to stay;to stop;to pause (while reading);to tease (play with)
逗人 逗人 [01\[ dòu rén\]]	amusing;funny;entertaining
逗人喜愛 逗人喜爱 [01\[ dòu rén xǐ ài\]]	cute
逗人發笑 逗人发笑 [01\[ dòu rén fā xiào\]]	to make people laugh
逗哈哈 逗哈哈 [01\[ dòu hā hā\]]	to joke;to crack a joke
逗哏 逗哏 [01\[ dòu gén\]]	lead comic;leading role in comic dialog 對口相聲|对口相声[dui4 kou3 xiang4 sheng1];to joke;to play the fool;to provoke laughter
逗嘴 逗嘴 [01\[ dòu zuǐ\]]	to banter
逗弄 逗弄 [01\[ dòu nòng\]]	to tease;to provoke
逗引 逗引 [01\[ dòu yǐn\]]	to make fun of
逗情 逗情 [01\[ dòu qíng\]]	to flirt;to titillate;to provoke
逗樂 逗乐 [01\[ dòu lè\]]	to amuse oneself;to clown around;to provoke laughter
逗留 逗留 [01\[ dòu liú\]]	stay at;stopover at
逗笑 逗笑 [01\[ dòu xiào\]]	to amuse;to cause to smile;amusing
逗笑兒 逗笑儿 [01\[ dòu xiào 5r\]]	erhua variant of 逗笑
逗號 逗号 [01\[ dòu hào\]]	comma (punct.)
逗趣 逗趣 [01\[ dòu qù\]]	to amuse;to make sb laugh;to tease
逗趣兒 逗趣儿 [01\[ dòu qù 5r\]]	to amuse;to make sb laugh;to tease
逗點 逗点 [01\[ dòu diǎn\]]	comma
這 这 [01\[ zhè\]]	this;these;(commonly pronounced zhei4 before a classifier
這些 这些 [01\[ zhè xiē\]]	these
這些個 这些个 [01\[ zhè xiē gè\]]	these
這位 这位 [01\[ zhè wèi\]]	this (person)
這個 这个 [01\[ zhè ge\]]	this;this one
這個月 这个月 [01\[ zhèi gè yuè\]]	this month;the current month
這兒 这儿 [01\[ zhè 5r\]]	here
這咱 这咱 [01\[ zhè zán\]]	now;at this moment
這天 这天 [01\[ zhè tiān\]]	today;this day
這山望著那山高 这山望着那山高 [01\[ zhè shān wàng zhe nà shān gāo\]]	lit. the next mountain looks taller (成语 saw); fig. not satisfied with one's current position;the grass is always greener on the other side of the fence
這幾天 这几天 [01\[ zhè jǐ tiān\]]	the past few days
這早晚兒 这早晚儿 [01\[ zhè zǎo wǎn 5r\]]	now;at this time;this late
這時 这时 [01\[ zhè shí\]]	at this time;at this moment
這會兒 这会儿 [01\[ zhè huì 5r\]]	(coll.) now
這樣 这样 [01\[ zhè yàng\]]	this (kind of
這樣一來 这样一来 [01\[ zhè yàng yī lái\]]	thus;if this happens then
這樣吧 这样吧 [01\[ zhè yàng ba\]]	let's do it like this.
這次 这次 [01\[ zhè cì\]]	present;now;current
這次危機 这次危机 [01\[ zhè cì wēi jī\]]	present crisis;current crisis
這種 这种 [01\[ zhè zhǒng\]]	this;this kind of;this sort of;this type of
這種方式 这种方式 [01\[ zhè zhǒng fāng shì\]]	(in) this way
這裏 這裏 [01\[ zhè lǐ\]]	here;variant of 這裡|这里
這裡 这里 [01\[ zhè lǐ\]]	here
這邊 这边 [01\[ zhè biān\]]	this side;here
這邊兒 这边儿 [01\[ zhè biān 5r\]]	erhua variant of 這邊|这边
這陣兒 这阵儿 [01\[ zhè zhèn 5r\]]	now;at present;at this juncture
