阿壩藏族羌族自治州 阿坝藏族羌族自治州 [01\[ ā bà zàng zú qiāng zú zì zhì zhōu\]]	ngawa tibetan and qiang autonomous prefecture in north sichuan
阿多尼斯 阿多尼斯 [01\[ ā duō ní sī\]]	adonis
阿多諾 阿多诺 [01\[ ā duō nuò\]]	surname adorno;theodor ludwig wiesengrund adorno 狄奧多·阿多諾|狄奥多·阿多诺 (1903-1969)
阿奇歷斯 阿奇历斯 [01\[ ā qí lì sī\]]	achilles
阿奇里斯 阿奇里斯 [01\[ ā qí lǐ sī\]]	achilles
阿奎納 阿奎纳 [01\[ ā kuí nà\]]	surname aquinas;thomas aquinas 托馬斯·阿奎納|托马斯·阿奎纳 (1225-1274)
阿奶 阿奶 [01\[ ā nǎi\]]	granny
阿妹 阿妹 [01\[ ā mèi\]]	younger sister
阿姆斯特丹 阿姆斯特丹 [01\[ ā mǔ sī tè dān\]]	amsterdam
阿姆斯特朗 阿姆斯特朗 [01\[ ā mǔ sī tè lǎng\]]	surname armstrong
阿姆河 阿姆河 [01\[ ā mǔ hé\]]	amu darya
阿姨 阿姨 [01\[ ā yí\]]	maternal aunt;step-mother
阿婆 阿婆 [01\[ ā pó\]]	granny;mother-in-law
阿媽 阿妈 [01\[ ā mā\]]	mother;nurse;amah;serving woman
阿富汗 阿富汗 [01\[ ā fù hàn\]]	afghanistan;afghan
阿巴 阿巴 [01\[ ā bā\]]	aba
阿巴嘎旗 阿巴嘎旗 [01\[ ā bā gā qí\]]	(n) abaga qi (place in inner mongolia)
阿巴拉契亞 阿巴拉契亚 [01\[ ā bā lā qì yà\]]	appalachian mountains in north america
阿巴斯 阿巴斯 [01\[ ā bā sī\]]	abbas (name);mahmoud abbas (1935-)
阿布叔醇 阿布叔醇 [01\[ ā bù shū chún\]]	albuterol
阿布哈茲 阿布哈兹 [01\[ ā bù hā zī\]]	abkhazia
阿布扎比 阿布扎比 [01\[ ā bù zā bǐ\]]	abu dhabi
阿布扎比市 阿布扎比市 [01\[ ā bù zhā bǐ shì\]]	abu dhabi
阿布沙耶夫 阿布沙耶夫 [01\[ ā bù shā yē fū\]]	abu sayyaf
阿布賈 阿布贾 [01\[ ā bù jiǎ\]]	abuja
阿希姆 阿希姆 [01\[ ā xī mǔ\]]	askim (city in østfold
阿弗洛狄忒 阿弗洛狄忒 [01\[ ā fú luò dí tè\]]	aphrodite (greek goddess of love);venus
阿弟 阿弟 [01\[ ā dì\]]	younger brother
阿彌陀佛 阿弥陀佛 [01\[ ē mí tuó fó\]]	amitabha buddha;the buddha of the western paradise;may the lord buddha preserve us!;merciful buddha!
阿彌陀如來 阿弥陀如来 [01\[ ā mí tuó rú lái\]]	amitabha
阿得萊德 阿得莱德 [01\[ ā dé lái dé\]]	adelaide
阿德萊德 阿德莱德 [01\[ ā dé lái dé\]]	adelaide
阿德雷德 阿德雷德 [01\[ à dé léi dé\]]	adelaide
阿托品 阿托品 [01\[ ā tuō pǐn\]]	atropine c17h23no3
阿拉丁 阿拉丁 [01\[ ā lā dīng\]]	aladdin
阿拉乾山脈 阿拉干山脉 [01\[ ā lā gān shān mài\]]	arakan yoma
阿拉伯 阿拉伯 [01\[ ā lā bó\]]	arabian;arabic;arab
阿拉伯世界 阿拉伯世界 [01\[ ā lā bó shì jiè\]]	arab world
阿拉伯人 阿拉伯人 [01\[ ā lā bó rén\]]	arab;arabian;arabian people
阿拉伯半島 阿拉伯半岛 [01\[ ā lā bó bàn dǎo\]]	arabian peninsula
阿拉伯國家聯盟 阿拉伯国家联盟 [01\[ ā lā bó guó jiā lián méng\]]	arab league
阿拉伯數字 阿拉伯数字 [01\[ ā lā bó shù zì\]]	arabic numerals
阿拉伯文 阿拉伯文 [01\[ ā lā bó wén\]]	arabic (language & writing)
阿拉伯海 阿拉伯海 [01\[ ā lā bó hǎi\]]	arabian sea
阿拉伯糖 阿拉伯糖 [01\[ ā lā bó táng\]]	arabinose (type of sugar)
阿拉伯聯合酋長國 阿拉伯联合酋长国 [01\[ ā lā bó lián hé qiú cháng guó\]]	united arab emirates (uae)
阿拉伯膠 阿拉伯胶 [01\[ ā lā bó jiāo\]]	gum arabica;acacia gum
阿拉伯語 阿拉伯语 [01\[ ā lā bó yǔ\]]	arabic (language)
阿拉善 阿拉善 [01\[ ā lā shàn\]]	alxa league
阿拉善右旗 阿拉善右旗 [01\[ ā lā shàn yòu qí\]]	(n) alashan youqi (place in gansu)
阿拉善左旗 阿拉善左旗 [01\[ ā lā shàn zuǒ qí\]]	(n) alashan zuoqi (place in ningxia)
阿拉善盟 阿拉善盟 [01\[ ā lā shàn méng\]]	alxa league
阿拉塔斯 阿拉塔斯 [01\[ ā lā tǎ sī\]]	surname alatas;ali alatas (1932-)
阿拉巴馬 阿拉巴马 [01\[ ā lā bā mǎ\]]	alabama (us state)
阿拉弗拉海 阿拉弗拉海 [01\[ ā lā fú lā hǎi\]]	arafura sea
阿拉摩 阿拉摩 [01\[ ā lā mó\]]	alamo
阿拉斯 阿拉斯 [01\[ ā lā sī\]]	arras
阿拉斯加 阿拉斯加 [01\[ ā lā sī jiā\]]	alaska
阿拉斯加州 阿拉斯加州 [01\[ ā lā sī jiā zhōu\]]	alaska
阿拉木圖 阿拉木图 [01\[ ā lā mù tú\]]	almaty
阿拉法特 阿拉法特 [01\[ ā lā fǎ tè\]]	mohammed abdel rahman abdel raouf arafat al-qudwa al-husseini (1929-2004)
阿拉爾 阿拉尔 [01\[ ā lā ěr\]]	aral shehiri (aral city) or ālā'ěr subprefecture level city in west xinjiang)
阿拉爾市 阿拉尔市 [01\[ ā lā ěr shì\]]	aral shehiri (aral city) or ālā'ěr subprefecture level city in west xinjiang)
阿拉瓦 阿拉瓦 [01\[ ā lā wǎ\]]	araba or álava
阿拉米語 阿拉米语 [01\[ ā lā mǐ yǔ\]]	aramaic (language)
阿拖品化 阿拖品化 [01\[ ā tuō pǐn huà\]]	atropinization
阿摩司書 阿摩司书 [01\[ ā mó sī shū\]]	book of amos
阿摩尼亞 阿摩尼亚 [01\[ ā mó ní yà\]]	ammonia
阿斯匹林 阿斯匹林 [01\[ ā sī pǐ lín\]]	also written 阿司匹林;aspirin
阿斯圖里亞斯 阿斯图里亚斯 [01\[ ā sī tú lǐ yà sī\]]	asturias
阿斯塔納 阿斯塔纳 [01\[ ā sī tǎ nà\]]	astana
阿斯巴特 阿斯巴特 [01\[ ā sī bā tè\]]	aspartame c14h18n2o (artificial sweetener)
阿斯旺 阿斯旺 [01\[ ā sī wàng\]]	aswan (town in south egypt)
阿斯旺高壩 阿斯旺高坝 [01\[ ā sī wàng gāo bà\]]	the aswan dam in south egypt
阿斯蘭 阿斯兰 [01\[ ā sī lán\]]	aslan (from the narnia chronicles)
阿斯馬拉 阿斯马拉 [01\[ ā sī mǎ lā\]]	asmara
阿旺曲沛 阿旺曲沛 [01\[ ā wàng qǔ pèi\]]	ngawang choepel (tibetan
阿昌族 阿昌族 [01\[ ā chāng zú\]]	achang nationality living in yunnan
阿明 阿明 [01\[ ā míng\]]	al-amin
阿普爾頓 阿普尔顿 [01\[ ā pǔ ěr dùn\]]	appleton (name);sir edward appleton (1892-1965)
阿曼 阿曼 [01\[ ā màn\]]	oman
阿月渾子 阿月浑子 [01\[ ā yuè hún zi\]]	pistachio
阿木林 阿木林 [01\[ ā mù lín\]]	dullard;stupid person
阿松森島 阿松森岛 [01\[ ā sōng sēn dǎo\]]	ascension island
阿根廷 阿根廷 [01\[ ā gēn tíng\]]	argentina
阿格尼迪 阿格尼迪 [01\[ ā gé ní dí\]]	agnus dei (section of catholic mass)
阿森 阿森 [01\[ ā sēn\]]	assen
阿森鬆島 阿森松岛 [01\[ ā sēn sōng dǎo\]]	ascension island
阿榮旗 阿荣旗 [01\[ ā róng qí\]]	(n) arongqi (place in heilongjiang)
阿比 阿比 [01\[ ā bǐ\]]	abby or abi (name
阿比西尼亞 阿比西尼亚 [01\[ ā bǐ xī ní yà\]]	abyssinia
阿比西尼亞人 阿比西尼亚人 [01\[ ā bǐ xī ní yà rén\]]	abyssinian (person)
阿比讓 阿比让 [01\[ ā bǐ ràng\]]	abidjan (city in ivory coast)
阿法爾 阿法尔 [01\[ ā fǎ ěr\]]	the afar desert in southern ethiopia
阿法爾沙漠 阿法尔沙漠 [01\[ ā fǎ ěr shā mò\]]	the afar desert in southern ethiopia
阿波羅 阿波罗 [01\[ ā bō luó\]]	apollo (loan)
阿波羅計劃 阿波罗计划 [01\[ ā bō luó jì huà\]]	the apollo project (1961-1975)
阿爸 阿爸 [01\[ ā bà\]]	abba (aramaic word father);by ext. god the father in christian gospel)
阿爸父 阿爸父 [01\[ ā bà fù\]]	abba (aramaic word father);by ext. god the father in christian gospel)
阿爾伯塔 阿尔伯塔 [01\[ ā ěr bó tǎ\]]	alberta province
阿爾伯特 阿尔伯特 [01\[ ā ěr bó tè\]]	albert (name)
阿爾卑斯 阿尔卑斯 [01\[ ā ěr bēi sī\]]	alps
阿爾卑斯山 阿尔卑斯山 [01\[ ā ěr bēi sī shān\]]	alps
阿爾卡特 阿尔卡特 [01\[ ā ěr kǎ tè\]]	alcatel
阿爾及利亞 阿尔及利亚 [01\[ ā ěr jí lì yà\]]	algeria
阿爾及爾 阿尔及尔 [01\[ ā ěr jí ěr\]]	algiers
阿爾坎塔拉 阿尔坎塔拉 [01\[ ā ěr kǎn tǎ lā\]]	alcántara
阿爾巴尼亞 阿尔巴尼亚 [01\[ ā ěr bā ní yà\]]	albania
阿爾巴尼亞人 阿尔巴尼亚人 [01\[ ā ěr bā ní yà rén\]]	albanian (person)
阿爾斯通公司 阿尔斯通公司 [01\[ ā ěr sī tōng gōng sī\]]	alstom
阿爾梅里亞 阿尔梅里亚 [01\[ ā ěr méi lǐ yà\]]	almería
阿爾法 阿尔法 [01\[ ā ěr fǎ\]]	alpha (greek letter αα)
阿爾泰 阿尔泰 [01\[ ā ěr tài\]]	altai republic in russian central asia
阿爾泰山 阿尔泰山 [01\[ ā ěr tài shān\]]	altai mountain range in xinjiang and siberia
