shuang1 guang1 qi4	66-63968-B
shuang1 gui3	67-1356-B
shuang1 hai4	67-44505-B
shuang1 he2	66-66549-B
shuang1 huang2	67-182-B
shuang1 huang2 guan3	67-252-B
shuang1 ji1	66-65895-B
shuang1 jian4	67-1996-B
shuang1 jiao3	67-570-B
shuang1 jiao3 xi1	67-1026-B
shuang1 jiao3 xian4	67-356-B
shuang1 jie2 gun4	66-65585-B,67-0-B
shuang1 jie2 gun4 dao4	67-102-B
shuang1 kai1	67-2267-B
shuang1 lian2 jie1 zhan4	67-1405-B
shuang1 lian4	67-2053-B
shuang1 lian4 he2 suan1	67-2106-B
shuang1 lu4	67-44932-B
shuang1 lu4 qi2	67-2365-B
shuang1 lu:4 chun2 an4	66-67021-B
shuang1 lu:4 fen1 suan1 na4	66-66935-B
shuang1 lu:4 mie4 tong4	66-66832-B
shuang1 ming2 fa3	66-64229-B
shuang1 pin1	66-65845-B
shuang1 qi1	40-64113-S
shuang1 qi2 lin2	67-44701-B
shuang1 qin1	67-982-B
shuang1 qiu2 jun1	52-15024-S,66-67605-B
shuang1 qu1 xian4	66-66162-B
shuang1 qu1 xian4 zheng4 xian2	66-66219-B
shuang1 qu1 yu2 xian2	66-66322-B
shuang1 qu1 zheng4 xian2	66-66071-B
shuang1 quan2	26-38859-S,30-29047-S
shuang1 ren2	66-63401-B
shuang1 ren2 chuang2	66-63467-B
shuang1 ren2 fang2	66-63528-B
shuang1 ren2 hua2	66-63588-B
shuang1 ren2 jian1	66-63648-B
shuang1 ren4	66-64114-B
shuang1 ru3	66-63358-B
shuang1 rui3 lan2	67-880-B
shuang1 sheng1	66-67664-B
shuang1 sheng1 xiong1 di4	66-67708-B
shuang1 shi2 jie2	66-64169-B
shuang1 shou1	12-54222-S
shuang1 shou3	66-65686-B
shuang1 shu4	66-65943-B
shuang1 tao4	66-64998-B
shuang1 tian1	67-44440-B
shuang1 tiao2	67-44626-B
shuang1 tu1 mian4	66-64027-B
shuang1 wu4	67-1154-B
shuang1 xi1	67-626-B
shuang1 xi3	66-64437-B
shuang1 xi3 lin2 men2	66-64569-B
shuang1 xiang4	66-64309-B
shuang1 xing4 lian4	66-65515-B
shuang1 xiu1 ri4	66-63716-B
shuang1 yan3 pi2	66-67783-B
