Shuang1 hu2	66-67182-B
Shuang1 jiang4	67-44864-B
Shuang1 liao2	67-1575-B
Shuang1 liao2 shi4	67-1658-B
Shuang1 liu2	66-67090-B
Shuang1 pai2	66-67329-B
Shuang1 qiao2 qu1	66-66676-B
Shuang1 shui3	40-16119-B
Shuang1 ta3	66-64808-B
Shuang1 ta3 qu1	66-64898-B
Shuang1 tai2 zi5	67-672-B
Shuang1 tai2 zi5 qu1	67-771-B
Shuang1 xi1 xiang1	66-67247-B
Shuang1 ya1 shan1	67-2771-B
Shuang1 yang2	67-2421-B
Shuang1 yang2 qu1	67-2516-B
Shuang1 yu2 zuo4	67-2679-B
Shuang1 zi3 zuo4	66-65107-B
Shui	58-34078-B
Shui bian	66-28463-S
Shui chan sheng	61-41071-S
Shui cheng	36-40014-B
Shui fu	36-40436-B
Shui hu quan zhuan	36-43708-B
Shui hua shi	49-56763-B
Shui jing gong	36-41571-B
Shui li xiang	36-47188-B
Shui lin xiang	36-41834-B
Shui mei ren	45-55126-B
Shui ping zuo	36-44417-B
Shui shang xiang	36-37987-B
Shui zu	36-41293-B
Shui2	58-34078-B
Shui2 hua4 shi4	49-56763-B
Shui3 bian3	66-28463-S
Shui3 chan3 sheng3	61-41071-S
Shui3 cheng2	36-40014-B
Shui3 fu4	36-40436-B
Shui3 hu3 quan2 zhuan4	36-43708-B
Shui3 jing1 gong1	36-41571-B
Shui3 li3 xiang1	36-47188-B
Shui3 lin2 xiang1	36-41834-B
Shui3 ping2 zuo4	36-44417-B
Shui3 shang4 xiang1	36-37987-B
Shui3 zu2	36-41293-B
Shui4 mei3 ren2	45-55126-B
Shun	53-31878-B,55-55082-S
Shun chang	68-24917-B
Shun cheng	68-23076-B
Shun cheng qu	68-23166-B
Shun de	68-23883-B
Shun di ling	53-31927-B
Shun yi	68-26305-B
Shun yi qu	68-26368-B
Shun zhi	68-25792-B
Shun zhi di	68-25873-B
Shun4	53-31878-B,55-55082-S
Shun4 chang1	68-24917-B
Shun4 cheng2	68-23076-B
Shun4 cheng2 qu1	68-23166-B
Shun4 de2	68-23883-B
Shun4 di4 ling2	53-31927-B
Shun4 yi4	68-26305-B
Shun4 yi4 qu1	68-26368-B
Shun4 zhi4	68-25792-B
Shun4 zhi4 di4	68-25873-B
Shuo	6-25709-S,42-35309-S
Shuo wen	58-31989-B
Shuo wen jie zi	58-32031-B
Shuo wen jie zi zhu	58-32094-B
Shuo zhou	32-44645-B
Shuo zhou shi	32-44732-B
Shuo1	6-25709-S
Shuo1 wen1	58-31989-B
Shuo1 wen1 jie3 zi4	58-32031-B
Shuo1 wen1 jie3 zi4 zhu4	58-32094-B
Shuo4	42-35309-S
Shuo4 zhou1	32-44645-B
Shuo4 zhou1 shi4	32-44732-B
Si	21-58593-S,33-2924-S
Si Hai	35-58087-B
Si Xiao long	14-48667-B
Si ba da	30-40272-B
Si bin nuo sha	30-42789-B
Si bin se	30-42732-B
Si che da er	30-40477-B
Si chou Zhi lu	49-54928-B
Si chuan	14-48804-B
Si chuan Da xue	14-48885-B
Si chuan pen di	14-49028-B
Si chuan ri bao	14-48959-B
Si chuan sheng	14-49097-B
Si da Fo jiao Ming shan	14-47586-B
Si da lin	30-39931-B
Si da lin zhu yi	30-39999-B
Si dang dong	30-41967-B
Si de ge er mo	30-40386-B
Si di wen sen	30-42531-B
Si fa bu	12-24485-B
Si fang qu	14-50437-B
Si fu er wa er	30-42134-B
Si guo	14-47457-B
Si hong	37-35589-B
Si hu xiang	14-51768-B
Si hui	14-50881-B
Si ka bo le jiao	30-39204-B
Si kan de na wei ya	30-39762-B
Si kan di na wei ya	30-39846-B
Si ke	24-55625-B
Si ke li ya bin	30-39122-B
Si ke pu li	30-42222-B
Si la fu	30-40659-B
Si la fu yu	30-40707-B
Si lai te lin	30-42460-B
Si lei bu lei ni cha	30-43179-B
Si li Ba jia wan gang	30-42984-B
Si li lan ka	30-43099-B
Si lian	18-42085-S
Si luo fa ke	30-41384-B
Si luo wen ni ya	30-41525-B
Si ma	12-24920-B
Si ma Cheng zheng	12-25163-B
Si ma Guang	12-25037-B
Si ma Liao tai lang	12-25802-B
Si ma Qian	12-25734-B
Si ma Rang ju	12-25604-B
Si ma Yan	12-25543-B
Si ma Yi	12-25104-B
Si ma Zhao zhi xin lu ren suo zhi	12-25246-B
Si ma fa	12-25419-B
Si ma tan	12-25673-B
Si mao	24-56008-B
Si mao di qu	24-56061-B
Si mao shi	24-56153-B
Si mi	3-62057-S,30-40136-B
Si nan	24-54450-B
Si nuo	15-58576-S,30-42615-B
Si pa si ji	30-40320-B
Si pi er bo ge	30-42048-B
Si ping	14-49191-B
Si ping di qu	14-49426-B
Si ping shi	14-49519-B
Si pu la Te li qun dao	30-41106-B
Si pu li te	30-41031-B
Si pu lin fei er de	30-41205-B
Si shen	35-58882-B
Si shi mo te lai	53-47522-S
Si shui	37-35525-B
Si tai en xie er	30-41290-B
Si tan li	30-39473-B
Si tan yin	30-39530-B
Si tang da	12-24568-B
Si te fan nuo pu luo si	30-41597-B
Si te la si bao	30-41745-B
Si tong	58-63883-S
Si tong heng zhi shi lan	30-42882-B
Si tu	12-24084-B
Si tu jia te	30-39393-B
Si wa xi li	30-41818-B
Si wa xi li yu	30-41877-B
Si wei er de luo fu	30-42280-B
Si wei shi lan	30-40072-B
Si wen · Hai ding	30-40858-B
Si wen · He ding	30-40945-B
Si xian	37-35652-B
Si yang	37-35704-B
Si zi wang qi	14-48401-B
Si1	21-58593-S,33-2924-S
Si1 ba1 da2	30-40272-B
Si1 bin1 nuo4 sha1	30-42789-B
Si1 bin1 se4	30-42732-B
Si1 che4 da2 er3	30-40477-B
Si1 chou2 Zhi1 lu4	49-54928-B
Si1 da4 lin2	30-39931-B
Si1 da4 lin2 zhu3 yi4	30-39999-B
Si1 dang1 dong1	30-41967-B
Si1 de2 ge1 er3 mo2	30-40386-B
Si1 di4 wen2 sen1	30-42531-B
Si1 fa3 bu4	12-24485-B
Si1 fu2 er3 wa3 er3	30-42134-B
Si1 ka3 bo2 le4 jiao1	30-39204-B
Si1 kan1 de5 na4 wei2 ya4	30-39762-B
Si1 kan1 di4 na4 wei2 ya4	30-39846-B
Si1 ke1	24-55625-B
Si1 ke1 pu3 li3	30-42222-B
Si1 ke4 li3 ya4 bin1	30-39122-B
Si1 la1 fu1	30-40659-B
Si1 la1 fu1 yu3	30-40707-B
Si1 lai2 te4 lin2	30-42460-B
Si1 lei2 bu4 lei2 ni2 cha2	30-43179-B
Si1 li3 Ba1 jia1 wan1 gang3	30-42984-B
Si1 li3 lan2 ka3	30-43099-B
Si1 lian2	18-42085-S
Si1 luo4 fa2 ke4	30-41384-B
Si1 luo4 wen2 ni2 ya4	30-41525-B
Si1 ma3	12-24920-B
Si1 ma3 Cheng2 zheng4	12-25163-B
Si1 ma3 Guang1	12-25037-B
Si1 ma3 Liao2 tai4 lang2	12-25802-B
Si1 ma3 Qian1	12-25734-B
Si1 ma3 Rang2 ju1	12-25604-B
Si1 ma3 Yan2	12-25543-B
Si1 ma3 Yi4	12-25104-B
Si1 ma3 Zhao1 zhi1 xin1 lu4 ren2 suo3 zhi1	12-25246-B
Si1 ma3 fa3	12-25419-B
Si1 ma3 tan2	12-25673-B
Si1 mao2	24-56008-B
Si1 mao2 di4 qu1	24-56061-B
Si1 mao2 shi4	24-56153-B
Si1 mi4	3-62057-S,30-40136-B
Si1 nan2	24-54450-B
Si1 nuo4	15-58576-S,30-42615-B
Si1 pa4 si1 ji1	30-40320-B
Si1 pi2 er3 bo2 ge2	30-42048-B
Si1 pu3 la1 Te4 li4 qun2 dao3	30-41106-B
Si1 pu3 li4 te4	30-41031-B
Si1 pu3 lin2 fei1 er3 de2	30-41205-B
Si1 shi3 mo4 te4 lai2	53-47522-S
Si1 tai4 en1 xie4 er3	30-41290-B
Si1 tan3 li4	30-39473-B
Si1 tan3 yin1	30-39530-B
Si1 tang1 da2	12-24568-B
Si1 te4 fan2 nuo4 pu3 luo4 si1	30-41597-B
Si1 te4 la1 si1 bao3	30-41745-B
Si1 tong1 heng1 zhi4 shi2 lan2	30-42882-B
Si1 tu2	12-24084-B
Si1 tu2 jia1 te4	30-39393-B
Si1 wa3 xi1 li3	30-41818-B
Si1 wa3 xi1 li3 yu3	30-41877-B
Si1 wei1 shi4 lan2	30-40072-B
Si1 wei2 er3 de2 luo4 fu1	30-42280-B
Si1 wen2 · Hai3 ding4	30-40858-B
Si1 wen2 · He4 ding4	30-40945-B
Si3 Hai3	35-58087-B
Si3 shen2	35-58882-B
Si4 Xiao3 long2	14-48667-B
Si4 chuan1	14-48804-B
Si4 chuan1 Da4 xue2	14-48885-B
Si4 chuan1 pen2 di4	14-49028-B
Si4 chuan1 ri4 bao4	14-48959-B
Si4 chuan1 sheng3	14-49097-B
Si4 da4 Fo2 jiao4 Ming2 shan1	14-47586-B
Si4 fang1 qu1	14-50437-B
Si4 guo2	14-47457-B
Si4 hong2	37-35589-B
Si4 hu2 xiang1	14-51768-B
Si4 hui4	14-50881-B
Si4 ping2	14-49191-B
Si4 ping2 di4 qu1	14-49426-B
Si4 ping2 shi4	14-49519-B
Si4 shui3	37-35525-B
Si4 tong2	58-63883-S
Si4 xian4	37-35652-B
Si4 yang2	37-35704-B
Si4 zi3 wang2 qi2	14-48401-B
Song	4-45399-S,7-44185-S,9-41788-S,10-30309-S,10-72577-S,13-51031-S,19-34795-B,35-47306-S,44-62237-S,60-29569-S
Song Chu yu	19-35825-B
Song Ci	19-35386-B
Song Hui zong	19-35309-B
Song Jiang	19-36031-B
Song Jiao ren	19-35531-B
Song Lian	19-36078-B
Song Mei ling	19-36241-B
Song Qi	19-36189-B
Song Qing ling	19-35439-B
Song Tai zu	19-35243-B
Song Xiang gong	19-36330-B
Song ba da jia	13-51115-S
Song ba wa	33-27894-B
Song ba wa dao	33-27945-B
Song bai	19-36135-B
Song chao	19-35714-B
Song dai	19-34915-B
Song dao	63-24543-S
Song hua jiang	33-28525-B
Song jiang	70-26505-B
Song ming	21-46857-B
Song ming xian	21-46918-B
Song pan	70-26740-B
Song shan	21-46805-B,70-25891-B
Song shan qu	33-27775-B
Song shi	19-34973-B
Song shi dai	9-41873-S
Song shu	19-35602-B
Song si da bu shu	10-30380-S
Song si da shu	19-35035-B
Song si jia	19-35138-B
Song tao Miao zu zi zhi xian	70-26372-B
Song wu di	19-35889-B
Song wu di Liu yu	19-35960-B
Song xi	70-26617-B
Song xia	33-27075-B
Song xia Dian qi	33-27141-B
Song xian	21-46991-B
Song yang	70-27488-B
Song yuan	33-27461-B
Song yuan shi	33-27574-B
