xin1 yan3 er5	24-36222-B
xin1 yan3 hao3	24-36561-B
xin1 yan3 r5	20-64100-S,35-57409-S,50-49095-S
xin1 yan3 xiao3	24-36648-B
xin1 yan4 jiu4	14-8456-S
xin1 yang3 xing4	5-47670-S
xin1 yi1	44-61618-S
xin1 yi1 yi4	1-8679-S,20-39084-S
xin1 yi2	24-31164-B,24-35490-B
xin1 yi4	24-33087-B,30-48738-B,30-52429-B,32-34411-S
xin1 yi4 yi4	20-64187-S
xin1 yin1	24-39960-B
xin1 ying3	30-53202-B
xin1 ying3 er2	24-32135-B
xin1 ying4	24-36748-B
xin1 ying4 shou3	24-7608-S
xin1 you3	61-33516-B
xin1 you3 kui4	13-62764-S
xin1 you3 yu2 er2 li4 bu4 zu2	24-33952-B
xin1 you3 yu2 ji4	24-33838-B
xin1 yu3	2-71549-S
xin1 yuan2 yi4 ma3	24-34800-B
xin1 yuan4	24-40502-B
xin1 yue1	2-75399-S,30-53505-B
xin1 yue4	30-49813-B
xin1 yue4 cheng2 fu2	24-32792-B
xin1 yue4 hui4	49-9857-S
xin1 yue4 mu4	41-42078-S,59-57206-S
xin1 yue4 yi4	31-7186-S
xin1 zang4	24-38297-B
xin1 zang4 bing4	24-38498-B
xin1 zang4 ji2 huan4	24-38428-B
xin1 zang4 shou1 suo1 ya1	24-38337-B
xin1 zang4 shu1 zhang1 ya1	24-38630-B
xin1 zang4 yi2 zhi2	24-38558-B
xin1 zao4	30-57045-B
xin1 ze2 xi1	30-51768-B
xin1 zhai3	24-37046-B
xin1 zhang4 ai4	60-56332-S
xin1 zhao1	45-16975-S
xin1 zhao4	24-34563-B
xin1 zhao4 bu4 xuan1	24-34638-B
xin1 zhe2	24-33641-B
xin1 zhe3	35-54181-S
xin1 zheng4	25-52292-S,52-22135-S
xin1 zhi1 lun4	58-18177-S
xin1 zhi1 yan2	62-57055-S
xin1 zhi2 kou3 kuai4	24-35759-B
xin1 zhi2 min2 hua4	30-50271-B
xin1 zhi2 min2 zhu3 yi4	30-50191-B
xin1 zhi2 zui3 kuai4	24-35876-B
xin1 zhi4	24-32467-B,24-33719-B
xin1 zhi4 fu4	28-30682-S
xin1 zhi4 si3	6-44391-S
