Xi1 huo4 te4	64-46857-B
Xi1 huo4 te4 shan1 mai4	64-47283-B
Xi1 huo4 te4 · A1 lin2	64-46972-B
Xi1 huo4 te4 · A1 lin2 shan1 mai4	64-47116-B
Xi1 ji2	57-14106-B
Xi1 jiang1	57-19208-B
Xi1 jin1	64-46723-B
Xi1 jin4	57-18440-B
Xi1 ju4	64-46120-B
Xi1 ke4	64-46084-B
Xi1 kou3 xiang1	39-19095-B
Xi1 la1 ke4	22-20466-B
Xi1 la1 li3	22-20536-B
Xi1 la1 ya3 zu2	57-17540-B
Xi1 la4	12-1995-S,22-21653-B
Xi1 la4 shen2 hua4	22-21816-B
Xi1 la4 wen2	22-21757-B
Xi1 la4 yu3	22-21886-B
Xi1 lai2	55-19197-S
Xi1 li3 xi1 ya4	57-23580-B
Xi1 lin2	57-18583-B
Xi1 lin2 guo1 le4	64-46353-B
Xi1 lin2 hao4 te4	64-46266-B
Xi1 ling2 guo1 le4 meng2	64-46423-B
Xi1 long2	42-30181-S
Xi1 lou2 ji4	57-19028-B
Xi1 lou2 meng4	57-18892-B
Xi1 lu:4 wang2	22-20311-B
Xi1 luo2 di3	22-21500-B
Xi1 luo2 zhen4	57-22348-B
Xi1 men2 zi3	57-23639-B
Xi1 men2 zi3 Gong1 si1	57-23704-B
Xi1 meng2 Wa3 zu2 zi4 zhi4 xian4	57-21027-B
Xi1 meng4	42-34617-S
Xi1 nai3	57-12726-B
Xi1 nai4	57-15216-B
Xi1 nai4 ban4 dao3	57-15264-B
Xi1 nan2 Jiao1 tong1 Da4 xue2	57-13868-B
Xi1 nan2 bu4	57-13975-B
Xi1 nan2 zhong1 sha1 qun2 dao3	57-13694-B
Xi1 ni2	25-6408-B
Xi1 ning2	57-16114-B
Xi1 ning2 shi4	57-16222-B
Xi1 ping2	57-16922-B
Xi1 qu1	57-13534-B
Xi1 rong2	57-17475-B
Xi1 sai1 luo2	57-14900-B
Xi1 sha1 qun2 dao3	57-19256-B
Xi1 shan1	65-50488-S
Xi1 shan1 qu1	57-16411-B
Xi1 shen2	22-21378-B
Xi1 shi4	4-54512-S
Xi1 shi4 qu1	57-16810-B
