you2 cai4 hua1	18-24113-S
you2 cai4 zi3	37-23554-B
you2 cang1	41-24255-S
you2 ceng2	55-19026-S
you2 cha2	63-42246-S
you2 chai1	63-25641-B
you2 chan3 pin3	61-12441-S
you2 chang3	41-721-S
you2 chuan1 dong1 zuan4 tan4 gong1 si1	2-76805-S
you2 chuo1	63-25683-B
you2 chuo1 ri4 qi1	63-25739-B
you2 ci3	43-38876-B
you2 ci3 ke3 jian4	43-38925-B
you2 dang3	53-11983-S
you2 dang4	1-2375-S,62-37788-B
you2 de2	2-19129-S
you2 deng1	37-23099-B
you2 di4	30-69260-S,63-26379-B
you2 di4 qiu2	7-49388-S
you2 di4 yuan2	63-26435-B
you2 di4 zhi3	67-38220-S
you2 dian4	63-26487-B
you2 du4	53-10707-S
you2 fa1 dong4 ji1	33-51008-S
you2 fang4 ren4	53-10860-S
you2 fei4	63-26216-B
you2 gang3	53-11134-S
you2 gao1	37-23448-B
you2 gong1 si1	54-2718-S,67-15971-S
you2 gou4	63-26257-B
you2 guan3	61-17921-S
you2 guan4 che1	37-23276-B
you2 guang1 qi1	37-22108-B
you2 guo1	37-23697-B
you2 guo2	43-32300-S,59-35930-S
you2 guo3	41-47890-S
you2 han2	53-11296-S
you2 hao4	37-23350-B
you2 he2 hua4 xue2 gong1 ye4 xie2 hui4	2-61549-S
you2 hei1	37-23999-B
you2 hua1	63-42128-S
you2 hua4	37-23186-B,53-10414-S
you2 hua4 gong1 gu3 fen4 you3 xian4 gong1 si1	2-61362-S
you2 hua4 xue2	46-7833-S
you2 huan4 shi2 pin3 xiang4 mu4	46-7903-S
you2 ji1	33-50950-S,51-11904-S,53-10491-S,62-37153-B
you2 ji1 dui4	62-37265-B
you2 ji1 qing1 chu2 ji4	53-10546-S
you2 ji1 zhan4	62-37203-B
you2 ji3	60-55228-S
you2 ji4	24-1413-S,50-44618-S,51-28765-S,57-23129-S,62-38252-B,63-25481-B
you2 jia4	37-22053-B
you2 jian4	15-56199-S,53-35983-S,63-25277-B,67-29134-S
you2 jian4 chuan2 song4 fu2 wu4	67-29212-S
you2 jian4 wang3	65-61918-S
you2 jin1 sai4 er3 nan2	21-8574-B
you2 jing3	37-22010-B
you2 jing4	43-38731-B,56-31004-S
you2 jiu4 zhang1	42-29133-S
you2 ju2	63-25534-B
you2 ju2 bian1 ma3	63-25578-B
you2 ke4	30-69055-S,62-36544-B
you2 ke4 li3 li3 qin2	21-7812-B
you2 ku4	37-22295-B
you2 kuang4	40-15615-S
you2 kuang4 shi2	64-20219-S
you2 la4	46-8019-S
you2 lai2	43-38691-B
you2 lan3	62-38106-B
you2 lan3 qu1	62-38175-B
you2 le4	62-37323-B
you2 le4 chang3	62-37438-B
you2 le4 yuan2	62-37383-B
you2 li2	62-38485-B
you2 li4	62-37494-B
you2 liang4	51-38327-S
you2 liao4	37-22348-B
you2 liao4 zuo4 wu4	37-22449-B
you2 lie4 guo2	13-14488-S
you2 lu4	33-41599-S
you2 lun2	37-23650-B,63-26321-B
you2 luo4 ti3	53-11627-S
you2 ma3 lu4	33-41667-S
you2 mao4 yi4	53-11690-S
you2 mao4 yi4 qu1	53-11754-S
