bang1 hui4	22-35952-B
bang1 jiao1	63-18032-B
bang1 jie2	12-3790-S
bang1 jin3 ji2 cuo4 shi1 shu3	51-64039-S
bang1 kuai4 di4	51-63881-S
bang1 lian2	63-18213-B
bang1 mang2	22-35810-B
bang1 pai4	22-36017-B
bang1 qiang1	22-36059-B
bang1 ren2	16-51374-S
bang1 shou3	22-35900-B
bang1 xian2	22-36210-B
bang1 xiong1	22-35435-B,22-35492-B
bang1 zheng4 fu3	51-63962-S
bang1 zhi4	51-63630-S
bang1 zhu4	22-35549-B,32-32041-S,51-36348-S
bang1 zi3	37-18889-S
bang1 zi3 qiang1	34-12764-B
bang1 zi5	22-35616-B,34-12669-B
bang3	3-53837-S,8-40107-S,20-33911-S,28-2100-S,28-17986-S,34-39521-B,34-53633-S,41-46257-B,49-55665-B,51-17319-S,52-12735-S,52-45929-B,52-51902-S,54-50044-S,70-26893-S
bang3 bi4	52-46353-B
bang3 fei3	49-55775-B
bang3 guang1 yan2	52-46297-B
bang3 jia4	49-55819-B
bang3 piao4	49-55868-B
bang3 shou3	34-39785-B
bang3 tui3	49-55984-B
bang3 yang4	34-39621-B
bang3 zha2	49-55923-B
bang3 zhu4	49-55729-B
bang3 zi3	12-44261-S
bang3 zi5	52-46070-B
bang3 zou3	49-56039-B
bang4	3-11766-S,5-24153-S,6-11127-S,6-26115-B,8-18254-S,9-12329-S,12-19755-S,13-46203-S,14-12551-S,14-18674-S,16-19308-B,17-22812-S,23-56244-S,27-49873-S,27-59315-S,28-29158-S,31-56337-S,34-20209-S,34-20346-B,36-2941-S,41-13464-S,41-23703-S,42-37613-B,42-52030-S,43-12831-B,45-43032-S,46-36500-B,52-45967-B,53-39231-B,54-4765-S,55-139-B,55-57859-B,58-35118-S,58-53478-B,61-10452-S,64-9532-S,64-52042-B,70-35824-S,70-40739-S
bang4 Yue1 han4	34-21028-B
bang4 bang4 tang2	34-20641-B
bang4 bian1	6-26918-B
bang4 cheng4	46-36631-B
bang4 chui2	34-20755-B
bang4 da4 kuan3	6-26497-B
bang4 hei1	6-26965-B
bang4 hu4 er2 li4	6-26618-B
bang4 ji2 le5	34-20697-B
bang4 jia1 r5	6-26561-B
bang4 jin4	6-26869-B
bang4 liang4	6-26234-B
bang4 liu2	34-20879-B
bang4 liu3 sui2 hua1	6-26802-B
bang4 mo2 ji1	34-20925-B
bang4 qiu2	29-26260-S,34-20836-B
bang4 ren2 li2 bi4	6-26284-B
bang4 ren2 men2 hu4	6-26358-B
bang4 shui3	5-24520-S
bang4 si4	13-48065-S
bang4 tan2	34-20413-B
bang4 tang2	34-20641-S,34-20977-B
bang4 wan3	6-26698-B
bang4 wu3	6-26437-B
bang4 xiang1 zheng1	71-1127-S
bang4 xiang1 zheng1 yu2 weng1 de2 li4	71-1255-S
bang4 xing4	70-40785-S
bang4 xuan2 xing1 xi4	34-20563-B
bang4 zi5	33-14314-S,34-20479-B
bao	1-33773-S,1-47996-S,2-39135-S,2-39748-S,2-50164-S,2-59385-S,2-59485-S,2-62459-S,2-64110-S,2-64816-S,2-66929-S,2-71653-S,3-495-S,4-3831-S,4-3913-S,4-6098-S,4-12649-S,4-49127-S,5-34047-B,5-42085-S,5-43199-S,6-35455-S,6-38106-S,6-50793-S,6-56970-B,7-1857-S,7-9704-S,7-29996-S,7-41540-S,7-50730-S,7-57968-S,8-4662-S,8-6484-S,8-20114-S,8-30998-S,9-4854-B,9-30716-S,9-43311-S,9-45781-S,9-65841-S,10-4917-S,10-13136-B,10-25805-S,10-26561-S,10-26721-S,10-26798-S,10-28310-S,10-28484-S,10-38220-S,10-40007-S,10-40364-S,11-580-S,11-3183-S,11-19504-S,11-25604-S,11-29444-S,11-32422-S,11-33899-S,11-42064-S,11-62358-S,12-4429-S,12-34246-S,12-51194-S,12-64217-S,12-65201-S,13-8199-S,13-38428-S,13-40238-S,13-42933-S,13-43010-S,13-58920-S,14-3623-S,14-7615-S,14-20616-S,14-24687-S,14-24802-S,14-48959-S,14-55027-S,15-8316-S,15-14511-S,15-23513-S,15-27418-S,15-39920-S,15-61752-S,16-7311-B,16-8481-B,16-22855-S,16-30978-S,16-38780-S,16-45180-S,16-57298-S,16-62288-S,17-4630-S,17-9536-S,17-14245-S,17-15559-S,17-30496-S,17-42119-S,17-48901-S,17-55802-S,17-55863-S,17-61148-S,18-8436-S,18-47001-S,18-56747-B,19-1918-S,19-11373-B,19-11740-S,19-17362-S,19-23059-S,20-28416-B,20-28825-B,20-29317-S,20-45069-S,20-61494-S,20-61786-S,20-62305-S,20-68723-S,21-3024-S,21-3087-S,21-52830-S,21-60958-S,22-47995-S,22-52825-S,23-1354-S,23-12587-S,23-29335-S,23-44297-S,23-52839-S,23-61001-S,24-24028-S,24-31206-S,24-48030-S,24-57018-S,24-62977-S,25-12843-S,25-20115-S,25-21703-S,25-32381-S,25-40891-S,26-779-S,26-33751-S,26-41320-S,26-60729-S,26-63464-S,27-12429-B,27-13166-S,27-21868-S,27-43713-S,27-48676-S,27-63971-S,28-9186-S,28-37777-S,28-37874-S,28-65012-S,29-13981-S,29-15252-S,29-17705-S,29-22627-S,29-23754-S,30-27878-S,30-28129-S,30-32625-S,30-41745-S,30-43667-S,30-50808-S,30-51326-S,30-55905-S,31-6504-S,31-22818-S,31-29434-S,31-30460-S,31-39879-S,31-44821-S,31-46739-S,31-53012-S,31-61004-S,31-65938-B,32-10083-S,32-50448-S,32-62558-S,33-8388-S,33-19212-S,33-33775-S,33-35933-S,33-57641-S,33-62133-S,34-61244-S,34-61493-S,35-5683-S,35-27471-S,35-62680-S,36-5567-S,36-5719-S,36-5796-S,36-5962-S,37-3298-S,37-15414-S,37-15958-S,37-18824-S,37-21162-S,37-29515-S,37-30991-S,37-33572-S,37-47141-S,37-56235-S,37-61079-S,38-14220-S,38-17630-S,38-18593-S,38-19591-S,38-19655-S,38-20607-S,38-24575-S,38-26019-S,38-38115-S,38-40901-S,38-49039-S,39-20347-S,39-23292-S,39-48894-S,39-48967-S,40-13876-B,40-23236-S,40-42673-S,40-46799-S,40-52854-S,41-10698-B,41-11986-S,41-18800-S,41-26338-S,41-29261-S,41-34181-B,41-43727-S,42-4551-S,42-20543-S,42-25004-S,42-43134-S,42-44633-S,43-2426-S,43-4553-S,43-5789-S,43-21897-S,43-42930-S,43-58335-S,44-43997-S,44-64733-S,45-13393-S,45-43459-S,46-27290-S,46-33073-S,46-47211-S,46-60230-S,46-60618-S,47-31637-S,47-56528-S,47-58451-S,48-25269-S,48-36943-S,48-48396-S,48-48480-S,48-49320-S,49-6963-S,49-8543-S,49-8880-S,49-12160-S,49-18583-S,49-19389-S,49-19586-S,49-32436-S,50-14686-S,50-32817-S,51-7751-S,51-46629-S,51-58090-S,51-59792-S,52-16949-S,52-20128-B,52-40593-S,52-51463-S,53-15053-S,53-26867-S,53-65543-B,54-10882-S,54-13820-S,54-30915-B,54-32586-S,54-32664-S,54-34930-S,54-35227-S,54-35427-S,54-51096-B,54-51359-S,54-51437-S,54-61973-S,55-5106-S,55-17811-B,55-25404-S,55-25899-S,55-51169-S,55-55822-B,56-28099-S,56-37231-S,56-43705-S,56-57229-S,57-7291-B,57-7637-B,57-9591-B,57-11235-S,57-29656-S,57-49774-S,57-62134-S,58-3807-S,58-13011-S,58-52588-S,59-409-S,59-6059-S,59-23975-S,59-26738-B,59-33210-S,59-42670-S,59-46396-S,60-17366-S,60-33149-B,60-36152-S,60-37696-S,60-62819-S,61-1992-S,61-35265-S,62-9151-S,62-19188-S,62-46280-S,63-25321-S,63-25423-S,63-43204-S,64-15106-S,64-16644-S,64-23160-B,64-36595-S,64-44453-S,65-7278-B,67-11553-S,67-17280-S,67-23414-S,67-24806-B,67-24879-S,67-27005-S,67-39379-S,67-51265-S,68-28824-S,68-48528-S,68-54948-S,69-7198-B,69-24970-S,69-38985-S,70-41945-B,70-53644-B,71-13118-S,71-13464-S
bao Dian hua Gong si	31-9740-S
bao Gong si	51-5679-S
bao Li tong	17-4712-S
bao ai	15-68552-S
bao an	5-35702-B,16-11082-B,55-37952-S
