文藝復興 文艺复兴	30-30864-B
文言	30-30934-S
文言 文言	30-30934-B
文言文	30-30985-S
文言文 文言文	30-30985-B
文質彬彬 文质彬彬	30-31047-B
文质彬彬	30-31047-S
文身	30-31127-S
文身 文身	30-31127-B
文选	30-31168-S
文選 文选	30-31168-B
文部	30-31231-S
文部 文部	30-31231-B
文部省	30-31290-S
文部省 文部省	30-31290-B
文錦渡 文锦渡	30-31377-B
文锦渡	30-31377-S
文雅	30-31452-S
文雅 文雅	30-31452-B
文集	30-31500-S
文集 文集	30-31500-B
文静	30-31548-S
文靜 文静	30-31548-B
文革	30-31595-S
文革 文革	30-31595-B
文風不動 文风不动	30-31671-B
文风不动	30-31671-S
文飾 文饰	30-31813-B
文饰	30-31813-S
斉	30-31943-S
斉 斉	30-31943-B
斋	71-54477-S
斋戒	71-54572-S
斋月	71-54614-S
斋藤	71-54682-S
斌	30-31992-S
斌 斌	30-31992-B
斎	30-32033-S
斎 斎	30-32033-B
斐	30-32084-S
斐 斐	30-32084-B
斐济	30-32169-S
斐济岛	30-32254-S
斐濟 斐济	30-32169-B
斐濟島 斐济岛	30-32254-B
斐理伯	30-32302-S
斐理伯 斐理伯	30-32302-B
斐理伯书	30-32351-S
斐理伯書 斐理伯书	30-32351-B
斑	30-32441-S
斑 斑	30-32441-B
斑头雁	30-33084-S
斑岩	30-32516-S
斑岩 斑岩	30-32516-B
斑斑	30-32568-S
斑斑 斑斑	30-32568-B
斑海豹	30-32625-S
斑海豹 斑海豹	30-32625-B
斑点	30-33493-S
斑疹伤寒	30-32697-S
斑疹傷寒 斑疹伤寒	30-32697-B
斑疹热	30-32762-S
斑疹熱 斑疹热	30-32762-B
斑白	30-32820-S
斑白 斑白	30-32820-B
斑竹	30-32870-S
斑竹 斑竹	30-32870-B
斑紋 斑纹	30-32918-B
斑纹	30-32918-S
斑羚	30-32965-S
斑羚 斑羚	30-32965-B
斑翅山鶉 斑翅山鹑	30-33017-B
斑翅山鹑	30-33017-S
斑頭雁 斑头雁	30-33084-B
斑馬 斑马	30-33161-B
斑馬線 斑马线	30-33199-B
斑馬魚 斑马鱼	30-33266-B
斑駮 斑驳	30-33318-B
斑駮陸離 斑驳陆离	30-33365-B
斑马	30-33161-S
斑马线	30-33199-S
斑马鱼	30-33266-S
斑驳	30-33318-S
斑驳陆离	30-33365-S
斑鱧 斑鳢	30-33428-B
斑鳢	30-33428-S
斑點 斑点	30-33493-B
斒	30-33546-S
斒 斒	30-33546-B
斓	30-33595-S
斕 斓	30-33595-B
斗	30-33642-S,70-28610-S
斗 斗	30-33642-B
斗争	70-29056-S
斗六	30-33745-S
斗六 斗六	30-33745-B
斗南鎮 斗南镇	30-33806-B
斗南镇	30-33806-S
斗口齿	70-28718-S
斗嘴	70-28797-S
斗士	70-28865-S
斗志	70-28920-S
斗批改	30-33879-S
斗批改 斗批改	30-33879-B
斗拳	70-28967-S
斗智	70-29008-S
斗牛	70-29120-S
斗眼	30-33968-S
斗眼 斗眼	30-33968-B
斗筲之人	30-34012-S
斗筲之人 斗筲之人	30-34012-B
斗篷	30-34105-S
斗篷 斗篷	30-34105-B
斗舰	70-29196-S
斗趣儿	70-29244-S
斗酒只雞 斗酒只鸡	30-34152-B
斗酒只鸡	30-34152-S
斗門 斗门	30-34303-B
斗门	30-34303-S
斗鸡	70-29316-S
料	30-34368-S
料 料	30-34368-B
料事如神	30-34450-S
料事如神 料事如神	30-34450-B
料仓	30-34580-S
料倉 料仓	30-34580-B
料到	30-34634-S
料到 料到	30-34634-B
料及	30-34693-S
料及 料及	30-34693-B
料器	30-34774-S
料器 料器	30-34774-B
料堆	30-34848-S
料堆 料堆	30-34848-B
料头	30-35637-S
料头儿	30-35697-S
料子	30-34895-S
料子 料子	30-34895-B
料定	30-34936-S
料定 料定	30-34936-B
料峭	30-34996-S
料峭 料峭	30-34996-B
料度	30-35060-S
料度 料度	30-35060-B
料想	30-35114-S
料想 料想	30-35114-B
料持	30-35196-S
料持 料持	30-35196-B
料斗	30-35308-S
料斗 料斗	30-35308-B
料理	30-35379-S
料理 料理	30-35379-B
料豆儿	30-35507-S
料豆兒 料豆儿	30-35507-B
料酒	30-35590-S
料酒 料酒	30-35590-B
料頭 料头	30-35637-B
料頭兒 料头儿	30-35697-B
斛	30-35771-S
斛 斛	30-35771-B
斜	30-35890-S
斜 斜	30-35890-B
斜体	30-36934-S
斜体字	30-36992-S
斜坡	30-35921-S
斜坡 斜坡	30-35921-B
斜对	30-36050-S
斜射球	30-35967-S
斜射球 斜射球	30-35967-B
斜對 斜对	30-36050-B
斜径	30-36125-S
斜徑 斜径	30-36125-B
斜投影	30-36172-S
斜投影 斜投影	30-36172-B
斜方型	30-36236-S
斜方型 斜方型	30-36236-B
斜方肌	30-36300-S
斜方肌 斜方肌	30-36300-B
斜杠	30-36390-S
斜槓 斜杠	30-36390-B
斜率	30-36436-S
斜率 斜率	30-36436-B
斜紋織 斜纹织	30-36474-B
斜紋軟呢 斜纹软呢	30-36530-B
斜線 斜线	30-36591-B
斜纹织	30-36474-S
斜纹软呢	30-36530-S
斜线	30-36591-S
斜視 斜视	30-36648-B
斜视	30-36648-S
斜鉤 斜钩	30-36722-B
斜钩	30-36722-S
斜長石 斜长石	30-36805-B
斜长石	30-36805-S
斜面	30-36885-S
斜面 斜面	30-36885-B
斜體 斜体	30-36934-B
斜體字 斜体字	30-36992-B
斝	30-37066-S
斝 斝	30-37066-B
斞	30-37107-S
斞 斞	30-37107-B
斟	30-37194-S
斟 斟	30-37194-B
斟酌	30-37236-S
斟酌 斟酌	30-37236-B
斟酒	30-37297-S
斟酒 斟酒	30-37297-B
斠	30-37354-S
斠 斠	30-37354-B
斡	30-37388-S
斡 斡	30-37388-B
斡旋	30-37417-S
斡旋 斡旋	30-37417-B
斢	30-37478-S
斢 斢	30-37478-B
斤	30-37511-S
斤 斤	30-37511-B
斤斗	30-37562-S
斤斗 斤斗	30-37562-B
斤斤計較 斤斤计较	30-37613-B
斤斤计较	30-37613-S
斥	30-37735-S
斥 斥	30-37735-B
斥力	30-37781-S
斥力 斥力	30-37781-B
斥罵 斥骂	30-37859-B
斥責 斥责	30-37900-B
斥資 斥资	30-37944-B
斥责	30-37900-S
斥资	30-37944-S
斥骂	30-37859-S
斧	30-38003-S
斧 斧	30-38003-B
斧头	30-38306-S
斧子	30-38032-S
斧子 斧子	30-38032-B
斧鉞之誅 斧钺之诛	30-38074-B
斧鉞湯鑊 斧钺汤镬	30-38177-B
斧钺之诛	30-38074-S
斧钺汤镬	30-38177-S
斧頭 斧头	30-38306-B
斨	30-38349-S
斨 斨	30-38349-B
斩	30-38416-S
斩断	30-38451-S
斩草除根	30-38497-S
斩钉截铁	30-38655-S
斩首	30-38820-S
斫	30-38377-S
斫 斫	30-38377-B
斬 斩	30-38416-B
斬斷 斩断	30-38451-B
斬草除根 斩草除根	30-38497-B
斬釘截鐵 斩钉截铁	30-38655-B
斬首 斩首	30-38820-B
断	30-58577-S
断交	30-58664-S
断代	30-58730-S
断头台	30-61037-S
断定	30-58791-S
断层	30-58873-S
断层线	30-58936-S
断开	30-60905-S
断弦	30-59005-S
断想	30-59071-S
断断续续	30-59124-S
断档	30-59340-S
断桥	30-59260-S
断流	30-59403-S
断灭	30-59459-S
断灭论	30-59515-S
断然	30-59582-S
断瓦残垣	30-59637-S
断电	30-60969-S
断章取义	30-59714-S
断絃	30-59932-S
断线	30-60052-S
断线风筝	30-60108-S
断绝	30-59996-S
断续	30-60229-S
断背山	30-60275-S
断腿	30-60340-S
断行	30-60385-S
断袖	30-60444-S
断袖之癖	30-60489-S
断裂	30-60607-S
断裂带	30-60658-S
断裂模数	30-60722-S
断言	30-60793-S
断送	30-60844-S
斮	30-38862-S
斮 斮	30-38862-B
斯	30-38893-S
斯 斯	30-38893-B
斯佩林	30-38930-S
斯佩林 斯佩林	30-38930-B
斯佩罗	30-39018-S
斯佩羅 斯佩罗	30-39018-B
斯克裡亞賓 斯克里亚宾	30-39122-B
斯克里亚宾	30-39122-S
斯卡伯勒礁	30-39204-S
斯卡伯勒礁 斯卡伯勒礁	30-39204-B
斯史蒂文	30-39325-S
斯史蒂文 斯史蒂文	30-39325-B
斯图加特	30-39393-S
斯圖加特 斯图加特	30-39393-B
斯坦利	30-39473-S
斯坦利 斯坦利	30-39473-B
斯坦因	30-39530-S
斯坦因 斯坦因	30-39530-B
斯坦福	30-39615-S
斯坦福 斯坦福	30-39615-B
斯坦福大学	30-39679-S
斯坦福大學 斯坦福大学	30-39679-B
斯堪的納維亞 斯堪的纳维亚	30-39762-B,30-39846-B
斯堪的纳维亚	30-39762-S,30-39846-S
斯大林	30-39931-S
斯大林 斯大林	30-39931-B
斯大林主义	30-39999-S
斯大林主義 斯大林主义	30-39999-B
斯威士兰	30-40072-S
斯威士蘭 斯威士兰	30-40072-B
斯宾塞	30-42732-S
斯宾诺莎	30-42789-S
斯密	30-40136-S
斯密 斯密	30-40136-B
斯密約瑟 斯密约瑟	30-40207-B
斯密约瑟	30-40207-S
斯巴达	30-40272-S
斯巴達 斯巴达	30-40272-B
斯帕斯基	30-40320-S
斯帕斯基 斯帕斯基	30-40320-B
斯当东	30-41967-S
斯彻达尔	30-40477-S
斯德哥尔摩	30-40386-S
斯德哥爾摩 斯德哥尔摩	30-40386-B
斯徹達爾 斯彻达尔	30-40477-B
斯托肯立石圈	30-40559-S
斯托肯立石圈 斯托肯立石圈	30-40559-B
斯拉夫	30-40659-S
斯拉夫 斯拉夫	30-40659-B
斯拉夫語 斯拉夫语	30-40707-B
斯拉夫语	30-40707-S
斯文	30-40774-S
斯文 斯文	30-40774-B
斯文・海定	30-40858-S
斯文・海定 斯文・海定	30-40858-B
斯文・赫定	30-40945-S
斯文・赫定 斯文・赫定	30-40945-B
斯普利特	30-41031-S
斯普利特 斯普利特	30-41031-B
斯普拉特利群岛	30-41106-S
斯普拉特利群島 斯普拉特利群岛	30-41106-B
斯普林菲尔德	30-41205-S
斯普林菲爾德 斯普林菲尔德	30-41205-B
斯泰恩謝爾 斯泰恩谢尔	30-41290-B
斯泰恩谢尔	30-41290-S
斯洛伐克	30-41384-S
斯洛伐克 斯洛伐克	30-41384-B
斯洛伐克語 斯洛伐克语	30-41445-B
斯洛伐克语	30-41445-S
斯洛文尼亚	30-41525-S
斯洛文尼亞 斯洛文尼亚	30-41525-B
斯特凡諾普洛斯 斯特凡诺普洛斯	30-41597-B
斯特凡诺普洛斯	30-41597-S
斯特拉斯堡	30-41745-S
斯特拉斯堡 斯特拉斯堡	30-41745-B
斯瓦希裡 斯瓦希里	30-41818-B
斯瓦希裡語 斯瓦希里语	30-41877-B
斯瓦希里	30-41818-S
斯瓦希里语	30-41877-S
斯當東 斯当东	30-41967-B
斯皮尔伯格	30-42048-S
斯皮爾伯格 斯皮尔伯格	30-42048-B
斯福尔瓦尔	30-42134-S
斯福爾瓦爾 斯福尔瓦尔	30-42134-B
斯科普裡 斯科普里	30-42222-B
斯科普里	30-42222-S
斯維爾德洛夫 斯维尔德洛夫	30-42280-B
斯维尔德洛夫	30-42280-S
斯芬克斯	30-42393-S
斯芬克斯 斯芬克斯	30-42393-B
斯莱特林	30-42460-S
斯萊特林 斯莱特林	30-42460-B
斯蒂文森	30-42531-S
斯蒂文森 斯蒂文森	30-42531-B
斯諾 斯诺	30-42615-B
斯諾克 斯诺克	30-42682-B
斯诺	30-42615-S
斯诺克	30-42682-S
斯賓塞 斯宾塞	30-42732-B
斯賓諾莎 斯宾诺莎	30-42789-B
斯通亨治石栏	30-42882-S
斯通亨治石欄 斯通亨治石栏	30-42882-B
斯里兰卡	30-43099-S
斯里巴加湾港	30-42984-S
斯里巴加灣港 斯里巴加湾港	30-42984-B
斯里蘭卡 斯里兰卡	30-43099-B
斯雷佈雷尼察 斯雷布雷尼察	30-43179-B
斯雷布雷尼察	30-43179-S
新	30-43264-S
新 新	30-43264-B
新不伦瑞克	30-43336-S
新不倫瑞克 新不伦瑞克	30-43336-B
新世界	30-43423-S
新世界 新世界	30-43423-B
新世紀 新世纪	30-43477-B
新世纪	30-43477-S
新丰	30-56488-S
新丰乡	30-56658-S
新丰县	30-56567-S
新乐	30-50089-S
新乡	30-57488-S
新乡地区	30-57563-S
新乡市	30-57660-S
新书	30-49561-S
新五代史	30-43553-S
新五代史 新五代史	30-43553-B
新京報 新京报	30-43667-B
新京报	30-43667-S
新人	30-43737-S
新人 新人	30-43737-B
新任	30-43814-S
新任 新任	30-43814-B
新会	30-49603-S
新会县	30-49741-S
新会市	30-49672-S
新余	30-58103-S
新余市	30-58174-S
新修	30-43905-S
新修 新修	30-43905-B
新元史	30-43953-S
新元史 新元史	30-43953-B
新党	30-58409-S
新兴	30-55391-S
新兴区	30-55467-S
新兴经济国家	30-55542-S
新兵	30-44030-S
新兵 新兵	30-44030-B
新军	30-56964-S
新几内亚	30-48276-S
新出炉	30-44083-S
新出爐 新出炉	30-44083-B
新出生	30-44200-S
新出生 新出生	30-44200-B
新剧同志会	30-44257-S
新劇同志會 新剧同志会	30-44257-B
新加坡	30-44344-S
新加坡 新加坡	30-44344-B
新加坡人	30-44397-S
新加坡人 新加坡人	30-44397-B
新加坡国立大学	30-44482-S
新加坡國立大學 新加坡国立大学	30-44482-B
新化	30-44600-S
新化 新化	30-44600-B
新化县	30-44730-S
新化市	30-44665-S
新化市 新化市	30-44665-B
新化縣 新化县	30-44730-B
新化鎮 新化镇	30-44798-B
新化镇	30-44798-S
新华	30-55854-S
新华书店	30-55983-S
新华日报	30-55905-S
新华社	30-56068-S
新华网	30-56131-S
新南威尔士	30-44868-S
新南威尔士州	30-44949-S
新南威爾士 新南威尔士	30-44868-B
新南威爾士州 新南威尔士州	30-44949-B
新县	30-53688-S
新古典主义	30-45061-S
新古典主義 新古典主义	30-45061-B
新台币	30-45140-S
新台幣 新台币	30-45140-B
新和	30-45207-S
新和 新和	30-45207-B
新唐书	30-45269-S
新唐書 新唐书	30-45269-B
新喀裡多尼亞 新喀里多尼亚	30-45348-B
新喀里多尼亚	30-45348-S,30-45435-S
新喀里多尼亞 新喀里多尼亚	30-45435-B
新四军	30-45522-S
新四軍 新四军	30-45522-B
新园乡	30-45602-S
新園鄉 新园乡	30-45602-B
新型	30-45682-S
新型 新型	30-45682-B
新城乡	30-45871-S
新城县	30-45799-S
新城电台	30-45953-S
新城病	30-45734-S
新城病 新城病	30-45734-B
新城縣 新城县	30-45799-B
新城鄉 新城乡	30-45871-B
新城電台 新城电台	30-45953-B
新埔鎮 新埔镇	30-46033-B
新埔镇	30-46033-S
新埤乡	30-46105-S
新埤鄉 新埤乡	30-46105-B
新塘	30-46181-S
新塘 新塘	30-46181-B
新墨西哥	30-46223-S
新墨西哥 新墨西哥	30-46223-B
新墨西哥州	30-46286-S
新墨西哥州 新墨西哥州	30-46286-B
新大陆	30-46361-S
新大陸 新大陆	30-46361-B
新天地	30-46413-S
新天地 新天地	30-46413-B
新奇	30-46490-S
新奇 新奇	30-46490-B
新奥尔晾	30-46542-S
新奥尔良	30-46609-S
新奧爾晾 新奥尔晾	30-46542-B
新奧爾良 新奥尔良	30-46609-B
新娘	30-46676-S
新娘 新娘	30-46676-B
新婚	30-46717-S
新婚 新婚	30-46717-B
新婚夫妇	30-46760-S
新婚夫婦 新婚夫妇	30-46760-B
新学期	30-46845-S
新學期 新学期	30-46845-B
新宁	30-47236-S
新安	30-46904-S
新安 新安	30-46904-B
新官上任三把火	30-46964-S
新官上任三把火 新官上任三把火	30-46964-B
新宾县	30-56881-S
新宾满族自治县	30-56738-S
新宿	30-47147-S
新宿 新宿	30-47147-B
新寧 新宁	30-47236-B
新居	30-47299-S
新居 新居	30-47299-B
新屋乡	30-47354-S
