氣泡 气泡	36-28765-B
氣泵 气泵	36-28823-B
氣派 气派	36-28865-B
氣流 气流	36-28910-B
氣溫 气温	36-29013-B
氣溶膠 气溶胶	36-29061-B
氣溶膠偵察儀 气溶胶侦察仪	36-29114-B
氣焊 气焊	36-29209-B
氣煤 气煤	36-29253-B
氣球 气球	36-29294-B
氣瓶 气瓶	36-29334-B
氣田 气田	36-29409-B
氣管 气管	36-29453-B
氣管炎 气管炎	36-29530-B
氣管痙攣 气管痉挛	36-29625-B
氣籠 气笼	36-29732-B
氣粗 气粗	36-29813-B
氣缸 气缸	36-29862-B
氣色 气色	36-29913-B
氣血 气血	36-29955-B
氣衝牛斗 气冲牛斗	36-30046-B
氣衝霄漢 气冲霄汉	36-30129-B
氣象 气象	36-30229-B
氣象台 气象台	36-30286-B
氣象學 气象学	36-30380-B
氣象學者 气象学者	36-30437-B
氣象局 气象局	36-30509-B
氣象廳 气象厅	36-30590-B
氣象站 气象站	36-30658-B
氣象衛星 气象卫星	36-30739-B
氣貫長虹 气贯长虹	36-30814-B
氣質 气质	36-30938-B
氣道 气道	36-30982-B
氣量 气量	36-31058-B
氣錘 气锤	36-31208-B
氣門 气门	36-31257-B
氣霧免疫 气雾免疫	36-31383-B
氣霧室 气雾室	36-31457-B
氣頭上 气头上	36-31513-B
氣餒 气馁	36-31582-B
氣體 气体	36-31632-B
氣體擴散 气体扩散	36-31692-B
氣體離心 气体离心	36-31763-B
氣魄 气魄	36-31830-B
氤	36-31912-S
氤 氤	36-31912-B
氥	36-31968-S
氥 氥	36-31968-B
氦	36-32021-S
氦 氦	36-32021-B
氦核	36-32053-S
氦核 氦核	36-32053-B
氧	36-32100-S
氧 氧	36-32100-B
氧乙炔炬	36-32132-S
氧乙炔炬 氧乙炔炬	36-32132-B
氧割	36-32208-S
氧割 氧割	36-32208-B
氧化	36-32273-S
氧化 氧化	36-32273-B
氧化剂	36-32315-S
氧化劑 氧化剂	36-32315-B
氧化物	36-32383-S
氧化物 氧化物	36-32383-B
氧化罐	36-32433-S
氧化罐 氧化罐	36-32433-B
氧化鈣 氧化钙	36-32518-B
氧化鈾 氧化铀	36-32577-B
氧化鋁 氧化铝	36-32636-B
氧化鋅 氧化锌	36-32695-B
氧化鎂 氧化镁	36-32751-B
氧化钙	36-32518-S
氧化铀	36-32577-S
氧化铝	36-32636-S
氧化锌	36-32695-S
氧化镁	36-32751-S
氧效应	36-32812-S
氧效應 氧效应	36-32812-B
氧气	36-32873-S
氧氣 氧气	36-32873-B
氧炔吹管	36-32919-S
氧炔吹管 氧炔吹管	36-32919-B
氨	36-32996-S
氨 氨	36-32996-B
氨吖啶	36-33025-S
氨吖啶 氨吖啶	36-33025-B
氨哮素	36-33125-S
氨哮素 氨哮素	36-33125-B
氨基	36-33180-S
氨基 氨基	36-33180-B
氨基甲酸酯类化合物	36-33229-S
氨基甲酸酯類化合物 氨基甲酸酯类化合物	36-33229-B
氨基苯酸	36-33346-S
氨基苯酸 氨基苯酸	36-33346-B
氨基葡糖	36-33418-S
氨基葡糖 氨基葡糖	36-33418-B
氨基葡萄糖	36-33509-S
氨基葡萄糖 氨基葡萄糖	36-33509-B
氨基酸	36-33595-S
氨基酸 氨基酸	36-33595-B
氨气	36-33649-S
氨氣 氨气	36-33649-B
氩	36-35208-S
氪	36-33694-S
氪 氪	36-33694-B
氫 氢	36-33726-B
氫净合成油 氢净合成油	36-33760-B
氫化 氢化	36-33846-B
氫化氰 氢化氰	36-33894-B
氫原子核 氢原子核	36-33974-B
氫彈 氢弹	36-34046-B
氫氟酸 氢氟酸	36-34101-B
氫氣 氢气	36-34168-B
氫氧 氢氧	36-34216-B
氫氧化 氢氧化	36-34286-B
氫氧化物 氢氧化物	36-34367-B
氫氧化鈉 氢氧化钠	36-34433-B
氫氧化鈣 氢氧化钙	36-34524-B
氫氧化鉀 氢氧化钾	36-34619-B
氫氧化鋁 氢氧化铝	36-34696-B
氫氧根 氢氧根	36-34771-B
氫氧根離子 氢氧根离子	36-34841-B
氫氧離子 氢氧离子	36-34925-B
氫氯酸 氢氯酸	36-34998-B
氫溴酸 氢溴酸	36-35092-B
氫鍵 氢键	36-35159-B
氬 氩	36-35208-B
氮	36-35238-S
氮 氮	36-35238-B
氮气	36-35271-S
氮氣 氮气	36-35271-B
氮氧化物	36-35312-S
氮氧化物 氮氧化物	36-35312-B
氮芥气	36-35382-S
氮芥氣 氮芥气	36-35382-B
氯	36-35442-S
氯 氯	36-35442-B
氯乙烯	36-35475-S
氯乙烯 氯乙烯	36-35475-B
氯仿	36-35553-S
氯仿 氯仿	36-35553-B
氯化氢	36-35620-S
氯化氫 氯化氢	36-35620-B
氯化氰	36-35682-S
氯化氰 氯化氰	36-35682-B
氯化物	36-35744-S
氯化物 氯化物	36-35744-B
氯化苦	36-35795-S
氯化苦 氯化苦	36-35795-B
氯化鈉 氯化钠	36-35850-B
氯化鈣 氯化钙	36-35928-B
氯化鉀 氯化钾	36-35988-B
氯化銨 氯化铵	36-36050-B
氯化鋁 氯化铝	36-36110-B
氯化鋅 氯化锌	36-36170-B
氯化钙	36-35928-S
氯化钠	36-35850-S
氯化钾	36-35988-S
氯化铝	36-36110-S
氯化铵	36-36050-S
氯化锌	36-36170-S
氯单质	36-36227-S
氯單質 氯单质	36-36227-B
氯喹	36-36289-S
氯喹 氯喹	36-36289-B
氯已烯	36-36353-S
氯已烯 氯已烯	36-36353-B
氯林可霉素	36-36409-S
氯林可霉素 氯林可霉素	36-36409-B
氯气	36-36484-S
氯氣 氯气	36-36484-B
氯洁霉素	36-36524-S
氯潔霉素 氯洁霉素	36-36524-B
氯甲烷	36-36589-S
氯甲烷 氯甲烷	36-36589-B
氯痤疮	36-36654-S
氯痤瘡 氯痤疮	36-36654-B
氯磷定	36-36715-S
氯磷定 氯磷定	36-36715-B
氯苯	36-36780-S
氯苯 氯苯	36-36780-B
氯酸	36-36833-S
氯酸 氯酸	36-36833-B
氯酸鈉 氯酸钠	36-36894-B
氯酸鉀 氯酸钾	36-36960-B
氯酸钠	36-36894-S
氯酸钾	36-36960-S
氯霉素	36-37023-S
氯霉素 氯霉素	36-37023-B
氰	36-37095-S
氰 氰	36-37095-B
氰化	36-37144-S
