職業中學 职业中学	51-68477-B
職業病 职业病	51-68556-B
職業高爾夫球協會 职业高尔夫球协会	51-68621-B
職權 职权	51-68757-B
職涯 职涯	51-68819-B
職稱 职称	51-68858-B
職級 职级	51-68937-B
職能 职能	51-69001-B
職責 职责	51-69049-B
聹 聍	51-69086-B
聽 听	51-69127-B,51-69238-B
聽任 听任	51-69277-B
聽信 听信	51-69346-B
聽其自然 听其自然	51-69447-B
聽其言觀其行 听其言观其行	51-69561-B
聽到 听到	51-69706-B
聽力 听力	51-69748-B
聽力理解 听力理解	51-69807-B
聽取 听取	51-69885-B
聽命 听命	51-69940-B
聽天由命 听天由命	51-70036-B
聽審 听审	52-0-B
聽審會 听审会	52-75-B
聽寫 听写	52-137-B
聽小骨 听小骨	52-189-B
聽得懂 听得懂	52-278-B
聽得見 听得见	52-373-B
聽從 听从	52-426-B
聽憑 听凭	52-514-B
聽戲 听戏	52-583-B
聽書 听书	52-635-B
聽清 听清	52-745-B
聽牆根 听墙根	52-796-B
聽牆根兒 听墙根儿	52-898-B
聽眾 听众	52-991-B
聽筒 听筒	52-1046-B
聽者 听者	52-1151-B
聽而不闻 听而不闻	52-1213-B
聽聞 听闻	52-1335-B
聽膩了 听腻了	52-1419-B
聽見 听见	52-1479-B
聽覺 听觉	52-1519-B
聽診器 听诊器	52-1570-B
聽話 听话	52-1666-B
聽說 听说	52-1732-B
聽說過 听说过	52-1780-B
聽講 听讲	52-1838-B
聽證會 听证会	52-1908-B
聽起來 听起来	52-1977-B
聽閾 听阈	52-2033-B
聽隨 听随	52-2087-B
聽頭 听头	52-2138-B
聽骨 听骨	52-2202-B
聽骨鏈 听骨链	52-2297-B
聾 聋	52-2380-B
聾啞人 聋哑人	52-2408-B
聿	52-2471-S
聿 聿	52-2471-B
肃	52-2587-S
肃北蒙古族自治县	52-2625-S
肃南裕固族自治县	52-2764-S
肃反	52-2900-S
肃反运动	52-3086-S
肃宁	52-3307-S
肃清	52-3368-S
肃清反革命分子	52-3407-S
肃立	52-3607-S
肄	52-2536-S
肄 肄	52-2536-B
肅 肃	52-2587-B
