避其锐气击其惰归	63-6163-S
避坑落井	63-6336-S
避坑落井 避坑落井	63-6336-B
避嫌	63-6465-S
避嫌 避嫌	63-6465-B
避孕	63-6570-S
避孕 避孕	63-6570-B
避孕丸	63-6616-S
避孕丸 避孕丸	63-6616-B
避孕套	63-6678-S
避孕套 避孕套	63-6678-B
避孕环	63-6728-S
避孕環 避孕环	63-6728-B
避孕药	63-6816-S
避孕藥 避孕药	63-6816-B
避实就虚	63-6878-S
避實就虛 避实就虚	63-6878-B
避开	63-7797-S
避弹坑	63-6998-S
避彈坑 避弹坑	63-6998-B
避忌	63-7050-S
避忌 避忌	63-7050-B
避恶	63-7092-S
避惡 避恶	63-7092-B
避暑	63-7136-S
避暑 避暑	63-7136-B
避暑山庄	63-7253-S
避暑山莊 避暑山庄	63-7253-B
避稅 避税	63-7369-B
避稅港 避税港	63-7428-B
避税	63-7369-S
避税港	63-7428-S
避諱 避讳	63-7483-B
避讳	63-7483-S
避邪	63-7582-S
避邪 避邪	63-7582-B
避重就輕 避重就轻	63-7636-B
避重就轻	63-7636-S
避開 避开	63-7797-B
避险	63-7865-S
避險 避险	63-7865-B
避难	63-7929-S
避难所	63-8014-S
避難 避难	63-7929-B
避難所 避难所	63-8014-B
避雷器	63-8064-S
避雷器 避雷器	63-8064-B
避雷針 避雷针	63-8125-B
避雷针	63-8125-S
避風 避风	63-8183-B
避風處 避风处	63-8274-B
避风	63-8183-S
避风处	63-8274-S
邀	63-8322-S
邀 邀	63-8322-B
邀击	63-8433-S
邀功	63-8359-S
邀功 邀功	63-8359-B
邀擊 邀击	63-8433-B
邀請 邀请	63-8507-B
邀请	63-8507-S
邁 迈	63-8548-B
邁克爾・克萊頓 迈克尔・克莱顿	63-8582-B
邁凱伊 迈凯伊	63-8690-B
邁出 迈出	63-8756-B
邁科裡 迈科里	63-8824-B
邁赫迪 迈赫迪	63-8908-B
邁赫迪軍 迈赫迪军	63-8986-B
邁阿密 迈阿密	63-9050-B
邁阿密灘 迈阿密滩	63-9107-B
邂	63-9171-S
邂 邂	63-9171-B
邂逅	63-9211-S
邂逅 邂逅	63-9211-B
邃	63-9296-S
邃 邃	63-9296-B
還 还	63-9342-B,63-9417-B
還俗 还俗	63-9469-B
還債 还债	63-9554-B
還價 还价	63-9606-B
還原 还原	63-9689-B
還原劑 还原剂	63-9774-B
還口 还口	63-9834-B
還嘴 还嘴	63-9893-B
還好 还好	63-9952-B
還席 还席	63-10015-B
還手 还手	63-10074-B
還擊 还击	63-10134-B
還是 还是	63-10194-B
還書 还书	63-10249-B
還有 还有	63-10296-B
還本 还本	63-10364-B
還清 还清	63-10415-B
還禮 还礼	63-10487-B
還給 还给	63-10571-B
還說 还说	63-10625-B
還賬 还账	63-10692-B
還鄉 还乡	63-10750-B
還魂 还魂	63-10833-B
還魂橡膠 还魂橡胶	63-10920-B
還魂紙 还魂纸	63-10995-B
邅	63-11055-S
邅 邅	63-11055-B
邇 迩	63-11098-B
邈	63-11124-S
邈 邈	63-11124-B
邊 边	63-11163-B,63-11219-B
邊區 边区	63-11270-B
邊卡 边卡	63-11315-B
邊地 边地	63-11366-B
邊城 边城	63-11426-B
邊塞 边塞	63-11530-B
邊境 边境	63-11582-B
邊壩 边坝	63-11633-B
邊寨 边寨	63-11694-B
邊幅 边幅	63-11747-B
邊幣 边币	63-11830-B
邊庭 边庭	63-11886-B
邊廂 边厢	63-11952-B
邊患 边患	63-12021-B
邊材 边材	63-12109-B
邊框 边框	63-12207-B
邊民 边民	63-12253-B
邊沿 边沿	63-12347-B
邊界 边界	63-12393-B
邊界層 边界层	63-12443-B
邊界線 边界线	63-12504-B
邊疆 边疆	63-12576-B
邊窗 边窗	63-12660-B
邊線 边线	63-12709-B
邊緣 边缘	63-12763-B
邊聲 边声	63-12852-B
邊裔 边裔	63-12932-B
邊角料 边角料	63-12993-B
邊角科 边角科	63-13072-B
邊遠 边远	63-13157-B
邊鄙 边鄙	63-13228-B
邊釁 边衅	63-13280-B
邊鋒 边锋	63-13352-B
邊長 边长	63-13405-B
邊門 边门	63-13459-B
邊關 边关	63-13515-B
邊防 边防	63-13606-B
邊防站 边防站	63-13658-B
邊防警察 边防警察	63-13734-B
邊防軍 边防军	63-13806-B
邊陲 边陲	63-13879-B
邊際 边际	63-13935-B
邊際成本 边际成本	63-13989-B
邊音 边音	63-14060-B
邊頭 边头	63-14110-B
邋遢	63-14179-S
邋遢 邋遢	63-14179-B
邎	63-14216-S
邎 邎	63-14216-B
邏 逻	63-14257-B
邏各斯 逻各斯	63-14292-B
邏輯 逻辑	63-14358-B
邏輯學 逻辑学	63-14395-B
邏輯炸彈 逻辑炸弹	63-14443-B
邏輯鏈路控制 逻辑链路控制	63-14508-B
邐 逦	63-14609-B
邑	63-14638-S
邑 邑	63-14638-B
邓	63-32756-S
邓世昌	63-32792-S
邓丽君	63-33496-S
