chuang1 wu4 kan3	67-18846-S
chuang1 xin1 ji4	57-36454-S
chuang1 yi2	44-18273-B
chuang1 yi2 man3 mu4	44-18392-B
chuang1 zi3	47-55190-B
chuang2	1-49435-S,12-9472-S,12-42925-S,14-16629-S,15-68203-S,21-16202-S,21-49745-S,22-34925-B,22-59016-B,29-23082-S,30-70525-S,35-3321-S,37-19893-S,39-21210-S,41-35522-S,41-43495-B,41-46677-S,42-12009-S,44-9748-S,46-44328-S,50-39009-S,52-54530-S,52-57537-S,53-64653-S,54-53913-S,60-16782-S,60-58907-S,64-23272-S,64-37080-S,66-63467-S
chuang2 ce4	22-59124-B
chuang2 dan1	22-59167-B
chuang2 dian4	22-59209-B
chuang2 li4	22-59255-B
chuang2 pu4	22-59307-B
chuang2 r5	46-43769-S
chuang2 sheng1	12-9563-S
chuang2 tou2	22-59346-B
chuang2 wei4	22-59071-B
chuang2 yan2	41-43535-B
chuang2 yi4 meng4	12-46834-S
chuang3	65-52463-B
chuang3 bei3	60-10097-S
chuang3 dang4	65-52839-B
chuang3 dang4 jiang1 hu2	65-52966-B
chuang3 guan1	65-53118-B
chuang3 guan1 zhe3	65-53182-B
chuang3 guo4	65-53055-B
chuang3 ru4	65-52510-B
chuang4	8-24667-S,9-103-S,9-10574-B,9-34559-B,11-30779-S,25-9851-S,25-44205-B,42-18508-S,65-30538-S,69-21322-S
chuang4 ban4	9-37695-B
chuang4 ban4 ren2	9-37763-B
chuang4 ban4 zhe3	9-37842-B
chuang4 gong1 si1	9-156-S
chuang4 hui4	9-35874-B
chuang4 ji4 lu4	9-37167-B,9-37492-B
chuang4 jian4	9-36337-B,9-37374-B
chuang4 jian4 xing4	9-37428-B
chuang4 ju3	9-37228-B
chuang4 ju4 tong4 shen1	9-36214-B
chuang4 kan1	9-35688-B
chuang4 kan1 hao4	9-35763-B
chuang4 li4	9-35822-B,9-36995-B
chuang4 li4 ren2	9-37059-B
chuang4 li4 zhe3	9-37113-B
chuang4 pai2 zi5	9-36836-B
chuang4 she4	9-37553-B
chuang4 shi3	9-36072-B
chuang4 shi3 ren2	9-36129-B
chuang4 shi4	9-34721-B
chuang4 shi4 ji4	9-34885-B
chuang4 shi4 lun4	9-34951-B
chuang4 shou1	9-36529-B
chuang4 tou2 ji1 jin1	9-36451-B
chuang4 xia4 gao1 piao4 fang2	9-34623-B
chuang4 xin1	9-36580-B
chuang4 xin1 jing1 shen2	9-36672-B
chuang4 xing4	11-30850-S,65-30604-S
chuang4 ye4	9-36743-B
chuang4 yi4	9-36396-B,9-37642-B
chuang4 you1	9-35627-B
chuang4 you3 tian1	45-16804-S
chuang4 zao4	9-37912-B,44-30134-S
chuang4 zao4 li4	9-37984-B,32-30348-S
chuang4 zao4 lun4	9-38178-B
chuang4 zao4 xing4	9-38051-B
chuang4 zao4 zhe3	9-38123-B
chuang4 zhe3	69-21413-S
chuang4 zhi4	9-37279-B
chuang4 zuo4	9-35019-B
chuang4 zuo4 li4	9-35108-B
chuang4 zuo4 zhe3	9-35166-B
chui	1-4621-S,1-38542-S,1-59118-S,2-63801-S,4-67810-S,9-63971-S,13-4943-B,15-21225-B,15-54430-B,15-57488-B,17-37531-S,20-65580-S,21-60253-S,26-1966-S,26-36691-S,27-34997-S,28-8440-B,28-57865-B,34-20755-S,34-24008-B,34-25719-B,34-44015-B,36-31208-S,37-53019-S,40-28022-B,42-59827-S,47-35300-S,48-25111-B,49-25967-S,51-33463-S,52-20963-S,57-23833-S,63-13879-S,64-43488-B,64-52951-B,66-26201-B,71-47943-S,71-63853-B
chui bu xiu	36-49842-S
chui cheng	9-49161-S
chui chui pai pai	13-5284-B
chui da	28-8541-B
chui da lei	17-9611-S
chui di zhe	13-6088-B
chui diao	15-55640-B
chui feng	67-26680-S
chui feng ji	13-6705-B
chui gan	13-5068-B
chui gu	64-43645-B
chui gu bing	64-43715-B
chui gua	15-54804-B
chui guan	36-32919-S
chui guan yue	13-6138-B
chui hao	13-6563-B
chui hui zhi li	2-31927-S
chui ji	28-8600-B
chui ju	40-28144-B
chui kang jian mi	13-6454-B
chui kou shao	13-5230-B
chui la ba	13-5362-B
chui leng feng	13-5114-B
chui mao qiu ci	13-5675-B
chui mu	15-54659-B
chui niu	13-5944-B
chui pai pai	13-5284-S
chui peng	13-5544-B
chui qi	9-7595-S,13-5837-B
