chén shū	66-28179-B
chén sù	66-29553-B
chén sī	37-5986-B
chén tiān huà	66-27150-B
chén tiān qì	37-15320-S
chén tào	66-27294-B
chén tán	37-6523-B
chén tòng	37-6707-B
chén tǔ	16-22693-B
chén wù	16-22900-B,71-5742-S
chén wěn	37-7204-B
chén wǔ jiàng	58-51543-S
chén xiàn	37-7692-B
chén xiāng	37-7847-B
chén xiāng méi	66-30380-B
chén xiāng yīn	66-30201-S
chén xī	61-39184-B
chén xī tóng	66-27458-B
chén xīng	31-46828-B
chén xǐng shēn	66-28824-B
chén yàn yǎo	70-37347-S
chén yì	66-28410-B
chén yú	34-10120-S
chén yú luò yàn	37-5748-B,37-7950-B
chén yún	66-30284-B
chén zhuó	37-7380-B
chén zhuó bìng	46-6616-S
chén zhòng	37-5496-B,37-7560-B
chén zhòng dǎ jī	37-7624-B
chén zhòng lín	66-26470-B
chén zhōng	31-65774-S
chén zhōng mù gǔ	31-47066-B
chén zhōu	46-20447-S
chén zuì	37-7507-B
chén zài dào	66-26798-B
chén zòu	66-27221-B
chén zǐ	52-54011-B
chén āi	16-22731-B,39-41311-S
chéng	1-12835-S,1-16116-S,1-36210-S,2-5286-S,2-11051-S,2-32182-S,2-45301-B,2-57393-S,2-77220-S,3-12314-B,3-12362-B,3-37102-S,3-67863-S,4-2915-S,4-31756-S,5-1679-S,5-31122-S,5-31727-S,5-34852-S,6-12048-S,6-36224-S,6-47257-S,6-53071-S,7-12805-S,7-27439-S,7-40567-S,7-51396-S,8-48753-S,8-53076-S,9-5439-S,9-22587-S,9-30925-S,9-47798-S,9-49161-S,10-13311-S,10-21744-S,10-46983-S,10-61556-S,10-68896-S,12-1466-S,12-15771-S,12-29209-S,12-33516-S,12-55146-S,12-69997-S,13-8106-B,13-58701-S,13-65525-S,14-15186-S,14-19942-S,14-27870-S,14-57015-S,15-21673-S,15-30166-S,15-31336-S,15-53006-S,15-53464-S,15-61440-B,15-63687-B,15-67137-S,15-70544-S,16-15310-B,16-15731-S,16-16750-S,16-26551-S,16-29757-S,16-51482-S,16-65325-S,17-4807-S,17-7761-S,17-10568-S,17-47552-S,17-54092-S,19-37599-S,19-49218-S,19-54252-S,19-57125-B,19-65426-S,20-16902-S,20-23659-S,20-24459-S,20-35748-S,20-40754-S,20-60379-S,20-62258-S,21-23528-S,21-56432-S,21-64099-S,22-6264-S,22-31160-S,22-38986-S,22-40662-S,22-62905-S,23-21214-S,23-29090-S,23-54697-S,23-64259-S,24-952-S,24-18264-S,24-40876-S,24-47007-S,24-50516-S,24-59123-S,25-4032-S,25-59135-S,25-62879-B,26-7394-B,26-60379-B,27-3241-S,27-45121-S,28-39116-S,28-45791-S,28-58846-S,29-186-S,29-3222-S,29-38117-S,29-40981-S,29-44444-S,29-46827-S,29-47390-S,29-59584-S,30-3830-S,30-28061-S,30-62202-S,30-62269-S,30-63629-S,30-68337-S,31-11133-S,31-32471-S,31-42729-S,31-43473-S,31-46261-B,31-52930-S,32-14384-S,32-32994-S,32-45559-S,32-57718-S,32-57965-S,33-1574-S,33-2382-S,33-5499-S,33-35508-S,33-38210-S,33-44815-S,33-49080-S,33-49862-S,33-56263-S,33-57343-S,34-5563-S,34-17603-S,34-21772-B,34-29304-S,34-41084-S,34-43734-S,35-1709-B,35-3823-S,35-15057-S,35-19460-S,35-45144-S,35-52471-S,35-53017-S,36-39067-S,36-40014-S,36-49936-S,36-57493-S,37-40143-S,38-5163-S,38-9706-S,38-17433-S,38-21575-S,38-38968-S,38-59926-S,38-63342-S,39-9440-S,39-22542-S,39-34427-S,39-34602-S,39-35891-S,39-36800-S,39-48815-S,39-60885-S,39-65261-B,39-65307-B,39-65418-S,40-21219-S,40-52733-S,41-21844-S,42-15798-S,42-50372-S,43-4928-S,43-10656-S,43-20965-S,43-25737-S,43-27581-S,43-32725-S,43-50141-S,43-67281-S,44-12038-S,44-37491-S,44-38938-S,45-3983-B,45-16891-S,45-25622-S,45-28856-S,45-31292-S,45-33858-S,45-44811-S,45-53076-S,45-66842-S,46-5131-S,46-14793-S,47-10168-S,47-13937-S,47-29151-B,47-35750-S,47-38797-S,47-63937-S,48-32313-S,48-58230-S,49-4909-S,49-10577-S,49-24133-S,49-29013-S,49-38331-S,49-40484-S,49-41424-S,50-16761-S,50-20660-S,50-26315-S,50-28032-S,50-42890-S,50-56643-S,51-23999-S,51-28401-S,51-43280-S,51-45392-S,52-11077-S,52-53075-S,52-56585-S,53-18600-S,53-23564-S,53-30740-S,53-34951-S,53-54038-S,54-48183-S,54-49974-S,54-51562-S,54-62339-S,55-804-S,55-22336-S,55-22557-S,55-48558-S,55-54962-S,56-25697-S,56-34373-S,56-37171-S,56-37583-S,56-55743-B,56-59765-S,56-61231-S,57-4046-S,57-9755-S,57-33471-S,57-52500-S,58-28237-S,58-28772-B,58-34733-S,58-47756-S,58-53787-S,59-2650-S,59-3688-S,59-8600-S,59-15344-S,59-17413-S,59-19968-S,59-40894-S,59-46592-S,60-3540-S,60-5672-S,60-43346-S,60-59639-S,61-5316-S,61-20946-S,62-9084-S,62-14284-S,62-16822-S,62-18409-S,62-20234-S,62-30246-S,62-30903-S,62-39184-S,62-39733-S,62-40637-S,62-47815-S,62-52169-S,62-53513-S,62-62265-S,63-1808-S,63-11426-S,63-21526-B,63-24360-S,63-24941-S,63-26953-S,63-28151-S,63-29300-S,63-29403-S,63-29910-S,63-35719-S,63-43865-B,63-45142-S,63-55178-S,63-58950-S,64-6246-S,64-10807-S,64-11239-S,64-38702-B,65-5916-S,65-12369-S,65-14836-S,65-32112-S,65-39743-S,65-52176-S,65-54336-S,65-58359-S,65-62317-S,65-63738-S,65-69784-S,66-12279-S,66-35005-S,66-54509-S,66-57961-S,66-64670-S,67-16208-S,67-24177-S,67-28162-S,67-31717-S,67-35264-S,67-42203-S,67-45961-S,68-11896-S,68-14830-S,68-21418-S,68-23076-S,68-42127-S,68-54776-S,69-10956-S,69-26092-S,70-52010-S,71-6612-S,71-7265-S,71-9906-S,71-14217-S,71-26597-S,71-58363-S
chéng 5r	43-50258-S
chéng biàn	3-12592-B,14-59355-S
chéng biǎo	58-34780-S
chéng bài	15-51688-S,26-9945-B
chéng bàn	25-63288-B,26-62420-B
chéng bào	13-8199-B,26-9256-B
chéng bìng	30-45734-S
chéng bù dài	14-41978-S
chéng bù gōng	65-41782-S,65-42002-S
chéng bù jū	9-48900-S
chéng bù miáo zú zì zhì xiàn	15-62294-B
chéng bāng	15-62613-B
chéng bāo	26-60729-B
chéng bāo rén	26-60773-B
chéng bēi	63-55266-S
chéng běn	4-68006-S,26-10305-B,50-33183-S,63-13989-S
chéng bīn	2-70052-S
chéng bǎi shàng qiān	26-10998-B
chéng bǎo	15-61752-B
chéng bǐ zhōng diǎn gèng měi	62-47875-S
chéng chuàn	26-7498-B
chéng chuán	3-14025-B
chéng chuān	45-49182-S
chéng chéng	39-65418-B,45-53076-S
chéng chí	15-62438-B
chéng chí zhòng	51-28466-S
chéng chóng	26-11663-B
chéng chóu	11-51777-S
chéng chú	3-14509-B,9-57689-S
chéng chē	3-14425-B,57-59151-S
chéng chūn	54-54426-S
chéng cái	53-4812-S
chéng céng	23-54755-S,41-19343-S
chéng cí	6-13029-S,12-33954-S,51-59854-S
chéng diàn lù	20-40510-S,66-58033-S
chéng diàn tái	30-45953-S
chéng duì	26-60656-B,32-14430-S
chéng duō	21-3986-S,47-39128-S
chéng dà jiè	20-64272-S
chéng dà xué	14-15294-S
chéng dé	26-60960-B
chéng dé dì qū	26-61033-B
chéng dé shì	26-61128-B
chéng dì	13-8604-B
chéng dì qū	16-16815-S,44-37604-S,51-43360-S,62-39820-S
chéng dù	47-29494-B,62-819-S
chéng dù jiǎn chá yí	37-26207-S
chéng dù shàng	15-35340-S
chéng dān	26-61353-B
chéng dū	26-12157-B
chéng dū shì	26-12279-B
chéng dǔ	58-29644-B
chéng fàn diàn	65-12522-S
chéng fá	11-61473-S,25-63170-B,26-60495-B
chéng fá xìng	25-63233-B
chéng fáng	15-63014-B
chéng fèn	26-7882-B,26-8222-B
chéng fú	24-32792-S,58-29452-B
chéng fāng	3-13368-B
chéng fāng 5r	26-10105-B
chéng fēi hǎo hàn	1-72640-S
chéng fēng	3-14649-B
chéng fēng pò làng	3-14744-B
chéng fēng yǔ	39-36991-S
chéng fǎ	3-13515-B,12-33744-S
chéng fǎ biǎo	3-13564-B,3-17679-S
chéng fǎ nì	3-13631-B
chéng fǎn bǐ	22-41340-S,26-8821-B
chéng guì	33-2632-S
chéng guān	15-62953-B,32-58067-S
chéng guī	16-28449-S,26-11894-B
chéng guō	15-62740-B
chéng guǒ	26-10355-B
chéng gè zú zì zhì xiàn	65-59964-S
chéng gòng	13-8485-B
chéng gòu quán	6-57171-S
chéng gù	15-61615-B
chéng gāng	44-55245-S
chéng gōng	2-11094-S,26-8268-B,63-34305-S,69-34384-S
chéng gōng de nán rén hòu mian bì yǒu yī gè fèng xiàn de nǚ rén	26-8394-B
chéng gōng gǎn	26-8323-B
chéng gōng yè gōng sī	2-64665-S
chéng gōng zhèn	26-8643-B
chéng gōng zhī mǔ	17-65717-S
chéng gǎng	65-60097-S
chéng gǎng shì	65-60192-S
chéng gǔ	26-12533-B
chéng gǔ bù quán zhèng	26-12595-B
chéng huáng	15-63255-B
chéng huáng chéng kǒng	58-29127-B
chéng huān	26-61509-B
chéng huǒ dǎ jié	3-13768-B
chéng hàn	26-10564-B
chéng hào	3-14295-B,47-29940-B
chéng hè	3-14873-B
chéng hé	59-4807-S
chéng hé tǐ tǒng	26-7966-B
chéng hóng sè	35-1856-B
chéng hú	46-50664-S
chéng hǎi	39-65559-B
chéng hǎi hú	47-29795-B
chéng hǎi qū	39-65628-B
chéng hǔ	1-29980-S
chéng jiàn	26-11825-B,26-60896-B
chéng jiào	50-60936-S
chéng jiè	25-63111-B
chéng jiè yī	52-17315-S
chéng jiù	26-9585-B
chéng jiù fó	2-23068-S
chéng jiā	26-9529-B
chéng jiān cè féi	3-13152-B
chéng jiān kòng	62-62333-S
chéng jiāng	33-2746-S,39-65489-B
chéng jiāo	15-62676-B,26-7549-B
chéng jiāo jià	26-7624-B
chéng jiē	26-61268-B
chéng juàn shǔ	32-33225-S,49-35765-S
chéng jì	26-11352-B,26-61949-B,35-1769-B,47-46068-S,63-55321-S
chéng jìn dài huáng jīn jiǎ	39-36865-S
chéng jí	26-61876-B,47-38880-S
chéng jí sī hàn	26-8910-B
chéng jī	3-13447-B,3-13869-B,41-12102-S
chéng jīn	71-41263-S,71-42567-S
chéng jūn	39-64041-S
chéng jǐng	3-14358-B
chéng kuài	8-61544-S
chéng kè	3-13278-B
chéng kěn	58-29343-B
chéng kǎ	65-12421-S
chéng kǒng	58-29127-S
chéng kǒu	15-61548-B
chéng liáng	3-13706-B
chéng lèi gù chún	12-34161-S
chéng lì	26-11178-B
chéng lóng	3-14932-B,26-12777-B,32-45750-S
chéng lóng kuài xù	3-15018-B
chéng lóu	15-62243-B
chéng lùn	19-20711-S
chéng lǐng	34-1818-S
chéng mài	39-65963-B
chéng mén	15-62908-B,65-58609-S
chéng méng	26-61603-B
chéng méng guān zhào	26-61662-B
chéng mì	3-12648-B
chéng míng jiù	9-49014-S
chéng mò	40-66237-S
chéng mù	29-47446-S
chéng mǎn zú zì zhì xiàn	20-24655-S
chéng nián	26-9671-B
chéng nián rén	26-9713-B,32-58131-S
chéng nián zhě	26-9773-B,32-58218-S
chéng nuò	26-62187-B
chéng nù	25-24885-S
chéng piào	60-3591-S
chéng pào yǐng	49-35613-S
chéng píng shǒu	26-44239-S
chéng pǐn	9-11306-S,10-57681-S,26-8990-B
chéng pǔ	58-29524-B
chéng qián bì hòu	25-62921-B
chéng qiáng	15-62478-B
chéng qiú	66-59151-S
chéng qiān gǔ hèn	1-6114-S
chéng qiān shàng wàn	26-8722-B
chéng quán	26-8098-B,50-43018-S
chéng quān	26-9212-B
chéng qì	12-33612-S
chéng qí hǔ	10-7837-S
chéng qún	26-11425-B
chéng qún jié duì	26-11496-B
chéng qīn	26-11964-B
chéng qīng	39-65717-B
chéng qū	15-61485-B,20-24552-S,21-48673-S,33-16796-S,38-60008-S,55-22185-S,57-14525-S,68-23166-S,71-6852-S,71-58455-S
chéng qǐng	13-8424-B
chéng rán	58-29577-B
chéng rèn	26-62095-B
chéng rèn zhǔ yì	2-11725-S
chéng rén	18-22087-S,26-7727-B,26-7768-B,29-14781-S,50-42958-S
chéng rén zhī wēi	3-12489-B
chéng shèng	3-12783-B
chéng shèng zhuī jī	3-12870-B
chéng shì	1-12907-S,1-17340-S,3-13005-B,9-33018-S,10-22440-S,14-59084-S,15-61866-B,17-12032-S,19-54329-S,25-60615-S,30-63687-S,31-43560-S,34-5630-S,34-41165-S,44-37701-S,47-29559-B,47-40710-S,51-43462-S,53-23658-S,58-2503-S,59-20049-S,62-39918-S,65-32187-S,68-11967-S,68-21502-S,71-6689-S
chéng shì guī huà	15-62093-B
chéng shì guǎn lǐ yuán	47-29623-B
chéng shì huà	15-61924-B
chéng shì jiè miàn	25-60705-S
chéng shì rè dǎo	15-61983-B
chéng shì shí	31-4879-S
chéng shì yùn dòng huì	15-62159-B
chéng shì yǔ yán	47-29718-B
chéng shí	2-29656-S,19-37678-S,58-28898-B
chéng shí bǎ mǐ	6-23700-S
chéng shòu	26-60830-B
chéng shù	3-13322-B
chéng shú	26-10771-B
chéng shú fàn	43-28366-S,43-28618-S
chéng shān	67-54152-S
chéng shī	21-56763-S,45-64437-S
chéng shī lián hé huì	67-31416-S
chéng shū	26-10232-B
chéng suǒ zhì	48-58296-S
chéng sè	35-1931-B
chéng sè jì	35-1978-B
chéng sè zhàn jì	35-2035-B
chéng sòng	13-8553-B
chéng sù	49-13140-S
chéng sú	51-17687-S
chéng sī	8-61629-S
chéng tián	26-10818-B
chéng tián jī chǎng	26-10916-B
chéng tiān	26-9311-B
chéng tiě	71-42276-S
chéng tiě lù	20-29660-S
chéng tào	26-9381-B
chéng tóng	2-42952-S
chéng tóu	26-62850-B
chéng tú	21-56523-S,38-5261-S
chéng tú xué	21-56608-S
chéng tǐ	26-12714-B
chéng tǐ tǒng	2-11222-S
chéng wài	15-61813-B
