he2 fa3	2-182-S,12-35110-B,49-63812-S
he2 fa3 hua4	12-35165-B
he2 fa3 xing4	12-35246-B
he2 fan3 ji1	33-56198-B
he2 fan3 ying4	33-56066-B
he2 fan3 ying4 dui1	33-56127-B,41-19575-S
he2 fan4	45-3745-B
he2 fang2 yu4	33-63280-B
he2 fei4 wu4	33-57409-B
he2 fen3	37-21006-B
he2 feng1	13-25751-B
he2 feng4	12-36759-B
he2 fu2	13-23317-B
he2 fu2 she4	33-62656-B
he2 fu2 wu4 shu4 wei4 wang3 luo4	49-63673-S
he2 gai1	12-37613-B
he2 gai3 ge2 wei3 yuan2 hui4	15-6250-S
he2 gan1	33-61763-B
he2 gan1 san1 lin2 suan1	52-45563-S
he2 gan1 suan1	33-61806-B,52-33096-S
he2 gan3 jun1	49-42179-S
he2 gan3 ran3	38-53498-S
he2 ge1	13-23584-B
he2 ge2	12-34854-B
he2 gong1 bao4	51-58090-S
he2 gong1 cheng2	33-57343-B
he2 gong1 ye4	33-57201-B
he2 gong1 ye4 bu4	33-57261-B
he2 gong4	12-32279-B
he2 gu3	1-57241-S,1-64615-S,12-36945-B,22-54592-S,37-21302-B,47-10869-B
he2 gu3 da4 lu4	51-58289-S
he2 gu3 xian4	12-37010-B
he2 gu4	2-20775-S,5-2545-B
he2 guang1 xue2	22-56383-S
he2 guo2	2-80013-S,2-80662-S,3-298-S,4-12165-S,7-17670-S,7-71292-S,9-28042-S,16-1137-S,16-58602-S,16-61890-S,19-10252-S,19-33140-S,24-26381-S,25-36360-S,28-8947-S,32-50611-S,47-20410-S,51-58366-S,54-61843-S,68-11542-S
he2 guo2 Da4 hui4	51-58561-S
he2 guo2 Er2 tong2 Ji1 jin1 hui4	51-58425-S
he2 guo2 Hai3 yang2 fa3 Gong1 yue1	51-59044-S
he2 guo2 Kai1 fa1 Ji4 hua4 shu3	51-59438-S
he2 guo2 Mi4 shu1 chu4	51-59335-S
he2 guo2 Nan2 min2 Shi4 wu4 Gao1 ji2 Zhuan1 yuan2 Ban4 shi4 chu4	51-59570-S
he2 guo2 Qi4 hou4 Bian4 hua4 Kuang4 jia4 Gong1 yue1	51-58855-S
he2 guo2 Zhong1 yang1 Jun1 shi4 Wei3 yuan2 hui4	2-80134-S
he2 guo2 huan2 jing4 gui1 hua4 shu3	51-59192-S
he2 guo2 jia1	32-34982-S,33-56478-B,36-22377-S,67-65639-S
he2 guo2 jiao4 ke1 wen2 zu3 zhi1	51-58750-S
he2 guo2 lian2 meng2	55-40595-S
he2 guo2 xian4 zhang1	51-58658-S
he2 guo4 cheng2	49-40484-S
he2 hang2 kong1 gong1 si1	51-60661-S
he2 hao3	13-21773-B
he2 hao3 ru2 chu1	13-21826-B
he2 hao4 te4	13-18227-S
he2 hao4 te4 shi4	13-18308-S
he2 he2 cheng2	33-56263-B
he2 he2 shi4 gu4 xie2 diao4 zhong1 xin1	51-60198-S
he2 he2 zuo4 zu3 zhi1	35-29011-S
he2 hong1 zha4	33-62807-B
he2 hong1 zha4 ji1	33-62864-B
he2 hou2	24-67513-S
he2 hu1	12-31449-B
he2 hua1	44-52125-S,54-19965-B
he2 hua2	51-40453-S
he2 hua2 Jian4 zheng4 ren2	51-40526-S
he2 hua4	40-54725-S,67-65579-S
he2 hua4 xue2 gong1 ye4 xie2 hui4	2-61549-S
he2 huan1	64-8359-S
he2 huan3	13-24679-B
he2 huang2 su4	33-63771-B
he2 hui4	1-32741-S,2-58773-S,2-59889-S,3-58656-S,3-61229-S,13-23268-B,15-18775-S,15-18981-S,15-19717-S,15-21096-S,18-54567-S,51-60143-S,67-31416-S,69-27235-S
he2 huo3	12-31649-B
he2 huo3 jian4 fa1 dong4 ji1	33-59631-B
he2 huo3 ren2	12-31718-B,12-32786-B
he2 ji1	12-34540-B
he2 ji4	2-52366-S,12-37520-B
he2 ji4 shu4	33-57825-B
he2 jia1	12-32943-B,65-52015-B
he2 jia1 gu4	27-5633-S
he2 jia1 huan1	12-33005-B
he2 jia4	10-20772-S,12-16965-S
he2 jian4 dui4	51-60756-S
he2 jiang1 chi2	33-55335-B
he2 jiao3	12-37252-B
he2 jie2 gou4	33-61401-B
he2 jie3	13-25213-B
he2 jie3 fei4	13-25276-B
he2 jin1	12-38164-B,64-38775-S
he2 jin3	12-33181-B
he2 jing1 shen2 wen2 ming2	41-54961-S
he2 ju2	13-21967-B
he2 ju4 bian4	33-61462-B
he2 ju4 bian4 fan3 ying4	41-19742-S
he2 ju4 he2	48-826-S
he2 jun1 bei4	33-62600-B
he2 jun1 gang1	28-25646-S
he2 jun1 shi4	33-56610-B
he2 jun1 yan3	51-60827-S
he2 jun4 su4	49-42308-S
he2 ke1	44-52057-S
he2 ke4	39-21552-S
he2 kou3	34-11339-S,37-19401-B,51-28867-S
he2 kou3 shi4	34-11427-S
he2 ku3	5-2860-B
he2 ku3 ne5	5-2928-B
he2 kuang4	5-2758-B
he2 kuo4 san4	33-57948-B
he2 lan2 qin2	54-20224-B
he2 lan2 yu3	54-20275-B
he2 le4	13-23532-B
he2 le4 er2 bu4 wei2	5-2623-B
he2 li2	37-20914-B
he2 li3	2-231-S,7-59531-S,12-33391-S,12-35711-B
he2 li3 hua4	12-35767-B
he2 li3 xing4	12-35873-B
he2 li4	12-32330-B
he2 li4 liang5	26-19636-S
he2 lian2 Nu:3 zi3 Xue2 yuan4	32-14924-S
he2 lian2 suo3 fan3 ying4	33-62944-B
he2 liang4	22-56814-S,67-35951-S
he2 lie4 bian4	33-61861-B
he2 liu2	12-35300-B,37-20660-B
he2 liu2 yu4	7-46583-S,71-20720-S
he2 long2	12-38481-B
he2 long3	12-34612-B
he2 lu:4	49-40356-S
he2 luan4	51-12813-S
he2 lun4	49-37994-S,66-57066-S
he2 ma3	5-31658-S,37-21631-B
he2 ma3 cheng2	5-31727-S
he2 ma3 zhou1	5-31814-S,18-12557-S
he2 mei2	51-53824-S
he2 mei3	13-24796-B
he2 men2	38-62685-S
he2 men2 jian4	33-63218-B
he2 men2 qu1	38-62782-S
he2 miao2	47-10918-B
he2 ming2	42-59713-S
he2 mo2 xing2	33-58441-B,38-53568-S,40-5203-S,49-40412-S
he2 mou2	12-37661-B
he2 mu3 du4	37-19720-B
he2 mu4	13-24441-B
he2 mu4 ke1	47-10729-B
he2 mu4 xiang1 chu4	13-24502-B
he2 neng2	33-61527-B
he2 neng2 ji4 shu4	33-61575-B
he2 neng2 yuan2	33-61648-B
he2 neng2 zong3 gong1 si1	2-59642-S
he2 ou3 he2 qi4 jian4	67-35840-S
he2 pai1	12-34348-B
he2 pai4	3-4302-S,39-19721-S
he2 pan2 tuo1 chu1	13-24287-B
he2 pan4	37-20952-B
he2 ping2	2-39005-S,13-22099-B,36-48411-S
he2 ping2 bi4	33-57140-B
he2 ping2 ge1	13-22894-B
he2 ping2 gong4 chu3	13-22201-B
he2 ping2 hui4 tan2	13-22453-B
he2 ping2 ji1 jin1 hui4	15-15726-S
he2 ping2 jiang3	13-22607-B,58-49874-S
he2 ping2 li4 yong4	13-22289-B
he2 ping2 tan2 pan4	13-22667-B
he2 ping2 tiao2 yue1	13-22538-B
he2 ping2 zhu3 yi4	13-22138-B
he2 ping2 zu3 zhi1	49-65945-S
he2 qi1	20-33544-S,65-38271-S
he2 qi2	13-23488-B,65-68868-S
he2 qi2 ta1	4-41986-S
he2 qi3 lai5	7-33601-S
he2 qi4	12-50473-S,31-36113-S,67-9084-S
he2 qi4 dao4	12-34912-B
he2 qi4 jian4	67-35840-S
he2 qi4 sheng1 cai2	13-23701-B
he2 qi4 zhi4 xiang2	13-23795-B
he2 qi5	13-23647-B
he2 qian2 ting3	20-58673-S,29-47635-S,33-59568-B
he2 qing2 bao4	33-57641-B
he2 qing2 he2 li3	12-33391-B
he2 qu1	8-26224-S,10-31553-S,17-57338-S,37-5190-S,38-8234-S,38-62590-S,40-54805-S,49-31802-S,64-8207-S
he2 quan2	44-49883-S,51-13050-S
he2 ran2 liao4	33-59773-B
he2 ran2 liao4 hou4 chu4 li3	33-59919-B
he2 ran2 liao4 ran2 hao4	33-60107-B
he2 ran2 liao4 xun2 huan2	33-60021-B
he2 ran2 liao4 yuan2 jian4	33-59830-B
he2 re4	33-59729-B
he2 ren2	4-41936-S,5-2233-B,33-55268-B,40-61953-S
he2 san1 jiao3 zhou1	39-8829-S
he2 san3 na4	13-23061-B
he2 san4 she4	33-58073-B
he2 se4	71-23392-S
he2 sha1	37-20500-B
he2 sha1 shang1 po4 huai4 gu1 ji4	33-59397-B
he2 shan4	13-21727-B
he2 shang1	37-20045-B
he2 shang4	17-61554-S
he2 shang5	13-21920-B,65-6828-S
he2 she4 shi1	33-62005-B
he2 sheng1	13-24929-B
he2 sheng1 cun2 neng2 li4	33-60724-B
he2 sheng1 ming2	51-60585-S
he2 sheng1 wu4	11-33739-S
he2 sheng1 wu4 jie4	11-33806-S
he2 shi1 yu3 zheng4	38-53418-S
he2 shi2	5-2586-B,32-15821-S,40-62014-S,57-29168-B
he2 shi2 jian1 sai4 pao3	13-23133-B
he2 shi2 qi1	8-18540-S
he2 shi2 yi2	2-57-S,12-34724-B
he2 shi4	1-27144-S,2-285-S,12-38101-B,33-55894-B,33-62086-B,39-53542-S,40-61882-S,49-57247-S,56-779-S,71-31142-S
he2 shi4 bao4	33-62133-B
he2 shi4 gu4 xie2 diao4 zhong1 xin1	51-60198-S
he2 shi4 he2 cheng2 ci2	51-59854-S
he2 shi4 jian4	33-55207-B
he2 shi4 lu4 yin1 ci2 dai4	45-3657-B
he2 shi4 yan4	15-37859-S,17-24048-S,33-62191-B,36-38316-S,38-7967-S
he2 shi4 yan4 chang3	33-62322-B
he2 shi4 yan4 dui1	33-62247-B
he2 shi4 yan4 tiao2 yue1	7-42693-S
he2 shu4 li3 tong3 ji4	34-37730-S
he2 shu4 xue2	49-37901-S
he2 shui3	3-56645-S
he2 shui3 bu4 fan4 jing3 shui3	37-20133-B
he2 shuo1 bu4 qing1	60-45420-S
he2 si4 ji2 gong4 zhen4	33-56385-B
he2 si4 yi3 chi3 gong1	12-32666-B
he2 su4	29-50275-S,33-61362-B
he2 suan1	11-38190-S,33-61232-S,33-63104-B,52-33014-S,52-33202-S,67-2106-S
he2 suan4	12-36550-B,57-29327-B
he2 tai4 kong1 shu3	15-5023-S
he2 tan2	13-25377-B,32-50516-S
he2 tan2 pan4	33-62396-B
he2 tang2	33-61192-B,52-32946-S
he2 tang2 he2 suan1	11-38190-S,33-61232-B,52-33014-S
he2 tang2 ti3	33-61310-B
he2 tao5	33-58331-B
he2 tao5 ren2	33-58385-B
he2 ti3	38-53773-S,42-20401-S,51-54031-S,66-57127-S
he2 ti3 tong3	2-336-S,26-7966-S
he2 ti3 zi4	12-38302-B,14-16375-S,19-5381-S
he2 tie3 lu4	17-58836-S
he2 tong1 xun4 she4	51-60906-S,68-11638-S
he2 tong2 tang2	33-63034-B
he2 tong5	12-32371-B
he2 tong5 fa3	12-32507-B
he2 tong5 ge4 fang1	12-32423-B
he2 tu3	1-32613-S
he2 tuan2	51-12875-S,59-3214-S
he2 tuan2 Yun4 dong4	51-12968-S
he2 tui1 jin4	33-57886-B
he2 tun2	37-21346-B
he2 tun2 du2 su4	37-21396-B
he2 tuo2 luo2	33-63339-B
he2 tuo4 pu1	22-56578-S
he2 tuo4 pu1 xue2	22-56657-S
he2 wai4 xing1 xi4	37-19659-B
he2 wang2 guo2	17-33389-S,51-60360-S,54-4242-S
he2 wei1	33-56736-B
he2 wei1 she4 li4 liang5	33-56799-B
he2 wei1 she4 zheng2 ce4	33-56882-B
he2 wei2	12-35535-B
he2 wei2 hu4	49-61138-S
he2 wei4 li3 qi4	13-24971-B
he2 wei4 yi1	56-10659-S
he2 wei4 zhi1 fu2 wu4 qi4	23-12946-S
he2 wen2 ming2	7-46500-S
he2 wen4 ti2	32-48109-S,33-56323-B
he2 wu1	12-49154-S
he2 wu3	33-58498-B
he2 wu3 ku4	33-59340-B
he2 wu3 qi4	10-48480-S,20-62060-S,26-19727-S,26-20301-S,33-58544-B,34-55497-S,41-19656-S,41-35111-S,44-28495-S,44-57070-S
he2 wu3 qi4 an1 quan2	33-58767-B
he2 wu3 qi4 cai2 liao4	33-58940-B
he2 wu3 qi4 cao1 lian4	33-58852-B
he2 wu3 qi4 chu3 bei4	33-58686-B
he2 wu3 qi4 guo2 jia1	67-65713-S
he2 wu3 qi4 shi4 gu4	33-58600-B
he2 wu3 qi4 shi4 yan4	33-59264-B
he2 wu3 qi4 shi4 yan4 tiao2 yue1	47-894-S
he2 wu3 qi4 tiao2 yue1	2-12567-S
he2 wu3 qi4 yan2 jiu1 suo3	10-26980-S
he2 wu3 qi4 yan2 zhi4 ji4 hua4	33-59140-B
he2 wu3 qi4 yan3 lian4	33-59052-B
he2 wu4	10-20831-S,32-35425-S,36-33229-S,38-53723-S,46-31948-S,46-32025-S,51-53775-S
he2 wu4 li3	33-60667-B
he2 xi1 a1 shu1	5-3050-B
he2 xi4	64-27403-S
he2 xi4 bao1	11-33899-S
