huan cheng	28-45791-B,43-4928-B
huan chong	50-23240-B
huan chong cun chu qi	70-22699-S
huan chong jian	47-48485-S
huan chong qi	50-23286-B
huan chu	25-8422-B
huan cun	70-22638-S
huan dai	28-45850-B,29-44664-S,32-8196-S
huan dai shu	3-68952-S
huan dai shu xue	3-69037-S
huan dang	28-46307-B,28-46414-B
huan dang gan	28-46357-B,28-46464-B
huan dao	43-5440-B
huan deng	22-53804-B
huan deng pian	22-53854-B,29-52055-S
huan dian hua wang	7-62042-S
huan dian hua wang lu	7-55571-S
huan dong	50-22844-B
huan duan	3-69525-S
huan duan ceng	61-24650-S
huan er san	2-15901-S,6-56311-S
huan fa	41-6302-B,48-56025-S
huan fa zhong zi	50-23097-B
huan fang	28-47062-B
huan gang	28-46176-B
huan ge r	28-45967-B
huan ge shi	15-25788-S
huan gei	63-10571-B
huan gong	28-46251-B
huan gu	43-7312-B
huan guan	19-56611-B
huan hai	19-56665-B
huan hai feng bo	19-56723-B
huan he	50-22888-B
huan hu	35-31631-B
huan hua	43-4855-B,62-23170-S
huan huan	50-23169-B
huan hui	51-61951-S
huan hun	5-65501-S,63-10833-B
huan hun xiang jiao	63-10920-B
huan hun zhi	63-10995-B
huan huo	61-62371-S
huan ji	3-69452-S,15-24319-S,61-13271-S,63-10134-B
huan ji shu	3-69375-S
huan ji wo xuan	43-5849-B
huan jia	57-62243-S,63-9606-B
huan jia zhi	3-69230-S
huan jie	42-4683-S,43-6615-B,50-23358-B
huan jie dong wu	43-6726-B
huan jie dong wu men	43-6797-B
huan jing	5-7504-S,8-49694-S,19-52306-S,20-13610-S,29-20687-S,43-4994-B,46-49404-S,50-7894-S,50-9741-S,51-62607-S,55-52129-S,62-40903-S,65-39561-S
huan jing bao hu	43-5068-B
huan jing bao hu zong ju	2-55782-S
huan jing gui hua shu	51-59192-S
huan jing wu ran	43-5290-B
huan jing ying xiang ping gu	43-5149-B
huan ju hua shuo	28-46105-B
huan ju yi tang	35-32291-B
huan jue	22-53938-B
huan kou	63-9834-B
huan le	35-31997-B
huan li	63-10487-B
huan li he	25-10455-S
huan lin	61-62722-S
huan liu	17-24222-S
huan lu	1-37948-S,3-39093-S,3-51763-S,7-68364-S,14-51963-S,43-7269-B
huan man	50-22991-B
huan men	19-56839-B
huan mian	29-47045-S
huan mie	22-53718-B
huan nan	25-8471-B
huan pao	70-49821-S
huan pao ying	17-2526-S
huan ping	43-7148-B
huan qi	3-69302-S,14-6607-B,19-56980-B,61-24583-S,65-64348-S
huan qie	10-16801-S
huan qie shu	10-16869-S
huan qing	35-31949-B,63-10415-B
huan qiu	43-6363-B
huan qiu ding wei xi tong	43-6504-B
huan qiu hua	43-6424-B
huan qu	28-46041-B
huan qun	50-53101-S,59-8949-S
huan ran yi xin	41-6173-B
huan rao	43-6930-B
huan sai	24-17518-S
huan she bei	59-9026-S
huan shi	31-10522-S,35-31560-B,35-31878-B
huan shi pin xiang mu	46-7903-S
huan shi yong	24-17224-S
huan shou	63-10074-B
huan shu	63-10249-B
huan song	35-32518-B
huan su	14-51907-S,63-9469-B
huan suan	28-46841-B
huan tang bu huan yao	28-46521-B
huan teng	35-32570-B
huan tian xi di	35-31722-B
huan tong wei su	12-17163-S
huan tou	14-6758-B
huan tu	62-23113-S
huan tu bian	50-53027-S
huan wan ting	43-6155-B
huan wang	4-35218-S
huan wang lu	3-69586-S
huan wei yuan hui	19-24283-S
huan wu xi	43-5700-B
huan xi	35-31682-B,63-10015-B
huan xi tong	24-17443-S
huan xiang	22-53665-B,22-53987-B,32-21220-S,63-10750-B
huan xiao	35-32225-B
huan xiao shu	24-17312-S
huan xiao shuo	47-18441-S
huan xin	35-32087-B
huan xin gu wu	35-32128-B
huan xing	14-6703-B,24-17387-S,43-5502-B,50-22791-B
huan xing jie gou	43-5624-B
huan xing shan	43-5549-B
huan xiong	38-9351-B
huan xu dian lu	3-69660-S
huan ya	4-38100-S
huan yan	35-31826-B
huan yang shu zhi	43-5994-B
huan yang yi wan	43-5923-B
huan yao	28-46521-S,61-54127-S
huan yi	38-9491-B
huan yi tai wang luo	3-69133-S
huan ying	1-75014-S,11-62218-S,17-71764-S,22-53615-B,35-32397-B
huan ying guang lin	35-32451-B
huan you di qiu	7-49388-S
huan yu	13-19755-S,28-46950-B
huan yuan	63-9689-B
huan yuan ji	63-9774-B
huan zai hu xi shui fei xi tong	20-5906-S
huan zhai	63-9554-B
huan zhang	63-10692-B
huan zhe	25-8371-B,43-30323-S,53-47868-S
huan zheng	4-14730-S
huan zhi	28-46907-B
huan zhong shu	20-28361-B
huan zhu yi	5-37946-S
huan zhuang	43-6213-B
huan zhuang lie shi	43-6279-B
huan zhuo	38-9299-B
huan zi	40-52025-S
huan zui	63-9893-B
huan zuo le	20-45428-S
huan1	12-7123-S,12-33005-S,26-3507-B,26-61509-S,35-31010-B,35-31516-B,36-12257-S,42-4594-S,42-26708-B,49-42860-S,51-61896-S,59-14427-B,64-8359-S,69-64778-B
huan1 chao3 jia4	14-8620-S
huan1 er2 san4	2-15901-S,6-56311-S
huan1 hu1	35-31631-B
huan1 hui4	51-61951-S
huan1 jie2	42-4683-S
huan1 ju4 yi1 tang2	35-32291-B
huan1 le4	35-31997-B
huan1 li2 he2	25-10455-S
huan1 qing4	35-31949-B
huan1 shi5	35-31560-B,35-31878-B
huan1 song4	35-32518-B
huan1 teng2	35-32570-B
huan1 tian1 xi3 di4	35-31722-B
huan1 xi3	35-31682-B
huan1 xiao4	35-32225-B
huan1 xin1	35-32087-B
huan1 xin1 gu3 wu3	35-32128-B
huan1 yan4	35-31826-B
huan1 ying2	1-75014-S,11-62218-S,17-71764-S,35-32397-B
huan1 ying2 guang1 lin2	35-32451-B
huan1 zuo4 le4	20-45428-S
huan2	2-48481-S,2-48657-S,2-48741-S,2-76148-S,3-6790-S,3-51706-S,4-343-S,4-8452-S,4-35161-S,6-29214-S,6-56876-S,7-11035-S,8-13281-S,10-38748-S,12-43890-S,15-29626-B,17-28251-S,18-5047-S,18-61681-B,20-28325-B,23-62984-S,24-17162-S,25-20658-S,25-48314-S,29-30640-S,32-69942-S,33-4640-S,33-60021-S,34-28810-S,35-15840-S,35-55470-S,37-63291-B,40-3997-B,40-23442-S,40-36532-S,41-23793-S,42-31105-S,43-4141-S,43-4474-B,43-8587-B,48-7187-S,49-27022-S,49-44177-S,49-44313-S,50-42192-B,50-59616-S,51-39661-S,53-41493-S,53-58419-S,53-62353-S,54-963-S,54-13489-B,54-42446-B,57-63716-S,59-27238-B,61-60930-S,61-63140-S,62-23072-S,63-6728-S,63-9417-B,64-50779-B,64-56386-S,65-3905-S,65-5434-B,65-58170-B,67-5350-S,70-28276-B,71-2929-B
huan2 bao3	43-4553-B
huan2 bao3 dou4 shi4	43-4734-B
huan2 bao3 ju2	2-55635-S,43-4612-B
huan2 bao3 zong3 ju2	15-6136-S
huan2 bao4	43-5789-B
huan2 ben3	63-10364-B
huan2 cheng2	43-4928-B
huan2 dao3	43-5440-B
huan2 gei3	63-10571-B
huan2 gu4	43-7312-B
huan2 hua4	43-4855-B,62-23170-S
huan2 hun2	5-65501-S,63-10833-B
huan2 hun2 xiang4 jiao1	63-10920-B
huan2 hun2 zhi3	63-10995-B
huan2 ji1	63-10134-B
huan2 ji2 wo1 xuan2	43-5849-B
huan2 jia4	57-62243-S,63-9606-B
huan2 jie2	43-6615-B
huan2 jie2 dong4 wu4	43-6726-B
huan2 jie2 dong4 wu4 men2	43-6797-B
huan2 jing4	5-7504-S,8-49694-S,19-52306-S,20-13610-S,29-20687-S,43-4994-B,46-49404-S,50-7894-S,50-9741-S,51-62607-S,55-52129-S,62-40903-S,65-39561-S
huan2 jing4 bao3 hu4	43-5068-B
huan2 jing4 bao3 hu4 zong3 ju2	2-55782-S
huan2 jing4 gui1 hua4 shu3	51-59192-S
huan2 jing4 wu1 ran3	43-5290-B
huan2 jing4 ying3 xiang3 ping2 gu1	43-5149-B
huan2 kou3	63-9834-B
huan2 li3	63-10487-B
huan2 lin2	61-62722-S
huan2 liu2	17-24222-S
huan2 lu4	1-37948-S,3-39093-S,3-51763-S,7-68364-S,14-51963-S,43-7269-B
huan2 ping2	43-7148-B
huan2 qie1	10-16801-S
huan2 qie1 shu4	10-16869-S
huan2 qing1	63-10415-B
huan2 qiu2	43-6363-B
huan2 qiu2 ding4 wei4 xi4 tong3	43-6504-B
huan2 qiu2 hua4	43-6424-B
huan2 rao4	43-6930-B
huan2 sai4	24-17518-S
huan2 shi2	31-10522-S
huan2 shi3 yong4	24-17224-S
huan2 shou3	63-10074-B
huan2 shu1	63-10249-B
huan2 su2	63-9469-B
huan2 su4	14-51907-S
huan2 tu2	62-23113-S
huan2 wan2 ting1	43-6155-B
huan2 wang3	4-35218-S
huan2 wu4 xi1	43-5700-B
huan2 xi2	63-10015-B
huan2 xi4 tong3	24-17443-S
huan2 xiang1	63-10750-B
huan2 xiao3 shu4	24-17312-S
huan2 xing2	43-5502-B
huan2 xing2 jie2 gou4	43-5624-B
huan2 xing2 shan1	43-5549-B
huan2 xing4	24-17387-S
huan2 ya2	4-38100-S
huan2 yang3 shu4 zhi1	43-5994-B
huan2 yang3 yi3 wan2	43-5923-B
huan2 you2 di4 qiu2	7-49388-S
huan2 yuan2	63-9689-B
huan2 yuan2 ji4	63-9774-B
huan2 zai4 hu1 xi1 shui3 fei4 xi4 tong3	20-5906-S
huan2 zhai4	63-9554-B
huan2 zhang4	63-10692-B
huan2 zhe3	43-30323-S
huan2 zhong1 shu3	20-28361-B
huan2 zhu3 yi4	5-37946-S
huan2 zhuang4	43-6213-B
huan2 zhuang4 lie4 shi2	43-6279-B
huan2 zi3	40-52025-S
huan2 zui3	63-9893-B
huan3	4-69124-S,9-14299-S,13-24679-S,14-7343-S,20-27370-S,22-44007-S,23-18112-S,23-33313-S,24-4441-S,29-52443-S,31-65241-S,39-1015-S,40-1350-B,45-54036-B,50-22340-B,50-23169-S,61-43769-S,62-67740-S,70-26990-S
huan3 bing1 zhi1 ji4	50-22650-B
huan3 bu4	50-23042-B
huan3 bu4 ji4 ji2	50-22471-B
huan3 chong1	50-23240-B
huan3 chong1 cun2 chu3 qi4	70-22699-S
huan3 chong1 jian1	47-48485-S
huan3 chong1 qi4	50-23286-B
huan3 cun2	70-22638-S
huan3 dong4	50-22844-B
huan3 fa1 zhong1 zi3	50-23097-B
huan3 he2	50-22888-B
huan3 huan3	50-23169-B
huan3 ji2	61-13271-S
huan3 jie3	50-23358-B
huan3 man4	50-22991-B
huan3 xing2	50-22791-B
huan4	2-23588-S,3-44979-S,3-68838-S,5-57661-S,6-25616-S,6-34861-S,7-20005-S,7-28483-S,7-37016-S,8-57359-S,8-61704-S,9-22197-S,10-15840-S,12-10069-S,13-18559-S,14-6576-B,15-39612-S,16-47759-S,17-2482-S,18-534-S,18-5955-B,18-9098-S,18-40105-S,19-56576-B,20-35203-S,20-50460-S,22-53584-B,24-38167-S,24-38428-S,25-8213-B,25-53850-S,28-13177-S,28-45752-B,29-11028-S,29-22298-B,32-7912-S,32-17584-S,38-9178-B,38-66569-B,39-55230-B,41-6131-B,44-17603-B,44-22565-S,47-2192-S,47-18392-S,47-46508-S,48-38145-S,50-52962-S,51-9234-S,53-63622-S,55-51375-S,58-37575-S,59-8067-S,59-8852-S,59-24334-B,61-16121-S,61-24513-S,61-31415-B,61-54079-S,62-26361-B,63-12021-S,66-47656-S,67-9403-S,67-28243-S,68-50354-S,68-58845-S,69-11675-S,69-11878-S,69-12695-S,70-35587-S,70-43890-B,71-34021-S
huan4 ban1	28-46705-B
huan4 biao1 zhun3 ma3	51-5391-S
huan4 bing4	25-8314-B
huan4 cha2	28-47010-B
huan4 cheng2	28-45791-B
huan4 chu4	25-8422-B
huan4 dai4	28-45850-B,29-44664-S,32-8196-S
huan4 dai4 shu4	3-68952-S
huan4 dai4 shu4 xue2	3-69037-S
huan4 dang3	28-46307-B
huan4 dang3 gan3	28-46357-B
huan4 dang4	28-46414-B
huan4 dang4 gan3	28-46464-B
huan4 deng1	22-53804-B
huan4 deng1 pian4	22-53854-B,29-52055-S
huan4 dian4 hua4 wang3	7-62042-S
huan4 dian4 hua4 wang3 lu4	7-55571-S
huan4 duan1	3-69525-S
huan4 duan4 ceng2	61-24650-S
huan4 fa1	41-6302-B,48-56025-S
huan4 fang2	28-47062-B
huan4 gang3	28-46176-B
huan4 ge2 shi4	15-25788-S
huan4 ge4 r5	28-45967-B
huan4 gong1	28-46251-B
huan4 guan1	19-56611-B
huan4 hai3	19-56665-B
huan4 hai3 feng1 bo1	19-56723-B
huan4 huo4	61-62371-S
huan4 ji1	3-69452-S
huan4 ji4	15-24319-S
huan4 ji4 shu4	3-69375-S
huan4 jia4 zhi2	3-69230-S
huan4 ju4 hua4 shuo1	28-46105-B
huan4 jue2	22-53938-B
huan4 men2	19-56839-B
huan4 mian4	29-47045-S
huan4 mie4	22-53718-B
huan4 nan4	25-8471-B
huan4 pao4	70-49821-S
huan4 pao4 ying3	17-2526-S
huan4 qi2	19-56980-B
huan4 qi3	14-6607-B
huan4 qi4	3-69302-S,61-24583-S,65-64348-S
huan4 qu3	28-46041-B
huan4 qun2	50-53101-S,59-8949-S
huan4 ran2 yi1 xin1	41-6173-B
huan4 she4 bei4	59-9026-S
huan4 shi2 pin3 xiang4 mu4	46-7903-S
huan4 suan4	28-46841-B
huan4 tang1 bu4 huan4 yao4	28-46521-B
huan4 tong2 wei4 su4	12-17163-S
huan4 tou5	14-6758-B
huan4 tu1 bian4	50-53027-S
huan4 wang3 lu4	3-69586-S
huan4 wei3 yuan2 hui4	19-24283-S
huan4 xiang3	22-53665-B,32-21220-S
huan4 xiang4	22-53987-B
huan4 xiao3 shuo1	47-18441-S
huan4 xing3	14-6703-B
huan4 xiong2	38-9351-B
huan4 xu1 dian4 lu4	3-69660-S
huan4 yao4	28-46521-S,61-54127-S
huan4 yi1	38-9491-B
huan4 yi3 tai4 wang3 luo4	3-69133-S
huan4 ying3	22-53615-B
huan4 yu3	13-19755-S,28-46950-B
huan4 zhe3	25-8371-B,53-47868-S
huan4 zheng4	4-14730-S
huan4 zhi4	28-46907-B
huan4 zhuo2	38-9299-B
huan5	12-9248-S,14-8566-S
