huì zé	32-24395-B
huì zǒng	10-39159-B,23-53228-B
huì zǒng xū qiú	46-49557-S
huì zǔ zhī wěi yuán huì	18-15163-S
huì àn	31-46582-B
huì ān	25-17560-B,32-23077-B
huí	1-4005-S,5-17354-S,10-38173-S,12-10116-S,14-54252-B,14-54862-S,21-51021-S,21-51802-S,22-28380-S,25-166-B,26-40825-S,28-602-S,29-10896-S,29-40493-S,30-70187-S,37-27118-S,37-49384-B,38-26610-S,44-13481-B,44-27349-S,52-39632-S,54-10377-B,55-58324-B,55-61425-B,57-44479-S,59-45085-S,60-4696-S,60-9578-S,61-15889-S,61-16913-S,61-21996-S,61-43169-S,61-49390-S,61-53132-B,63-57039-S,64-3425-S,66-37475-S,69-46524-S
huí bài	14-55486-B
huí bào	14-55027-B,50-32817-S
huí bì	14-57954-B,61-53301-B
huí bó	14-58738-B
huí bēn xí	61-43243-S
huí bō	14-56744-B,34-16047-S
huí bǐng	14-57062-B
huí cháng	14-57381-B,55-15751-S
huí chéng	14-57015-B
huí chē	14-57839-B
huí chē jiàn	14-57893-B
huí chūn	18-35667-S
huí cǎi	14-55541-B
huí dàng	14-57623-B
huí dào	14-54614-B
huí dá	14-57129-B
huí fù	14-55184-B
huí fēn xī duān kǒu	21-51856-S
huí fǎ tíng	21-51062-S
huí fǎng	14-57784-B
huí fǔ	26-49604-S
huí guó	14-54962-B
huí guī	14-56359-B
huí guī nián	14-56572-B
huí guī xiàn	10-29622-S,10-68755-S,14-56692-B
huí guī zhōng guó	14-56479-B
huí guō ròu	14-58121-B
huí guō yóu	14-58183-B
huí gù	14-58498-B
huí gù lì shǐ	14-58553-B
huí huí	14-54862-B
huí huǒ	14-56863-B
huí hé	14-54776-B,16-55024-S
huí jiàn	14-57691-B
huí jiào	14-55784-B
huí jiā	14-55136-B
huí jué	14-57230-B
huí jìng	14-55832-B
huí jī	14-55661-B
huí jīng	14-54456-B
huí kuì	14-58630-B
huí kòu	14-58012-B
huí lai	14-54515-B,58-15897-S,58-16195-S
huí liáng yù	14-57511-B
huí lái qù	5-17460-S
huí lái qù de	5-17556-S
huí lù zhuǎn	21-39900-S
huí móu	14-56940-B
huí qu	14-54730-B
