ji1 neng2	35-4904-B
ji1 ni2	36-10174-S
ji1 ni2 dao3	36-10222-S
ji1 nian2	67-7300-B
ji1 nu4	40-4796-B
ji1 ou3	18-242-B
ji1 pai2	44-24580-S
ji1 pao4	61-52351-S
ji1 pei4 dui4	71-5386-S
ji1 pi2 ge1 da5	67-7763-B
ji1 piao4	35-4608-B
ji1 pin2	16-1896-B
ji1 ping2	6-16535-S
ji1 ping2 yuan2	37-13801-S
ji1 pu2 tang2	36-33418-S
ji1 pu2 tao5 tang2	36-33509-S
ji1 qi2 duo4 gui1	63-6163-S
ji1 qi3	40-5778-B
ji1 qi3 dong4 bu4 tong2 bu4	9-13330-S
ji1 qi4	15-15939-S,27-2774-S,35-2743-B
ji1 qi4 fan1 yi4	35-2848-B
ji1 qi4 ren2	35-2782-B
ji1 qian1 zhong1 du2	14-46152-S
ji1 qian2 ting3	33-55565-S
ji1 qiang1	9-58095-S,35-4411-B,61-10808-S,63-60802-S,69-33426-S
ji1 qiao2	44-24483-S
ji1 qiao4	58-61449-B
ji1 qing1 chu2 ji4	53-10546-S
ji1 qing2	40-4840-B
ji1 qiu2	29-19847-B,61-10511-S
ji1 qu1	61-10388-S
ji1 quan3 sheng1 tian1	1-1662-S,67-7583-B
ji1 qun2	9-13657-S
ji1 ren2	18-11506-S
ji1 rou4	52-7605-B,67-7936-B
ji1 rou4 fa1 da2	52-7650-B
ji1 rou4 wei1 suo3 zheng4	52-7711-B,56-56149-S
ji1 ruan3 jian4	19-52427-S
ji1 ruo4	47-39267-B
ji1 shan1	37-55776-S,37-56680-S,54-49428-S
ji1 shan1 mai4	37-56740-S
ji1 shao3 cheng2 duo1	47-39128-B
ji1 she4 hui4 cai2 fu4	26-45192-S
ji1 shen1	35-5222-B
ji1 shen1 kuan1 da4	35-5304-B
ji1 shen1 suan1	3-39329-S,3-39443-S
ji1 shi2	4-36415-S,16-418-B,18-11566-S
ji1 shi2 bao4	37-56235-S
ji1 shi2 jian1	66-44609-S
ji1 shi4	20-31236-S
ji1 shi4 da3 yin4 ji1	29-9882-S
ji1 shi4 jian4	53-7522-S
ji1 shi4 yin4 biao3 ji1	29-9788-S
ji1 shou3	27-49714-S,42-7833-S
ji1 shou3 xu4	44-24231-S
ji1 shou3 xu4 gui4 tai2	44-24326-S
ji1 shu1	43-1084-S
ji1 shu4	15-68825-B,18-781-B,66-44552-S
ji1 si1	50-18232-B
ji1 si1 tan3	22-4359-S
ji1 si4 ke3	18-32041-S
ji1 su4	6-30359-S,9-13601-S,9-69455-S,16-48746-S,19-3967-S,24-62720-S,40-5654-B,43-30605-S,45-57534-S,48-61196-S,49-49599-S,61-63283-S,66-53167-S,66-53389-S,66-61193-S
ji1 suan1	36-33595-S,51-12080-S,52-26327-S
ji1 sui2 ji1	18-58090-S
ji1 sui4	29-19908-B
ji1 tai1	44-348-B
ji1 tai2	27-49765-S
ji1 ti2 lei4	18-1948-B
ji1 ti3	32-35831-S,35-6127-B,52-7858-B,70-18090-S
ji1 ti4 ling2	25-42769-S
ji1 tiao4 san3	41-58912-S
ji1 ting1	5-62555-S
ji1 tong2	3-21795-B
ji1 tong3	13-53745-B,15-55959-S,15-56014-S
ji1 tong4	50-47581-S
ji1 tou2	35-6063-B
ji1 tuan2	15-67577-B
ji1 tui4	29-20015-B
ji1 wang3	16-939-B
ji1 wang3 luo4	57-60204-S
ji1 wei3	35-3258-B
ji1 wei3 jiu3	67-7203-B
ji1 wu4	8-19326-S,9-13551-S,32-35577-S,37-7152-S,38-39903-S,40-55431-S,47-39818-B
ji1 wu4 duan4	35-2683-B
ji1 xi4 jun1	36-37365-S
ji1 xia4 hou2	36-1517-S
ji1 xia4 lu:4	19-65688-S
ji1 xian2 bei4 si1	29-19373-B
ji1 xian2 lei4	29-19461-B
ji1 xian2 lei4 yue4 qi4	29-19550-B
ji1 xian4	16-1002-B,18-1441-B,29-47813-S
ji1 xiang1	15-56068-S,35-4669-B
ji1 xiao4	58-61407-B
ji1 xiao4 ying4	66-44478-S
ji1 xie2 bo1	16-1316-B
ji1 xie4	27-66977-S,35-3709-B,54-52676-S,61-41484-S
ji1 xie4 fan1 yi4	35-4013-B
ji1 xie4 gong1 cheng2	35-3823-B
ji1 xie4 hua4	35-3770-B
ji1 xie4 jin4 chu1 kou3 gong1 si1	2-62265-S
ji1 xie4 ma3	35-3958-B
ji1 xie4 neng2	35-4086-B
ji1 xie4 xing4	35-3903-B
ji1 xie4 yu3 yan2	35-4215-B
ji1 xie4 zhong1	35-4285-B
ji1 xie4 zhuang1 zhi4	35-4148-B
ji1 xing2	44-198-B
ji1 xing2 er2	44-266-B
ji1 xing2 he2 qian2 ting3	29-47635-S
ji1 xing4	9-13440-S,25-60102-S
ji1 xing4 du2 ji4	52-14589-S
ji1 xing4 yan2	60-20001-S
ji1 xu4	47-40308-B
ji1 xue2	20-35521-S
ji1 xue3	49-35535-S
ji1 xue4 shi2	67-8213-B
ji1 ya1	47-38984-B,50-63821-B
ji1 ya1 xing4	67-67453-S
ji1 ya4	58-49105-S
ji1 ya4 tiao2 yue1	63-55025-S
ji1 yan1 yong4 niu2 dao1	9-34347-S
ji1 yan2	15-68104-B,24-37754-S,37-7014-S,40-6442-S,40-55491-S
ji1 yan3	67-7839-B
ji1 ye4	15-69943-B
ji1 yi1 dong4	67-52093-S
ji1 yi1 ge4 lian4 jie1	71-39680-S
ji1 yi2	35-3044-B
ji1 yi4	35-4854-B
ji1 yin1	15-66850-B,16-1847-B,61-22247-S
ji1 yin1 biao3 da2	15-67507-B
ji1 yin1 gong1 cheng2	15-67137-B
ji1 yin1 kuo4 da4	15-67214-B
ji1 yin1 ma3	15-67403-B
ji1 yin1 ran3 se4 ti3 yi4 chang2	15-67286-B
ji1 yin1 tu2 pu3	15-66962-B
ji1 yin1 xing2	15-67032-B
ji1 yin1 xiu1 gai3	15-66887-B
ji1 yin1 xue2	15-67085-B
ji1 yin1 zu3	15-67458-B
ji1 yin1 zu3 ji4 hua4	4-18553-S
ji1 ying4 bian4	66-44361-S
ji1 ying4 da2 qi4	44-28020-S
ji1 you2	35-4457-B
ji1 you2 jian4	15-56199-S
ji1 you2 xi4	51-61818-S
ji1 yu2	15-68873-B
ji1 yu3 yun2	47-40596-B
ji1 yu4	35-5499-B
ji1 yuan2	35-4794-B
ji1 yuan2 xian1 wei2	52-7539-B
ji1 yuan4	47-39355-B
ji1 yue4 lei3	31-11186-S
ji1 yue4 qi4	26-45118-S
ji1 yun2	21-25561-S,28-8025-S,47-40659-B,70-19065-S
ji1 zan3	47-39480-B
ji1 zei2	47-40413-B
ji1 zeng1	40-4744-B
ji1 zha1 zha1	13-53520-S,14-31955-S
ji1 zha2 ji1	52-13813-S
ji1 zha4	35-5019-B
ji1 zhan4	16-893-B,40-4914-B,62-37203-S,65-25577-S
ji1 zhang3	35-5580-B
ji1 zhe3	45-17116-S,57-12346-S
ji1 zheng1 chu4	47-28822-S
ji1 zheng4	44-24638-S,56-29189-S
ji1 zhi1 li4	26-34786-S
ji1 zhi1 luan4	69-64858-S
ji1 zhi1 tan2	40-58571-S
ji1 zhi3	15-67812-B
ji1 zhi4	35-2362-B,35-3466-B,35-4946-B,67-40460-S
ji1 zhi4 tu2	57-59625-S
ji1 zhong4	29-19064-B
ji1 zhong4 nan2 fan3	47-40461-B
ji1 zhou1	52-13110-S
ji1 zhou4	35-5460-B
ji1 zhu3 jiao4	34-57056-S
ji1 zhu4	35-3670-B,47-40368-B
ji1 zhuang1	15-70066-B
ji1 zhun3	15-70239-B,57-36382-S
ji1 zhuo2	28-45128-S
ji1 zhuo2 yang2 qing1	40-5307-B
ji1 zu3	35-4738-B,47-39866-B
ji1 zuo4	15-68635-B
ji1 zuo4 yong4	37-6936-S
ji2	1-17286-S,1-39159-S,1-54754-S,1-62142-S,1-69436-S,1-74745-S,2-459-S,2-76362-S,2-78555-S,2-83282-S,3-40628-S,3-50820-S,3-52851-S,3-65655-B,4-764-S,4-1399-S,4-36584-S,4-52727-B,4-68945-S,5-12390-B,5-16975-S,5-17849-S,5-45443-S,5-56503-S,6-12745-S,6-21601-S,7-42451-S,7-46127-S,8-6005-S,8-28690-S,8-57223-S,9-1241-S,9-4360-S,9-32936-S,9-46175-S,9-50292-S,9-55710-S,9-64292-S,10-6755-S,10-32493-S,10-47375-S,10-53465-S,10-67643-S,10-73141-S,11-22046-S,11-22792-S,11-23816-B,11-35097-S,11-42280-B,12-4739-S,12-10469-S,12-26133-B,12-30283-S,12-38586-B,12-50619-S,13-9076-S,13-34589-S,13-37531-S,14-4972-S,14-19032-S,14-39196-S,14-52142-S,15-6572-S,15-12563-S,15-18375-S,15-28211-S,15-38370-S,15-43340-S,15-43939-S,15-47009-B,15-57761-S,15-70004-S,16-12803-B,16-13131-S,16-13319-S,16-49858-S,16-64692-S,17-5579-S,17-8966-S,17-59228-S,17-63500-S,18-58452-B,19-2251-S,19-4480-S,19-6083-S,19-6799-S,19-19041-S,19-19088-S,19-25312-S,19-67545-S,20-2604-S,20-6267-S,20-22043-S,20-41513-S,21-1022-S,21-34179-B,21-47169-B,21-52900-S,22-13498-S,22-49247-S,23-658-B,23-16454-S,23-26799-S,23-53300-S,24-23832-S,24-32601-S,24-57164-B,25-9356-S,25-13604-S,25-22494-S,25-30986-S,25-59392-S,26-1854-S,26-15259-B,26-25261-S,26-27765-S,26-61876-S,27-44327-S,27-54034-S,28-14278-S,28-22795-S,28-37925-S,28-41510-S,28-57035-S,29-43150-S,30-23312-S,30-24404-S,30-31500-S,30-34693-S,30-70135-S,31-1088-S,31-3363-S,31-20255-S,31-47509-S,31-47590-S,31-62120-S,32-9899-S,32-11905-S,32-58461-S,33-13788-S,34-16487-S,34-22256-B,34-32092-B,34-34047-B,34-48458-S,35-21444-S,35-21923-S,35-37435-S,35-44991-S,35-63206-S,35-64096-B,36-49153-S,36-64526-B,37-5935-S,37-37795-S,37-60913-S,38-30545-S,38-34675-S,39-9944-S,39-57710-B,40-7651-S,40-8020-B,40-9465-S,40-53106-S,40-55162-S,40-55215-S,40-57351-S,40-65053-S,41-58495-S,41-61486-S,41-62314-S,42-10891-S,42-46596-S,42-47649-S,43-41371-S,43-51088-S,43-66228-S,43-66298-S,44-6842-B,44-18108-B,44-19283-S,44-53965-S,44-60491-S,45-34632-S,46-35749-S,46-53660-S,47-5207-S,47-17929-S,47-18183-S,47-38880-S,47-39653-S,47-50737-S,47-60756-S,48-4004-B,48-9408-S,48-10438-S,48-11577-S,48-13166-S,48-19133-S,48-41383-S,48-43477-S,48-43536-B,48-48756-S,49-2364-S,49-8170-S,49-23769-B,49-33705-S,49-36360-S,49-59119-S,49-61628-S,50-14360-S,50-20439-S,50-21531-S,50-22471-S,50-26375-S,50-35347-S,50-44786-S,50-51633-S,51-8400-S,51-38750-B,51-56004-S,51-68937-S,52-27842-S,53-18431-S,53-40708-S,53-52962-B,54-16353-S,54-18185-S,54-54068-S,54-61218-S,55-2585-B,55-17520-B,55-27957-B,56-6849-B,57-10335-B,57-14106-S,58-44076-S,59-31994-S,59-36267-S,59-52876-S,59-56452-S,60-22202-S,60-29213-S,60-44831-S,60-47403-B,60-50041-B,60-50971-S,61-7597-S,61-13271-S,61-13394-S,61-17098-B,61-33667-S,61-46439-S,61-47645-S,62-2439-S,62-10957-S,62-22313-S,62-24963-S,62-42290-S,62-47207-S,63-1462-S,63-23626-S,63-54870-S,64-2083-S,64-21385-B,65-43820-S,65-44083-S,66-17524-S,66-24496-S,66-35864-S,66-36870-S,66-39860-S,66-43086-S,66-48546-S,66-56500-B,67-6548-S,67-31319-S,67-40657-S,68-4537-S,68-9087-S,68-15233-S,68-20212-S,68-20688-S,68-49022-S,69-17403-S,69-61182-S,70-19590-S,70-59101-B,71-45163-S,71-54935-S
ji2 Hui2 zu2 zi4 zhi4 zhou1	31-20320-S
ji2 Qing1 tai4 zong1	44-60559-S
ji2 Zhuan1 yuan2 Ban4 shi4 chu4	51-59570-S
ji2 bai4 huai4	36-28100-S
ji2 bao3 hu4	15-4429-S
ji2 bei1	60-22475-S,60-22595-S
ji2 bei3	34-34404-B
ji2 bi4 xiong2	60-31337-S
ji2 bian4	11-24102-B
ji2 bie2	49-23812-B
ji2 bie2 cai2 liao4	35-45046-S
ji2 bing4	24-39088-S,25-49483-S,39-24288-S,44-7066-B,44-19324-S,48-56219-S,53-15671-S,63-1962-S
ji2 bing4 kong4 zhi4 zhong1 xin1	44-7124-B
ji2 bing4 tu1 fa1	44-7238-B
ji2 bing4 yu4 fang2 zhong1 xin1	44-7319-B
ji2 bo2 te4 shi4 zheng4 hou4 qun2	12-38860-B
ji2 bu4	49-15882-S,66-59890-B
ji2 bu4 ke3 nai4	24-57201-B
ji2 bu4 li2	1-74383-S
ji2 cai2	66-58435-B
ji2 can1	66-60256-B
ji2 cha1	49-23872-B
ji2 cha1 ji2 yong4	11-24579-B
ji2 chao1	34-36023-B
ji2 cheng2	66-57961-B
ji2 cheng2 dian4 lu4	66-58033-B
ji2 cheng2 shi4	9-33018-S
ji2 cheng2 zhi4 zao4	57-60398-S
ji2 chi2	24-60396-B,44-8129-B
ji2 chi2 er2 guo4	44-8168-B
ji2 chu1 kou3	25-59449-S
