jia1 dui4 tou2	8-13966-S
jia1 er3	16-19511-S,31-21318-S
jia1 er3 ba1	41-57568-S
jia1 er3 hu2	59-28954-S
jia1 er4 xian1 sheng5	50-45617-S
jia1 fa1 zhan3 he2 gai3 ge2 wei3 yuan2 hui4	15-6250-S
jia1 fa1 zhan3 ji4 hua4 wei3 yuan2 hui4	15-6417-S
jia1 fa3	9-57244-B
jia1 feng1	9-54151-B,23-1120-S
jia1 feng1 guan1 jie1	9-54222-B
jia1 feng2	17-71420-B
jia1 fo2	63-54002-S
jia1 fu2	7-36172-S
jia1 fu2 yin1	60-41686-S
jia1 fu4 jian4	16-44883-S
jia1 gang3	23-38935-S
jia1 gang3 shi4	23-39028-S
jia1 ge1	53-50542-S
jia1 ge1 da4 xue2	53-50593-S
jia1 ge2 le4	4-53865-S
jia1 gong1	9-23712-S,9-23822-S,9-23908-S,9-54884-B,17-70627-B,20-13463-S,24-1597-S,24-20940-S,34-37249-S,52-63037-S,52-63144-S
jia1 gong1 chang3	9-54963-B
jia1 gong1 ji4 qiao3	57-36829-S
jia1 gong1 mao4 yi4	9-55172-B
jia1 gong1 mu4	10-52554-S,66-13818-S
jia1 gong1 shi2 xu4	9-55105-B
jia1 gong1 xiao4 lu:4	9-55027-B
jia1 gong1 yuan2	15-4739-S
jia1 gu4	9-53145-B,27-5633-S
jia1 gua1	66-10219-S
jia1 gua1 shan1	66-10289-S
jia1 guan1	9-51588-B,9-53466-B
jia1 guan1 jin4 jue2	9-53534-B,9-53745-B
jia1 guan1 jin4 lu4	9-53840-B
jia1 guan1 jin4 wei4	9-53632-B
jia1 guang3 bo1 dian4 ying3 dian4 shi4 zong3 ju2	15-5246-S
jia1 guang3 chang3	41-59048-S
jia1 gun4	17-70911-B
jia1 hai3 jun1	44-61194-S
jia1 hai4	9-53952-B
jia1 hang2 kong1 gong1 si1	15-6931-S
jia1 hang2 tian1 hang2 kong1 ju2	51-3475-S
jia1 hang2 tian1 ju2	15-6805-S
jia1 hao4	9-59271-B
jia1 he2	4-53937-S
jia1 hou4 shu1	22-24309-S
jia1 hu2 jiao1	41-47115-S
jia1 hu2 kou3	69-10881-S
jia1 hu4	9-56400-S,9-59581-B
jia1 hu4 bing4 fang2	9-59642-B
jia1 hua4	32-19257-S
jia1 huan1	12-33005-S
jia1 huan2 bao3 ju2	2-55635-S
jia1 huan2 bao3 zong3 ju2	15-6136-S
jia1 huan2 jing4 bao3 hu4 zong3 ju2	2-55782-S
jia1 hui4	14-28194-B,24-3664-S
jia1 huo3	6-29904-B,16-34670-S
jia1 huo3 shan1 gong1 yuan2	15-6032-S
jia1 huo5	16-34837-S,19-60959-B
jia1 ji1	17-70559-B
jia1 ji1 mi4	15-5966-S
jia1 ji2	9-55710-B,15-6572-S
jia1 ji2 yu2	9-53078-B
jia1 ji3 ren2 zu2	19-63788-B
jia1 ji4	16-44831-S,38-58207-S
jia1 ji4 hua4 wei3 yuan2 hui4	15-7023-S
jia1 ji4 wei3	15-7140-S
jia1 jia1 you3 ben3 nan2 nian4 de5 jing1	19-61691-B
jia1 jia4	9-51384-B
jia1 jian3 cheng2 chu2	9-57689-B
jia1 jiang3	14-28383-B
jia1 jiang4	34-27626-S
jia1 jiao4	19-62711-B
jia1 jie2	5-11314-B
jia1 jie2 bei4 si1 qin1	36-6518-S
jia1 jie4	23-39132-S
jia1 jie4 shi4	23-39221-S
jia1 jin3	9-58729-B,17-71376-B
jia1 jin4	9-52764-B
jia1 jing1 ji4 mao4 yi4 wei3 yuan2 hui4	15-6652-S
jia1 jing3	19-62906-B
jia1 jing4	19-61457-B
jia1 ju1	19-61066-B
jia1 ju4	6-29954-B,9-52586-B,17-69819-B,19-61108-B
jia1 juan4	19-63527-B
jia1 jun1	69-35882-S
jia1 jun1 pin3 mao4 yi4 guan3 li3 wei3 yuan2 hui4	15-7572-S
jia1 jun1 pin3 mao4 yi4 ju2	15-7438-S
jia1 jun4	36-49766-S
jia1 ke3 gui1	40-49938-S
jia1 ke4	17-69768-B,54-6829-B
jia1 ke4 shan1	54-6906-B
jia1 kou3	23-38487-S
jia1 kou3 di4 qu1	23-38576-S
jia1 kou3 shi4	23-38687-S
jia1 kuai4	9-55650-B
jia1 kuan1	9-54111-B
jia1 kuang3	9-42030-S
jia1 kuang3 zhen4	9-42136-S
jia1 la1	19-10190-S
jia1 la1 Wan1	19-10406-S
jia1 la1 ba1 ge1 si1	9-55984-B
jia1 la1 ba1 ge1 si1 qun2 dao3	9-56056-B
jia1 la1 bang1	57-15334-S
jia1 la1 gong4 he2 guo2	19-10252-S
jia1 la1 gua1	21-12822-S
jia1 la1 guo2	19-10340-S
jia1 la1 pu4 bu4	21-12493-S
jia1 la1 yu3	19-10475-S
jia1 lai2	59-29019-S,71-62982-S
jia1 le4 si1 te4	22-13970-S
jia1 li3	11-15805-S,19-64064-B
jia1 li3 luo2	39-14471-S
jia1 li4	5-11731-B,15-66781-S,59-9647-S
jia1 li4 ya4	5-34790-S,10-37164-S,29-8601-S
