ju2 xian4 xing4	21-17497-B
ju2 xing4	7-36312-S
ju2 you2	40-44670-B
ju2 yu3 jing4	7-36364-S
ju2 yu4 wang3	21-16788-B
ju2 zhang3	5-35893-S,21-17350-B
ju2 zhi3	54-8214-S
ju2 zhong1 ren2	21-16522-B
ju2 zi5	34-7799-B,35-1423-B
ju2 zi5 shui3	34-7839-B
ju2 zi5 zhi1	35-1463-B
ju3	1-18851-S,1-73899-S,2-30434-S,2-47385-S,2-71421-S,2-79559-S,7-72940-S,7-73055-S,8-67522-S,9-37228-S,9-47083-S,10-17486-S,11-35957-S,13-20624-B,15-41792-S,16-36844-S,16-59492-S,17-371-S,17-33000-S,21-6006-S,22-1016-S,24-17586-S,26-35657-S,26-54453-S,27-67406-B,28-31790-S,31-24508-S,33-40083-B,33-45069-B,34-39308-B,35-14143-S,35-17460-B,35-43680-S,37-18383-B,43-56464-S,44-55698-S,45-5863-S,45-22163-S,46-36164-S,47-21332-S,48-22458-B,50-35066-S,53-26363-B,54-22480-B,55-49-B,60-36874-B,60-48987-B,61-11682-S,61-26192-S,63-1036-S,65-46555-S,68-12112-S,68-61380-S,69-59540-S,70-21260-S,71-56023-B
ju3 ban4	53-27726-B
ju3 bao4	53-26867-B
ju3 bi4	61-26233-S
ju3 chi3	45-65178-B
ju3 chi3 zuo4	45-65252-B
ju3 cuo4	53-27307-B
ju3 dong4	53-26800-B
ju3 fa3 ting2	63-1288-S
ju3 jian4	53-27437-B
ju3 jue2	13-20650-B
ju3 li4	53-26684-B
ju3 li4 lai2 shuo1	53-26734-B
ju3 liang3 de2	1-18933-S
ju3 mu4	35-17499-B
ju3 pai4	14-38717-S
ju3 qi3	53-27677-B
ju3 quan2	32-40217-S,63-1234-S
ju3 ren2	53-26617-B,63-1087-S
ju3 ruo4	55-76-B
ju3 sang4	37-18420-B
ju3 shan1	46-4589-S
ju3 shan1 qu1	46-4665-S
ju3 shi4 wen2 ming2	53-26540-B
ju3 shi4 zhu3 mu4	53-26459-B
ju3 shou3	53-26949-B
ju3 shou3 tou2 zu2	53-27178-B
ju3 shou3 zhi1 lao2	53-27031-B
ju3 wang4 dong4	61-11979-S
ju3 wei3 yuan2 hui4	63-1148-S
ju3 xian2 liang2 dui4 ce4	53-27543-B
ju3 xing2	45-65317-B,53-27491-B
ju3 yuan2	33-40270-B
ju3 zhen4	45-65360-B
ju3 zheng1	12-67387-S,12-67489-S
ju3 zhi1 zhan4	33-41745-S
ju3 zhi3	53-27385-B
ju3 zhi4	47-21384-S
ju3 zhong4	53-27777-B
ju4	1-4277-S,2-71287-S,3-7907-S,3-55053-S,4-2868-S,4-26737-S,5-1759-S,5-20270-S,5-25183-S,5-50646-B,5-50816-S,5-60873-S,6-0-S,6-2749-B,6-7139-S,6-8997-S,6-10251-S,6-29954-S,7-44012-S,7-44969-S,8-4561-B,8-28153-S,8-50650-S,8-64377-S,9-40139-B,9-52586-S,10-39231-S,11-22855-S,12-5649-B,12-23010-S,12-54688-S,12-66626-S,13-64199-S,14-7521-S,14-17534-S,14-18353-S,14-34920-S,15-29182-S,15-53195-S,15-64384-B,16-56950-S,17-69819-S,18-6349-S,19-5247-S,19-61108-S,20-11193-B,21-26845-B,21-43258-S,21-50073-S,21-54123-S,21-60812-B,22-632-S,22-55361-S,23-11442-S,23-12890-S,23-29890-S,24-30180-S,24-54142-B,24-57691-S,24-69266-S,25-9125-S,25-9442-S,25-19287-S,25-34872-S,25-40265-S,25-47170-S,25-55372-S,26-3362-B,26-13905-S,26-20969-S,26-21675-S,27-4803-S,27-26206-S,27-31397-B,27-46885-B,27-51246-S,27-51817-S,28-495-S,28-7420-B,29-23527-B,29-41153-S,30-21941-S,30-22021-S,30-25882-S,32-55307-S,33-63967-S,34-1417-S,34-19699-S,34-57908-S,35-25689-S,35-52018-S,36-32132-S,38-13773-S,38-52084-S,39-11873-S,39-31323-S,39-42133-S,39-45470-S,40-22234-S,40-28144-S,40-29809-B,40-65543-S,41-539-S,41-52789-S,42-38885-S,43-15827-S,43-16364-S,43-34293-S,43-35415-S,43-48094-S,44-4041-S,44-4529-S,45-12041-S,45-21849-S,45-30497-S,45-41358-S,45-42396-S,45-44367-S,45-60828-B,45-65885-S,46-64055-S,47-21874-S,47-25815-B,47-40237-S,47-58093-B,47-59135-S,48-48534-B,48-51841-S,49-23954-S,49-53429-S,50-17804-S,50-19701-S,51-33413-S,51-53290-B,52-11712-S,52-13287-S,52-13379-S,52-54451-S,53-32104-S,53-43660-S,53-65966-B,54-10720-S,54-48686-S,55-685-S,55-42682-S,55-55735-B,56-3244-S,56-14995-S,57-5219-S,57-34101-S,57-36996-S,58-6319-B,58-9331-S,58-14002-S,58-15784-S,58-24954-S,58-44258-S,58-45633-S,58-53186-S,58-60577-S,59-313-S,59-25414-S,59-35536-S,59-55981-S,60-26333-S,60-30511-S,60-37049-B,60-47568-B,60-51921-S,60-61931-S,61-21429-S,61-28598-S,61-39848-S,62-2139-S,62-17803-S,62-24468-S,62-32013-S,62-49791-S,63-5948-B,63-51464-B,64-5014-S,64-15251-S,64-19856-S,64-22825-B,64-39269-B,64-41192-S,64-41493-S,64-46120-S,64-56612-S,65-5706-B,65-28766-S,65-61642-S,66-30045-S,66-34901-S,66-59104-S,67-3969-S,67-36160-S,67-38544-S,68-1187-S,68-29393-S,68-59625-B,69-13245-S,69-33985-S,69-62233-S,69-63362-S,70-29478-S
ju4 Xue2 yuan4	1-52417-S,2-66747-S
ju4 an1 zhi3	51-54823-B
ju4 bao3	8-4662-B
ju4 bao3 pen2	51-54184-B
ju4 bao4	29-23754-B
ju4 bao4 dao3	29-23822-B
ju4 bei4	8-4727-B
ju4 ben3	9-40508-B,67-29967-S
ju4 ben3 yi3 xi1	51-55341-B
ju4 bian4	9-40664-B,33-61462-S,51-55586-B
ju4 bian4 fan3 ying4	41-19742-S,51-55636-B
ju4 bian4 wu3 qi4	51-55707-B
ju4 bing3 xi1	51-53333-B
ju4 bo4	21-61304-B
ju4 bu3	27-31722-B
ju4 bu4 jie1 shou4	27-31447-B
ju4 can1	51-56167-B
ju4 chang3	9-40288-B,31-33752-S
ju4 cheng1	29-24718-B
ju4 chi3	38-34090-S,64-39874-B
ju4 chi3 xing2	64-39915-B
ju4 chi4	27-31833-B
ju4 chuan2 shu1	30-22144-S
ju4 ci3	29-24320-B
ju4 da4	21-61070-B
ju4 da4 ya1 li4	21-61154-B
ju4 dao4	68-3940-S
ju4 dao4 long2	3-42070-S
ju4 de2	7-41151-S
ju4 di4	33-64124-S
ju4 dian3	29-25078-B
ju4 dou4	12-6218-B,12-6293-B
ju4 du3	51-55779-B
ju4 duan4	30-22492-S
ju4 e2	21-62499-B,64-22958-B
ju4 er3	8-5009-B
ju4 fa3	12-5899-B
ju4 fa3 fen1 xi1	12-5937-B
ju4 fa3 xian4 suo3	31-26510-S
ju4 fa3 yi4 shi2	12-6008-B
ju4 fang2	64-22862-B
ju4 feng1	68-59656-B
ju4 fu2	21-61243-B
ju4 fu3 yue4	8-48509-S
ju4 fu4	27-31614-B
ju4 gao1 zheng4	26-3435-B
ju4 gong1	64-39350-B
ju4 gu1 ji4	29-23619-B
ju4 guang1	51-53510-B
ju4 guang1 deng1	51-53590-B
ju4 hao4	12-6170-B
ju4 he2	48-826-S,51-53646-B,51-53969-S
ju4 he2 mei2	51-53824-B
ju4 he2 ti3	51-54031-B
ju4 he2 wu4	51-53775-B
ju4 he2 zi1 xun4 ding4 yue4	51-53877-B
ju4 he2 zuo4 yong4	51-53706-B
ju4 hua4	1-4335-S,26-21019-S
ju4 hua4 shuo1	28-46105-S
ju4 hui4	51-54685-B
ju4 hui4 suo3	42-33841-S
ju4 huo3	51-53454-B
ju4 ji1	9-25846-S,51-55058-B
ju4 ji2	49-59119-S,51-56004-B
