lin2 jing1	70-48419-B
lin2 ju1	63-35079-B
lin2 ka3	33-33309-B,50-57520-S
lin2 ke3 chuan1 jing3	52-60441-B
lin2 ke3 mei2 su4	33-33528-B,36-36409-S
lin2 kuang4 shi2	46-41689-B
lin2 kun4 nan2	68-3030-S
lin2 lang2	42-58865-B
lin2 lang2 man3 mu4	42-58917-B
lin2 li2	17-24462-S
lin2 li2 jin4 zhi4	38-41162-B
lin2 li4	33-34601-B
lin2 lin2	56-26828-S
lin2 lin5	42-58808-B
lin2 lun4	11-50404-S
lin2 mei2 su4	7-17197-S
lin2 men2	52-62585-B,66-64569-S
lin2 mo2	52-57658-B
lin2 na4	15-60240-S
lin2 na4 bao3	54-51437-S
lin2 na4 da2	33-67248-S
lin2 na4 ding1	51-47164-S
lin2 na4 ding1 si1	51-47289-S
lin2 nai4	33-33891-B
lin2 nai4 er3 da4 xue2	33-66493-S
lin2 nan4	52-62749-B
lin2 nao3 yan2	34-23836-S
lin2 ni2 zhi4	33-66626-S,33-66889-S
lin2 ni2 zhi4 ben3 chu1 zi3 wu3 xian4	33-66994-S
lin2 ni2 zhi4 biao1 zhun3 shi2 jian1	33-67124-S
lin2 pei2 yu4	34-23760-S
lin2 pen2	52-61766-B
lin2 pi3 ke4	18-14899-S
lin2 pi3 ke4 Wei3 yuan2 hui4	15-16575-S
lin2 pi3 ke4 jing1 shen2	18-14959-S
lin2 pi3 ke4 ti3 yu4 chang3	18-15362-S
lin2 pi3 ke4 yun4 dong4 hui4	18-15050-S
lin2 pi3 ke4 yun4 dong4 hui4 zu3 zhi1 wei3 yuan2 hui4	18-15163-S
lin2 pi3 ya4	18-14830-S
lin2 pian4	70-48052-B
lin2 qiang2	33-41354-S
lin2 qu1	16-36164-S,33-6681-S,33-33260-B,46-61662-S
lin2 qun2 dao3	9-58798-S
lin2 ren2	63-34847-B
lin2 ru4	52-62060-B
lin2 shan1 mai4	64-47116-S
lin2 shang1	62-42714-S,70-47967-B
lin2 sheng3	12-40969-S
lin2 shi1	38-41256-B
lin2 shi2	52-57739-B
lin2 shi2 bao4 fo2 jiao3	52-57896-B
lin2 shi2 de5 ben3 di4 guan3 li3 jie1 kou3	52-58218-B
lin2 shi2 gong1	52-57824-B
lin2 shi2 zheng4 fu3	52-58139-B
lin2 shi4	12-40851-S,34-2209-S,34-38467-S,42-30426-S,52-62414-B
lin2 shui3 jie3 mei2	37-16164-S
lin2 si1	47-19545-S
lin2 si1 dun1	31-48445-S,31-48603-S
lin2 si1 dun1 da4 xue2	31-48508-S
lin2 si1 dun4 Da4 xue2	31-48666-S
lin2 si3	52-58764-B
lin2 si3 bu4 qie4	52-58825-B
lin2 si4	21-4585-S
lin2 suan1	46-41891-B,52-45563-S
lin2 suan1 gai4	46-42009-B
lin2 suan1 mei2	46-41791-S
lin2 suan1 na4	46-41941-B
lin2 suan1 xian4 gan1	1-38747-S,3-40214-S
lin2 suan1 yan2	46-42082-B
lin2 suan1 zhi3 lei4	32-35738-S
lin2 tiao4	52-61822-B
lin2 tie3	52-57467-B
lin2 tong2	25-20051-S
lin2 tou2	17-29674-S,17-38544-S,52-62807-B
lin2 wei1	52-56312-B
