ning2 jiao1	8-28373-B
ning2 jie1	13-51440-S
ning2 jie2	8-28005-B
ning2 jing4	20-20394-B
ning2 ju4	8-28153-B
ning2 ju4 li4	8-28230-B
ning2 ju4 tai4	8-28304-B
ning2 kuai4	8-27828-B
ning2 lian4	8-28092-B
ning2 mao1	42-22796-B
ning2 meng2	35-15465-B,38-62163-S
ning2 meng2 cha2	35-15725-B
ning2 meng2 fu2 mei2 zhuang4 jun1	35-15562-B
ning2 meng2 ji1	35-15965-B
ning2 meng2 pian4	35-15664-B
ning2 meng2 shui3	35-15506-B
ning2 meng2 suan1	35-15781-B
ning2 meng2 suan1 xun2 huan2	35-15840-B
ning2 pian4	19-27211-S
ning2 qi4	8-16908-S
ning2 sheng3	63-4915-S
ning2 shi4	4-48361-S,8-28580-B,10-69778-S,13-30123-S,40-9312-S,53-24326-S,57-16222-S,62-35018-S
ning2 shi4 shi2 jian1	8-28619-B
ning2 shui3	18-5531-S
ning2 suan1	14-18014-S
ning2 tu3	38-53317-S,64-40813-S
ning2 wang4	8-27879-B
ning2 xian4	4-55621-S,35-46186-S,59-20512-S
ning2 xiang1	64-9191-S
ning2 xue4	8-28412-B
ning2 xue4 ji4	27-4104-S
ning2 xue4 mei2	8-28457-B
ning2 xue4 mei2 yuan2	8-28511-B
ning2 zhi4	8-27960-B
ning2 zhu3 yi4	8-66479-S,22-7499-S,69-33055-S
ning3	29-28453-B,39-38827-S
ning4	5-9308-B,18-24657-S,20-16521-B,29-28493-B,37-43286-S,40-8811-B,59-13125-S
ning4 ke3	20-16690-B
ning4 ken3	20-19358-B
ning4 que1 wu2 lan4	20-19187-B
ning4 si3 bu4 qu1	20-17906-B
ning4 yuan4	20-20459-B
niu	2-37203-S,3-22679-S,7-61782-S,9-44190-S,13-5944-S,15-31540-S,17-51079-S,18-24188-S,18-36149-B,20-67599-S,20-67688-S,23-46757-S,23-46757-S,24-50439-B,26-54070-B,27-37991-B,27-63406-S,31-1721-S,33-26944-B,34-57141-S,35-50110-S,36-4094-S,36-17475-S,36-27403-S,36-44161-S,37-50290-S,38-22352-S,41-47344-B,41-51631-S,41-64050-S,41-64174-S,42-1061-S,42-5591-B,45-17560-S,45-43238-S,49-18513-B,49-48548-S,51-9872-S,54-29884-S,56-9584-S,56-9623-S,61-26969-S,64-3894-S,64-21542-B,67-38431-S,70-29120-S,71-10518-S,71-21604-S
niu ai er	53-48359-S
niu bai	26-54366-B
niu bi	41-47531-B
niu bing	42-4786-S,44-17151-S
niu chang	18-24240-S
niu chong dong	36-56606-S
niu dai	49-18777-B,64-21583-B
niu dao	9-34347-S
niu dou	36-30046-S,41-48167-B
niu dun li xue	41-49452-B
niu er	71-51688-S
niu er hu zhi li	3-20205-S
niu hu ma	13-19275-S
niu hua	41-64358-S
niu huang suan	41-48407-B
niu jian yue	13-1091-S
niu jiao	65-9835-S
niu jiao jian	65-10101-S
niu jiao jiao	41-49026-B
niu jiao ling	26-54506-B
niu jin qun	41-48094-B
niu ju	26-54453-B
niu ka su	49-18725-B
niu kou	49-18905-B
niu lang zhi nu:	41-49228-B
niu li	26-54188-B
niu liu	41-47745-B,65-3507-S,67-55892-S
niu ma	41-49617-B
niu mu ma	15-31635-S
niu nai	41-47487-B
niu nian	41-47637-B
niu nie	26-54319-B
niu nie nie	26-54249-S
niu niu	35-50110-S
niu niu nie nie	26-54249-B
niu pai	1-26243-S,37-16055-S,41-47706-B,54-37075-S
niu pang	41-48943-B
niu pi	41-48207-B
niu pi cai	41-48342-B,49-11432-S
niu pi xian	41-48288-B
niu piao	71-21710-S
niu qiao	41-47786-B
niu qu	26-54408-B
niu rou	20-67638-S,41-48462-B,53-52834-S,65-3618-S
niu rou chao mian	41-48588-B
niu rou la mian	41-48500-B
niu rou mian	41-48745-B
niu rou qin cai	41-48674-B
niu ru hai	37-43366-S
niu shang	26-54126-B
niu shi	41-47592-B
niu si	50-4115-S
niu tan qin	20-52736-S
niu te	14-61639-S,51-17038-S
niu te qi	51-17116-S
niu te ren	14-61758-S
niu tou quan	41-49526-B
niu wa	41-48985-B
niu xi	41-48807-B
niu xing	41-64222-S
niu yin	41-49579-B
niu you	41-47850-B
niu you guo	41-47890-B
niu zai	41-47378-B
niu zai ku	41-47418-B
niu zhi	41-48893-B
niu zhuan	26-54593-B
niu zuo	64-12676-S
niu zuo ma	13-19119-S
niu1	18-36149-B,37-50290-S
niu2	2-37203-S,3-22679-S,7-61782-S,9-44190-S,13-5944-S,15-31540-S,17-51079-S,18-24188-S,20-67599-S,20-67688-S,36-4094-S,36-17475-S,36-27403-S,36-44161-S,38-22352-S,41-47344-B,41-51631-S,41-64050-S,41-64174-S,42-1061-S,45-17560-S,45-43238-S,51-9872-S,54-29884-S,56-9584-S,56-9623-S,64-3894-S,70-29120-S,71-10518-S,71-21604-S
niu2 bi1	41-47531-B
niu2 bing4	42-4786-S,44-17151-S
niu2 chang3	18-24240-S
niu2 chong1 dong4	36-56606-S
niu2 dao1	9-34347-S
niu2 dou3	36-30046-S
niu2 dou4	41-48167-B
niu2 dun4 li4 xue2	41-49452-B
niu2 er4 hu3 zhi1 li4	3-20205-S
niu2 er5	71-51688-S
niu2 hu1 ma3	13-19275-S
niu2 hua1	41-64358-S
niu2 huang2 suan1	41-48407-B
niu2 jian4 yue4	13-1091-S
niu2 jiao3	65-9835-S
niu2 jiao3 jian1	65-10101-S
niu2 jiao3 jiao1	41-49026-B
niu2 jin1 qun2	41-48094-B
niu2 lang2 zhi1 nu:3	41-49228-B
niu2 liu3	41-47745-B,65-3507-S,67-55892-S
niu2 ma3	41-49617-B
niu2 mu4 ma3	15-31635-S
niu2 nai3	41-47487-B
niu2 nian2	41-47637-B
niu2 pai2	1-26243-S,37-16055-S,41-47706-B,54-37075-S
niu2 pang2	41-48943-B
niu2 pi2	41-48207-B
niu2 pi2 cai4	41-48342-B,49-11432-S
niu2 pi2 xian3	41-48288-B
niu2 piao4	71-21710-S
niu2 qiao2	41-47786-B
niu2 rou4	20-67638-S,41-48462-B,53-52834-S,65-3618-S
niu2 rou4 chao3 mian4	41-48588-B
niu2 rou4 la1 mian4	41-48500-B
niu2 rou4 mian4	41-48745-B
niu2 rou4 qin2 cai4	41-48674-B
niu2 ru4 hai3	37-43366-S
niu2 shi4	41-47592-B
niu2 tan2 qin2	20-52736-S
niu2 te4	51-17038-S
niu2 te4 qi2	51-17116-S
